CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
7ad5c06d7e0003351903fb0003f85be97554b7c3,klusterpy,d3a4484a,2018-10-03 09:28:55,+0000,__init__.py,ADD,0,0,,
7ad5c06d7e0003351903fb0003f85be97554b7c3,klusterpy,d3a4484a,2018-10-03 09:28:55,+0000,AgglomerativeHierarchical.py,ADD,5,0,,PythonFiles\klusterpy\d3a4484a\7ad5c06d7e0003351903fb0003f85be97554b7c3\7ad5c06d7e0003351903fb0003f85be97554b7c3_klusterpy_d3a4484a_20181003_162855_after_4.py
7ad5c06d7e0003351903fb0003f85be97554b7c3,klusterpy,d3a4484a,2018-10-03 09:28:55,+0000,DBSCAN.py,ADD,5,0,,PythonFiles\klusterpy\d3a4484a\7ad5c06d7e0003351903fb0003f85be97554b7c3\7ad5c06d7e0003351903fb0003f85be97554b7c3_klusterpy_d3a4484a_20181003_162855_after_5.py
7ad5c06d7e0003351903fb0003f85be97554b7c3,klusterpy,d3a4484a,2018-10-03 09:28:55,+0000,KMeans.py,ADD,5,0,,PythonFiles\klusterpy\d3a4484a\7ad5c06d7e0003351903fb0003f85be97554b7c3\7ad5c06d7e0003351903fb0003f85be97554b7c3_klusterpy_d3a4484a_20181003_162855_after_6.py
7ad5c06d7e0003351903fb0003f85be97554b7c3,klusterpy,d3a4484a,2018-10-03 09:28:55,+0000,KMedoids.py,ADD,5,0,,PythonFiles\klusterpy\d3a4484a\7ad5c06d7e0003351903fb0003f85be97554b7c3\7ad5c06d7e0003351903fb0003f85be97554b7c3_klusterpy_d3a4484a_20181003_162855_after_7.py
7ad5c06d7e0003351903fb0003f85be97554b7c3,klusterpy,d3a4484a,2018-10-03 09:28:55,+0000,__init__.py,ADD,0,0,,
7ad5c06d7e0003351903fb0003f85be97554b7c3,klusterpy,d3a4484a,2018-10-03 09:28:55,+0000,example.py,ADD,8,0,,PythonFiles\klusterpy\d3a4484a\7ad5c06d7e0003351903fb0003f85be97554b7c3\7ad5c06d7e0003351903fb0003f85be97554b7c3_klusterpy_d3a4484a_20181003_162855_after_9.py
7ad5c06d7e0003351903fb0003f85be97554b7c3,klusterpy,d3a4484a,2018-10-03 09:28:55,+0000,setup.py,ADD,26,0,,PythonFiles\klusterpy\d3a4484a\7ad5c06d7e0003351903fb0003f85be97554b7c3\7ad5c06d7e0003351903fb0003f85be97554b7c3_klusterpy_d3a4484a_20181003_162855_after_11.py
f1834e6b251144e85cd3d364996a5d004285cfb9,klusterpy,d3a4484a,2018-10-14 18:54:35,+0000,AgglomerativeHierarchical.py,MODIFY,16,3,PythonFiles\klusterpy\d3a4484a\f1834e6b251144e85cd3d364996a5d004285cfb9\f1834e6b251144e85cd3d364996a5d004285cfb9_klusterpy_d3a4484a_20181015_015435_before_1.py,PythonFiles\klusterpy\d3a4484a\f1834e6b251144e85cd3d364996a5d004285cfb9\f1834e6b251144e85cd3d364996a5d004285cfb9_klusterpy_d3a4484a_20181015_015435_after_1.py
f1834e6b251144e85cd3d364996a5d004285cfb9,klusterpy,d3a4484a,2018-10-14 18:54:35,+0000,DBSCAN.py,MODIFY,17,3,PythonFiles\klusterpy\d3a4484a\f1834e6b251144e85cd3d364996a5d004285cfb9\f1834e6b251144e85cd3d364996a5d004285cfb9_klusterpy_d3a4484a_20181015_015435_before_2.py,PythonFiles\klusterpy\d3a4484a\f1834e6b251144e85cd3d364996a5d004285cfb9\f1834e6b251144e85cd3d364996a5d004285cfb9_klusterpy_d3a4484a_20181015_015435_after_2.py
f1834e6b251144e85cd3d364996a5d004285cfb9,klusterpy,d3a4484a,2018-10-14 18:54:35,+0000,KMeans.py,MODIFY,21,2,PythonFiles\klusterpy\d3a4484a\f1834e6b251144e85cd3d364996a5d004285cfb9\f1834e6b251144e85cd3d364996a5d004285cfb9_klusterpy_d3a4484a_20181015_015435_before_3.py,PythonFiles\klusterpy\d3a4484a\f1834e6b251144e85cd3d364996a5d004285cfb9\f1834e6b251144e85cd3d364996a5d004285cfb9_klusterpy_d3a4484a_20181015_015435_after_3.py
f1834e6b251144e85cd3d364996a5d004285cfb9,klusterpy,d3a4484a,2018-10-14 18:54:35,+0000,KMedoids.py,MODIFY,21,2,PythonFiles\klusterpy\d3a4484a\f1834e6b251144e85cd3d364996a5d004285cfb9\f1834e6b251144e85cd3d364996a5d004285cfb9_klusterpy_d3a4484a_20181015_015435_before_4.py,PythonFiles\klusterpy\d3a4484a\f1834e6b251144e85cd3d364996a5d004285cfb9\f1834e6b251144e85cd3d364996a5d004285cfb9_klusterpy_d3a4484a_20181015_015435_after_4.py
b3799ea777e31c33de6d773befe485a45dcba04e,klusterpy,d3a4484a,2018-10-14 19:59:32,+0000,DBSCAN.py,MODIFY,1,2,PythonFiles\klusterpy\d3a4484a\b3799ea777e31c33de6d773befe485a45dcba04e\b3799ea777e31c33de6d773befe485a45dcba04e_klusterpy_d3a4484a_20181015_025932_before_1.py,PythonFiles\klusterpy\d3a4484a\b3799ea777e31c33de6d773befe485a45dcba04e\b3799ea777e31c33de6d773befe485a45dcba04e_klusterpy_d3a4484a_20181015_025932_after_1.py
b3799ea777e31c33de6d773befe485a45dcba04e,klusterpy,d3a4484a,2018-10-14 19:59:32,+0000,example.py,MODIFY,6,1,PythonFiles\klusterpy\d3a4484a\b3799ea777e31c33de6d773befe485a45dcba04e\b3799ea777e31c33de6d773befe485a45dcba04e_klusterpy_d3a4484a_20181015_025932_before_2.py,PythonFiles\klusterpy\d3a4484a\b3799ea777e31c33de6d773befe485a45dcba04e\b3799ea777e31c33de6d773befe485a45dcba04e_klusterpy_d3a4484a_20181015_025932_after_2.py
b3799ea777e31c33de6d773befe485a45dcba04e,klusterpy,d3a4484a,2018-10-14 19:59:32,+0000,metrics.py,ADD,5,0,,PythonFiles\klusterpy\d3a4484a\b3799ea777e31c33de6d773befe485a45dcba04e\b3799ea777e31c33de6d773befe485a45dcba04e_klusterpy_d3a4484a_20181015_025932_after_3.py
