CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
2efc1ac84725d293406ca5be13e1311e37ef0751,local_selenium_pool,39140a61,2018-06-15 17:51:29,+0000,class_dec.py,ADD,0,0,,
2efc1ac84725d293406ca5be13e1311e37ef0751,local_selenium_pool,39140a61,2018-06-15 17:51:29,+0000,__init__.py,ADD,0,0,,
2efc1ac84725d293406ca5be13e1311e37ef0751,local_selenium_pool,39140a61,2018-06-15 17:51:29,+0000,async.py,ADD,72,0,,PythonFiles\local_selenium_pool\39140a61\2efc1ac84725d293406ca5be13e1311e37ef0751\2efc1ac84725d293406ca5be13e1311e37ef0751_local_selenium_pool_39140a61_20180615_115129_after_4.py
2efc1ac84725d293406ca5be13e1311e37ef0751,local_selenium_pool,39140a61,2018-06-15 17:51:29,+0000,asyncio_learn.py,ADD,15,0,,PythonFiles\local_selenium_pool\39140a61\2efc1ac84725d293406ca5be13e1311e37ef0751\2efc1ac84725d293406ca5be13e1311e37ef0751_local_selenium_pool_39140a61_20180615_115129_after_5.py
2efc1ac84725d293406ca5be13e1311e37ef0751,local_selenium_pool,39140a61,2018-06-15 17:51:29,+0000,lock.py,ADD,22,0,,PythonFiles\local_selenium_pool\39140a61\2efc1ac84725d293406ca5be13e1311e37ef0751\2efc1ac84725d293406ca5be13e1311e37ef0751_local_selenium_pool_39140a61_20180615_115129_after_6.py
2efc1ac84725d293406ca5be13e1311e37ef0751,local_selenium_pool,39140a61,2018-06-15 17:51:29,+0000,multi.py,ADD,41,0,,PythonFiles\local_selenium_pool\39140a61\2efc1ac84725d293406ca5be13e1311e37ef0751\2efc1ac84725d293406ca5be13e1311e37ef0751_local_selenium_pool_39140a61_20180615_115129_after_7.py
2efc1ac84725d293406ca5be13e1311e37ef0751,local_selenium_pool,39140a61,2018-06-15 17:51:29,+0000,para.py,ADD,28,0,,PythonFiles\local_selenium_pool\39140a61\2efc1ac84725d293406ca5be13e1311e37ef0751\2efc1ac84725d293406ca5be13e1311e37ef0751_local_selenium_pool_39140a61_20180615_115129_after_8.py
2efc1ac84725d293406ca5be13e1311e37ef0751,local_selenium_pool,39140a61,2018-06-15 17:51:29,+0000,pool.py,ADD,86,0,,PythonFiles\local_selenium_pool\39140a61\2efc1ac84725d293406ca5be13e1311e37ef0751\2efc1ac84725d293406ca5be13e1311e37ef0751_local_selenium_pool_39140a61_20180615_115129_after_9.py
2efc1ac84725d293406ca5be13e1311e37ef0751,local_selenium_pool,39140a61,2018-06-15 17:51:29,+0000,pool2.py,ADD,88,0,,PythonFiles\local_selenium_pool\39140a61\2efc1ac84725d293406ca5be13e1311e37ef0751\2efc1ac84725d293406ca5be13e1311e37ef0751_local_selenium_pool_39140a61_20180615_115129_after_10.py
2efc1ac84725d293406ca5be13e1311e37ef0751,local_selenium_pool,39140a61,2018-06-15 17:51:29,+0000,pool3.py,ADD,82,0,,PythonFiles\local_selenium_pool\39140a61\2efc1ac84725d293406ca5be13e1311e37ef0751\2efc1ac84725d293406ca5be13e1311e37ef0751_local_selenium_pool_39140a61_20180615_115129_after_11.py
