CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
68dab419671f5d8e8e03c38738f73b35148a1045,mdshare,9263ae53,2017-11-23 16:01:27,+0000,__init__.py,ADD,26,0,,PythonFiles\mdshare\9263ae53\68dab419671f5d8e8e03c38738f73b35148a1045\68dab419671f5d8e8e03c38738f73b35148a1045_mdshare_9263ae53_20171123_170127_after_3.py
68dab419671f5d8e8e03c38738f73b35148a1045,mdshare,9263ae53,2017-11-23 16:01:27,+0000,mdshare.py,ADD,16,0,,PythonFiles\mdshare\9263ae53\68dab419671f5d8e8e03c38738f73b35148a1045\68dab419671f5d8e8e03c38738f73b35148a1045_mdshare_9263ae53_20171123_170127_after_4.py
68dab419671f5d8e8e03c38738f73b35148a1045,mdshare,9263ae53,2017-11-23 16:01:27,+0000,setup.py,ADD,52,0,,PythonFiles\mdshare\9263ae53\68dab419671f5d8e8e03c38738f73b35148a1045\68dab419671f5d8e8e03c38738f73b35148a1045_mdshare_9263ae53_20171123_170127_after_5.py
939ce6e9036a9ab5453ed047ab419f23a15dffc9,mdshare,9263ae53,2017-11-23 16:32:11,+0000,mdshare.py,MODIFY,86,1,PythonFiles\mdshare\9263ae53\939ce6e9036a9ab5453ed047ab419f23a15dffc9\939ce6e9036a9ab5453ed047ab419f23a15dffc9_mdshare_9263ae53_20171123_173211_before_1.py,PythonFiles\mdshare\9263ae53\939ce6e9036a9ab5453ed047ab419f23a15dffc9\939ce6e9036a9ab5453ed047ab419f23a15dffc9_mdshare_9263ae53_20171123_173211_after_1.py
5887d368fc9f2ba556416001319cc41cf5ba8b7d,mdshare,9263ae53,2017-11-23 16:34:10,+0000,__init__.py,MODIFY,2,0,PythonFiles\mdshare\9263ae53\5887d368fc9f2ba556416001319cc41cf5ba8b7d\5887d368fc9f2ba556416001319cc41cf5ba8b7d_mdshare_9263ae53_20171123_173410_before_1.py,PythonFiles\mdshare\9263ae53\5887d368fc9f2ba556416001319cc41cf5ba8b7d\5887d368fc9f2ba556416001319cc41cf5ba8b7d_mdshare_9263ae53_20171123_173410_after_1.py
833a86d57263a39bc93167f1668c1fb14e3583e4,mdshare,9263ae53,2017-11-23 16:37:56,+0000,mdshare.py,MODIFY,3,8,PythonFiles\mdshare\9263ae53\833a86d57263a39bc93167f1668c1fb14e3583e4\833a86d57263a39bc93167f1668c1fb14e3583e4_mdshare_9263ae53_20171123_173756_before_1.py,PythonFiles\mdshare\9263ae53\833a86d57263a39bc93167f1668c1fb14e3583e4\833a86d57263a39bc93167f1668c1fb14e3583e4_mdshare_9263ae53_20171123_173756_after_1.py
ddc6a61f15974ee922c8668ffdd1bb21ad19e1d2,mdshare,08fc8af9,2017-11-23 16:42:12,+0000,setup.py,MODIFY,1,1,PythonFiles\mdshare\08fc8af9\ddc6a61f15974ee922c8668ffdd1bb21ad19e1d2\ddc6a61f15974ee922c8668ffdd1bb21ad19e1d2_mdshare_08fc8af9_20171123_174212_before_1.py,PythonFiles\mdshare\08fc8af9\ddc6a61f15974ee922c8668ffdd1bb21ad19e1d2\ddc6a61f15974ee922c8668ffdd1bb21ad19e1d2_mdshare_08fc8af9_20171123_174212_after_1.py
6b6c8d0695b713f2c76df464c16c270347e19401,mdshare,08fc8af9,2017-11-23 16:43:10,+0000,setup.py,MODIFY,1,5,PythonFiles\mdshare\08fc8af9\6b6c8d0695b713f2c76df464c16c270347e19401\6b6c8d0695b713f2c76df464c16c270347e19401_mdshare_08fc8af9_20171123_174310_before_1.py,PythonFiles\mdshare\08fc8af9\6b6c8d0695b713f2c76df464c16c270347e19401\6b6c8d0695b713f2c76df464c16c270347e19401_mdshare_08fc8af9_20171123_174310_after_1.py
4a6162109fb96085705eb3c6f1ab46678d4fd8ab,mdshare,9263ae53,2017-11-24 09:38:10,+0000,__init__.py,MODIFY,1,1,PythonFiles\mdshare\9263ae53\4a6162109fb96085705eb3c6f1ab46678d4fd8ab\4a6162109fb96085705eb3c6f1ab46678d4fd8ab_mdshare_9263ae53_20171124_103810_before_1.py,PythonFiles\mdshare\9263ae53\4a6162109fb96085705eb3c6f1ab46678d4fd8ab\4a6162109fb96085705eb3c6f1ab46678d4fd8ab_mdshare_9263ae53_20171124_103810_after_1.py
4a6162109fb96085705eb3c6f1ab46678d4fd8ab,mdshare,9263ae53,2017-11-24 09:38:10,+0000,mdshare.py,MODIFY,15,9,PythonFiles\mdshare\9263ae53\4a6162109fb96085705eb3c6f1ab46678d4fd8ab\4a6162109fb96085705eb3c6f1ab46678d4fd8ab_mdshare_9263ae53_20171124_103810_before_2.py,PythonFiles\mdshare\9263ae53\4a6162109fb96085705eb3c6f1ab46678d4fd8ab\4a6162109fb96085705eb3c6f1ab46678d4fd8ab_mdshare_9263ae53_20171124_103810_after_2.py
b399cbfe29778ac9e327e6a2a0099e2bd7521a41,mdshare,9263ae53,2017-11-24 15:48:35,+0000,setup.py,MODIFY,1,5,PythonFiles\mdshare\9263ae53\b399cbfe29778ac9e327e6a2a0099e2bd7521a41\b399cbfe29778ac9e327e6a2a0099e2bd7521a41_mdshare_9263ae53_20171124_164835_before_1.py,PythonFiles\mdshare\9263ae53\b399cbfe29778ac9e327e6a2a0099e2bd7521a41\b399cbfe29778ac9e327e6a2a0099e2bd7521a41_mdshare_9263ae53_20171124_164835_after_1.py
b513da49d07a4e0a2b88910048eff4b098a50fdd,mdshare,08fc8af9,2018-02-15 18:29:24,+0000,__init__.py,MODIFY,3,3,PythonFiles\mdshare\08fc8af9\b513da49d07a4e0a2b88910048eff4b098a50fdd\b513da49d07a4e0a2b88910048eff4b098a50fdd_mdshare_08fc8af9_20180215_192924_before_4.py,PythonFiles\mdshare\08fc8af9\b513da49d07a4e0a2b88910048eff4b098a50fdd\b513da49d07a4e0a2b88910048eff4b098a50fdd_mdshare_08fc8af9_20180215_192924_after_4.py
b513da49d07a4e0a2b88910048eff4b098a50fdd,mdshare,08fc8af9,2018-02-15 18:29:24,+0000,mdshare.py,MODIFY,3,3,PythonFiles\mdshare\08fc8af9\b513da49d07a4e0a2b88910048eff4b098a50fdd\b513da49d07a4e0a2b88910048eff4b098a50fdd_mdshare_08fc8af9_20180215_192924_before_5.py,PythonFiles\mdshare\08fc8af9\b513da49d07a4e0a2b88910048eff4b098a50fdd\b513da49d07a4e0a2b88910048eff4b098a50fdd_mdshare_08fc8af9_20180215_192924_after_5.py
b513da49d07a4e0a2b88910048eff4b098a50fdd,mdshare,08fc8af9,2018-02-15 18:29:24,+0000,__init__.py,ADD,0,0,,
