CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
3cc8507c9560ab33570708cb9ef413cb08de7932,mdx_wikilink_plus,ba7ddb50,2018-09-19 09:57:25,+0000,mdx_wikilink_plus.py,ADD,173,0,,PythonFiles\mdx_wikilink_plus\ba7ddb50\3cc8507c9560ab33570708cb9ef413cb08de7932\3cc8507c9560ab33570708cb9ef413cb08de7932_mdx_wikilink_plus_ba7ddb50_20180919_155725_after_2.py
3cc8507c9560ab33570708cb9ef413cb08de7932,mdx_wikilink_plus,ba7ddb50,2018-09-19 09:57:25,+0000,test.py,ADD,19,0,,PythonFiles\mdx_wikilink_plus\ba7ddb50\3cc8507c9560ab33570708cb9ef413cb08de7932\3cc8507c9560ab33570708cb9ef413cb08de7932_mdx_wikilink_plus_ba7ddb50_20180919_155725_after_3.py
c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1,mdx_wikilink_plus,ba7ddb50,2018-09-19 13:26:12,+0000,__init__.py,ADD,2,0,,PythonFiles\mdx_wikilink_plus\ba7ddb50\c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1\c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1_mdx_wikilink_plus_ba7ddb50_20180919_192612_after_3.py
c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1,mdx_wikilink_plus,ba7ddb50,2018-09-19 13:26:12,+0000,mdx_wikilink_plus.py,RENAME,30,47,PythonFiles\mdx_wikilink_plus\ba7ddb50\c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1\c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1_mdx_wikilink_plus_ba7ddb50_20180919_192612_before_4.py,PythonFiles\mdx_wikilink_plus\ba7ddb50\c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1\c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1_mdx_wikilink_plus_ba7ddb50_20180919_192612_after_4.py
c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1,mdx_wikilink_plus,ba7ddb50,2018-09-19 13:26:12,+0000,test.py,ADD,146,0,,PythonFiles\mdx_wikilink_plus\ba7ddb50\c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1\c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1_mdx_wikilink_plus_ba7ddb50_20180919_192612_after_5.py
c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1,mdx_wikilink_plus,ba7ddb50,2018-09-19 13:26:12,+0000,setup.py,ADD,45,0,,PythonFiles\mdx_wikilink_plus\ba7ddb50\c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1\c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1_mdx_wikilink_plus_ba7ddb50_20180919_192612_after_6.py
c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1,mdx_wikilink_plus,ba7ddb50,2018-09-19 13:26:12,+0000,test.py,DELETE,0,19,PythonFiles\mdx_wikilink_plus\ba7ddb50\c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1\c105a54a55f4be8c1b3c572a60bd1c29dcec4ec1_mdx_wikilink_plus_ba7ddb50_20180919_192612_before_7.py,
558ecbbedf532bd6cb38768b57d3dbdafe718115,mdx_wikilink_plus,ba7ddb50,2018-09-19 13:50:25,+0000,mdx_wikilink_plus.py,MODIFY,23,2,PythonFiles\mdx_wikilink_plus\ba7ddb50\558ecbbedf532bd6cb38768b57d3dbdafe718115\558ecbbedf532bd6cb38768b57d3dbdafe718115_mdx_wikilink_plus_ba7ddb50_20180919_195025_before_2.py,PythonFiles\mdx_wikilink_plus\ba7ddb50\558ecbbedf532bd6cb38768b57d3dbdafe718115\558ecbbedf532bd6cb38768b57d3dbdafe718115_mdx_wikilink_plus_ba7ddb50_20180919_195025_after_2.py
5aa98ab49aebb35e7bc615feb72aa84765113342,mdx_wikilink_plus,ba7ddb50,2018-09-19 14:18:29,+0000,__init__.py,ADD,2,0,,PythonFiles\mdx_wikilink_plus\ba7ddb50\5aa98ab49aebb35e7bc615feb72aa84765113342\5aa98ab49aebb35e7bc615feb72aa84765113342_mdx_wikilink_plus_ba7ddb50_20180919_201829_after_1.py
5aa98ab49aebb35e7bc615feb72aa84765113342,mdx_wikilink_plus,ba7ddb50,2018-09-19 14:18:29,+0000,mdx_wikilink_plus.py,ADD,177,0,,PythonFiles\mdx_wikilink_plus\ba7ddb50\5aa98ab49aebb35e7bc615feb72aa84765113342\5aa98ab49aebb35e7bc615feb72aa84765113342_mdx_wikilink_plus_ba7ddb50_20180919_201829_after_2.py
5aa98ab49aebb35e7bc615feb72aa84765113342,mdx_wikilink_plus,ba7ddb50,2018-09-19 14:18:29,+0000,test.py,ADD,146,0,,PythonFiles\mdx_wikilink_plus\ba7ddb50\5aa98ab49aebb35e7bc615feb72aa84765113342\5aa98ab49aebb35e7bc615feb72aa84765113342_mdx_wikilink_plus_ba7ddb50_20180919_201829_after_3.py
5aa98ab49aebb35e7bc615feb72aa84765113342,mdx_wikilink_plus,ba7ddb50,2018-09-19 14:18:29,+0000,__init__.py,MODIFY,4,0,PythonFiles\mdx_wikilink_plus\ba7ddb50\5aa98ab49aebb35e7bc615feb72aa84765113342\5aa98ab49aebb35e7bc615feb72aa84765113342_mdx_wikilink_plus_ba7ddb50_20180919_201829_before_10.py,PythonFiles\mdx_wikilink_plus\ba7ddb50\5aa98ab49aebb35e7bc615feb72aa84765113342\5aa98ab49aebb35e7bc615feb72aa84765113342_mdx_wikilink_plus_ba7ddb50_20180919_201829_after_10.py
5aa98ab49aebb35e7bc615feb72aa84765113342,mdx_wikilink_plus,ba7ddb50,2018-09-19 14:18:29,+0000,setup.py,MODIFY,1,1,PythonFiles\mdx_wikilink_plus\ba7ddb50\5aa98ab49aebb35e7bc615feb72aa84765113342\5aa98ab49aebb35e7bc615feb72aa84765113342_mdx_wikilink_plus_ba7ddb50_20180919_201829_before_11.py,PythonFiles\mdx_wikilink_plus\ba7ddb50\5aa98ab49aebb35e7bc615feb72aa84765113342\5aa98ab49aebb35e7bc615feb72aa84765113342_mdx_wikilink_plus_ba7ddb50_20180919_201829_after_11.py
0e965dbdb110e3a4e9bb714602c3d41a5a4719a1,mdx_wikilink_plus,ba7ddb50,2018-09-19 14:19:56,+0000,__init__.py,DELETE,0,2,PythonFiles\mdx_wikilink_plus\ba7ddb50\0e965dbdb110e3a4e9bb714602c3d41a5a4719a1\0e965dbdb110e3a4e9bb714602c3d41a5a4719a1_mdx_wikilink_plus_ba7ddb50_20180919_201956_before_2.py,
0e965dbdb110e3a4e9bb714602c3d41a5a4719a1,mdx_wikilink_plus,ba7ddb50,2018-09-19 14:19:56,+0000,mdx_wikilink_plus.py,DELETE,0,177,PythonFiles\mdx_wikilink_plus\ba7ddb50\0e965dbdb110e3a4e9bb714602c3d41a5a4719a1\0e965dbdb110e3a4e9bb714602c3d41a5a4719a1_mdx_wikilink_plus_ba7ddb50_20180919_201956_before_3.py,
0e965dbdb110e3a4e9bb714602c3d41a5a4719a1,mdx_wikilink_plus,ba7ddb50,2018-09-19 14:19:56,+0000,test.py,DELETE,0,146,PythonFiles\mdx_wikilink_plus\ba7ddb50\0e965dbdb110e3a4e9bb714602c3d41a5a4719a1\0e965dbdb110e3a4e9bb714602c3d41a5a4719a1_mdx_wikilink_plus_ba7ddb50_20180919_201956_before_4.py,
48c40133fccc9be7e33c2dba9627f5f2ae3a5368,mdx_wikilink_plus,ba7ddb50,2018-09-19 15:45:56,+0000,setup.py,MODIFY,0,5,PythonFiles\mdx_wikilink_plus\ba7ddb50\48c40133fccc9be7e33c2dba9627f5f2ae3a5368\48c40133fccc9be7e33c2dba9627f5f2ae3a5368_mdx_wikilink_plus_ba7ddb50_20180919_214556_before_1.py,PythonFiles\mdx_wikilink_plus\ba7ddb50\48c40133fccc9be7e33c2dba9627f5f2ae3a5368\48c40133fccc9be7e33c2dba9627f5f2ae3a5368_mdx_wikilink_plus_ba7ddb50_20180919_214556_after_1.py
a7ea33d5777a109647222275a2c90824394dc69b,mdx_wikilink_plus,ba7ddb50,2018-09-19 15:52:37,+0000,mdx_wikilink_plus.py,MODIFY,1,1,PythonFiles\mdx_wikilink_plus\ba7ddb50\a7ea33d5777a109647222275a2c90824394dc69b\a7ea33d5777a109647222275a2c90824394dc69b_mdx_wikilink_plus_ba7ddb50_20180919_215237_before_1.py,PythonFiles\mdx_wikilink_plus\ba7ddb50\a7ea33d5777a109647222275a2c90824394dc69b\a7ea33d5777a109647222275a2c90824394dc69b_mdx_wikilink_plus_ba7ddb50_20180919_215237_after_1.py
a7ea33d5777a109647222275a2c90824394dc69b,mdx_wikilink_plus,ba7ddb50,2018-09-19 15:52:37,+0000,setup.py,MODIFY,2,1,PythonFiles\mdx_wikilink_plus\ba7ddb50\a7ea33d5777a109647222275a2c90824394dc69b\a7ea33d5777a109647222275a2c90824394dc69b_mdx_wikilink_plus_ba7ddb50_20180919_215237_before_2.py,PythonFiles\mdx_wikilink_plus\ba7ddb50\a7ea33d5777a109647222275a2c90824394dc69b\a7ea33d5777a109647222275a2c90824394dc69b_mdx_wikilink_plus_ba7ddb50_20180919_215237_after_2.py
