CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
5f6be69f96c559ed6444491cfc9aeaf3c07d51ec,midas,5555331e,2015-03-12 00:13:39,+0000,__init__.py,ADD,1,0,,PythonFiles\midas\5555331e\5f6be69f96c559ed6444491cfc9aeaf3c07d51ec\5f6be69f96c559ed6444491cfc9aeaf3c07d51ec_midas_5555331e_20150311_191339_after_4.py
5f6be69f96c559ed6444491cfc9aeaf3c07d51ec,midas,5555331e,2015-03-12 00:13:39,+0000,midas.py,ADD,174,0,,PythonFiles\midas\5555331e\5f6be69f96c559ed6444491cfc9aeaf3c07d51ec\5f6be69f96c559ed6444491cfc9aeaf3c07d51ec_midas_5555331e_20150311_191339_after_5.py
dd7ea2d412080b01719d64add50f95447bd3132b,midas,5555331e,2015-03-12 15:21:06,+0000,__init__.py,DELETE,0,1,PythonFiles\midas\5555331e\dd7ea2d412080b01719d64add50f95447bd3132b\dd7ea2d412080b01719d64add50f95447bd3132b_midas_5555331e_20150312_102106_before_1.py,
dd7ea2d412080b01719d64add50f95447bd3132b,midas,5555331e,2015-03-12 15:21:06,+0000,__init__.py,RENAME,1,1,PythonFiles\midas\5555331e\dd7ea2d412080b01719d64add50f95447bd3132b\dd7ea2d412080b01719d64add50f95447bd3132b_midas_5555331e_20150312_102106_before_2.py,PythonFiles\midas\5555331e\dd7ea2d412080b01719d64add50f95447bd3132b\dd7ea2d412080b01719d64add50f95447bd3132b_midas_5555331e_20150312_102106_after_2.py
da9f003f2fd40a05acc76f8989a0d53d2804e795,midas,5555331e,2015-03-12 15:41:41,+0000,__init__.py,MODIFY,41,0,PythonFiles\midas\5555331e\da9f003f2fd40a05acc76f8989a0d53d2804e795\da9f003f2fd40a05acc76f8989a0d53d2804e795_midas_5555331e_20150312_104141_before_1.py,PythonFiles\midas\5555331e\da9f003f2fd40a05acc76f8989a0d53d2804e795\da9f003f2fd40a05acc76f8989a0d53d2804e795_midas_5555331e_20150312_104141_after_1.py
9bdee79e8ac40c31ef3d720a9048e51add2682d5,midas,5555331e,2015-03-12 15:56:03,+0000,setup.py,ADD,26,0,,PythonFiles\midas\5555331e\9bdee79e8ac40c31ef3d720a9048e51add2682d5\9bdee79e8ac40c31ef3d720a9048e51add2682d5_midas_5555331e_20150312_105603_after_3.py
094a4ecb77fe63a2e0ea286bdea67799537bbfc5,midas,5555331e,2015-06-15 17:03:53,+0000,__init__.py,MODIFY,2,1,PythonFiles\midas\5555331e\094a4ecb77fe63a2e0ea286bdea67799537bbfc5\094a4ecb77fe63a2e0ea286bdea67799537bbfc5_midas_5555331e_20150615_130353_before_1.py,PythonFiles\midas\5555331e\094a4ecb77fe63a2e0ea286bdea67799537bbfc5\094a4ecb77fe63a2e0ea286bdea67799537bbfc5_midas_5555331e_20150615_130353_after_1.py
094a4ecb77fe63a2e0ea286bdea67799537bbfc5,midas,5555331e,2015-06-15 17:03:53,+0000,setup.py,MODIFY,1,1,PythonFiles\midas\5555331e\094a4ecb77fe63a2e0ea286bdea67799537bbfc5\094a4ecb77fe63a2e0ea286bdea67799537bbfc5_midas_5555331e_20150615_130353_before_2.py,PythonFiles\midas\5555331e\094a4ecb77fe63a2e0ea286bdea67799537bbfc5\094a4ecb77fe63a2e0ea286bdea67799537bbfc5_midas_5555331e_20150615_130353_after_2.py
57f0269bc3ef535e5719ac41460c2e4c3c510f51,midas,5555331e,2015-06-27 17:00:22,+0000,__init__.py,MODIFY,42,42,PythonFiles\midas\5555331e\57f0269bc3ef535e5719ac41460c2e4c3c510f51\57f0269bc3ef535e5719ac41460c2e4c3c510f51_midas_5555331e_20150627_120022_before_1.py,PythonFiles\midas\5555331e\57f0269bc3ef535e5719ac41460c2e4c3c510f51\57f0269bc3ef535e5719ac41460c2e4c3c510f51_midas_5555331e_20150627_120022_after_1.py
57f0269bc3ef535e5719ac41460c2e4c3c510f51,midas,5555331e,2015-06-27 17:00:22,+0000,setup.py,MODIFY,12,12,PythonFiles\midas\5555331e\57f0269bc3ef535e5719ac41460c2e4c3c510f51\57f0269bc3ef535e5719ac41460c2e4c3c510f51_midas_5555331e_20150627_120022_before_2.py,PythonFiles\midas\5555331e\57f0269bc3ef535e5719ac41460c2e4c3c510f51\57f0269bc3ef535e5719ac41460c2e4c3c510f51_midas_5555331e_20150627_120022_after_2.py
