CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
0a83975fa5b3bad1d7b9ab04e28963c06f0bcbe7,mo-json-config,e372bf03,2017-01-27 15:53:18,+0000,__init__.py,ADD,361,0,,PythonFiles\mo-json-config\e372bf03\0a83975fa5b3bad1d7b9ab04e28963c06f0bcbe7\0a83975fa5b3bad1d7b9ab04e28963c06f0bcbe7_mo-json-config_e372bf03_20170127_105318_after_3.py
0a83975fa5b3bad1d7b9ab04e28963c06f0bcbe7,mo-json-config,e372bf03,2017-01-27 15:53:18,+0000,setup.py,ADD,64,0,,PythonFiles\mo-json-config\e372bf03\0a83975fa5b3bad1d7b9ab04e28963c06f0bcbe7\0a83975fa5b3bad1d7b9ab04e28963c06f0bcbe7_mo-json-config_e372bf03_20170127_105318_after_4.py
743b407fa783a980ec9a5281608144b133d14bf6,mo-json-config,e372bf03,2017-01-27 16:07:05,+0000,__init__.py,RENAME,0,0,,
0fb671c6b84b5d44dc93b56ee2e16fc51509fa6e,mo-json-config,e372bf03,2017-01-27 16:09:29,+0000,test_json_ref.py,ADD,131,0,,PythonFiles\mo-json-config\e372bf03\0fb671c6b84b5d44dc93b56ee2e16fc51509fa6e\0fb671c6b84b5d44dc93b56ee2e16fc51509fa6e_mo-json-config_e372bf03_20170127_110929_after_1.py
0d0b84d83b1dcd997e312ad553bd678516e4e761,mo-json-config,e372bf03,2017-02-02 22:30:44,+0000,__init__.py,MODIFY,80,55,PythonFiles\mo-json-config\e372bf03\0d0b84d83b1dcd997e312ad553bd678516e4e761\0d0b84d83b1dcd997e312ad553bd678516e4e761_mo-json-config_e372bf03_20170202_173044_before_2.py,PythonFiles\mo-json-config\e372bf03\0d0b84d83b1dcd997e312ad553bd678516e4e761\0d0b84d83b1dcd997e312ad553bd678516e4e761_mo-json-config_e372bf03_20170202_173044_after_2.py
0d0b84d83b1dcd997e312ad553bd678516e4e761,mo-json-config,e372bf03,2017-02-02 22:30:44,+0000,convert.py,ADD,80,0,,PythonFiles\mo-json-config\e372bf03\0d0b84d83b1dcd997e312ad553bd678516e4e761\0d0b84d83b1dcd997e312ad553bd678516e4e761_mo-json-config_e372bf03_20170202_173044_after_3.py
0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042,mo-json-config,e372bf03,2017-02-03 21:25:09,+0000,__init__.py,MODIFY,3,4,PythonFiles\mo-json-config\e372bf03\0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042\0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042_mo-json-config_e372bf03_20170203_162509_before_1.py,PythonFiles\mo-json-config\e372bf03\0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042\0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042_mo-json-config_e372bf03_20170203_162509_after_1.py
0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042,mo-json-config,e372bf03,2017-02-03 21:25:09,+0000,setup.py,MODIFY,2,2,PythonFiles\mo-json-config\e372bf03\0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042\0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042_mo-json-config_e372bf03_20170203_162509_before_3.py,PythonFiles\mo-json-config\e372bf03\0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042\0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042_mo-json-config_e372bf03_20170203_162509_after_3.py
0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042,mo-json-config,e372bf03,2017-02-03 21:25:09,+0000,test_json_ref.py,MODIFY,26,18,PythonFiles\mo-json-config\e372bf03\0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042\0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042_mo-json-config_e372bf03_20170203_162509_before_4.py,PythonFiles\mo-json-config\e372bf03\0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042\0cbcdb3cdd59e3f03f219bfb9999ba1243ec4042_mo-json-config_e372bf03_20170203_162509_after_4.py
2f89a0a4bfcedf2cbed9fea7f59d3eba915a0be8,mo-json-config,e372bf03,2017-02-03 21:26:06,+0000,setup.py,MODIFY,1,1,PythonFiles\mo-json-config\e372bf03\2f89a0a4bfcedf2cbed9fea7f59d3eba915a0be8\2f89a0a4bfcedf2cbed9fea7f59d3eba915a0be8_mo-json-config_e372bf03_20170203_162606_before_2.py,PythonFiles\mo-json-config\e372bf03\2f89a0a4bfcedf2cbed9fea7f59d3eba915a0be8\2f89a0a4bfcedf2cbed9fea7f59d3eba915a0be8_mo-json-config_e372bf03_20170203_162606_after_2.py
d0a472f8eec7d7d1a8606dff40329b8806496db0,mo-json-config,e372bf03,2017-02-08 03:26:31,+0000,setup.py,MODIFY,1,1,PythonFiles\mo-json-config\e372bf03\d0a472f8eec7d7d1a8606dff40329b8806496db0\d0a472f8eec7d7d1a8606dff40329b8806496db0_mo-json-config_e372bf03_20170207_222631_before_1.py,PythonFiles\mo-json-config\e372bf03\d0a472f8eec7d7d1a8606dff40329b8806496db0\d0a472f8eec7d7d1a8606dff40329b8806496db0_mo-json-config_e372bf03_20170207_222631_after_1.py
25f7ce74532c8c7ed5aa08da128987037b67a990,mo-json-config,e372bf03,2017-02-09 16:43:11,+0000,setup.py,MODIFY,1,1,PythonFiles\mo-json-config\e372bf03\25f7ce74532c8c7ed5aa08da128987037b67a990\25f7ce74532c8c7ed5aa08da128987037b67a990_mo-json-config_e372bf03_20170209_114311_before_1.py,PythonFiles\mo-json-config\e372bf03\25f7ce74532c8c7ed5aa08da128987037b67a990\25f7ce74532c8c7ed5aa08da128987037b67a990_mo-json-config_e372bf03_20170209_114311_after_1.py
9a87c04d8cab769185e4119c0ff4fa55870ecf7c,mo-json-config,e372bf03,2017-02-16 16:16:44,+0000,setup.py,MODIFY,1,1,PythonFiles\mo-json-config\e372bf03\9a87c04d8cab769185e4119c0ff4fa55870ecf7c\9a87c04d8cab769185e4119c0ff4fa55870ecf7c_mo-json-config_e372bf03_20170216_111644_before_1.py,PythonFiles\mo-json-config\e372bf03\9a87c04d8cab769185e4119c0ff4fa55870ecf7c\9a87c04d8cab769185e4119c0ff4fa55870ecf7c_mo-json-config_e372bf03_20170216_111644_after_1.py
c514ba8e34c1a481062c2562d6b97372f863de65,mo-json-config,e372bf03,2017-02-18 02:10:37,+0000,setup.py,MODIFY,1,1,PythonFiles\mo-json-config\e372bf03\c514ba8e34c1a481062c2562d6b97372f863de65\c514ba8e34c1a481062c2562d6b97372f863de65_mo-json-config_e372bf03_20170217_211037_before_1.py,PythonFiles\mo-json-config\e372bf03\c514ba8e34c1a481062c2562d6b97372f863de65\c514ba8e34c1a481062c2562d6b97372f863de65_mo-json-config_e372bf03_20170217_211037_after_1.py
d928c959aa96a55ec7c91eb20c9dde47b1c8fcc5,mo-json-config,e372bf03,2017-02-25 20:29:20,+0000,__init__.py,MODIFY,2,1,PythonFiles\mo-json-config\e372bf03\d928c959aa96a55ec7c91eb20c9dde47b1c8fcc5\d928c959aa96a55ec7c91eb20c9dde47b1c8fcc5_mo-json-config_e372bf03_20170225_152920_before_1.py,PythonFiles\mo-json-config\e372bf03\d928c959aa96a55ec7c91eb20c9dde47b1c8fcc5\d928c959aa96a55ec7c91eb20c9dde47b1c8fcc5_mo-json-config_e372bf03_20170225_152920_after_1.py
258dcfa92794e17b594b7407fb8a9df625fe63d4,mo-json-config,e372bf03,2017-03-25 13:58:24,+0000,__init__.py,MODIFY,5,5,PythonFiles\mo-json-config\e372bf03\258dcfa92794e17b594b7407fb8a9df625fe63d4\258dcfa92794e17b594b7407fb8a9df625fe63d4_mo-json-config_e372bf03_20170325_095824_before_1.py,PythonFiles\mo-json-config\e372bf03\258dcfa92794e17b594b7407fb8a9df625fe63d4\258dcfa92794e17b594b7407fb8a9df625fe63d4_mo-json-config_e372bf03_20170325_095824_after_1.py
258dcfa92794e17b594b7407fb8a9df625fe63d4,mo-json-config,e372bf03,2017-03-25 13:58:24,+0000,convert.py,MODIFY,1,1,PythonFiles\mo-json-config\e372bf03\258dcfa92794e17b594b7407fb8a9df625fe63d4\258dcfa92794e17b594b7407fb8a9df625fe63d4_mo-json-config_e372bf03_20170325_095824_before_2.py,PythonFiles\mo-json-config\e372bf03\258dcfa92794e17b594b7407fb8a9df625fe63d4\258dcfa92794e17b594b7407fb8a9df625fe63d4_mo-json-config_e372bf03_20170325_095824_after_2.py
258dcfa92794e17b594b7407fb8a9df625fe63d4,mo-json-config,e372bf03,2017-03-25 13:58:24,+0000,setup.py,MODIFY,1,1,PythonFiles\mo-json-config\e372bf03\258dcfa92794e17b594b7407fb8a9df625fe63d4\258dcfa92794e17b594b7407fb8a9df625fe63d4_mo-json-config_e372bf03_20170325_095824_before_3.py,PythonFiles\mo-json-config\e372bf03\258dcfa92794e17b594b7407fb8a9df625fe63d4\258dcfa92794e17b594b7407fb8a9df625fe63d4_mo-json-config_e372bf03_20170325_095824_after_3.py
a169d608fa1690b3b39989ebad46c51341f17604,mo-json-config,e372bf03,2017-03-25 17:58:59,+0000,__init__.py,MODIFY,4,4,PythonFiles\mo-json-config\e372bf03\a169d608fa1690b3b39989ebad46c51341f17604\a169d608fa1690b3b39989ebad46c51341f17604_mo-json-config_e372bf03_20170325_135859_before_2.py,PythonFiles\mo-json-config\e372bf03\a169d608fa1690b3b39989ebad46c51341f17604\a169d608fa1690b3b39989ebad46c51341f17604_mo-json-config_e372bf03_20170325_135859_after_2.py
a169d608fa1690b3b39989ebad46c51341f17604,mo-json-config,e372bf03,2017-03-25 17:58:59,+0000,convert.py,MODIFY,18,11,PythonFiles\mo-json-config\e372bf03\a169d608fa1690b3b39989ebad46c51341f17604\a169d608fa1690b3b39989ebad46c51341f17604_mo-json-config_e372bf03_20170325_135859_before_3.py,PythonFiles\mo-json-config\e372bf03\a169d608fa1690b3b39989ebad46c51341f17604\a169d608fa1690b3b39989ebad46c51341f17604_mo-json-config_e372bf03_20170325_135859_after_3.py
e45ae55184694223e9d04e61485a776b8ed2b1b1,mo-json-config,e372bf03,2017-03-26 12:37:44,+0000,setup.py,MODIFY,2,2,PythonFiles\mo-json-config\e372bf03\e45ae55184694223e9d04e61485a776b8ed2b1b1\e45ae55184694223e9d04e61485a776b8ed2b1b1_mo-json-config_e372bf03_20170326_083744_before_1.py,PythonFiles\mo-json-config\e372bf03\e45ae55184694223e9d04e61485a776b8ed2b1b1\e45ae55184694223e9d04e61485a776b8ed2b1b1_mo-json-config_e372bf03_20170326_083744_after_1.py
78a6f1aefb1e3d928edfd12436afa67bf7ab86b5,mo-json-config,e372bf03,2017-03-29 18:05:57,+0000,__init__.py,MODIFY,15,5,PythonFiles\mo-json-config\e372bf03\78a6f1aefb1e3d928edfd12436afa67bf7ab86b5\78a6f1aefb1e3d928edfd12436afa67bf7ab86b5_mo-json-config_e372bf03_20170329_140557_before_2.py,PythonFiles\mo-json-config\e372bf03\78a6f1aefb1e3d928edfd12436afa67bf7ab86b5\78a6f1aefb1e3d928edfd12436afa67bf7ab86b5_mo-json-config_e372bf03_20170329_140557_after_2.py
78a6f1aefb1e3d928edfd12436afa67bf7ab86b5,mo-json-config,e372bf03,2017-03-29 18:05:57,+0000,convert.py,MODIFY,6,2,PythonFiles\mo-json-config\e372bf03\78a6f1aefb1e3d928edfd12436afa67bf7ab86b5\78a6f1aefb1e3d928edfd12436afa67bf7ab86b5_mo-json-config_e372bf03_20170329_140557_before_3.py,PythonFiles\mo-json-config\e372bf03\78a6f1aefb1e3d928edfd12436afa67bf7ab86b5\78a6f1aefb1e3d928edfd12436afa67bf7ab86b5_mo-json-config_e372bf03_20170329_140557_after_3.py
78a6f1aefb1e3d928edfd12436afa67bf7ab86b5,mo-json-config,e372bf03,2017-03-29 18:05:57,+0000,test_json_ref.py,MODIFY,28,5,PythonFiles\mo-json-config\e372bf03\78a6f1aefb1e3d928edfd12436afa67bf7ab86b5\78a6f1aefb1e3d928edfd12436afa67bf7ab86b5_mo-json-config_e372bf03_20170329_140557_before_4.py,PythonFiles\mo-json-config\e372bf03\78a6f1aefb1e3d928edfd12436afa67bf7ab86b5\78a6f1aefb1e3d928edfd12436afa67bf7ab86b5_mo-json-config_e372bf03_20170329_140557_after_4.py
