CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
28142029ce2b92699e576f6332c0d0c7689b26d0,mona,37a5e9a2,2015-06-08 15:24:33,+0000,dispatcher.py,ADD,29,0,,PythonFiles\mona\37a5e9a2\28142029ce2b92699e576f6332c0d0c7689b26d0\28142029ce2b92699e576f6332c0d0c7689b26d0_mona_37a5e9a2_20150608_172433_after_1.py
28142029ce2b92699e576f6332c0d0c7689b26d0,mona,37a5e9a2,2015-06-08 15:24:33,+0000,geom.py,ADD,501,0,,PythonFiles\mona\37a5e9a2\28142029ce2b92699e576f6332c0d0c7689b26d0\28142029ce2b92699e576f6332c0d0c7689b26d0_mona_37a5e9a2_20150608_172433_after_2.py
28142029ce2b92699e576f6332c0d0c7689b26d0,mona,37a5e9a2,2015-06-08 15:24:33,+0000,pyaims.py,ADD,26,0,,PythonFiles\mona\37a5e9a2\28142029ce2b92699e576f6332c0d0c7689b26d0\28142029ce2b92699e576f6332c0d0c7689b26d0_mona_37a5e9a2_20150608_172433_after_3.py
28142029ce2b92699e576f6332c0d0c7689b26d0,mona,37a5e9a2,2015-06-08 15:24:33,+0000,worker.py,ADD,25,0,,PythonFiles\mona\37a5e9a2\28142029ce2b92699e576f6332c0d0c7689b26d0\28142029ce2b92699e576f6332c0d0c7689b26d0_mona_37a5e9a2_20150608_172433_after_4.py
74bb49f320fc23ca54d4e121d6966340fc7b686d,mona,37a5e9a2,2015-06-29 18:36:54,+0000,dispatcher.py,MODIFY,4,3,PythonFiles\mona\37a5e9a2\74bb49f320fc23ca54d4e121d6966340fc7b686d\74bb49f320fc23ca54d4e121d6966340fc7b686d_mona_37a5e9a2_20150629_203654_before_1.py,PythonFiles\mona\37a5e9a2\74bb49f320fc23ca54d4e121d6966340fc7b686d\74bb49f320fc23ca54d4e121d6966340fc7b686d_mona_37a5e9a2_20150629_203654_after_1.py
e8ec10e36b7734663ffcd83885f484c9e285a9d7,mona,37a5e9a2,2015-06-29 18:37:09,+0000,geomlib.py,RENAME,16,7,PythonFiles\mona\37a5e9a2\e8ec10e36b7734663ffcd83885f484c9e285a9d7\e8ec10e36b7734663ffcd83885f484c9e285a9d7_mona_37a5e9a2_20150629_203709_before_1.py,PythonFiles\mona\37a5e9a2\e8ec10e36b7734663ffcd83885f484c9e285a9d7\e8ec10e36b7734663ffcd83885f484c9e285a9d7_mona_37a5e9a2_20150629_203709_after_1.py
e8ec10e36b7734663ffcd83885f484c9e285a9d7,mona,37a5e9a2,2015-06-29 18:37:09,+0000,pyaims.py,MODIFY,1,1,PythonFiles\mona\37a5e9a2\e8ec10e36b7734663ffcd83885f484c9e285a9d7\e8ec10e36b7734663ffcd83885f484c9e285a9d7_mona_37a5e9a2_20150629_203709_before_2.py,PythonFiles\mona\37a5e9a2\e8ec10e36b7734663ffcd83885f484c9e285a9d7\e8ec10e36b7734663ffcd83885f484c9e285a9d7_mona_37a5e9a2_20150629_203709_after_2.py
85aa6887f25b3898b74a836afd71e52a20e8266e,mona,37a5e9a2,2015-06-29 18:39:53,+0000,pyaims.py,MODIFY,13,4,PythonFiles\mona\37a5e9a2\85aa6887f25b3898b74a836afd71e52a20e8266e\85aa6887f25b3898b74a836afd71e52a20e8266e_mona_37a5e9a2_20150629_203953_before_1.py,PythonFiles\mona\37a5e9a2\85aa6887f25b3898b74a836afd71e52a20e8266e\85aa6887f25b3898b74a836afd71e52a20e8266e_mona_37a5e9a2_20150629_203953_after_1.py
85aa6887f25b3898b74a836afd71e52a20e8266e,mona,37a5e9a2,2015-06-29 18:39:53,+0000,worker.py,MODIFY,13,7,PythonFiles\mona\37a5e9a2\85aa6887f25b3898b74a836afd71e52a20e8266e\85aa6887f25b3898b74a836afd71e52a20e8266e_mona_37a5e9a2_20150629_203953_before_2.py,PythonFiles\mona\37a5e9a2\85aa6887f25b3898b74a836afd71e52a20e8266e\85aa6887f25b3898b74a836afd71e52a20e8266e_mona_37a5e9a2_20150629_203953_after_2.py
991be6440bdbcf0215aeacb00182d7b0d3da1746,mona,37a5e9a2,2015-06-29 19:35:57,+0000,dispatcher.py,MODIFY,1,1,PythonFiles\mona\37a5e9a2\991be6440bdbcf0215aeacb00182d7b0d3da1746\991be6440bdbcf0215aeacb00182d7b0d3da1746_mona_37a5e9a2_20150629_213557_before_1.py,PythonFiles\mona\37a5e9a2\991be6440bdbcf0215aeacb00182d7b0d3da1746\991be6440bdbcf0215aeacb00182d7b0d3da1746_mona_37a5e9a2_20150629_213557_after_1.py
