CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
9f829ecf7e22fb4dc33365574737464b8ff16723,mutablerecords,0b97d602,2014-12-03 05:02:22,+0000,__init__.py,ADD,0,0,,
9f829ecf7e22fb4dc33365574737464b8ff16723,mutablerecords,0b97d602,2014-12-03 05:02:22,+0000,records.py,ADD,124,0,,PythonFiles\mutablerecords\0b97d602\9f829ecf7e22fb4dc33365574737464b8ff16723\9f829ecf7e22fb4dc33365574737464b8ff16723_mutablerecords_0b97d602_20141202_210222_after_2.py
9f829ecf7e22fb4dc33365574737464b8ff16723,mutablerecords,0b97d602,2014-12-03 05:02:22,+0000,setup.py,ADD,32,0,,PythonFiles\mutablerecords\0b97d602\9f829ecf7e22fb4dc33365574737464b8ff16723\9f829ecf7e22fb4dc33365574737464b8ff16723_mutablerecords_0b97d602_20141202_210222_after_3.py
446066e51b2b716a2303d496f619609008eac746,mutablerecords,0b97d602,2014-12-07 07:37:12,+0000,setup.py,MODIFY,10,10,PythonFiles\mutablerecords\0b97d602\446066e51b2b716a2303d496f619609008eac746\446066e51b2b716a2303d496f619609008eac746_mutablerecords_0b97d602_20141206_233712_before_1.py,PythonFiles\mutablerecords\0b97d602\446066e51b2b716a2303d496f619609008eac746\446066e51b2b716a2303d496f619609008eac746_mutablerecords_0b97d602_20141206_233712_after_1.py
c8cc32a6e78b46b58df9b6c9f84ed4ea9030cef7,mutablerecords,0b97d602,2014-12-07 07:55:24,+0000,records.py,MODIFY,1,1,PythonFiles\mutablerecords\0b97d602\c8cc32a6e78b46b58df9b6c9f84ed4ea9030cef7\c8cc32a6e78b46b58df9b6c9f84ed4ea9030cef7_mutablerecords_0b97d602_20141206_235524_before_1.py,PythonFiles\mutablerecords\0b97d602\c8cc32a6e78b46b58df9b6c9f84ed4ea9030cef7\c8cc32a6e78b46b58df9b6c9f84ed4ea9030cef7_mutablerecords_0b97d602_20141206_235524_after_1.py
bfe6c15083350dbdedcec4ab7e7b98f1f683d688,mutablerecords,0b97d602,2014-12-16 14:14:51,+0000,setup.py,MODIFY,1,1,PythonFiles\mutablerecords\0b97d602\bfe6c15083350dbdedcec4ab7e7b98f1f683d688\bfe6c15083350dbdedcec4ab7e7b98f1f683d688_mutablerecords_0b97d602_20141216_061451_before_1.py,PythonFiles\mutablerecords\0b97d602\bfe6c15083350dbdedcec4ab7e7b98f1f683d688\bfe6c15083350dbdedcec4ab7e7b98f1f683d688_mutablerecords_0b97d602_20141216_061451_after_1.py
099b2b3b7e31b8fc288b1ee2277976cd935bf9e0,mutablerecords,0b97d602,2015-01-07 10:19:28,+0000,records.py,MODIFY,23,5,PythonFiles\mutablerecords\0b97d602\099b2b3b7e31b8fc288b1ee2277976cd935bf9e0\099b2b3b7e31b8fc288b1ee2277976cd935bf9e0_mutablerecords_0b97d602_20150107_021928_before_1.py,PythonFiles\mutablerecords\0b97d602\099b2b3b7e31b8fc288b1ee2277976cd935bf9e0\099b2b3b7e31b8fc288b1ee2277976cd935bf9e0_mutablerecords_0b97d602_20150107_021928_after_1.py
294a7c9822a3723e1503d80178a868864e276012,mutablerecords,0b97d602,2015-01-26 04:45:43,+0000,records.py,MODIFY,23,4,PythonFiles\mutablerecords\0b97d602\294a7c9822a3723e1503d80178a868864e276012\294a7c9822a3723e1503d80178a868864e276012_mutablerecords_0b97d602_20150125_204543_before_1.py,PythonFiles\mutablerecords\0b97d602\294a7c9822a3723e1503d80178a868864e276012\294a7c9822a3723e1503d80178a868864e276012_mutablerecords_0b97d602_20150125_204543_after_1.py
415b5da6d0914cf34cdfe65963ef172bfac97bbd,mutablerecords,0b97d602,2015-01-26 04:46:59,+0000,records.py,MODIFY,5,0,PythonFiles\mutablerecords\0b97d602\415b5da6d0914cf34cdfe65963ef172bfac97bbd\415b5da6d0914cf34cdfe65963ef172bfac97bbd_mutablerecords_0b97d602_20150125_204659_before_1.py,PythonFiles\mutablerecords\0b97d602\415b5da6d0914cf34cdfe65963ef172bfac97bbd\415b5da6d0914cf34cdfe65963ef172bfac97bbd_mutablerecords_0b97d602_20150125_204659_after_1.py
1afa190b143a2c9dbd18fd75a56111c8b1387ab9,mutablerecords,0b97d602,2015-01-26 04:49:24,+0000,records.py,MODIFY,2,0,PythonFiles\mutablerecords\0b97d602\1afa190b143a2c9dbd18fd75a56111c8b1387ab9\1afa190b143a2c9dbd18fd75a56111c8b1387ab9_mutablerecords_0b97d602_20150125_204924_before_1.py,PythonFiles\mutablerecords\0b97d602\1afa190b143a2c9dbd18fd75a56111c8b1387ab9\1afa190b143a2c9dbd18fd75a56111c8b1387ab9_mutablerecords_0b97d602_20150125_204924_after_1.py
