CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
94c27927ec149f7c091c8f0a12824fa07d8a5c0d,neural-pipeline,6cc75170,2018-03-13 19:43:59,+0000,main.py,ADD,0,0,,
e53c44fa1e2b92aa8835659d7dcc29f04aada21e,neural-pipeline,6cc75170,2018-03-17 15:41:38,+0000,image_conveyor.py,ADD,56,0,,PythonFiles\neural-pipeline\6cc75170\e53c44fa1e2b92aa8835659d7dcc29f04aada21e\e53c44fa1e2b92aa8835659d7dcc29f04aada21e_neural-pipeline_6cc75170_20180317_184138_after_1.py
e53c44fa1e2b92aa8835659d7dcc29f04aada21e,neural-pipeline,6cc75170,2018-03-17 15:41:38,+0000,image_processor.py,ADD,5,0,,PythonFiles\neural-pipeline\6cc75170\e53c44fa1e2b92aa8835659d7dcc29f04aada21e\e53c44fa1e2b92aa8835659d7dcc29f04aada21e_neural-pipeline_6cc75170_20180317_184138_after_2.py
e53c44fa1e2b92aa8835659d7dcc29f04aada21e,neural-pipeline,6cc75170,2018-03-17 15:41:38,+0000,main.py,MODIFY,18,0,,PythonFiles\neural-pipeline\6cc75170\e53c44fa1e2b92aa8835659d7dcc29f04aada21e\e53c44fa1e2b92aa8835659d7dcc29f04aada21e_neural-pipeline_6cc75170_20180317_184138_after_3.py
bfa5608c665115bcd4490583f75cc827ada8fb79,neural-pipeline,6cc75170,2018-03-24 22:34:27,+0000,image_conveyor.py,MODIFY,14,5,PythonFiles\neural-pipeline\6cc75170\bfa5608c665115bcd4490583f75cc827ada8fb79\bfa5608c665115bcd4490583f75cc827ada8fb79_neural-pipeline_6cc75170_20180325_013427_before_1.py,PythonFiles\neural-pipeline\6cc75170\bfa5608c665115bcd4490583f75cc827ada8fb79\bfa5608c665115bcd4490583f75cc827ada8fb79_neural-pipeline_6cc75170_20180325_013427_after_1.py
bfa5608c665115bcd4490583f75cc827ada8fb79,neural-pipeline,6cc75170,2018-03-24 22:34:27,+0000,main.py,MODIFY,25,5,PythonFiles\neural-pipeline\6cc75170\bfa5608c665115bcd4490583f75cc827ada8fb79\bfa5608c665115bcd4490583f75cc827ada8fb79_neural-pipeline_6cc75170_20180325_013427_before_2.py,PythonFiles\neural-pipeline\6cc75170\bfa5608c665115bcd4490583f75cc827ada8fb79\bfa5608c665115bcd4490583f75cc827ada8fb79_neural-pipeline_6cc75170_20180325_013427_after_2.py
bf124da59b649c7da4ea4ac7f33055ccf108909d,neural-pipeline,6cc75170,2018-03-26 11:28:34,+0000,image_conveyor.py,MODIFY,1,1,PythonFiles\neural-pipeline\6cc75170\bf124da59b649c7da4ea4ac7f33055ccf108909d\bf124da59b649c7da4ea4ac7f33055ccf108909d_neural-pipeline_6cc75170_20180326_142834_before_1.py,PythonFiles\neural-pipeline\6cc75170\bf124da59b649c7da4ea4ac7f33055ccf108909d\bf124da59b649c7da4ea4ac7f33055ccf108909d_neural-pipeline_6cc75170_20180326_142834_after_1.py
bf124da59b649c7da4ea4ac7f33055ccf108909d,neural-pipeline,6cc75170,2018-03-26 11:28:34,+0000,main.py,MODIFY,23,2,PythonFiles\neural-pipeline\6cc75170\bf124da59b649c7da4ea4ac7f33055ccf108909d\bf124da59b649c7da4ea4ac7f33055ccf108909d_neural-pipeline_6cc75170_20180326_142834_before_2.py,PythonFiles\neural-pipeline\6cc75170\bf124da59b649c7da4ea4ac7f33055ccf108909d\bf124da59b649c7da4ea4ac7f33055ccf108909d_neural-pipeline_6cc75170_20180326_142834_after_2.py
dd19c78030ce4f0a619d91bf086d1529ac447691,neural-pipeline,6cc75170,2018-03-30 20:19:19,+0000,image_conveyor.py,MODIFY,14,8,PythonFiles\neural-pipeline\6cc75170\dd19c78030ce4f0a619d91bf086d1529ac447691\dd19c78030ce4f0a619d91bf086d1529ac447691_neural-pipeline_6cc75170_20180330_231919_before_2.py,PythonFiles\neural-pipeline\6cc75170\dd19c78030ce4f0a619d91bf086d1529ac447691\dd19c78030ce4f0a619d91bf086d1529ac447691_neural-pipeline_6cc75170_20180330_231919_after_2.py
dd19c78030ce4f0a619d91bf086d1529ac447691,neural-pipeline,6cc75170,2018-03-30 20:19:19,+0000,tests.py,ADD,28,0,,PythonFiles\neural-pipeline\6cc75170\dd19c78030ce4f0a619d91bf086d1529ac447691\dd19c78030ce4f0a619d91bf086d1529ac447691_neural-pipeline_6cc75170_20180330_231919_after_3.py
95db9734c72be99bce4fd5d297728d22c30cb513,neural-pipeline,6cc75170,2018-04-02 08:09:01,+0000,image_conveyor.py,MODIFY,20,8,PythonFiles\neural-pipeline\6cc75170\95db9734c72be99bce4fd5d297728d22c30cb513\95db9734c72be99bce4fd5d297728d22c30cb513_neural-pipeline_6cc75170_20180402_110901_before_1.py,PythonFiles\neural-pipeline\6cc75170\95db9734c72be99bce4fd5d297728d22c30cb513\95db9734c72be99bce4fd5d297728d22c30cb513_neural-pipeline_6cc75170_20180402_110901_after_1.py
95db9734c72be99bce4fd5d297728d22c30cb513,neural-pipeline,6cc75170,2018-04-02 08:09:01,+0000,main.py,MODIFY,38,14,PythonFiles\neural-pipeline\6cc75170\95db9734c72be99bce4fd5d297728d22c30cb513\95db9734c72be99bce4fd5d297728d22c30cb513_neural-pipeline_6cc75170_20180402_110901_before_2.py,PythonFiles\neural-pipeline\6cc75170\95db9734c72be99bce4fd5d297728d22c30cb513\95db9734c72be99bce4fd5d297728d22c30cb513_neural-pipeline_6cc75170_20180402_110901_after_2.py
95db9734c72be99bce4fd5d297728d22c30cb513,neural-pipeline,6cc75170,2018-04-02 08:09:01,+0000,tests.py,MODIFY,1,3,PythonFiles\neural-pipeline\6cc75170\95db9734c72be99bce4fd5d297728d22c30cb513\95db9734c72be99bce4fd5d297728d22c30cb513_neural-pipeline_6cc75170_20180402_110901_before_4.py,PythonFiles\neural-pipeline\6cc75170\95db9734c72be99bce4fd5d297728d22c30cb513\95db9734c72be99bce4fd5d297728d22c30cb513_neural-pipeline_6cc75170_20180402_110901_after_4.py
f969e06422fd711c1cb1253bf86efa0b265da7ba,neural-pipeline,3ae165d2,2018-04-02 15:03:20,+0000,image_conveyor.py,MODIFY,21,16,PythonFiles\neural-pipeline\3ae165d2\f969e06422fd711c1cb1253bf86efa0b265da7ba\f969e06422fd711c1cb1253bf86efa0b265da7ba_neural-pipeline_3ae165d2_20180402_180320_before_1.py,PythonFiles\neural-pipeline\3ae165d2\f969e06422fd711c1cb1253bf86efa0b265da7ba\f969e06422fd711c1cb1253bf86efa0b265da7ba_neural-pipeline_3ae165d2_20180402_180320_after_1.py
f969e06422fd711c1cb1253bf86efa0b265da7ba,neural-pipeline,3ae165d2,2018-04-02 15:03:20,+0000,main.py,MODIFY,6,7,PythonFiles\neural-pipeline\3ae165d2\f969e06422fd711c1cb1253bf86efa0b265da7ba\f969e06422fd711c1cb1253bf86efa0b265da7ba_neural-pipeline_3ae165d2_20180402_180320_before_2.py,PythonFiles\neural-pipeline\3ae165d2\f969e06422fd711c1cb1253bf86efa0b265da7ba\f969e06422fd711c1cb1253bf86efa0b265da7ba_neural-pipeline_3ae165d2_20180402_180320_after_2.py
3304fa25a2073cb0b655c8d820e2b39eb3a806da,neural-pipeline,3ae165d2,2018-04-02 16:17:09,+0000,main.py,MODIFY,6,10,PythonFiles\neural-pipeline\3ae165d2\3304fa25a2073cb0b655c8d820e2b39eb3a806da\3304fa25a2073cb0b655c8d820e2b39eb3a806da_neural-pipeline_3ae165d2_20180402_191709_before_1.py,PythonFiles\neural-pipeline\3ae165d2\3304fa25a2073cb0b655c8d820e2b39eb3a806da\3304fa25a2073cb0b655c8d820e2b39eb3a806da_neural-pipeline_3ae165d2_20180402_191709_after_1.py
24622de36e50a4a005c4d3894e0453f232a58627,neural-pipeline,6cc75170,2018-04-03 08:18:42,+0000,image_conveyor.py,MODIFY,16,3,PythonFiles\neural-pipeline\6cc75170\24622de36e50a4a005c4d3894e0453f232a58627\24622de36e50a4a005c4d3894e0453f232a58627_neural-pipeline_6cc75170_20180403_111842_before_1.py,PythonFiles\neural-pipeline\6cc75170\24622de36e50a4a005c4d3894e0453f232a58627\24622de36e50a4a005c4d3894e0453f232a58627_neural-pipeline_6cc75170_20180403_111842_after_1.py
cdf0bde2d947e733973742f27aa6892fd3ed653d,neural-pipeline,3ae165d2,2018-04-03 15:52:59,+0000,image_conveyor.py,MODIFY,14,3,PythonFiles\neural-pipeline\3ae165d2\cdf0bde2d947e733973742f27aa6892fd3ed653d\cdf0bde2d947e733973742f27aa6892fd3ed653d_neural-pipeline_3ae165d2_20180403_185259_before_1.py,PythonFiles\neural-pipeline\3ae165d2\cdf0bde2d947e733973742f27aa6892fd3ed653d\cdf0bde2d947e733973742f27aa6892fd3ed653d_neural-pipeline_3ae165d2_20180403_185259_after_1.py
ff6d5ee731ca544e4020b852dd3702dcf39dd7dc,neural-pipeline,3ae165d2,2018-04-03 15:53:37,+0000,load_dataset.py,RENAME,8,11,PythonFiles\neural-pipeline\3ae165d2\ff6d5ee731ca544e4020b852dd3702dcf39dd7dc\ff6d5ee731ca544e4020b852dd3702dcf39dd7dc_neural-pipeline_3ae165d2_20180403_185337_before_1.py,PythonFiles\neural-pipeline\3ae165d2\ff6d5ee731ca544e4020b852dd3702dcf39dd7dc\ff6d5ee731ca544e4020b852dd3702dcf39dd7dc_neural-pipeline_3ae165d2_20180403_185337_after_1.py
ff6d5ee731ca544e4020b852dd3702dcf39dd7dc,neural-pipeline,3ae165d2,2018-04-03 15:53:37,+0000,train.py,ADD,0,0,,
bdb21f438b1507703e2e661f58e709347a392065,neural-pipeline,3ae165d2,2018-04-03 15:54:22,+0000,load_dataset.py,MODIFY,15,16,PythonFiles\neural-pipeline\3ae165d2\bdb21f438b1507703e2e661f58e709347a392065\bdb21f438b1507703e2e661f58e709347a392065_neural-pipeline_3ae165d2_20180403_185422_before_1.py,PythonFiles\neural-pipeline\3ae165d2\bdb21f438b1507703e2e661f58e709347a392065\bdb21f438b1507703e2e661f58e709347a392065_neural-pipeline_3ae165d2_20180403_185422_after_1.py
f0cd48a274c21391c843a3717c03fdd544eb801c,neural-pipeline,3ae165d2,2018-04-03 15:54:42,+0000,image_processor.py,MODIFY,107,3,PythonFiles\neural-pipeline\3ae165d2\f0cd48a274c21391c843a3717c03fdd544eb801c\f0cd48a274c21391c843a3717c03fdd544eb801c_neural-pipeline_3ae165d2_20180403_185442_before_1.py,PythonFiles\neural-pipeline\3ae165d2\f0cd48a274c21391c843a3717c03fdd544eb801c\f0cd48a274c21391c843a3717c03fdd544eb801c_neural-pipeline_3ae165d2_20180403_185442_after_1.py
1bf8b6599082188e08d69ef6c18884d2678f08c5,neural-pipeline,6cc75170,2018-04-04 08:38:14,+0000,image_processor.py,MODIFY,36,8,PythonFiles\neural-pipeline\6cc75170\1bf8b6599082188e08d69ef6c18884d2678f08c5\1bf8b6599082188e08d69ef6c18884d2678f08c5_neural-pipeline_6cc75170_20180404_113814_before_1.py,PythonFiles\neural-pipeline\6cc75170\1bf8b6599082188e08d69ef6c18884d2678f08c5\1bf8b6599082188e08d69ef6c18884d2678f08c5_neural-pipeline_6cc75170_20180404_113814_after_1.py
d757dba7f859d7f30fcd012c778615d830ebacf2,neural-pipeline,3ae165d2,2018-04-04 15:02:34,+0000,image_conveyor.py,MODIFY,19,11,PythonFiles\neural-pipeline\3ae165d2\d757dba7f859d7f30fcd012c778615d830ebacf2\d757dba7f859d7f30fcd012c778615d830ebacf2_neural-pipeline_3ae165d2_20180404_180234_before_1.py,PythonFiles\neural-pipeline\3ae165d2\d757dba7f859d7f30fcd012c778615d830ebacf2\d757dba7f859d7f30fcd012c778615d830ebacf2_neural-pipeline_3ae165d2_20180404_180234_after_1.py
d757dba7f859d7f30fcd012c778615d830ebacf2,neural-pipeline,3ae165d2,2018-04-04 15:02:34,+0000,image_processor.py,MODIFY,54,18,PythonFiles\neural-pipeline\3ae165d2\d757dba7f859d7f30fcd012c778615d830ebacf2\d757dba7f859d7f30fcd012c778615d830ebacf2_neural-pipeline_3ae165d2_20180404_180234_before_2.py,PythonFiles\neural-pipeline\3ae165d2\d757dba7f859d7f30fcd012c778615d830ebacf2\d757dba7f859d7f30fcd012c778615d830ebacf2_neural-pipeline_3ae165d2_20180404_180234_after_2.py
55d2846feddbda7247e7251a853b522945dd0685,neural-pipeline,3ae165d2,2018-04-04 15:03:39,+0000,train.py,MODIFY,56,0,,PythonFiles\neural-pipeline\3ae165d2\55d2846feddbda7247e7251a853b522945dd0685\55d2846feddbda7247e7251a853b522945dd0685_neural-pipeline_3ae165d2_20180404_180339_after_1.py
4e7d2ca6d8fdd6e7116eebffc9ebc131169c2193,neural-pipeline,3ae165d2,2018-04-05 14:03:19,+0000,image_conveyor.py,MODIFY,22,8,PythonFiles\neural-pipeline\3ae165d2\4e7d2ca6d8fdd6e7116eebffc9ebc131169c2193\4e7d2ca6d8fdd6e7116eebffc9ebc131169c2193_neural-pipeline_3ae165d2_20180405_170319_before_1.py,PythonFiles\neural-pipeline\3ae165d2\4e7d2ca6d8fdd6e7116eebffc9ebc131169c2193\4e7d2ca6d8fdd6e7116eebffc9ebc131169c2193_neural-pipeline_3ae165d2_20180405_170319_after_1.py
4e7d2ca6d8fdd6e7116eebffc9ebc131169c2193,neural-pipeline,3ae165d2,2018-04-05 14:03:19,+0000,tests.py,MODIFY,9,1,PythonFiles\neural-pipeline\3ae165d2\4e7d2ca6d8fdd6e7116eebffc9ebc131169c2193\4e7d2ca6d8fdd6e7116eebffc9ebc131169c2193_neural-pipeline_3ae165d2_20180405_170319_before_2.py,PythonFiles\neural-pipeline\3ae165d2\4e7d2ca6d8fdd6e7116eebffc9ebc131169c2193\4e7d2ca6d8fdd6e7116eebffc9ebc131169c2193_neural-pipeline_3ae165d2_20180405_170319_after_2.py
43d3b9067df9ea65015e64918a753c8d36ea0fe3,neural-pipeline,3ae165d2,2018-04-05 14:04:19,+0000,train.py,MODIFY,22,6,PythonFiles\neural-pipeline\3ae165d2\43d3b9067df9ea65015e64918a753c8d36ea0fe3\43d3b9067df9ea65015e64918a753c8d36ea0fe3_neural-pipeline_3ae165d2_20180405_170419_before_1.py,PythonFiles\neural-pipeline\3ae165d2\43d3b9067df9ea65015e64918a753c8d36ea0fe3\43d3b9067df9ea65015e64918a753c8d36ea0fe3_neural-pipeline_3ae165d2_20180405_170419_after_1.py
aef817df1ed31a4d9a8840f3c7f2473653253bc0,neural-pipeline,3ae165d2,2018-04-05 14:04:41,+0000,image_processor.py,MODIFY,12,5,PythonFiles\neural-pipeline\3ae165d2\aef817df1ed31a4d9a8840f3c7f2473653253bc0\aef817df1ed31a4d9a8840f3c7f2473653253bc0_neural-pipeline_3ae165d2_20180405_170441_before_1.py,PythonFiles\neural-pipeline\3ae165d2\aef817df1ed31a4d9a8840f3c7f2473653253bc0\aef817df1ed31a4d9a8840f3c7f2473653253bc0_neural-pipeline_3ae165d2_20180405_170441_after_1.py
add3fdb692544fef520ab2111246b20fd4558997,neural-pipeline,3ae165d2,2018-04-05 14:47:10,+0000,train.py,MODIFY,1,1,PythonFiles\neural-pipeline\3ae165d2\add3fdb692544fef520ab2111246b20fd4558997\add3fdb692544fef520ab2111246b20fd4558997_neural-pipeline_3ae165d2_20180405_174710_before_1.py,PythonFiles\neural-pipeline\3ae165d2\add3fdb692544fef520ab2111246b20fd4558997\add3fdb692544fef520ab2111246b20fd4558997_neural-pipeline_3ae165d2_20180405_174710_after_1.py
8e2aa5252e4efd77a561d9797fe62aa519a0888d,neural-pipeline,3ae165d2,2018-04-05 18:05:31,+0000,image_conveyor.py,MODIFY,30,5,PythonFiles\neural-pipeline\3ae165d2\8e2aa5252e4efd77a561d9797fe62aa519a0888d\8e2aa5252e4efd77a561d9797fe62aa519a0888d_neural-pipeline_3ae165d2_20180405_210531_before_1.py,PythonFiles\neural-pipeline\3ae165d2\8e2aa5252e4efd77a561d9797fe62aa519a0888d\8e2aa5252e4efd77a561d9797fe62aa519a0888d_neural-pipeline_3ae165d2_20180405_210531_after_1.py
