CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
a928f14dbd299a478e4568ae6bf32bc46522aa08,nilm_metadata,09d7d0c6,2014-02-28 07:31:28,+0000,test.py,ADD,20,0,,PythonFiles\nilm_metadata\09d7d0c6\a928f14dbd299a478e4568ae6bf32bc46522aa08\a928f14dbd299a478e4568ae6bf32bc46522aa08_nilm_metadata_09d7d0c6_20140228_073128_after_3.py
9444004347f977820313a174b9eaff599bea7571,nilm_metadata,09d7d0c6,2014-02-28 10:04:14,+0000,test.py,MODIFY,6,0,PythonFiles\nilm_metadata\09d7d0c6\9444004347f977820313a174b9eaff599bea7571\9444004347f977820313a174b9eaff599bea7571_nilm_metadata_09d7d0c6_20140228_100414_before_7.py,PythonFiles\nilm_metadata\09d7d0c6\9444004347f977820313a174b9eaff599bea7571\9444004347f977820313a174b9eaff599bea7571_nilm_metadata_09d7d0c6_20140228_100414_after_7.py
aaefbed7b4ca8db43f06a1d919960610fd1dbc91,nilm_metadata,09d7d0c6,2014-03-03 20:27:03,+0000,test.py,MODIFY,2,2,PythonFiles\nilm_metadata\09d7d0c6\aaefbed7b4ca8db43f06a1d919960610fd1dbc91\aaefbed7b4ca8db43f06a1d919960610fd1dbc91_nilm_metadata_09d7d0c6_20140303_202703_before_2.py,PythonFiles\nilm_metadata\09d7d0c6\aaefbed7b4ca8db43f06a1d919960610fd1dbc91\aaefbed7b4ca8db43f06a1d919960610fd1dbc91_nilm_metadata_09d7d0c6_20140303_202703_after_2.py
70a6d8dda6fbfc5e7811efeb083d6420d8fdaf14,nilm_metadata,09d7d0c6,2014-03-04 09:31:28,+0000,test.py,MODIFY,26,2,PythonFiles\nilm_metadata\09d7d0c6\70a6d8dda6fbfc5e7811efeb083d6420d8fdaf14\70a6d8dda6fbfc5e7811efeb083d6420d8fdaf14_nilm_metadata_09d7d0c6_20140304_093128_before_3.py,PythonFiles\nilm_metadata\09d7d0c6\70a6d8dda6fbfc5e7811efeb083d6420d8fdaf14\70a6d8dda6fbfc5e7811efeb083d6420d8fdaf14_nilm_metadata_09d7d0c6_20140304_093128_after_3.py
6b2b1d020fb6e2ab1bc957d1d58aa58601876c53,nilm_metadata,09d7d0c6,2014-03-04 17:06:39,+0000,python_test.py,ADD,13,0,,PythonFiles\nilm_metadata\09d7d0c6\6b2b1d020fb6e2ab1bc957d1d58aa58601876c53\6b2b1d020fb6e2ab1bc957d1d58aa58601876c53_nilm_metadata_09d7d0c6_20140304_170639_after_4.py
3765d4e5b3e6725815536182a6631c56a5049283,nilm_metadata,09d7d0c6,2014-03-04 17:41:39,+0000,test.py,MODIFY,2,2,PythonFiles\nilm_metadata\09d7d0c6\3765d4e5b3e6725815536182a6631c56a5049283\3765d4e5b3e6725815536182a6631c56a5049283_nilm_metadata_09d7d0c6_20140304_174139_before_7.py,PythonFiles\nilm_metadata\09d7d0c6\3765d4e5b3e6725815536182a6631c56a5049283\3765d4e5b3e6725815536182a6631c56a5049283_nilm_metadata_09d7d0c6_20140304_174139_after_7.py
1755120bd9a0a8f3ee6785816992fa0f1cba655f,nilm_metadata,09d7d0c6,2014-03-04 22:19:35,+0000,classes_test.py,ADD,69,0,,PythonFiles\nilm_metadata\09d7d0c6\1755120bd9a0a8f3ee6785816992fa0f1cba655f\1755120bd9a0a8f3ee6785816992fa0f1cba655f_nilm_metadata_09d7d0c6_20140304_221935_after_3.py
f0ef90e314e9dd194954bf9542605cc70e648a74,nilm_metadata,09d7d0c6,2014-03-05 12:24:25,+0000,test.py,MODIFY,1,1,PythonFiles\nilm_metadata\09d7d0c6\f0ef90e314e9dd194954bf9542605cc70e648a74\f0ef90e314e9dd194954bf9542605cc70e648a74_nilm_metadata_09d7d0c6_20140305_122425_before_2.py,PythonFiles\nilm_metadata\09d7d0c6\f0ef90e314e9dd194954bf9542605cc70e648a74\f0ef90e314e9dd194954bf9542605cc70e648a74_nilm_metadata_09d7d0c6_20140305_122425_after_2.py
bf99816f1cfe9e5a5b63c38540f6d035c8ab7115,nilm_metadata,09d7d0c6,2014-03-05 12:52:56,+0000,classes_test.py,MODIFY,4,4,PythonFiles\nilm_metadata\09d7d0c6\bf99816f1cfe9e5a5b63c38540f6d035c8ab7115\bf99816f1cfe9e5a5b63c38540f6d035c8ab7115_nilm_metadata_09d7d0c6_20140305_125256_before_2.py,PythonFiles\nilm_metadata\09d7d0c6\bf99816f1cfe9e5a5b63c38540f6d035c8ab7115\bf99816f1cfe9e5a5b63c38540f6d035c8ab7115_nilm_metadata_09d7d0c6_20140305_125256_after_2.py
760a8e13d49362a810e3a8f0612e59a866e00cae,nilm_metadata,09d7d0c6,2014-03-05 17:07:28,+0000,classes_test.py,MODIFY,35,24,PythonFiles\nilm_metadata\09d7d0c6\760a8e13d49362a810e3a8f0612e59a866e00cae\760a8e13d49362a810e3a8f0612e59a866e00cae_nilm_metadata_09d7d0c6_20140305_170728_before_3.py,PythonFiles\nilm_metadata\09d7d0c6\760a8e13d49362a810e3a8f0612e59a866e00cae\760a8e13d49362a810e3a8f0612e59a866e00cae_nilm_metadata_09d7d0c6_20140305_170728_after_3.py
70fb31a7bd66dba1169ea4c6bf0504be75a4a6aa,nilm_metadata,09d7d0c6,2014-03-06 17:27:46,+0000,resolve_yaml_appliance.py,ADD,89,0,,PythonFiles\nilm_metadata\09d7d0c6\70fb31a7bd66dba1169ea4c6bf0504be75a4a6aa\70fb31a7bd66dba1169ea4c6bf0504be75a4a6aa_nilm_metadata_09d7d0c6_20140306_172746_after_3.py
