CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
d70d5de0696b580a670b69860492863acd324aa5,nlpia,caeca95b,2016-10-26 20:45:57,+0000,__init__.py,ADD,6,0,,PythonFiles\nlpia\caeca95b\d70d5de0696b580a670b69860492863acd324aa5\d70d5de0696b580a670b69860492863acd324aa5_nlpia_caeca95b_20161026_134557_after_4.py
d70d5de0696b580a670b69860492863acd324aa5,nlpia,caeca95b,2016-10-26 20:45:57,+0000,skeleton.py,ADD,95,0,,PythonFiles\nlpia\caeca95b\d70d5de0696b580a670b69860492863acd324aa5\d70d5de0696b580a670b69860492863acd324aa5_nlpia_caeca95b_20161026_134557_after_5.py
f4e1b942993a7430575b8dd42b38f8e41105f678,nlpia,caeca95b,2016-10-26 20:47:10,+0000,conf.py,ADD,249,0,,PythonFiles\nlpia\caeca95b\f4e1b942993a7430575b8dd42b38f8e41105f678\f4e1b942993a7430575b8dd42b38f8e41105f678_nlpia_caeca95b_20161026_134710_after_5.py
99d073e3f076322b1a4e77b50acc84823428cf5c,nlpia,c0198943,2016-10-31 04:53:59,+0000,conf.py,ADD,249,0,,PythonFiles\nlpia\c0198943\99d073e3f076322b1a4e77b50acc84823428cf5c\99d073e3f076322b1a4e77b50acc84823428cf5c_nlpia_c0198943_20161030_215359_after_10.py
99d073e3f076322b1a4e77b50acc84823428cf5c,nlpia,c0198943,2016-10-31 04:53:59,+0000,__init__.py,ADD,6,0,,PythonFiles\nlpia\c0198943\99d073e3f076322b1a4e77b50acc84823428cf5c\99d073e3f076322b1a4e77b50acc84823428cf5c_nlpia_c0198943_20161030_215359_after_26.py
99d073e3f076322b1a4e77b50acc84823428cf5c,nlpia,c0198943,2016-10-31 04:53:59,+0000,settings.py,ADD,121,0,,PythonFiles\nlpia\c0198943\99d073e3f076322b1a4e77b50acc84823428cf5c\99d073e3f076322b1a4e77b50acc84823428cf5c_nlpia_c0198943_20161030_215359_after_27.py
99d073e3f076322b1a4e77b50acc84823428cf5c,nlpia,c0198943,2016-10-31 04:53:59,+0000,skeleton.py,ADD,95,0,,PythonFiles\nlpia\c0198943\99d073e3f076322b1a4e77b50acc84823428cf5c\99d073e3f076322b1a4e77b50acc84823428cf5c_nlpia_c0198943_20161030_215359_after_28.py
99d073e3f076322b1a4e77b50acc84823428cf5c,nlpia,c0198943,2016-10-31 04:53:59,+0000,urls.py,ADD,21,0,,PythonFiles\nlpia\c0198943\99d073e3f076322b1a4e77b50acc84823428cf5c\99d073e3f076322b1a4e77b50acc84823428cf5c_nlpia_c0198943_20161030_215359_after_29.py
99d073e3f076322b1a4e77b50acc84823428cf5c,nlpia,c0198943,2016-10-31 04:53:59,+0000,wsgi.py,ADD,16,0,,PythonFiles\nlpia\c0198943\99d073e3f076322b1a4e77b50acc84823428cf5c\99d073e3f076322b1a4e77b50acc84823428cf5c_nlpia_c0198943_20161030_215359_after_30.py
99d073e3f076322b1a4e77b50acc84823428cf5c,nlpia,c0198943,2016-10-31 04:53:59,+0000,conftest.py,ADD,12,0,,PythonFiles\nlpia\c0198943\99d073e3f076322b1a4e77b50acc84823428cf5c\99d073e3f076322b1a4e77b50acc84823428cf5c_nlpia_c0198943_20161030_215359_after_34.py
