CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
4c77b8abdbc6a3e0fa5b2a1945b1b03ef00251c3,noiseprotocol,686b3cd1,2017-02-14 00:12:11,+0000,__init__.py,ADD,0,0,,
4c77b8abdbc6a3e0fa5b2a1945b1b03ef00251c3,noiseprotocol,686b3cd1,2017-02-14 00:12:11,+0000,__init__.py,ADD,0,0,,
4c77b8abdbc6a3e0fa5b2a1945b1b03ef00251c3,noiseprotocol,686b3cd1,2017-02-14 00:12:11,+0000,setup.py,ADD,0,0,,
7a998277eadbaf086a60b908f356a186ff4bc7e2,noiseprotocol,686b3cd1,2017-02-18 23:52:28,+0000,client-script.py,ADD,57,0,,PythonFiles\noiseprotocol\686b3cd1\7a998277eadbaf086a60b908f356a186ff4bc7e2\7a998277eadbaf086a60b908f356a186ff4bc7e2_noiseprotocol_686b3cd1_20170219_005228_after_1.py
7a998277eadbaf086a60b908f356a186ff4bc7e2,noiseprotocol,686b3cd1,2017-02-18 23:52:28,+0000,constants.py,ADD,49,0,,PythonFiles\noiseprotocol\686b3cd1\7a998277eadbaf086a60b908f356a186ff4bc7e2\7a998277eadbaf086a60b908f356a186ff4bc7e2_noiseprotocol_686b3cd1_20170219_005228_after_2.py
2c61f2bb867eebf2fe968d347904f756c2b32b0b,noiseprotocol,686b3cd1,2017-04-15 16:05:55,+0000,client-script.py,MODIFY,2,3,PythonFiles\noiseprotocol\686b3cd1\2c61f2bb867eebf2fe968d347904f756c2b32b0b\2c61f2bb867eebf2fe968d347904f756c2b32b0b_noiseprotocol_686b3cd1_20170415_180555_before_1.py,PythonFiles\noiseprotocol\686b3cd1\2c61f2bb867eebf2fe968d347904f756c2b32b0b\2c61f2bb867eebf2fe968d347904f756c2b32b0b_noiseprotocol_686b3cd1_20170415_180555_after_1.py
2c61f2bb867eebf2fe968d347904f756c2b32b0b,noiseprotocol,686b3cd1,2017-04-15 16:05:55,+0000,state.py,ADD,139,0,,PythonFiles\noiseprotocol\686b3cd1\2c61f2bb867eebf2fe968d347904f756c2b32b0b\2c61f2bb867eebf2fe968d347904f756c2b32b0b_noiseprotocol_686b3cd1_20170415_180555_after_2.py
2bfc10e0805a676a62be1a781f23f49133c29334,noiseprotocol,686b3cd1,2017-05-09 16:58:29,+0000,test_vectors.py,ADD,17,0,,PythonFiles\noiseprotocol\686b3cd1\2bfc10e0805a676a62be1a781f23f49133c29334\2bfc10e0805a676a62be1a781f23f49133c29334_noiseprotocol_686b3cd1_20170509_185829_after_2.py
8cddef8ae5d099a798cd9a6113cef6724c50789e,noiseprotocol,686b3cd1,2017-05-09 17:04:13,+0000,constants.py,MODIFY,2,49,PythonFiles\noiseprotocol\686b3cd1\8cddef8ae5d099a798cd9a6113cef6724c50789e\8cddef8ae5d099a798cd9a6113cef6724c50789e_noiseprotocol_686b3cd1_20170509_190413_before_1.py,PythonFiles\noiseprotocol\686b3cd1\8cddef8ae5d099a798cd9a6113cef6724c50789e\8cddef8ae5d099a798cd9a6113cef6724c50789e_noiseprotocol_686b3cd1_20170509_190413_after_1.py
8cddef8ae5d099a798cd9a6113cef6724c50789e,noiseprotocol,686b3cd1,2017-05-09 17:04:13,+0000,__init__.py,ADD,0,0,,
