CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
de45cc1b74879116be33c3016dd9f8c586da188b,ns_lattice,124f9bf4,2017-02-08 14:11:20,+0000,setup.py,ADD,45,0,,PythonFiles\ns_lattice\124f9bf4\de45cc1b74879116be33c3016dd9f8c586da188b\de45cc1b74879116be33c3016dd9f8c586da188b_ns_lattice_124f9bf4_20170208_151120_after_8.py
de45cc1b74879116be33c3016dd9f8c586da188b,ns_lattice,124f9bf4,2017-02-08 14:11:20,+0000,__init__.py,ADD,0,0,,
de45cc1b74879116be33c3016dd9f8c586da188b,ns_lattice,124f9bf4,2017-02-08 14:11:20,+0000,__main__.py,ADD,367,0,,PythonFiles\ns_lattice\124f9bf4\de45cc1b74879116be33c3016dd9f8c586da188b\de45cc1b74879116be33c3016dd9f8c586da188b_ns_lattice_124f9bf4_20170208_151120_after_10.py
de45cc1b74879116be33c3016dd9f8c586da188b,ns_lattice,124f9bf4,2017-02-08 14:11:20,+0000,class_div.py,ADD,409,0,,PythonFiles\ns_lattice\124f9bf4\de45cc1b74879116be33c3016dd9f8c586da188b\de45cc1b74879116be33c3016dd9f8c586da188b_ns_lattice_124f9bf4_20170208_151120_after_11.py
de45cc1b74879116be33c3016dd9f8c586da188b,ns_lattice,124f9bf4,2017-02-08 14:11:20,+0000,class_dp_lattice.py,ADD,532,0,,PythonFiles\ns_lattice\124f9bf4\de45cc1b74879116be33c3016dd9f8c586da188b\de45cc1b74879116be33c3016dd9f8c586da188b_ns_lattice_124f9bf4_20170208_151120_after_12.py
de45cc1b74879116be33c3016dd9f8c586da188b,ns_lattice,124f9bf4,2017-02-08 14:11:20,+0000,div_set.py,ADD,264,0,,PythonFiles\ns_lattice\124f9bf4\de45cc1b74879116be33c3016dd9f8c586da188b\de45cc1b74879116be33c3016dd9f8c586da188b_ns_lattice_124f9bf4_20170208_151120_after_13.py
de45cc1b74879116be33c3016dd9f8c586da188b,ns_lattice,124f9bf4,2017-02-08 14:11:20,+0000,dp_involutions.py,ADD,200,0,,PythonFiles\ns_lattice\124f9bf4\de45cc1b74879116be33c3016dd9f8c586da188b\de45cc1b74879116be33c3016dd9f8c586da188b_ns_lattice_124f9bf4_20170208_151120_after_14.py
de45cc1b74879116be33c3016dd9f8c586da188b,ns_lattice,124f9bf4,2017-02-08 14:11:20,+0000,dp_root_bases.py,ADD,480,0,,PythonFiles\ns_lattice\124f9bf4\de45cc1b74879116be33c3016dd9f8c586da188b\de45cc1b74879116be33c3016dd9f8c586da188b_ns_lattice_124f9bf4_20170208_151120_after_15.py
de45cc1b74879116be33c3016dd9f8c586da188b,ns_lattice,124f9bf4,2017-02-08 14:11:20,+0000,ns_tools.py,ADD,141,0,,PythonFiles\ns_lattice\124f9bf4\de45cc1b74879116be33c3016dd9f8c586da188b\de45cc1b74879116be33c3016dd9f8c586da188b_ns_lattice_124f9bf4_20170208_151120_after_16.py
de45cc1b74879116be33c3016dd9f8c586da188b,ns_lattice,124f9bf4,2017-02-08 14:11:20,+0000,__init__.py,ADD,0,0,,
7d64a63b9ecb81a8164b70e016cc9b787cf2ef65,ns_lattice,124f9bf4,2017-02-08 14:33:42,+0000,__init__.py,MODIFY,8,0,,PythonFiles\ns_lattice\124f9bf4\7d64a63b9ecb81a8164b70e016cc9b787cf2ef65\7d64a63b9ecb81a8164b70e016cc9b787cf2ef65_ns_lattice_124f9bf4_20170208_153342_after_1.py
7d64a63b9ecb81a8164b70e016cc9b787cf2ef65,ns_lattice,124f9bf4,2017-02-08 14:33:42,+0000,__main__.py,MODIFY,64,71,PythonFiles\ns_lattice\124f9bf4\7d64a63b9ecb81a8164b70e016cc9b787cf2ef65\7d64a63b9ecb81a8164b70e016cc9b787cf2ef65_ns_lattice_124f9bf4_20170208_153342_before_2.py,PythonFiles\ns_lattice\124f9bf4\7d64a63b9ecb81a8164b70e016cc9b787cf2ef65\7d64a63b9ecb81a8164b70e016cc9b787cf2ef65_ns_lattice_124f9bf4_20170208_153342_after_2.py
7d64a63b9ecb81a8164b70e016cc9b787cf2ef65,ns_lattice,124f9bf4,2017-02-08 14:33:42,+0000,class_ns_tools.py,ADD,174,0,,PythonFiles\ns_lattice\124f9bf4\7d64a63b9ecb81a8164b70e016cc9b787cf2ef65\7d64a63b9ecb81a8164b70e016cc9b787cf2ef65_ns_lattice_124f9bf4_20170208_153342_after_3.py
7d64a63b9ecb81a8164b70e016cc9b787cf2ef65,ns_lattice,124f9bf4,2017-02-08 14:33:42,+0000,ns_tools.py,DELETE,0,141,PythonFiles\ns_lattice\124f9bf4\7d64a63b9ecb81a8164b70e016cc9b787cf2ef65\7d64a63b9ecb81a8164b70e016cc9b787cf2ef65_ns_lattice_124f9bf4_20170208_153342_before_4.py,
7d64a63b9ecb81a8164b70e016cc9b787cf2ef65,ns_lattice,124f9bf4,2017-02-08 14:33:42,+0000,test_class_linkage_graph.py,ADD,35,0,,PythonFiles\ns_lattice\124f9bf4\7d64a63b9ecb81a8164b70e016cc9b787cf2ef65\7d64a63b9ecb81a8164b70e016cc9b787cf2ef65_ns_lattice_124f9bf4_20170208_153342_after_5.py
4a6f3f02ed793361e10a889001e3cf158356a612,ns_lattice,124f9bf4,2017-02-08 17:48:14,+0000,__init__.py,MODIFY,5,1,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_before_1.py,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_after_1.py
4a6f3f02ed793361e10a889001e3cf158356a612,ns_lattice,124f9bf4,2017-02-08 17:48:14,+0000,__main__.py,MODIFY,32,112,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_before_2.py,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_after_2.py
4a6f3f02ed793361e10a889001e3cf158356a612,ns_lattice,124f9bf4,2017-02-08 17:48:14,+0000,class_div.py,MODIFY,19,9,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_before_3.py,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_after_3.py
4a6f3f02ed793361e10a889001e3cf158356a612,ns_lattice,124f9bf4,2017-02-08 17:48:14,+0000,class_dp_lattice.py,MODIFY,12,16,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_before_4.py,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_after_4.py
4a6f3f02ed793361e10a889001e3cf158356a612,ns_lattice,124f9bf4,2017-02-08 17:48:14,+0000,class_ns_tools.py,MODIFY,3,2,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_before_5.py,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_after_5.py
4a6f3f02ed793361e10a889001e3cf158356a612,ns_lattice,124f9bf4,2017-02-08 17:48:14,+0000,div_set.py,MODIFY,21,23,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_before_6.py,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_after_6.py
4a6f3f02ed793361e10a889001e3cf158356a612,ns_lattice,124f9bf4,2017-02-08 17:48:14,+0000,dp_involutions.py,MODIFY,13,15,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_before_7.py,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_after_7.py
4a6f3f02ed793361e10a889001e3cf158356a612,ns_lattice,124f9bf4,2017-02-08 17:48:14,+0000,dp_root_bases.py,MODIFY,23,28,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_before_8.py,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_after_8.py
4a6f3f02ed793361e10a889001e3cf158356a612,ns_lattice,124f9bf4,2017-02-08 17:48:14,+0000,test_class_div.py,ADD,57,0,,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_after_9.py
4a6f3f02ed793361e10a889001e3cf158356a612,ns_lattice,124f9bf4,2017-02-08 17:48:14,+0000,test_class_linkage_graph.py,DELETE,0,35,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_before_10.py,
4a6f3f02ed793361e10a889001e3cf158356a612,ns_lattice,124f9bf4,2017-02-08 17:48:14,+0000,test_div_set.py,ADD,116,0,,PythonFiles\ns_lattice\124f9bf4\4a6f3f02ed793361e10a889001e3cf158356a612\4a6f3f02ed793361e10a889001e3cf158356a612_ns_lattice_124f9bf4_20170208_184814_after_11.py
9f80e371077187dbecea7ded5efbdbcd8dcb26d9,ns_lattice,124f9bf4,2017-02-08 22:27:14,+0000,__main__.py,MODIFY,34,66,PythonFiles\ns_lattice\124f9bf4\9f80e371077187dbecea7ded5efbdbcd8dcb26d9\9f80e371077187dbecea7ded5efbdbcd8dcb26d9_ns_lattice_124f9bf4_20170208_232714_before_1.py,PythonFiles\ns_lattice\124f9bf4\9f80e371077187dbecea7ded5efbdbcd8dcb26d9\9f80e371077187dbecea7ded5efbdbcd8dcb26d9_ns_lattice_124f9bf4_20170208_232714_after_1.py
9f80e371077187dbecea7ded5efbdbcd8dcb26d9,ns_lattice,124f9bf4,2017-02-08 22:27:14,+0000,all.py,ADD,15,0,,PythonFiles\ns_lattice\124f9bf4\9f80e371077187dbecea7ded5efbdbcd8dcb26d9\9f80e371077187dbecea7ded5efbdbcd8dcb26d9_ns_lattice_124f9bf4_20170208_232714_after_2.py
9f80e371077187dbecea7ded5efbdbcd8dcb26d9,ns_lattice,124f9bf4,2017-02-08 22:27:14,+0000,class_dp_lattice.py,MODIFY,3,0,PythonFiles\ns_lattice\124f9bf4\9f80e371077187dbecea7ded5efbdbcd8dcb26d9\9f80e371077187dbecea7ded5efbdbcd8dcb26d9_ns_lattice_124f9bf4_20170208_232714_before_3.py,PythonFiles\ns_lattice\124f9bf4\9f80e371077187dbecea7ded5efbdbcd8dcb26d9\9f80e371077187dbecea7ded5efbdbcd8dcb26d9_ns_lattice_124f9bf4_20170208_232714_after_3.py
