CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
a005758fd7202272a568b2baf4959e76ae61d7ab,overwatch-stats,ab7adf66,2016-09-08 17:33:37,+0000,__init__.py,ADD,156,0,,PythonFiles\overwatch-stats\ab7adf66\a005758fd7202272a568b2baf4959e76ae61d7ab\a005758fd7202272a568b2baf4959e76ae61d7ab_overwatch-stats_ab7adf66_20160909_023337_after_1.py
a005758fd7202272a568b2baf4959e76ae61d7ab,overwatch-stats,ab7adf66,2016-09-08 17:33:37,+0000,ids.py,ADD,27,0,,PythonFiles\overwatch-stats\ab7adf66\a005758fd7202272a568b2baf4959e76ae61d7ab\a005758fd7202272a568b2baf4959e76ae61d7ab_overwatch-stats_ab7adf66_20160909_023337_after_2.py
a91517ea6d09b8ea3b58558dce258a832ea41082,overwatch-stats,ab7adf66,2016-09-08 18:07:07,+0000,setup.py,ADD,32,0,,PythonFiles\overwatch-stats\ab7adf66\a91517ea6d09b8ea3b58558dce258a832ea41082\a91517ea6d09b8ea3b58558dce258a832ea41082_overwatch-stats_ab7adf66_20160909_030707_after_1.py
c120b0495741b970d655a5d95e201d5b727795ab,overwatch-stats,ab7adf66,2016-09-08 18:08:51,+0000,setup.py,RENAME,0,0,,
d0e1160fbc02c2f22f074a87b5253647bfb0cbcc,overwatch-stats,ab7adf66,2016-09-08 18:18:30,+0000,setup.py,MODIFY,0,9,PythonFiles\overwatch-stats\ab7adf66\d0e1160fbc02c2f22f074a87b5253647bfb0cbcc\d0e1160fbc02c2f22f074a87b5253647bfb0cbcc_overwatch-stats_ab7adf66_20160909_031830_before_1.py,PythonFiles\overwatch-stats\ab7adf66\d0e1160fbc02c2f22f074a87b5253647bfb0cbcc\d0e1160fbc02c2f22f074a87b5253647bfb0cbcc_overwatch-stats_ab7adf66_20160909_031830_after_1.py
e414f80372fcb5696d1f33720239bf95dcd43572,overwatch-stats,ab7adf66,2016-09-08 18:21:34,+0000,setup.py,MODIFY,1,0,PythonFiles\overwatch-stats\ab7adf66\e414f80372fcb5696d1f33720239bf95dcd43572\e414f80372fcb5696d1f33720239bf95dcd43572_overwatch-stats_ab7adf66_20160909_032134_before_1.py,PythonFiles\overwatch-stats\ab7adf66\e414f80372fcb5696d1f33720239bf95dcd43572\e414f80372fcb5696d1f33720239bf95dcd43572_overwatch-stats_ab7adf66_20160909_032134_after_1.py
e6f09bc1484126570b7b426174cf2abb523db4f5,overwatch-stats,ab7adf66,2016-09-08 18:24:33,+0000,setup.py,MODIFY,0,1,PythonFiles\overwatch-stats\ab7adf66\e6f09bc1484126570b7b426174cf2abb523db4f5\e6f09bc1484126570b7b426174cf2abb523db4f5_overwatch-stats_ab7adf66_20160909_032433_before_1.py,PythonFiles\overwatch-stats\ab7adf66\e6f09bc1484126570b7b426174cf2abb523db4f5\e6f09bc1484126570b7b426174cf2abb523db4f5_overwatch-stats_ab7adf66_20160909_032433_after_1.py
9a25f2638210ce2b3208d9a5940e8648d7a69d8d,overwatch-stats,ab7adf66,2016-09-08 18:30:45,+0000,__init__.py,ADD,0,0,,
3019d8b5fd7c4818e7dbdb22bda4a00e5c4b3317,overwatch-stats,ab7adf66,2016-09-08 18:34:11,+0000,setup.py,MODIFY,2,2,PythonFiles\overwatch-stats\ab7adf66\3019d8b5fd7c4818e7dbdb22bda4a00e5c4b3317\3019d8b5fd7c4818e7dbdb22bda4a00e5c4b3317_overwatch-stats_ab7adf66_20160909_033411_before_1.py,PythonFiles\overwatch-stats\ab7adf66\3019d8b5fd7c4818e7dbdb22bda4a00e5c4b3317\3019d8b5fd7c4818e7dbdb22bda4a00e5c4b3317_overwatch-stats_ab7adf66_20160909_033411_after_1.py
40c08ee2aca0e26196b1cf3211bad09ced1557b5,overwatch-stats,ab7adf66,2016-09-08 19:56:35,+0000,__init__.py,MODIFY,5,2,PythonFiles\overwatch-stats\ab7adf66\40c08ee2aca0e26196b1cf3211bad09ced1557b5\40c08ee2aca0e26196b1cf3211bad09ced1557b5_overwatch-stats_ab7adf66_20160909_045635_before_1.py,PythonFiles\overwatch-stats\ab7adf66\40c08ee2aca0e26196b1cf3211bad09ced1557b5\40c08ee2aca0e26196b1cf3211bad09ced1557b5_overwatch-stats_ab7adf66_20160909_045635_after_1.py
