CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
0700dd8492a959f4b6da1018076de2b95060063f,ownbot,a38b7d4d,2016-04-14 19:29:16,+0000,user.py,ADD,111,0,,PythonFiles\ownbot\a38b7d4d\0700dd8492a959f4b6da1018076de2b95060063f\0700dd8492a959f4b6da1018076de2b95060063f_ownbot_a38b7d4d_20160414_212916_after_1.py
4aa0ebf99f3852da5508b657ff33a874ef4507c6,ownbot,a38b7d4d,2016-04-15 18:03:55,+0000,user.py,MODIFY,34,15,PythonFiles\ownbot\a38b7d4d\4aa0ebf99f3852da5508b657ff33a874ef4507c6\4aa0ebf99f3852da5508b657ff33a874ef4507c6_ownbot_a38b7d4d_20160415_200355_before_1.py,PythonFiles\ownbot\a38b7d4d\4aa0ebf99f3852da5508b657ff33a874ef4507c6\4aa0ebf99f3852da5508b657ff33a874ef4507c6_ownbot_a38b7d4d_20160415_200355_after_1.py
57e4a16f17d0ce3893871d550991a14275d44898,ownbot,a38b7d4d,2016-04-16 10:37:12,+0000,auth.py,ADD,63,0,,PythonFiles\ownbot\a38b7d4d\57e4a16f17d0ce3893871d550991a14275d44898\57e4a16f17d0ce3893871d550991a14275d44898_ownbot_a38b7d4d_20160416_123712_after_1.py
57e4a16f17d0ce3893871d550991a14275d44898,ownbot,a38b7d4d,2016-04-16 10:37:12,+0000,user.py,MODIFY,8,6,PythonFiles\ownbot\a38b7d4d\57e4a16f17d0ce3893871d550991a14275d44898\57e4a16f17d0ce3893871d550991a14275d44898_ownbot_a38b7d4d_20160416_123712_before_2.py,PythonFiles\ownbot\a38b7d4d\57e4a16f17d0ce3893871d550991a14275d44898\57e4a16f17d0ce3893871d550991a14275d44898_ownbot_a38b7d4d_20160416_123712_after_2.py
c806dac4bbbfcf52af79d71a21452ea3dc49b4ca,ownbot,a38b7d4d,2016-04-16 10:37:33,+0000,example.py,ADD,41,0,,PythonFiles\ownbot\a38b7d4d\c806dac4bbbfcf52af79d71a21452ea3dc49b4ca\c806dac4bbbfcf52af79d71a21452ea3dc49b4ca_ownbot_a38b7d4d_20160416_123733_after_1.py
0c61fc9b7b678215d5acd2c24d6f21620dc9c3cc,ownbot,a38b7d4d,2016-04-17 16:37:08,+0000,example.py,MODIFY,2,2,PythonFiles\ownbot\a38b7d4d\0c61fc9b7b678215d5acd2c24d6f21620dc9c3cc\0c61fc9b7b678215d5acd2c24d6f21620dc9c3cc_ownbot_a38b7d4d_20160417_183708_before_2.py,PythonFiles\ownbot\a38b7d4d\0c61fc9b7b678215d5acd2c24d6f21620dc9c3cc\0c61fc9b7b678215d5acd2c24d6f21620dc9c3cc_ownbot_a38b7d4d_20160417_183708_after_2.py
0c61fc9b7b678215d5acd2c24d6f21620dc9c3cc,ownbot,a38b7d4d,2016-04-17 16:37:08,+0000,__init__.py,ADD,1,0,,PythonFiles\ownbot\a38b7d4d\0c61fc9b7b678215d5acd2c24d6f21620dc9c3cc\0c61fc9b7b678215d5acd2c24d6f21620dc9c3cc_ownbot_a38b7d4d_20160417_183708_after_3.py
0c61fc9b7b678215d5acd2c24d6f21620dc9c3cc,ownbot,a38b7d4d,2016-04-17 16:37:08,+0000,auth.py,RENAME,1,3,PythonFiles\ownbot\a38b7d4d\0c61fc9b7b678215d5acd2c24d6f21620dc9c3cc\0c61fc9b7b678215d5acd2c24d6f21620dc9c3cc_ownbot_a38b7d4d_20160417_183708_before_4.py,PythonFiles\ownbot\a38b7d4d\0c61fc9b7b678215d5acd2c24d6f21620dc9c3cc\0c61fc9b7b678215d5acd2c24d6f21620dc9c3cc_ownbot_a38b7d4d_20160417_183708_after_4.py
0c61fc9b7b678215d5acd2c24d6f21620dc9c3cc,ownbot,a38b7d4d,2016-04-17 16:37:08,+0000,user.py,RENAME,0,0,,
d27208f61100c57d666a92f29bcca9283b9f9c42,ownbot,a38b7d4d,2016-04-17 16:51:32,+0000,setup.py,ADD,48,0,,PythonFiles\ownbot\a38b7d4d\d27208f61100c57d666a92f29bcca9283b9f9c42\d27208f61100c57d666a92f29bcca9283b9f9c42_ownbot_a38b7d4d_20160417_185132_after_1.py
