CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
8a156934ac46346bd92e00cafaedce0ae51b2e4e,pedRefiner,2619818f,2017-01-24 05:15:28,+0000,pedRefiner.py,ADD,175,0,,PythonFiles\pedRefiner\2619818f\8a156934ac46346bd92e00cafaedce0ae51b2e4e\8a156934ac46346bd92e00cafaedce0ae51b2e4e_pedRefiner_2619818f_20170123_231528_after_1.py
d2eadfda9d77dccc658fac267675be898a5b3836,pedRefiner,2619818f,2017-01-24 23:50:46,+0000,pedRefiner.py,MODIFY,172,70,PythonFiles\pedRefiner\2619818f\d2eadfda9d77dccc658fac267675be898a5b3836\d2eadfda9d77dccc658fac267675be898a5b3836_pedRefiner_2619818f_20170124_175046_before_1.py,PythonFiles\pedRefiner\2619818f\d2eadfda9d77dccc658fac267675be898a5b3836\d2eadfda9d77dccc658fac267675be898a5b3836_pedRefiner_2619818f_20170124_175046_after_1.py
da2bd6455f5013aa5e433be46328ac566542a7aa,pedRefiner,2619818f,2017-01-25 23:06:54,+0000,pedRefiner.py,MODIFY,51,23,PythonFiles\pedRefiner\2619818f\da2bd6455f5013aa5e433be46328ac566542a7aa\da2bd6455f5013aa5e433be46328ac566542a7aa_pedRefiner_2619818f_20170125_170654_before_1.py,PythonFiles\pedRefiner\2619818f\da2bd6455f5013aa5e433be46328ac566542a7aa\da2bd6455f5013aa5e433be46328ac566542a7aa_pedRefiner_2619818f_20170125_170654_after_1.py
d4395d5d02f0a1601b8e2124e9d9a4fead7b0cf1,pedRefiner,2619818f,2017-01-25 23:34:43,+0000,pedRefiner.py,MODIFY,18,8,PythonFiles\pedRefiner\2619818f\d4395d5d02f0a1601b8e2124e9d9a4fead7b0cf1\d4395d5d02f0a1601b8e2124e9d9a4fead7b0cf1_pedRefiner_2619818f_20170125_173443_before_1.py,PythonFiles\pedRefiner\2619818f\d4395d5d02f0a1601b8e2124e9d9a4fead7b0cf1\d4395d5d02f0a1601b8e2124e9d9a4fead7b0cf1_pedRefiner_2619818f_20170125_173443_after_1.py
f68cd1daf14b3dc73e092f497267b325d5827ed4,pedRefiner,2619818f,2017-01-26 05:52:43,+0000,pedRefiner.py,MODIFY,59,34,PythonFiles\pedRefiner\2619818f\f68cd1daf14b3dc73e092f497267b325d5827ed4\f68cd1daf14b3dc73e092f497267b325d5827ed4_pedRefiner_2619818f_20170125_235243_before_1.py,PythonFiles\pedRefiner\2619818f\f68cd1daf14b3dc73e092f497267b325d5827ed4\f68cd1daf14b3dc73e092f497267b325d5827ed4_pedRefiner_2619818f_20170125_235243_after_1.py
6880b60a5eebf01c7d874345b4a47f467c03beb0,pedRefiner,2619818f,2017-01-26 18:24:31,+0000,pedRefiner.py,MODIFY,37,26,PythonFiles\pedRefiner\2619818f\6880b60a5eebf01c7d874345b4a47f467c03beb0\6880b60a5eebf01c7d874345b4a47f467c03beb0_pedRefiner_2619818f_20170126_122431_before_1.py,PythonFiles\pedRefiner\2619818f\6880b60a5eebf01c7d874345b4a47f467c03beb0\6880b60a5eebf01c7d874345b4a47f467c03beb0_pedRefiner_2619818f_20170126_122431_after_1.py
96e045ac204d4d737b7243b5804cf75b5f515d12,pedRefiner,2619818f,2017-01-26 21:20:53,+0000,pedRefiner.py,MODIFY,17,9,PythonFiles\pedRefiner\2619818f\96e045ac204d4d737b7243b5804cf75b5f515d12\96e045ac204d4d737b7243b5804cf75b5f515d12_pedRefiner_2619818f_20170126_152053_before_1.py,PythonFiles\pedRefiner\2619818f\96e045ac204d4d737b7243b5804cf75b5f515d12\96e045ac204d4d737b7243b5804cf75b5f515d12_pedRefiner_2619818f_20170126_152053_after_1.py
288bbae9c60979466a7693003ec9318b655422f4,pedRefiner,2619818f,2017-01-30 18:25:14,+0000,pedRefiner.py,MODIFY,24,24,PythonFiles\pedRefiner\2619818f\288bbae9c60979466a7693003ec9318b655422f4\288bbae9c60979466a7693003ec9318b655422f4_pedRefiner_2619818f_20170130_122514_before_1.py,PythonFiles\pedRefiner\2619818f\288bbae9c60979466a7693003ec9318b655422f4\288bbae9c60979466a7693003ec9318b655422f4_pedRefiner_2619818f_20170130_122514_after_1.py
28c19fdf67f77293881879cc78ed207f85c59ffd,pedRefiner,2619818f,2017-02-22 18:58:55,+0000,pedRefiner.py,MODIFY,89,6,PythonFiles\pedRefiner\2619818f\28c19fdf67f77293881879cc78ed207f85c59ffd\28c19fdf67f77293881879cc78ed207f85c59ffd_pedRefiner_2619818f_20170222_125855_before_5.py,PythonFiles\pedRefiner\2619818f\28c19fdf67f77293881879cc78ed207f85c59ffd\28c19fdf67f77293881879cc78ed207f85c59ffd_pedRefiner_2619818f_20170222_125855_after_5.py
28c19fdf67f77293881879cc78ed207f85c59ffd,pedRefiner,2619818f,2017-02-22 18:58:55,+0000,gen_long_ped.py,ADD,6,0,,PythonFiles\pedRefiner\2619818f\28c19fdf67f77293881879cc78ed207f85c59ffd\28c19fdf67f77293881879cc78ed207f85c59ffd_pedRefiner_2619818f_20170222_125855_after_7.py
ea5a10da3d5e5eea1ae80bb7967971546a84feab,pedRefiner,2619818f,2017-02-22 19:11:00,+0000,pedRefiner.py,UNKNOWN,0,0,,
e6d6d58e69b0ca2db9d1580d60fcec51c735ec5b,pedRefiner,2619818f,2017-02-22 19:46:42,+0000,pedRefiner.py,MODIFY,5,5,PythonFiles\pedRefiner\2619818f\e6d6d58e69b0ca2db9d1580d60fcec51c735ec5b\e6d6d58e69b0ca2db9d1580d60fcec51c735ec5b_pedRefiner_2619818f_20170222_134642_before_2.py,PythonFiles\pedRefiner\2619818f\e6d6d58e69b0ca2db9d1580d60fcec51c735ec5b\e6d6d58e69b0ca2db9d1580d60fcec51c735ec5b_pedRefiner_2619818f_20170222_134642_after_2.py
e4f340fac780a5515b59c9ab1cd51f09ed6885e9,pedRefiner,2619818f,2017-02-22 19:56:37,+0000,gen_long_ped.py,MODIFY,3,3,PythonFiles\pedRefiner\2619818f\e4f340fac780a5515b59c9ab1cd51f09ed6885e9\e4f340fac780a5515b59c9ab1cd51f09ed6885e9_pedRefiner_2619818f_20170222_135637_before_1.py,PythonFiles\pedRefiner\2619818f\e4f340fac780a5515b59c9ab1cd51f09ed6885e9\e4f340fac780a5515b59c9ab1cd51f09ed6885e9_pedRefiner_2619818f_20170222_135637_after_1.py
e1813327fd46e48e85dd82aa0351e3a1ac9fa0f1,pedRefiner,2619818f,2017-02-23 20:10:44,+0000,pedRefiner.py,MODIFY,28,1,PythonFiles\pedRefiner\2619818f\e1813327fd46e48e85dd82aa0351e3a1ac9fa0f1\e1813327fd46e48e85dd82aa0351e3a1ac9fa0f1_pedRefiner_2619818f_20170223_141044_before_2.py,PythonFiles\pedRefiner\2619818f\e1813327fd46e48e85dd82aa0351e3a1ac9fa0f1\e1813327fd46e48e85dd82aa0351e3a1ac9fa0f1_pedRefiner_2619818f_20170223_141044_after_2.py
51ac1039bedf39a4b3435a3c787d3beb03dcafc6,pedRefiner,2619818f,2017-02-24 16:59:48,+0000,pedRefiner.py,MODIFY,59,54,PythonFiles\pedRefiner\2619818f\51ac1039bedf39a4b3435a3c787d3beb03dcafc6\51ac1039bedf39a4b3435a3c787d3beb03dcafc6_pedRefiner_2619818f_20170224_105948_before_1.py,PythonFiles\pedRefiner\2619818f\51ac1039bedf39a4b3435a3c787d3beb03dcafc6\51ac1039bedf39a4b3435a3c787d3beb03dcafc6_pedRefiner_2619818f_20170224_105948_after_1.py
843234752c92a78905e0b2d9816ebc881fbfef8c,pedRefiner,2619818f,2017-02-24 17:10:55,+0000,pedRefiner.py,MODIFY,44,159,PythonFiles\pedRefiner\2619818f\843234752c92a78905e0b2d9816ebc881fbfef8c\843234752c92a78905e0b2d9816ebc881fbfef8c_pedRefiner_2619818f_20170224_111055_before_1.py,PythonFiles\pedRefiner\2619818f\843234752c92a78905e0b2d9816ebc881fbfef8c\843234752c92a78905e0b2d9816ebc881fbfef8c_pedRefiner_2619818f_20170224_111055_after_1.py
2ad257d493d887e35ad24afef035638a3f0fef24,pedRefiner,2619818f,2017-02-24 17:17:22,+0000,pedRefiner.py,MODIFY,159,44,PythonFiles\pedRefiner\2619818f\2ad257d493d887e35ad24afef035638a3f0fef24\2ad257d493d887e35ad24afef035638a3f0fef24_pedRefiner_2619818f_20170224_111722_before_1.py,PythonFiles\pedRefiner\2619818f\2ad257d493d887e35ad24afef035638a3f0fef24\2ad257d493d887e35ad24afef035638a3f0fef24_pedRefiner_2619818f_20170224_111722_after_1.py
3a8df0a37756c0da4595e43fc3a001c4cf207892,pedRefiner,2619818f,2017-02-24 17:22:35,+0000,pedRefiner_rec.py,ADD,359,0,,PythonFiles\pedRefiner\2619818f\3a8df0a37756c0da4595e43fc3a001c4cf207892\3a8df0a37756c0da4595e43fc3a001c4cf207892_pedRefiner_2619818f_20170224_112235_after_1.py
cfd39bb1fb55ffa89a00cbe500a23dabf2984ac1,pedRefiner,2619818f,2017-02-24 17:24:19,+0000,pedRefiner.py,MODIFY,2,2,PythonFiles\pedRefiner\2619818f\cfd39bb1fb55ffa89a00cbe500a23dabf2984ac1\cfd39bb1fb55ffa89a00cbe500a23dabf2984ac1_pedRefiner_2619818f_20170224_112419_before_1.py,PythonFiles\pedRefiner\2619818f\cfd39bb1fb55ffa89a00cbe500a23dabf2984ac1\cfd39bb1fb55ffa89a00cbe500a23dabf2984ac1_pedRefiner_2619818f_20170224_112419_after_1.py
e651474954b8bdf5b27c6a72cbffc6733777f7c5,pedRefiner,2619818f,2017-02-24 17:31:30,+0000,pedRefiner_rec.py,MODIFY,1,0,PythonFiles\pedRefiner\2619818f\e651474954b8bdf5b27c6a72cbffc6733777f7c5\e651474954b8bdf5b27c6a72cbffc6733777f7c5_pedRefiner_2619818f_20170224_113130_before_1.py,PythonFiles\pedRefiner\2619818f\e651474954b8bdf5b27c6a72cbffc6733777f7c5\e651474954b8bdf5b27c6a72cbffc6733777f7c5_pedRefiner_2619818f_20170224_113130_after_1.py
4a1fcebeccb4b312c4894c010261e5fbbdbf363c,pedRefiner,2619818f,2017-02-24 17:52:22,+0000,pedRefiner.py,MODIFY,3,3,PythonFiles\pedRefiner\2619818f\4a1fcebeccb4b312c4894c010261e5fbbdbf363c\4a1fcebeccb4b312c4894c010261e5fbbdbf363c_pedRefiner_2619818f_20170224_115222_before_1.py,PythonFiles\pedRefiner\2619818f\4a1fcebeccb4b312c4894c010261e5fbbdbf363c\4a1fcebeccb4b312c4894c010261e5fbbdbf363c_pedRefiner_2619818f_20170224_115222_after_1.py
4a1fcebeccb4b312c4894c010261e5fbbdbf363c,pedRefiner,2619818f,2017-02-24 17:52:22,+0000,pedRefiner_rec.py,DELETE,0,360,PythonFiles\pedRefiner\2619818f\4a1fcebeccb4b312c4894c010261e5fbbdbf363c\4a1fcebeccb4b312c4894c010261e5fbbdbf363c_pedRefiner_2619818f_20170224_115222_before_2.py,
