CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
40fe6f1238de2f3525b735d5cbbf0d23b0bcfd93,pg_temp,7788ed2d,2016-07-29 16:51:14,+0000,temp_pg_db.py,ADD,87,0,,PythonFiles\pg_temp\7788ed2d\40fe6f1238de2f3525b735d5cbbf0d23b0bcfd93\40fe6f1238de2f3525b735d5cbbf0d23b0bcfd93_pg_temp_7788ed2d_20160729_125114_after_1.py
15348ec362cc29a8f25043d7ee28119d55bb88bd,pg_temp,c6236dc2,2016-08-02 20:07:54,+0000,setup.py,ADD,44,0,,PythonFiles\pg_temp\c6236dc2\15348ec362cc29a8f25043d7ee28119d55bb88bd\15348ec362cc29a8f25043d7ee28119d55bb88bd_pg_temp_c6236dc2_20160802_130754_after_1.py
15348ec362cc29a8f25043d7ee28119d55bb88bd,pg_temp,c6236dc2,2016-08-02 20:07:54,+0000,temp_pg_db.py,MODIFY,2,0,PythonFiles\pg_temp\c6236dc2\15348ec362cc29a8f25043d7ee28119d55bb88bd\15348ec362cc29a8f25043d7ee28119d55bb88bd_pg_temp_c6236dc2_20160802_130754_before_2.py,PythonFiles\pg_temp\c6236dc2\15348ec362cc29a8f25043d7ee28119d55bb88bd\15348ec362cc29a8f25043d7ee28119d55bb88bd_pg_temp_c6236dc2_20160802_130754_after_2.py
e94851cac52cb2af9e0cc47c6eae31deac6b2c05,pg_temp,c6236dc2,2016-08-02 20:08:30,+0000,psycopg2_test.py,ADD,23,0,,PythonFiles\pg_temp\c6236dc2\e94851cac52cb2af9e0cc47c6eae31deac6b2c05\e94851cac52cb2af9e0cc47c6eae31deac6b2c05_pg_temp_c6236dc2_20160802_130830_after_1.py
7d1aae14c302ba60f436e14134e714a335ea083a,pg_temp,c6236dc2,2016-08-02 20:10:01,+0000,psycopg2_test.py,MODIFY,2,1,PythonFiles\pg_temp\c6236dc2\7d1aae14c302ba60f436e14134e714a335ea083a\7d1aae14c302ba60f436e14134e714a335ea083a_pg_temp_c6236dc2_20160802_131001_before_2.py,PythonFiles\pg_temp\c6236dc2\7d1aae14c302ba60f436e14134e714a335ea083a\7d1aae14c302ba60f436e14134e714a335ea083a_pg_temp_c6236dc2_20160802_131001_after_2.py
79cb639a4f04524cd8aaa687c7371efb4ec82ad5,pg_temp,c6236dc2,2016-08-02 20:11:52,+0000,temp_pg_db.py,MODIFY,9,5,PythonFiles\pg_temp\c6236dc2\79cb639a4f04524cd8aaa687c7371efb4ec82ad5\79cb639a4f04524cd8aaa687c7371efb4ec82ad5_pg_temp_c6236dc2_20160802_131152_before_1.py,PythonFiles\pg_temp\c6236dc2\79cb639a4f04524cd8aaa687c7371efb4ec82ad5\79cb639a4f04524cd8aaa687c7371efb4ec82ad5_pg_temp_c6236dc2_20160802_131152_after_1.py
3e5485fb6c037e46b3890304b5fae6f3e2c7662d,pg_temp,c6236dc2,2016-08-02 20:12:47,+0000,temp_pg_db.py,MODIFY,11,6,PythonFiles\pg_temp\c6236dc2\3e5485fb6c037e46b3890304b5fae6f3e2c7662d\3e5485fb6c037e46b3890304b5fae6f3e2c7662d_pg_temp_c6236dc2_20160802_131247_before_1.py,PythonFiles\pg_temp\c6236dc2\3e5485fb6c037e46b3890304b5fae6f3e2c7662d\3e5485fb6c037e46b3890304b5fae6f3e2c7662d_pg_temp_c6236dc2_20160802_131247_after_1.py
95331ea354ba20b6abfff6890c0832fdae6c12ec,pg_temp,c6236dc2,2016-08-02 20:13:53,+0000,temp_pg_db.py,MODIFY,11,3,PythonFiles\pg_temp\c6236dc2\95331ea354ba20b6abfff6890c0832fdae6c12ec\95331ea354ba20b6abfff6890c0832fdae6c12ec_pg_temp_c6236dc2_20160802_131353_before_1.py,PythonFiles\pg_temp\c6236dc2\95331ea354ba20b6abfff6890c0832fdae6c12ec\95331ea354ba20b6abfff6890c0832fdae6c12ec_pg_temp_c6236dc2_20160802_131353_after_1.py
dea25cb6c082d7f1a4199812f39513dd42dc2c20,pg_temp,c6236dc2,2016-08-02 20:48:56,+0000,temp_pg_db.py,MODIFY,4,1,PythonFiles\pg_temp\c6236dc2\dea25cb6c082d7f1a4199812f39513dd42dc2c20\dea25cb6c082d7f1a4199812f39513dd42dc2c20_pg_temp_c6236dc2_20160802_134856_before_1.py,PythonFiles\pg_temp\c6236dc2\dea25cb6c082d7f1a4199812f39513dd42dc2c20\dea25cb6c082d7f1a4199812f39513dd42dc2c20_pg_temp_c6236dc2_20160802_134856_after_1.py
c77bf750f65bef58ac6e2f285a88d92fb91d76b1,pg_temp,c6236dc2,2016-08-02 20:49:28,+0000,temp_pg_db.py,MODIFY,17,6,PythonFiles\pg_temp\c6236dc2\c77bf750f65bef58ac6e2f285a88d92fb91d76b1\c77bf750f65bef58ac6e2f285a88d92fb91d76b1_pg_temp_c6236dc2_20160802_134928_before_1.py,PythonFiles\pg_temp\c6236dc2\c77bf750f65bef58ac6e2f285a88d92fb91d76b1\c77bf750f65bef58ac6e2f285a88d92fb91d76b1_pg_temp_c6236dc2_20160802_134928_after_1.py
