CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
7a705affdfa1c1f28c57d54985007f296365c04e,piccolo,6eb5ec4b,2018-08-25 11:49:13,+0000,fields.py,ADD,0,0,,
7a705affdfa1c1f28c57d54985007f296365c04e,piccolo,6eb5ec4b,2018-08-25 11:49:13,+0000,migration.py,ADD,0,0,,
7a705affdfa1c1f28c57d54985007f296365c04e,piccolo,6eb5ec4b,2018-08-25 11:49:13,+0000,model.py,ADD,118,0,,PythonFiles\piccolo\6eb5ec4b\7a705affdfa1c1f28c57d54985007f296365c04e\7a705affdfa1c1f28c57d54985007f296365c04e_piccolo_6eb5ec4b_20180825_124913_after_3.py
7a705affdfa1c1f28c57d54985007f296365c04e,piccolo,6eb5ec4b,2018-08-25 11:49:13,+0000,setup.py,ADD,0,0,,
db8d5bd194d50595dbc6de802c95022ac793a2bc,piccolo,6eb5ec4b,2018-08-25 21:11:36,+0000,model.py,MODIFY,5,1,PythonFiles\piccolo\6eb5ec4b\db8d5bd194d50595dbc6de802c95022ac793a2bc\db8d5bd194d50595dbc6de802c95022ac793a2bc_piccolo_6eb5ec4b_20180825_221136_before_3.py,PythonFiles\piccolo\6eb5ec4b\db8d5bd194d50595dbc6de802c95022ac793a2bc\db8d5bd194d50595dbc6de802c95022ac793a2bc_piccolo_6eb5ec4b_20180825_221136_after_3.py
db8d5bd194d50595dbc6de802c95022ac793a2bc,piccolo,6eb5ec4b,2018-08-25 21:11:36,+0000,test_model.py,ADD,54,0,,PythonFiles\piccolo\6eb5ec4b\db8d5bd194d50595dbc6de802c95022ac793a2bc\db8d5bd194d50595dbc6de802c95022ac793a2bc_piccolo_6eb5ec4b_20180825_221136_after_4.py
db8d5bd194d50595dbc6de802c95022ac793a2bc,piccolo,6eb5ec4b,2018-08-25 21:11:36,+0000,setup.py,MODIFY,3,0,,PythonFiles\piccolo\6eb5ec4b\db8d5bd194d50595dbc6de802c95022ac793a2bc\db8d5bd194d50595dbc6de802c95022ac793a2bc_piccolo_6eb5ec4b_20180825_221136_after_5.py
27e94929f50c3a8d8796bbd4df48cc7bce02f6ac,piccolo,6eb5ec4b,2018-08-25 21:57:58,+0000,fields.py,MODIFY,2,0,,PythonFiles\piccolo\6eb5ec4b\27e94929f50c3a8d8796bbd4df48cc7bce02f6ac\27e94929f50c3a8d8796bbd4df48cc7bce02f6ac_piccolo_6eb5ec4b_20180825_225758_after_3.py
27e94929f50c3a8d8796bbd4df48cc7bce02f6ac,piccolo,6eb5ec4b,2018-08-25 21:57:58,+0000,model.py,MODIFY,18,54,PythonFiles\piccolo\6eb5ec4b\27e94929f50c3a8d8796bbd4df48cc7bce02f6ac\27e94929f50c3a8d8796bbd4df48cc7bce02f6ac_piccolo_6eb5ec4b_20180825_225758_before_4.py,PythonFiles\piccolo\6eb5ec4b\27e94929f50c3a8d8796bbd4df48cc7bce02f6ac\27e94929f50c3a8d8796bbd4df48cc7bce02f6ac_piccolo_6eb5ec4b_20180825_225758_after_4.py
27e94929f50c3a8d8796bbd4df48cc7bce02f6ac,piccolo,6eb5ec4b,2018-08-25 21:57:58,+0000,query.py,ADD,60,0,,PythonFiles\piccolo\6eb5ec4b\27e94929f50c3a8d8796bbd4df48cc7bce02f6ac\27e94929f50c3a8d8796bbd4df48cc7bce02f6ac_piccolo_6eb5ec4b_20180825_225758_after_5.py
