CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
42bed8956a9fd47d3e93d5e05d13a4834b6610e3,potara,783a089c,2014-06-09 07:44:17,+0000,conf.py,ADD,258,0,,PythonFiles\potara\783a089c\42bed8956a9fd47d3e93d5e05d13a4834b6610e3\42bed8956a9fd47d3e93d5e05d13a4834b6610e3_potara_783a089c_20140609_094417_after_5.py
42bed8956a9fd47d3e93d5e05d13a4834b6610e3,potara,783a089c,2014-06-09 07:44:17,+0000,__init__.py,ADD,0,0,,
42bed8956a9fd47d3e93d5e05d13a4834b6610e3,potara,783a089c,2014-06-09 07:44:17,+0000,document.py,ADD,117,0,,PythonFiles\potara\783a089c\42bed8956a9fd47d3e93d5e05d13a4834b6610e3\42bed8956a9fd47d3e93d5e05d13a4834b6610e3_potara_783a089c_20140609_094417_after_14.py
42bed8956a9fd47d3e93d5e05d13a4834b6610e3,potara,783a089c,2014-06-09 07:44:17,+0000,ilp_summary.py,ADD,299,0,,PythonFiles\potara\783a089c\42bed8956a9fd47d3e93d5e05d13a4834b6610e3\42bed8956a9fd47d3e93d5e05d13a4834b6610e3_potara_783a089c_20140609_094417_after_15.py
42bed8956a9fd47d3e93d5e05d13a4834b6610e3,potara,783a089c,2014-06-09 07:44:17,+0000,similaritymeasures.py,ADD,103,0,,PythonFiles\potara\783a089c\42bed8956a9fd47d3e93d5e05d13a4834b6610e3\42bed8956a9fd47d3e93d5e05d13a4834b6610e3_potara_783a089c_20140609_094417_after_16.py
42bed8956a9fd47d3e93d5e05d13a4834b6610e3,potara,783a089c,2014-06-09 07:44:17,+0000,summarizer.py,ADD,69,0,,PythonFiles\potara\783a089c\42bed8956a9fd47d3e93d5e05d13a4834b6610e3\42bed8956a9fd47d3e93d5e05d13a4834b6610e3_potara_783a089c_20140609_094417_after_17.py
42bed8956a9fd47d3e93d5e05d13a4834b6610e3,potara,783a089c,2014-06-09 07:44:17,+0000,setup.py,ADD,23,0,,PythonFiles\potara\783a089c\42bed8956a9fd47d3e93d5e05d13a4834b6610e3\42bed8956a9fd47d3e93d5e05d13a4834b6610e3_potara_783a089c_20140609_094417_after_19.py
42bed8956a9fd47d3e93d5e05d13a4834b6610e3,potara,783a089c,2014-06-09 07:44:17,+0000,takahe.py,ADD,1461,0,,PythonFiles\potara\783a089c\42bed8956a9fd47d3e93d5e05d13a4834b6610e3\42bed8956a9fd47d3e93d5e05d13a4834b6610e3_potara_783a089c_20140609_094417_after_22.py
42bed8956a9fd47d3e93d5e05d13a4834b6610e3,potara,783a089c,2014-06-09 07:44:17,+0000,__init__.py,ADD,0,0,,
42bed8956a9fd47d3e93d5e05d13a4834b6610e3,potara,783a089c,2014-06-09 07:44:17,+0000,test_all.py,ADD,147,0,,PythonFiles\potara\783a089c\42bed8956a9fd47d3e93d5e05d13a4834b6610e3\42bed8956a9fd47d3e93d5e05d13a4834b6610e3_potara_783a089c_20140609_094417_after_24.py
d67784f6dcc4cec71fb9d5dc7953db1cb499d210,potara,783a089c,2014-06-09 07:50:58,+0000,test_all.py,MODIFY,17,4,PythonFiles\potara\783a089c\d67784f6dcc4cec71fb9d5dc7953db1cb499d210\d67784f6dcc4cec71fb9d5dc7953db1cb499d210_potara_783a089c_20140609_095058_before_1.py,PythonFiles\potara\783a089c\d67784f6dcc4cec71fb9d5dc7953db1cb499d210\d67784f6dcc4cec71fb9d5dc7953db1cb499d210_potara_783a089c_20140609_095058_after_1.py
33b39a0b4eb3244a4fdc93bf86a2c2aec29e033c,potara,783a089c,2014-06-09 08:15:04,+0000,ilp_summary.py,DELETE,0,299,PythonFiles\potara\783a089c\33b39a0b4eb3244a4fdc93bf86a2c2aec29e033c\33b39a0b4eb3244a4fdc93bf86a2c2aec29e033c_potara_783a089c_20140609_101504_before_1.py,
6d7c81e3fc10254ac5fa1d60d4eff8646dcc0eca,potara,783a089c,2014-06-09 08:15:17,+0000,document.py,MODIFY,10,6,PythonFiles\potara\783a089c\6d7c81e3fc10254ac5fa1d60d4eff8646dcc0eca\6d7c81e3fc10254ac5fa1d60d4eff8646dcc0eca_potara_783a089c_20140609_101517_before_1.py,PythonFiles\potara\783a089c\6d7c81e3fc10254ac5fa1d60d4eff8646dcc0eca\6d7c81e3fc10254ac5fa1d60d4eff8646dcc0eca_potara_783a089c_20140609_101517_after_1.py
8fe6f97db68baadb6a1fc838d72825547f20e38d,potara,783a089c,2014-06-09 08:20:46,+0000,summarizer.py,MODIFY,2,1,PythonFiles\potara\783a089c\8fe6f97db68baadb6a1fc838d72825547f20e38d\8fe6f97db68baadb6a1fc838d72825547f20e38d_potara_783a089c_20140609_102046_before_1.py,PythonFiles\potara\783a089c\8fe6f97db68baadb6a1fc838d72825547f20e38d\8fe6f97db68baadb6a1fc838d72825547f20e38d_potara_783a089c_20140609_102046_after_1.py
425692d225057cb129a84df5ec610b07ba9c15dc,potara,783a089c,2014-06-09 08:23:17,+0000,summarizer.py,MODIFY,1,1,PythonFiles\potara\783a089c\425692d225057cb129a84df5ec610b07ba9c15dc\425692d225057cb129a84df5ec610b07ba9c15dc_potara_783a089c_20140609_102317_before_1.py,PythonFiles\potara\783a089c\425692d225057cb129a84df5ec610b07ba9c15dc\425692d225057cb129a84df5ec610b07ba9c15dc_potara_783a089c_20140609_102317_after_1.py
0eea9741b3dd9b4ec98d62a7f3b83e6f47feb9d4,potara,783a089c,2014-06-09 10:16:14,+0000,document.py,MODIFY,12,0,PythonFiles\potara\783a089c\0eea9741b3dd9b4ec98d62a7f3b83e6f47feb9d4\0eea9741b3dd9b4ec98d62a7f3b83e6f47feb9d4_potara_783a089c_20140609_121614_before_1.py,PythonFiles\potara\783a089c\0eea9741b3dd9b4ec98d62a7f3b83e6f47feb9d4\0eea9741b3dd9b4ec98d62a7f3b83e6f47feb9d4_potara_783a089c_20140609_121614_after_1.py
0eea9741b3dd9b4ec98d62a7f3b83e6f47feb9d4,potara,783a089c,2014-06-09 10:16:14,+0000,summarizer.py,MODIFY,16,4,PythonFiles\potara\783a089c\0eea9741b3dd9b4ec98d62a7f3b83e6f47feb9d4\0eea9741b3dd9b4ec98d62a7f3b83e6f47feb9d4_potara_783a089c_20140609_121614_before_2.py,PythonFiles\potara\783a089c\0eea9741b3dd9b4ec98d62a7f3b83e6f47feb9d4\0eea9741b3dd9b4ec98d62a7f3b83e6f47feb9d4_potara_783a089c_20140609_121614_after_2.py
f63f8844c7165927192fd3197f2041e062ed1c3f,potara,783a089c,2014-06-11 12:43:21,+0000,summarizer.py,MODIFY,0,1,PythonFiles\potara\783a089c\f63f8844c7165927192fd3197f2041e062ed1c3f\f63f8844c7165927192fd3197f2041e062ed1c3f_potara_783a089c_20140611_144321_before_1.py,PythonFiles\potara\783a089c\f63f8844c7165927192fd3197f2041e062ed1c3f\f63f8844c7165927192fd3197f2041e062ed1c3f_potara_783a089c_20140611_144321_after_1.py
f848759022d1c3d1f67ac68ac8cb3f5ad1b2b2a2,potara,783a089c,2014-06-11 12:50:00,+0000,document.py,MODIFY,0,1,PythonFiles\potara\783a089c\f848759022d1c3d1f67ac68ac8cb3f5ad1b2b2a2\f848759022d1c3d1f67ac68ac8cb3f5ad1b2b2a2_potara_783a089c_20140611_145000_before_1.py,PythonFiles\potara\783a089c\f848759022d1c3d1f67ac68ac8cb3f5ad1b2b2a2\f848759022d1c3d1f67ac68ac8cb3f5ad1b2b2a2_potara_783a089c_20140611_145000_after_1.py
d3224f739d2502510a9df5d42d4e8897ce323907,potara,783a089c,2014-06-11 12:57:25,+0000,summarizer.py,MODIFY,7,1,PythonFiles\potara\783a089c\d3224f739d2502510a9df5d42d4e8897ce323907\d3224f739d2502510a9df5d42d4e8897ce323907_potara_783a089c_20140611_145725_before_1.py,PythonFiles\potara\783a089c\d3224f739d2502510a9df5d42d4e8897ce323907\d3224f739d2502510a9df5d42d4e8897ce323907_potara_783a089c_20140611_145725_after_1.py
dd7242eaf83c07f762f714496bb10609c5bc1def,potara,783a089c,2014-06-11 15:42:16,+0000,summarizer.py,MODIFY,88,1,PythonFiles\potara\783a089c\dd7242eaf83c07f762f714496bb10609c5bc1def\dd7242eaf83c07f762f714496bb10609c5bc1def_potara_783a089c_20140611_174216_before_1.py,PythonFiles\potara\783a089c\dd7242eaf83c07f762f714496bb10609c5bc1def\dd7242eaf83c07f762f714496bb10609c5bc1def_potara_783a089c_20140611_174216_after_1.py
67fb3fda87eea73f4732f34d6495faf3075a70e1,potara,783a089c,2014-06-11 15:53:31,+0000,document.py,MODIFY,1,1,PythonFiles\potara\783a089c\67fb3fda87eea73f4732f34d6495faf3075a70e1\67fb3fda87eea73f4732f34d6495faf3075a70e1_potara_783a089c_20140611_175331_before_1.py,PythonFiles\potara\783a089c\67fb3fda87eea73f4732f34d6495faf3075a70e1\67fb3fda87eea73f4732f34d6495faf3075a70e1_potara_783a089c_20140611_175331_after_1.py
e39ffc8dc80034df8bcef4bf4faf33ae4b16064c,potara,783a089c,2014-06-20 07:46:00,+0000,takahe.py,DELETE,0,1461,PythonFiles\potara\783a089c\e39ffc8dc80034df8bcef4bf4faf33ae4b16064c\e39ffc8dc80034df8bcef4bf4faf33ae4b16064c_potara_783a089c_20140620_094600_before_4.py,
74e79cd7ed1ccdef0133710417ed9351d12c3cbb,potara,783a089c,2014-06-20 08:33:35,+0000,summarizer.py,MODIFY,52,13,PythonFiles\potara\783a089c\74e79cd7ed1ccdef0133710417ed9351d12c3cbb\74e79cd7ed1ccdef0133710417ed9351d12c3cbb_potara_783a089c_20140620_103335_before_1.py,PythonFiles\potara\783a089c\74e79cd7ed1ccdef0133710417ed9351d12c3cbb\74e79cd7ed1ccdef0133710417ed9351d12c3cbb_potara_783a089c_20140620_103335_after_1.py
f12706ee92feafe41d1d5de74e7f20f0c2140650,potara,783a089c,2014-06-20 08:33:54,+0000,test_all.py,MODIFY,34,0,PythonFiles\potara\783a089c\f12706ee92feafe41d1d5de74e7f20f0c2140650\f12706ee92feafe41d1d5de74e7f20f0c2140650_potara_783a089c_20140620_103354_before_1.py,PythonFiles\potara\783a089c\f12706ee92feafe41d1d5de74e7f20f0c2140650\f12706ee92feafe41d1d5de74e7f20f0c2140650_potara_783a089c_20140620_103354_after_1.py
db617ce558b4d6bb15b1260eb11235f313c0b327,potara,783a089c,2014-06-20 08:43:22,+0000,document.py,MODIFY,4,2,PythonFiles\potara\783a089c\db617ce558b4d6bb15b1260eb11235f313c0b327\db617ce558b4d6bb15b1260eb11235f313c0b327_potara_783a089c_20140620_104322_before_1.py,PythonFiles\potara\783a089c\db617ce558b4d6bb15b1260eb11235f313c0b327\db617ce558b4d6bb15b1260eb11235f313c0b327_potara_783a089c_20140620_104322_after_1.py
5a37295251a9dab0e530e0fac298df39f392bc23,potara,783a089c,2014-06-20 08:46:42,+0000,document.py,MODIFY,3,1,PythonFiles\potara\783a089c\5a37295251a9dab0e530e0fac298df39f392bc23\5a37295251a9dab0e530e0fac298df39f392bc23_potara_783a089c_20140620_104642_before_1.py,PythonFiles\potara\783a089c\5a37295251a9dab0e530e0fac298df39f392bc23\5a37295251a9dab0e530e0fac298df39f392bc23_potara_783a089c_20140620_104642_after_1.py
c0d0c37e1830c895c410f21386513ee7eb6340b5,potara,783a089c,2014-06-20 09:06:28,+0000,test_all.py,MODIFY,0,1,PythonFiles\potara\783a089c\c0d0c37e1830c895c410f21386513ee7eb6340b5\c0d0c37e1830c895c410f21386513ee7eb6340b5_potara_783a089c_20140620_110628_before_1.py,PythonFiles\potara\783a089c\c0d0c37e1830c895c410f21386513ee7eb6340b5\c0d0c37e1830c895c410f21386513ee7eb6340b5_potara_783a089c_20140620_110628_after_1.py
b59fee392d8d6df5c6e77b8f8f98f754d83151be,potara,783a089c,2014-06-20 09:36:52,+0000,takahe.py,ADD,1461,0,,PythonFiles\potara\783a089c\b59fee392d8d6df5c6e77b8f8f98f754d83151be\b59fee392d8d6df5c6e77b8f8f98f754d83151be_potara_783a089c_20140620_113652_after_1.py
48581f5f88dc41966c144aca335cf772339bbb0c,potara,783a089c,2014-06-26 12:20:03,+0000,summarizer.py,MODIFY,21,7,PythonFiles\potara\783a089c\48581f5f88dc41966c144aca335cf772339bbb0c\48581f5f88dc41966c144aca335cf772339bbb0c_potara_783a089c_20140626_142003_before_1.py,PythonFiles\potara\783a089c\48581f5f88dc41966c144aca335cf772339bbb0c\48581f5f88dc41966c144aca335cf772339bbb0c_potara_783a089c_20140626_142003_after_1.py
48581f5f88dc41966c144aca335cf772339bbb0c,potara,783a089c,2014-06-26 12:20:03,+0000,test_all.py,MODIFY,12,2,PythonFiles\potara\783a089c\48581f5f88dc41966c144aca335cf772339bbb0c\48581f5f88dc41966c144aca335cf772339bbb0c_potara_783a089c_20140626_142003_before_2.py,PythonFiles\potara\783a089c\48581f5f88dc41966c144aca335cf772339bbb0c\48581f5f88dc41966c144aca335cf772339bbb0c_potara_783a089c_20140626_142003_after_2.py
b95e1d0c643f9af04f2873690044f9bc6d93c192,potara,783a089c,2014-06-26 12:29:33,+0000,summarizer.py,MODIFY,2,0,PythonFiles\potara\783a089c\b95e1d0c643f9af04f2873690044f9bc6d93c192\b95e1d0c643f9af04f2873690044f9bc6d93c192_potara_783a089c_20140626_142933_before_1.py,PythonFiles\potara\783a089c\b95e1d0c643f9af04f2873690044f9bc6d93c192\b95e1d0c643f9af04f2873690044f9bc6d93c192_potara_783a089c_20140626_142933_after_1.py
b0c45ef8d152565dc633762c99054b7e9149887d,potara,783a089c,2014-06-26 12:36:58,+0000,test_all.py,MODIFY,18,15,PythonFiles\potara\783a089c\b0c45ef8d152565dc633762c99054b7e9149887d\b0c45ef8d152565dc633762c99054b7e9149887d_potara_783a089c_20140626_143658_before_1.py,PythonFiles\potara\783a089c\b0c45ef8d152565dc633762c99054b7e9149887d\b0c45ef8d152565dc633762c99054b7e9149887d_potara_783a089c_20140626_143658_after_1.py
db8fcb9ef2a002e32a7ec4365e8ade0b7c515d4e,potara,783a089c,2014-06-26 12:42:02,+0000,test_all.py,MODIFY,6,2,PythonFiles\potara\783a089c\db8fcb9ef2a002e32a7ec4365e8ade0b7c515d4e\db8fcb9ef2a002e32a7ec4365e8ade0b7c515d4e_potara_783a089c_20140626_144202_before_1.py,PythonFiles\potara\783a089c\db8fcb9ef2a002e32a7ec4365e8ade0b7c515d4e\db8fcb9ef2a002e32a7ec4365e8ade0b7c515d4e_potara_783a089c_20140626_144202_after_1.py
2d74d7b670fe2fa48a293a6b14539d49df532483,potara,783a089c,2014-06-26 12:58:50,+0000,test_all.py,MODIFY,2,5,PythonFiles\potara\783a089c\2d74d7b670fe2fa48a293a6b14539d49df532483\2d74d7b670fe2fa48a293a6b14539d49df532483_potara_783a089c_20140626_145850_before_1.py,PythonFiles\potara\783a089c\2d74d7b670fe2fa48a293a6b14539d49df532483\2d74d7b670fe2fa48a293a6b14539d49df532483_potara_783a089c_20140626_145850_after_1.py
61883a86e1b4347117e3d22f03cdf78751b05344,potara,783a089c,2014-06-26 13:01:31,+0000,test_all.py,MODIFY,1,1,PythonFiles\potara\783a089c\61883a86e1b4347117e3d22f03cdf78751b05344\61883a86e1b4347117e3d22f03cdf78751b05344_potara_783a089c_20140626_150131_before_1.py,PythonFiles\potara\783a089c\61883a86e1b4347117e3d22f03cdf78751b05344\61883a86e1b4347117e3d22f03cdf78751b05344_potara_783a089c_20140626_150131_after_1.py
0d31195336805e8d7b3bc2555f72414e794bb45a,potara,783a089c,2014-06-26 13:15:02,+0000,test_all.py,MODIFY,19,2,PythonFiles\potara\783a089c\0d31195336805e8d7b3bc2555f72414e794bb45a\0d31195336805e8d7b3bc2555f72414e794bb45a_potara_783a089c_20140626_151502_before_1.py,PythonFiles\potara\783a089c\0d31195336805e8d7b3bc2555f72414e794bb45a\0d31195336805e8d7b3bc2555f72414e794bb45a_potara_783a089c_20140626_151502_after_1.py
b3606f0418f25ed632a9f7bfc65f0d165d34f2dc,potara,783a089c,2014-06-26 13:19:26,+0000,similaritymeasures.py,MODIFY,0,6,PythonFiles\potara\783a089c\b3606f0418f25ed632a9f7bfc65f0d165d34f2dc\b3606f0418f25ed632a9f7bfc65f0d165d34f2dc_potara_783a089c_20140626_151926_before_1.py,PythonFiles\potara\783a089c\b3606f0418f25ed632a9f7bfc65f0d165d34f2dc\b3606f0418f25ed632a9f7bfc65f0d165d34f2dc_potara_783a089c_20140626_151926_after_1.py
c53cc6e0a5bcbb147f7c4539382b1ac415d18917,potara,783a089c,2014-07-11 06:56:39,+0000,test_all.py,MODIFY,7,0,PythonFiles\potara\783a089c\c53cc6e0a5bcbb147f7c4539382b1ac415d18917\c53cc6e0a5bcbb147f7c4539382b1ac415d18917_potara_783a089c_20140711_085639_before_1.py,PythonFiles\potara\783a089c\c53cc6e0a5bcbb147f7c4539382b1ac415d18917\c53cc6e0a5bcbb147f7c4539382b1ac415d18917_potara_783a089c_20140711_085639_after_1.py
3b9473269e2a50f61940f6c64abdd1898e850ae6,potara,783a089c,2014-07-11 12:28:58,+0000,document.py,MODIFY,0,11,PythonFiles\potara\783a089c\3b9473269e2a50f61940f6c64abdd1898e850ae6\3b9473269e2a50f61940f6c64abdd1898e850ae6_potara_783a089c_20140711_142858_before_1.py,PythonFiles\potara\783a089c\3b9473269e2a50f61940f6c64abdd1898e850ae6\3b9473269e2a50f61940f6c64abdd1898e850ae6_potara_783a089c_20140711_142858_after_1.py
