CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
1f6bd750fcd7c7437530fb83b5a9932afea73910,puni,9e891bbe,2015-02-02 03:15:57,+0000,puni.py,ADD,178,0,,PythonFiles\puni\9e891bbe\1f6bd750fcd7c7437530fb83b5a9932afea73910\1f6bd750fcd7c7437530fb83b5a9932afea73910_puni_9e891bbe_20150201_221557_after_1.py
5048d7282fd44dee1b10ccc462a0838d0479e9c0,puni,9e891bbe,2015-02-04 01:50:13,+0000,puni.py,MODIFY,2,2,PythonFiles\puni\9e891bbe\5048d7282fd44dee1b10ccc462a0838d0479e9c0\5048d7282fd44dee1b10ccc462a0838d0479e9c0_puni_9e891bbe_20150203_205013_before_1.py,PythonFiles\puni\9e891bbe\5048d7282fd44dee1b10ccc462a0838d0479e9c0\5048d7282fd44dee1b10ccc462a0838d0479e9c0_puni_9e891bbe_20150203_205013_after_1.py
f869a1a165284dec5721f0d792ece0f28d50801c,puni,9e891bbe,2015-02-06 00:28:25,+0000,puni.py,MODIFY,1,1,PythonFiles\puni\9e891bbe\f869a1a165284dec5721f0d792ece0f28d50801c\f869a1a165284dec5721f0d792ece0f28d50801c_puni_9e891bbe_20150205_192825_before_1.py,PythonFiles\puni\9e891bbe\f869a1a165284dec5721f0d792ece0f28d50801c\f869a1a165284dec5721f0d792ece0f28d50801c_puni_9e891bbe_20150205_192825_after_1.py
f92b3ba49eb7454b0c480987a306fcb14e16ed0a,puni,9e891bbe,2015-02-06 03:47:06,+0000,puni.py,MODIFY,44,6,PythonFiles\puni\9e891bbe\f92b3ba49eb7454b0c480987a306fcb14e16ed0a\f92b3ba49eb7454b0c480987a306fcb14e16ed0a_puni_9e891bbe_20150205_224706_before_1.py,PythonFiles\puni\9e891bbe\f92b3ba49eb7454b0c480987a306fcb14e16ed0a\f92b3ba49eb7454b0c480987a306fcb14e16ed0a_puni_9e891bbe_20150205_224706_after_1.py
7c04bc244cb8f6e56508dd1493ee2f84ff26e1c4,puni,9e891bbe,2015-02-06 03:47:36,+0000,puni.py,MODIFY,0,3,PythonFiles\puni\9e891bbe\7c04bc244cb8f6e56508dd1493ee2f84ff26e1c4\7c04bc244cb8f6e56508dd1493ee2f84ff26e1c4_puni_9e891bbe_20150205_224736_before_1.py,PythonFiles\puni\9e891bbe\7c04bc244cb8f6e56508dd1493ee2f84ff26e1c4\7c04bc244cb8f6e56508dd1493ee2f84ff26e1c4_puni_9e891bbe_20150205_224736_after_1.py
75e5481f441563ba856b7fd398c3272b3abca2fa,puni,9e891bbe,2015-04-18 04:52:37,+0000,puni.py,MODIFY,16,17,PythonFiles\puni\9e891bbe\75e5481f441563ba856b7fd398c3272b3abca2fa\75e5481f441563ba856b7fd398c3272b3abca2fa_puni_9e891bbe_20150418_005237_before_1.py,PythonFiles\puni\9e891bbe\75e5481f441563ba856b7fd398c3272b3abca2fa\75e5481f441563ba856b7fd398c3272b3abca2fa_puni_9e891bbe_20150418_005237_after_1.py
3478454cbb6a55dfdae14914fb373f504efadfc0,puni,9e891bbe,2015-04-18 04:53:00,+0000,puniExceptions.py,ADD,11,0,,PythonFiles\puni\9e891bbe\3478454cbb6a55dfdae14914fb373f504efadfc0\3478454cbb6a55dfdae14914fb373f504efadfc0_puni_9e891bbe_20150418_005300_after_1.py
cbd98404b4d7be73bd72f1422d2b336f0c30e8c3,puni,9e891bbe,2015-05-28 04:38:04,+0000,puni.py,MODIFY,3,3,PythonFiles\puni\9e891bbe\cbd98404b4d7be73bd72f1422d2b336f0c30e8c3\cbd98404b4d7be73bd72f1422d2b336f0c30e8c3_puni_9e891bbe_20150528_003804_before_1.py,PythonFiles\puni\9e891bbe\cbd98404b4d7be73bd72f1422d2b336f0c30e8c3\cbd98404b4d7be73bd72f1422d2b336f0c30e8c3_puni_9e891bbe_20150528_003804_after_1.py
84b3ea73a3a4aefcb3ae27e839385de6415e2855,puni,52487ccd,2015-07-10 21:49:31,+0000,puni.py,MODIFY,2,2,PythonFiles\puni\52487ccd\84b3ea73a3a4aefcb3ae27e839385de6415e2855\84b3ea73a3a4aefcb3ae27e839385de6415e2855_puni_52487ccd_20150710_174931_before_1.py,PythonFiles\puni\52487ccd\84b3ea73a3a4aefcb3ae27e839385de6415e2855\84b3ea73a3a4aefcb3ae27e839385de6415e2855_puni_52487ccd_20150710_174931_after_1.py
6777517d7314e8dca27ebfa7988d1bf0c7ccb470,puni,52487ccd,2015-07-14 17:00:11,+0000,puni.py,MODIFY,6,7,PythonFiles\puni\52487ccd\6777517d7314e8dca27ebfa7988d1bf0c7ccb470\6777517d7314e8dca27ebfa7988d1bf0c7ccb470_puni_52487ccd_20150714_130011_before_1.py,PythonFiles\puni\52487ccd\6777517d7314e8dca27ebfa7988d1bf0c7ccb470\6777517d7314e8dca27ebfa7988d1bf0c7ccb470_puni_52487ccd_20150714_130011_after_1.py
47444ca7e447f915587d0e8d095292a604988d7d,puni,52487ccd,2015-07-14 17:08:24,+0000,puni.py,MODIFY,7,3,PythonFiles\puni\52487ccd\47444ca7e447f915587d0e8d095292a604988d7d\47444ca7e447f915587d0e8d095292a604988d7d_puni_52487ccd_20150714_130824_before_1.py,PythonFiles\puni\52487ccd\47444ca7e447f915587d0e8d095292a604988d7d\47444ca7e447f915587d0e8d095292a604988d7d_puni_52487ccd_20150714_130824_after_1.py
7f4f30d45518d5108cd22f4f287607b6c03a1860,puni,52487ccd,2015-08-27 20:48:33,+0000,puni.py,MODIFY,1,1,PythonFiles\puni\52487ccd\7f4f30d45518d5108cd22f4f287607b6c03a1860\7f4f30d45518d5108cd22f4f287607b6c03a1860_puni_52487ccd_20150827_164833_before_1.py,PythonFiles\puni\52487ccd\7f4f30d45518d5108cd22f4f287607b6c03a1860\7f4f30d45518d5108cd22f4f287607b6c03a1860_puni_52487ccd_20150827_164833_after_1.py
99d02ec392c33a23513314641ea9f5f8bc17b3e3,puni,52487ccd,2016-03-24 22:25:19,+0000,puni.py,DELETE,0,215,PythonFiles\puni\52487ccd\99d02ec392c33a23513314641ea9f5f8bc17b3e3\99d02ec392c33a23513314641ea9f5f8bc17b3e3_puni_52487ccd_20160324_182519_before_3.py,
99d02ec392c33a23513314641ea9f5f8bc17b3e3,puni,52487ccd,2016-03-24 22:25:19,+0000,__init__.py,ADD,2,0,,PythonFiles\puni\52487ccd\99d02ec392c33a23513314641ea9f5f8bc17b3e3\99d02ec392c33a23513314641ea9f5f8bc17b3e3_puni_52487ccd_20160324_182519_after_4.py
99d02ec392c33a23513314641ea9f5f8bc17b3e3,puni,52487ccd,2016-03-24 22:25:19,+0000,puni.py,ADD,287,0,,PythonFiles\puni\52487ccd\99d02ec392c33a23513314641ea9f5f8bc17b3e3\99d02ec392c33a23513314641ea9f5f8bc17b3e3_puni_52487ccd_20160324_182519_after_5.py
99d02ec392c33a23513314641ea9f5f8bc17b3e3,puni,52487ccd,2016-03-24 22:25:19,+0000,puniExceptions.py,RENAME,0,0,,
99d02ec392c33a23513314641ea9f5f8bc17b3e3,puni,52487ccd,2016-03-24 22:25:19,+0000,setup.py,ADD,10,0,,PythonFiles\puni\52487ccd\99d02ec392c33a23513314641ea9f5f8bc17b3e3\99d02ec392c33a23513314641ea9f5f8bc17b3e3_puni_52487ccd_20160324_182519_after_7.py
79ec3fb9fdd991f9ce6287a1ba577ce8617747ad,puni,52487ccd,2016-03-24 22:42:13,+0000,setup.py,MODIFY,10,1,PythonFiles\puni\52487ccd\79ec3fb9fdd991f9ce6287a1ba577ce8617747ad\79ec3fb9fdd991f9ce6287a1ba577ce8617747ad_puni_52487ccd_20160324_184213_before_2.py,PythonFiles\puni\52487ccd\79ec3fb9fdd991f9ce6287a1ba577ce8617747ad\79ec3fb9fdd991f9ce6287a1ba577ce8617747ad_puni_52487ccd_20160324_184213_after_2.py
25d48bb4fe6da395b419805f6ac88bd4e3d1a224,puni,52487ccd,2016-03-25 01:21:15,+0000,puni.py,MODIFY,146,8,PythonFiles\puni\52487ccd\25d48bb4fe6da395b419805f6ac88bd4e3d1a224\25d48bb4fe6da395b419805f6ac88bd4e3d1a224_puni_52487ccd_20160324_212115_before_1.py,PythonFiles\puni\52487ccd\25d48bb4fe6da395b419805f6ac88bd4e3d1a224\25d48bb4fe6da395b419805f6ac88bd4e3d1a224_puni_52487ccd_20160324_212115_after_1.py
d7a34e28d6370432a2b1aa88c291fb368ced104d,puni,52487ccd,2016-03-25 01:26:09,+0000,puni.py,MODIFY,1,1,PythonFiles\puni\52487ccd\d7a34e28d6370432a2b1aa88c291fb368ced104d\d7a34e28d6370432a2b1aa88c291fb368ced104d_puni_52487ccd_20160324_212609_before_1.py,PythonFiles\puni\52487ccd\d7a34e28d6370432a2b1aa88c291fb368ced104d\d7a34e28d6370432a2b1aa88c291fb368ced104d_puni_52487ccd_20160324_212609_after_1.py
727a3e30138cedfec1e7e967e9be2de5733f31ce,puni,52487ccd,2016-03-28 14:40:34,+0000,setup.py,MODIFY,1,1,PythonFiles\puni\52487ccd\727a3e30138cedfec1e7e967e9be2de5733f31ce\727a3e30138cedfec1e7e967e9be2de5733f31ce_puni_52487ccd_20160328_104034_before_2.py,PythonFiles\puni\52487ccd\727a3e30138cedfec1e7e967e9be2de5733f31ce\727a3e30138cedfec1e7e967e9be2de5733f31ce_puni_52487ccd_20160328_104034_after_2.py
96b1ade0fc5378771c883d9be57b05adf2beb171,puni,52487ccd,2016-03-28 14:58:10,+0000,puni.py,MODIFY,8,4,PythonFiles\puni\52487ccd\96b1ade0fc5378771c883d9be57b05adf2beb171\96b1ade0fc5378771c883d9be57b05adf2beb171_puni_52487ccd_20160328_105810_before_1.py,PythonFiles\puni\52487ccd\96b1ade0fc5378771c883d9be57b05adf2beb171\96b1ade0fc5378771c883d9be57b05adf2beb171_puni_52487ccd_20160328_105810_after_1.py
