CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
937e12487355a8d5ae077224fd98411ff149ed30,py-mcpe-stats,bb8242d8,2016-12-29 03:09:43,+0000,Query.py,ADD,67,0,,PythonFiles\py-mcpe-stats\bb8242d8\937e12487355a8d5ae077224fd98411ff149ed30\937e12487355a8d5ae077224fd98411ff149ed30_py-mcpe-stats_bb8242d8_20161228_190943_after_2.py
937e12487355a8d5ae077224fd98411ff149ed30,py-mcpe-stats,bb8242d8,2016-12-29 03:09:43,+0000,ServerData.py,ADD,13,0,,PythonFiles\py-mcpe-stats\bb8242d8\937e12487355a8d5ae077224fd98411ff149ed30\937e12487355a8d5ae077224fd98411ff149ed30_py-mcpe-stats_bb8242d8_20161228_190943_after_3.py
937e12487355a8d5ae077224fd98411ff149ed30,py-mcpe-stats,bb8242d8,2016-12-29 03:09:43,+0000,main.py,ADD,21,0,,PythonFiles\py-mcpe-stats\bb8242d8\937e12487355a8d5ae077224fd98411ff149ed30\937e12487355a8d5ae077224fd98411ff149ed30_py-mcpe-stats_bb8242d8_20161228_190943_after_4.py
937e12487355a8d5ae077224fd98411ff149ed30,py-mcpe-stats,bb8242d8,2016-12-29 03:09:43,+0000,RakLib.py,ADD,37,0,,PythonFiles\py-mcpe-stats\bb8242d8\937e12487355a8d5ae077224fd98411ff149ed30\937e12487355a8d5ae077224fd98411ff149ed30_py-mcpe-stats_bb8242d8_20161228_190943_after_5.py
937e12487355a8d5ae077224fd98411ff149ed30,py-mcpe-stats,bb8242d8,2016-12-29 03:09:43,+0000,Packet.py,ADD,48,0,,PythonFiles\py-mcpe-stats\bb8242d8\937e12487355a8d5ae077224fd98411ff149ed30\937e12487355a8d5ae077224fd98411ff149ed30_py-mcpe-stats_bb8242d8_20161228_190943_after_6.py
937e12487355a8d5ae077224fd98411ff149ed30,py-mcpe-stats,bb8242d8,2016-12-29 03:09:43,+0000,UNCONNECTED_PING.py,ADD,17,0,,PythonFiles\py-mcpe-stats\bb8242d8\937e12487355a8d5ae077224fd98411ff149ed30\937e12487355a8d5ae077224fd98411ff149ed30_py-mcpe-stats_bb8242d8_20161228_190943_after_7.py
937e12487355a8d5ae077224fd98411ff149ed30,py-mcpe-stats,bb8242d8,2016-12-29 03:09:43,+0000,UNCONNECTED_PONG.py,ADD,24,0,,PythonFiles\py-mcpe-stats\bb8242d8\937e12487355a8d5ae077224fd98411ff149ed30\937e12487355a8d5ae077224fd98411ff149ed30_py-mcpe-stats_bb8242d8_20161228_190943_after_8.py
ed386edf3bf473528ecc4bf67e85eda609eb9a8d,py-mcpe-stats,bb8242d8,2016-12-29 18:33:48,+0000,Query.py,MODIFY,12,6,PythonFiles\py-mcpe-stats\bb8242d8\ed386edf3bf473528ecc4bf67e85eda609eb9a8d\ed386edf3bf473528ecc4bf67e85eda609eb9a8d_py-mcpe-stats_bb8242d8_20161229_103348_before_1.py,PythonFiles\py-mcpe-stats\bb8242d8\ed386edf3bf473528ecc4bf67e85eda609eb9a8d\ed386edf3bf473528ecc4bf67e85eda609eb9a8d_py-mcpe-stats_bb8242d8_20161229_103348_after_1.py
ed386edf3bf473528ecc4bf67e85eda609eb9a8d,py-mcpe-stats,bb8242d8,2016-12-29 18:33:48,+0000,ServerData.py,MODIFY,6,0,PythonFiles\py-mcpe-stats\bb8242d8\ed386edf3bf473528ecc4bf67e85eda609eb9a8d\ed386edf3bf473528ecc4bf67e85eda609eb9a8d_py-mcpe-stats_bb8242d8_20161229_103348_before_2.py,PythonFiles\py-mcpe-stats\bb8242d8\ed386edf3bf473528ecc4bf67e85eda609eb9a8d\ed386edf3bf473528ecc4bf67e85eda609eb9a8d_py-mcpe-stats_bb8242d8_20161229_103348_after_2.py
ed386edf3bf473528ecc4bf67e85eda609eb9a8d,py-mcpe-stats,bb8242d8,2016-12-29 18:33:48,+0000,main.py,MODIFY,8,1,PythonFiles\py-mcpe-stats\bb8242d8\ed386edf3bf473528ecc4bf67e85eda609eb9a8d\ed386edf3bf473528ecc4bf67e85eda609eb9a8d_py-mcpe-stats_bb8242d8_20161229_103348_before_3.py,PythonFiles\py-mcpe-stats\bb8242d8\ed386edf3bf473528ecc4bf67e85eda609eb9a8d\ed386edf3bf473528ecc4bf67e85eda609eb9a8d_py-mcpe-stats_bb8242d8_20161229_103348_after_3.py
