CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
751c720fb098ab5232a736f61ca76dd6e3e7b11f,py-paginator,cc427318,2018-08-16 15:30:08,+0000,py_paginator.py,ADD,129,0,,PythonFiles\py-paginator\cc427318\751c720fb098ab5232a736f61ca76dd6e3e7b11f\751c720fb098ab5232a736f61ca76dd6e3e7b11f_py-paginator_cc427318_20180816_210008_after_3.py
751c720fb098ab5232a736f61ca76dd6e3e7b11f,py-paginator,cc427318,2018-08-16 15:30:08,+0000,setup.py,ADD,28,0,,PythonFiles\py-paginator\cc427318\751c720fb098ab5232a736f61ca76dd6e3e7b11f\751c720fb098ab5232a736f61ca76dd6e3e7b11f_py-paginator_cc427318_20180816_210008_after_4.py
c2ba0c2aafa698f30a32deffd51e84fe32b27976,py-paginator,cc427318,2018-08-17 09:52:45,+0000,py_paginator.py,MODIFY,63,28,PythonFiles\py-paginator\cc427318\c2ba0c2aafa698f30a32deffd51e84fe32b27976\c2ba0c2aafa698f30a32deffd51e84fe32b27976_py-paginator_cc427318_20180817_152245_before_2.py,PythonFiles\py-paginator\cc427318\c2ba0c2aafa698f30a32deffd51e84fe32b27976\c2ba0c2aafa698f30a32deffd51e84fe32b27976_py-paginator_cc427318_20180817_152245_after_2.py
c2ba0c2aafa698f30a32deffd51e84fe32b27976,py-paginator,cc427318,2018-08-17 09:52:45,+0000,setup.py,MODIFY,7,1,PythonFiles\py-paginator\cc427318\c2ba0c2aafa698f30a32deffd51e84fe32b27976\c2ba0c2aafa698f30a32deffd51e84fe32b27976_py-paginator_cc427318_20180817_152245_before_3.py,PythonFiles\py-paginator\cc427318\c2ba0c2aafa698f30a32deffd51e84fe32b27976\c2ba0c2aafa698f30a32deffd51e84fe32b27976_py-paginator_cc427318_20180817_152245_after_3.py
c2ba0c2aafa698f30a32deffd51e84fe32b27976,py-paginator,cc427318,2018-08-17 09:52:45,+0000,tests.py,ADD,22,0,,PythonFiles\py-paginator\cc427318\c2ba0c2aafa698f30a32deffd51e84fe32b27976\c2ba0c2aafa698f30a32deffd51e84fe32b27976_py-paginator_cc427318_20180817_152245_after_4.py
cfa1f1b0d7332a161a20ac137b12ed7adf15d414,py-paginator,cc427318,2018-08-17 12:46:12,+0000,py_paginator.py,MODIFY,2,2,PythonFiles\py-paginator\cc427318\cfa1f1b0d7332a161a20ac137b12ed7adf15d414\cfa1f1b0d7332a161a20ac137b12ed7adf15d414_py-paginator_cc427318_20180817_181612_before_1.py,PythonFiles\py-paginator\cc427318\cfa1f1b0d7332a161a20ac137b12ed7adf15d414\cfa1f1b0d7332a161a20ac137b12ed7adf15d414_py-paginator_cc427318_20180817_181612_after_1.py
cfa1f1b0d7332a161a20ac137b12ed7adf15d414,py-paginator,cc427318,2018-08-17 12:46:12,+0000,setup.py,MODIFY,6,0,PythonFiles\py-paginator\cc427318\cfa1f1b0d7332a161a20ac137b12ed7adf15d414\cfa1f1b0d7332a161a20ac137b12ed7adf15d414_py-paginator_cc427318_20180817_181612_before_3.py,PythonFiles\py-paginator\cc427318\cfa1f1b0d7332a161a20ac137b12ed7adf15d414\cfa1f1b0d7332a161a20ac137b12ed7adf15d414_py-paginator_cc427318_20180817_181612_after_3.py
cfa1f1b0d7332a161a20ac137b12ed7adf15d414,py-paginator,cc427318,2018-08-17 12:46:12,+0000,test_paginator.py,ADD,77,0,,PythonFiles\py-paginator\cc427318\cfa1f1b0d7332a161a20ac137b12ed7adf15d414\cfa1f1b0d7332a161a20ac137b12ed7adf15d414_py-paginator_cc427318_20180817_181612_after_4.py
cfa1f1b0d7332a161a20ac137b12ed7adf15d414,py-paginator,cc427318,2018-08-17 12:46:12,+0000,tests.py,DELETE,0,22,PythonFiles\py-paginator\cc427318\cfa1f1b0d7332a161a20ac137b12ed7adf15d414\cfa1f1b0d7332a161a20ac137b12ed7adf15d414_py-paginator_cc427318_20180817_181612_before_5.py,
ca20a32ba8e95bde6632c6fe219ef782da5df99f,py-paginator,cc427318,2018-08-17 13:56:19,+0000,py_paginator.py,MODIFY,0,1,PythonFiles\py-paginator\cc427318\ca20a32ba8e95bde6632c6fe219ef782da5df99f\ca20a32ba8e95bde6632c6fe219ef782da5df99f_py-paginator_cc427318_20180817_192619_before_1.py,PythonFiles\py-paginator\cc427318\ca20a32ba8e95bde6632c6fe219ef782da5df99f\ca20a32ba8e95bde6632c6fe219ef782da5df99f_py-paginator_cc427318_20180817_192619_after_1.py
