CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
792a3a5a1028123e663fb12f78a938c6df36bddd,py3seq,dbf46207,2018-11-18 00:33:41,+0000,__init__.py,ADD,8,0,,PythonFiles\py3seq\dbf46207\792a3a5a1028123e663fb12f78a938c6df36bddd\792a3a5a1028123e663fb12f78a938c6df36bddd_py3seq_dbf46207_20181118_003341_after_5.py
792a3a5a1028123e663fb12f78a938c6df36bddd,py3seq,dbf46207,2018-11-18 00:33:41,+0000,analysis.py,ADD,212,0,,PythonFiles\py3seq\dbf46207\792a3a5a1028123e663fb12f78a938c6df36bddd\792a3a5a1028123e663fb12f78a938c6df36bddd_py3seq_dbf46207_20181118_003341_after_6.py
792a3a5a1028123e663fb12f78a938c6df36bddd,py3seq,dbf46207,2018-11-18 00:33:41,+0000,setup.py,ADD,52,0,,PythonFiles\py3seq\dbf46207\792a3a5a1028123e663fb12f78a938c6df36bddd\792a3a5a1028123e663fb12f78a938c6df36bddd_py3seq_dbf46207_20181118_003341_after_8.py
792a3a5a1028123e663fb12f78a938c6df36bddd,py3seq,dbf46207,2018-11-18 00:33:41,+0000,__init__.py,ADD,0,0,,
792a3a5a1028123e663fb12f78a938c6df36bddd,py3seq,dbf46207,2018-11-18 00:33:41,+0000,mocking.py,ADD,126,0,,PythonFiles\py3seq\dbf46207\792a3a5a1028123e663fb12f78a938c6df36bddd\792a3a5a1028123e663fb12f78a938c6df36bddd_py3seq_dbf46207_20181118_003341_after_10.py
792a3a5a1028123e663fb12f78a938c6df36bddd,py3seq,dbf46207,2018-11-18 00:33:41,+0000,test_analysis.py,ADD,431,0,,PythonFiles\py3seq\dbf46207\792a3a5a1028123e663fb12f78a938c6df36bddd\792a3a5a1028123e663fb12f78a938c6df36bddd_py3seq_dbf46207_20181118_003341_after_11.py
2606cdc42c305eef99dcf7edac11d27dce13b10a,py3seq,dbf46207,2018-11-18 00:46:32,+0000,__init__.py,MODIFY,1,1,PythonFiles\py3seq\dbf46207\2606cdc42c305eef99dcf7edac11d27dce13b10a\2606cdc42c305eef99dcf7edac11d27dce13b10a_py3seq_dbf46207_20181118_004632_before_4.py,PythonFiles\py3seq\dbf46207\2606cdc42c305eef99dcf7edac11d27dce13b10a\2606cdc42c305eef99dcf7edac11d27dce13b10a_py3seq_dbf46207_20181118_004632_after_4.py
8364738d62b25617c330fb886fb96e9d22d34243,py3seq,dbf46207,2018-11-18 01:05:25,+0000,analysis.py,MODIFY,6,2,PythonFiles\py3seq\dbf46207\8364738d62b25617c330fb886fb96e9d22d34243\8364738d62b25617c330fb886fb96e9d22d34243_py3seq_dbf46207_20181118_010525_before_3.py,PythonFiles\py3seq\dbf46207\8364738d62b25617c330fb886fb96e9d22d34243\8364738d62b25617c330fb886fb96e9d22d34243_py3seq_dbf46207_20181118_010525_after_3.py
445071965fb2dda72c1caab6e5488fe170dc5fd5,py3seq,dbf46207,2018-11-18 01:13:14,+0000,__init__.py,MODIFY,1,1,PythonFiles\py3seq\dbf46207\445071965fb2dda72c1caab6e5488fe170dc5fd5\445071965fb2dda72c1caab6e5488fe170dc5fd5_py3seq_dbf46207_20181118_011314_before_2.py,PythonFiles\py3seq\dbf46207\445071965fb2dda72c1caab6e5488fe170dc5fd5\445071965fb2dda72c1caab6e5488fe170dc5fd5_py3seq_dbf46207_20181118_011314_after_2.py
84828774a5e1dbc08994a4510775379787ffb4b7,py3seq,dbf46207,2018-11-18 15:07:34,+0000,__init__.py,MODIFY,1,1,PythonFiles\py3seq\dbf46207\84828774a5e1dbc08994a4510775379787ffb4b7\84828774a5e1dbc08994a4510775379787ffb4b7_py3seq_dbf46207_20181118_150734_before_4.py,PythonFiles\py3seq\dbf46207\84828774a5e1dbc08994a4510775379787ffb4b7\84828774a5e1dbc08994a4510775379787ffb4b7_py3seq_dbf46207_20181118_150734_after_4.py
84828774a5e1dbc08994a4510775379787ffb4b7,py3seq,dbf46207,2018-11-18 15:07:34,+0000,analysis.py,MODIFY,8,15,PythonFiles\py3seq\dbf46207\84828774a5e1dbc08994a4510775379787ffb4b7\84828774a5e1dbc08994a4510775379787ffb4b7_py3seq_dbf46207_20181118_150734_before_5.py,PythonFiles\py3seq\dbf46207\84828774a5e1dbc08994a4510775379787ffb4b7\84828774a5e1dbc08994a4510775379787ffb4b7_py3seq_dbf46207_20181118_150734_after_5.py
84828774a5e1dbc08994a4510775379787ffb4b7,py3seq,dbf46207,2018-11-18 15:07:34,+0000,test_analysis.py,MODIFY,22,1,PythonFiles\py3seq\dbf46207\84828774a5e1dbc08994a4510775379787ffb4b7\84828774a5e1dbc08994a4510775379787ffb4b7_py3seq_dbf46207_20181118_150734_before_6.py,PythonFiles\py3seq\dbf46207\84828774a5e1dbc08994a4510775379787ffb4b7\84828774a5e1dbc08994a4510775379787ffb4b7_py3seq_dbf46207_20181118_150734_after_6.py
ce5106f3f61d5ad30a7dbe3dd7e8ab4d35ea746a,py3seq,dbf46207,2018-11-18 16:27:14,+0000,__init__.py,MODIFY,1,1,PythonFiles\py3seq\dbf46207\ce5106f3f61d5ad30a7dbe3dd7e8ab4d35ea746a\ce5106f3f61d5ad30a7dbe3dd7e8ab4d35ea746a_py3seq_dbf46207_20181118_162714_before_3.py,PythonFiles\py3seq\dbf46207\ce5106f3f61d5ad30a7dbe3dd7e8ab4d35ea746a\ce5106f3f61d5ad30a7dbe3dd7e8ab4d35ea746a_py3seq_dbf46207_20181118_162714_after_3.py
bc637b0ee2ea027e46d52040dc0f23aef07b2e4f,py3seq,dbf46207,2018-11-23 15:01:51,+0000,__init__.py,MODIFY,1,1,PythonFiles\py3seq\dbf46207\bc637b0ee2ea027e46d52040dc0f23aef07b2e4f\bc637b0ee2ea027e46d52040dc0f23aef07b2e4f_py3seq_dbf46207_20181123_160151_before_3.py,PythonFiles\py3seq\dbf46207\bc637b0ee2ea027e46d52040dc0f23aef07b2e4f\bc637b0ee2ea027e46d52040dc0f23aef07b2e4f_py3seq_dbf46207_20181123_160151_after_3.py
0dc6fcb9aa2b25bcbc44a369a18f62b61e377f02,py3seq,42551e8e,2018-12-13 13:15:55,+0000,analysis.py,MODIFY,6,3,PythonFiles\py3seq\42551e8e\0dc6fcb9aa2b25bcbc44a369a18f62b61e377f02\0dc6fcb9aa2b25bcbc44a369a18f62b61e377f02_py3seq_42551e8e_20181213_141555_before_2.py,PythonFiles\py3seq\42551e8e\0dc6fcb9aa2b25bcbc44a369a18f62b61e377f02\0dc6fcb9aa2b25bcbc44a369a18f62b61e377f02_py3seq_42551e8e_20181213_141555_after_2.py
