CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
12a520f31fb5bbf548ab2ca521b38120b3c52d6f,pyPasswordGenerator,c32fed2d,2015-12-23 01:39:11,+0000,generadorPass.py,ADD,27,0,,PythonFiles\pyPasswordGenerator\c32fed2d\12a520f31fb5bbf548ab2ca521b38120b3c52d6f\12a520f31fb5bbf548ab2ca521b38120b3c52d6f_pyPasswordGenerator_c32fed2d_20151223_023911_after_1.py
5f3fb191c4240d210b2993cdc428afaea31789f7,pyPasswordGenerator,466c8567,2015-12-24 16:50:18,+0000,passwordGenerator.py,ADD,32,0,,PythonFiles\pyPasswordGenerator\466c8567\5f3fb191c4240d210b2993cdc428afaea31789f7\5f3fb191c4240d210b2993cdc428afaea31789f7_pyPasswordGenerator_466c8567_20151224_175018_after_1.py
6ad1e2ce6084a1f283eae8909baf94cb39e3b0a5,pyPasswordGenerator,466c8567,2015-12-24 16:58:25,+0000,generadorPass.py,DELETE,0,27,PythonFiles\pyPasswordGenerator\466c8567\6ad1e2ce6084a1f283eae8909baf94cb39e3b0a5\6ad1e2ce6084a1f283eae8909baf94cb39e3b0a5_pyPasswordGenerator_466c8567_20151224_175825_before_1.py,
a01dcf71806d0b9c8c14b07ea96069259ef5618c,pyPasswordGenerator,466c8567,2015-12-24 19:34:19,+0000,passwordGenerator.py,MODIFY,8,6,PythonFiles\pyPasswordGenerator\466c8567\a01dcf71806d0b9c8c14b07ea96069259ef5618c\a01dcf71806d0b9c8c14b07ea96069259ef5618c_pyPasswordGenerator_466c8567_20151224_203419_before_1.py,PythonFiles\pyPasswordGenerator\466c8567\a01dcf71806d0b9c8c14b07ea96069259ef5618c\a01dcf71806d0b9c8c14b07ea96069259ef5618c_pyPasswordGenerator_466c8567_20151224_203419_after_1.py
89a03c2bc4083dbc84081e13e4fda6e2574f711d,pyPasswordGenerator,466c8567,2015-12-25 00:25:31,+0000,passwordGenerator.py,MODIFY,1,1,PythonFiles\pyPasswordGenerator\466c8567\89a03c2bc4083dbc84081e13e4fda6e2574f711d\89a03c2bc4083dbc84081e13e4fda6e2574f711d_pyPasswordGenerator_466c8567_20151225_012531_before_1.py,PythonFiles\pyPasswordGenerator\466c8567\89a03c2bc4083dbc84081e13e4fda6e2574f711d\89a03c2bc4083dbc84081e13e4fda6e2574f711d_pyPasswordGenerator_466c8567_20151225_012531_after_1.py
69b92dc91e9ba64286119a1753fa1e19f1613cf5,pyPasswordGenerator,466c8567,2015-12-25 00:32:20,+0000,passwordGenerator.py,MODIFY,1,1,PythonFiles\pyPasswordGenerator\466c8567\69b92dc91e9ba64286119a1753fa1e19f1613cf5\69b92dc91e9ba64286119a1753fa1e19f1613cf5_pyPasswordGenerator_466c8567_20151225_013220_before_1.py,PythonFiles\pyPasswordGenerator\466c8567\69b92dc91e9ba64286119a1753fa1e19f1613cf5\69b92dc91e9ba64286119a1753fa1e19f1613cf5_pyPasswordGenerator_466c8567_20151225_013220_after_1.py
d5b71e0243f7e130f59cb67bc5c7c352418d35b7,pyPasswordGenerator,466c8567,2015-12-25 01:12:35,+0000,passwordGenerator.py,MODIFY,37,7,PythonFiles\pyPasswordGenerator\466c8567\d5b71e0243f7e130f59cb67bc5c7c352418d35b7\d5b71e0243f7e130f59cb67bc5c7c352418d35b7_pyPasswordGenerator_466c8567_20151225_021235_before_1.py,PythonFiles\pyPasswordGenerator\466c8567\d5b71e0243f7e130f59cb67bc5c7c352418d35b7\d5b71e0243f7e130f59cb67bc5c7c352418d35b7_pyPasswordGenerator_466c8567_20151225_021235_after_1.py
bf6b55d3b0a581f5d0cb38084dfd9ff636e60c92,pyPasswordGenerator,466c8567,2015-12-25 01:18:23,+0000,passwordGenerator.py,MODIFY,6,6,PythonFiles\pyPasswordGenerator\466c8567\bf6b55d3b0a581f5d0cb38084dfd9ff636e60c92\bf6b55d3b0a581f5d0cb38084dfd9ff636e60c92_pyPasswordGenerator_466c8567_20151225_021823_before_1.py,PythonFiles\pyPasswordGenerator\466c8567\bf6b55d3b0a581f5d0cb38084dfd9ff636e60c92\bf6b55d3b0a581f5d0cb38084dfd9ff636e60c92_pyPasswordGenerator_466c8567_20151225_021823_after_1.py
9eb2dc48208f45caea0426f64e3210800a6ab928,pyPasswordGenerator,466c8567,2015-12-25 01:20:50,+0000,passwordGenerator.py,MODIFY,1,0,PythonFiles\pyPasswordGenerator\466c8567\9eb2dc48208f45caea0426f64e3210800a6ab928\9eb2dc48208f45caea0426f64e3210800a6ab928_pyPasswordGenerator_466c8567_20151225_022050_before_1.py,PythonFiles\pyPasswordGenerator\466c8567\9eb2dc48208f45caea0426f64e3210800a6ab928\9eb2dc48208f45caea0426f64e3210800a6ab928_pyPasswordGenerator_466c8567_20151225_022050_after_1.py
98e70354caf15bdee7eed2dc99cb241ba308ba44,pyPasswordGenerator,466c8567,2015-12-25 01:27:59,+0000,passwordGenerator.py,MODIFY,2,2,PythonFiles\pyPasswordGenerator\466c8567\98e70354caf15bdee7eed2dc99cb241ba308ba44\98e70354caf15bdee7eed2dc99cb241ba308ba44_pyPasswordGenerator_466c8567_20151225_022759_before_1.py,PythonFiles\pyPasswordGenerator\466c8567\98e70354caf15bdee7eed2dc99cb241ba308ba44\98e70354caf15bdee7eed2dc99cb241ba308ba44_pyPasswordGenerator_466c8567_20151225_022759_after_1.py
