CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
ab0a0ba594bc4eed071969bce2f66ad10dca2373,pyaftership,189e3fb2,2018-08-17 08:38:21,+0000,__init__.py,ADD,26,0,,PythonFiles\pyaftership\189e3fb2\ab0a0ba594bc4eed071969bce2f66ad10dca2373\ab0a0ba594bc4eed071969bce2f66ad10dca2373_pyaftership_189e3fb2_20180817_103821_after_10.py
ab0a0ba594bc4eed071969bce2f66ad10dca2373,pyaftership,189e3fb2,2018-08-17 08:38:21,+0000,setup.py,ADD,20,0,,PythonFiles\pyaftership\189e3fb2\ab0a0ba594bc4eed071969bce2f66ad10dca2373\ab0a0ba594bc4eed071969bce2f66ad10dca2373_pyaftership_189e3fb2_20180817_103821_after_12.py
988ba29b402c13daf854ec7f78596885d24c1eb3,pyaftership,118b1e8e,2018-08-18 16:40:16,+0000,__init__.py,MODIFY,22,2,PythonFiles\pyaftership\118b1e8e\988ba29b402c13daf854ec7f78596885d24c1eb3\988ba29b402c13daf854ec7f78596885d24c1eb3_pyaftership_118b1e8e_20180818_114016_before_1.py,PythonFiles\pyaftership\118b1e8e\988ba29b402c13daf854ec7f78596885d24c1eb3\988ba29b402c13daf854ec7f78596885d24c1eb3_pyaftership_118b1e8e_20180818_114016_after_1.py
988ba29b402c13daf854ec7f78596885d24c1eb3,pyaftership,118b1e8e,2018-08-18 16:40:16,+0000,setup.py,MODIFY,1,1,PythonFiles\pyaftership\118b1e8e\988ba29b402c13daf854ec7f78596885d24c1eb3\988ba29b402c13daf854ec7f78596885d24c1eb3_pyaftership_118b1e8e_20180818_114016_before_2.py,PythonFiles\pyaftership\118b1e8e\988ba29b402c13daf854ec7f78596885d24c1eb3\988ba29b402c13daf854ec7f78596885d24c1eb3_pyaftership_118b1e8e_20180818_114016_after_2.py
9b6a544a70cfad48d61d8d737ad68b5ade5b0006,pyaftership,b78d24df,2018-08-30 23:00:29,+0000,setup.py,MODIFY,2,1,PythonFiles\pyaftership\b78d24df\9b6a544a70cfad48d61d8d737ad68b5ade5b0006\9b6a544a70cfad48d61d8d737ad68b5ade5b0006_pyaftership_b78d24df_20180831_010029_before_1.py,PythonFiles\pyaftership\b78d24df\9b6a544a70cfad48d61d8d737ad68b5ade5b0006\9b6a544a70cfad48d61d8d737ad68b5ade5b0006_pyaftership_b78d24df_20180831_010029_after_1.py
79f753f6ed449b4478d913cb0677875c99941374,pyaftership,b78d24df,2018-08-30 23:15:03,+0000,__init__.py,MODIFY,12,0,PythonFiles\pyaftership\b78d24df\79f753f6ed449b4478d913cb0677875c99941374\79f753f6ed449b4478d913cb0677875c99941374_pyaftership_b78d24df_20180831_011503_before_3.py,PythonFiles\pyaftership\b78d24df\79f753f6ed449b4478d913cb0677875c99941374\79f753f6ed449b4478d913cb0677875c99941374_pyaftership_b78d24df_20180831_011503_after_3.py
79f753f6ed449b4478d913cb0677875c99941374,pyaftership,b78d24df,2018-08-30 23:15:03,+0000,setup.py,MODIFY,1,1,PythonFiles\pyaftership\b78d24df\79f753f6ed449b4478d913cb0677875c99941374\79f753f6ed449b4478d913cb0677875c99941374_pyaftership_b78d24df_20180831_011503_before_4.py,PythonFiles\pyaftership\b78d24df\79f753f6ed449b4478d913cb0677875c99941374\79f753f6ed449b4478d913cb0677875c99941374_pyaftership_b78d24df_20180831_011503_after_4.py
39332a60232c52f52e2a63f91d1ae70e8501a8aa,pyaftership,b78d24df,2018-10-03 14:40:24,+0000,__init__.py,MODIFY,21,11,PythonFiles\pyaftership\b78d24df\39332a60232c52f52e2a63f91d1ae70e8501a8aa\39332a60232c52f52e2a63f91d1ae70e8501a8aa_pyaftership_b78d24df_20181003_164024_before_3.py,PythonFiles\pyaftership\b78d24df\39332a60232c52f52e2a63f91d1ae70e8501a8aa\39332a60232c52f52e2a63f91d1ae70e8501a8aa_pyaftership_b78d24df_20181003_164024_after_3.py
39332a60232c52f52e2a63f91d1ae70e8501a8aa,pyaftership,b78d24df,2018-10-03 14:40:24,+0000,setup.py,MODIFY,2,2,PythonFiles\pyaftership\b78d24df\39332a60232c52f52e2a63f91d1ae70e8501a8aa\39332a60232c52f52e2a63f91d1ae70e8501a8aa_pyaftership_b78d24df_20181003_164024_before_4.py,PythonFiles\pyaftership\b78d24df\39332a60232c52f52e2a63f91d1ae70e8501a8aa\39332a60232c52f52e2a63f91d1ae70e8501a8aa_pyaftership_b78d24df_20181003_164024_after_4.py
4f35fc54d7c2608370bc0349857bf683b1da09ad,pyaftership,189e3fb2,2018-11-22 13:40:54,+0000,example.py,ADD,18,0,,PythonFiles\pyaftership\189e3fb2\4f35fc54d7c2608370bc0349857bf683b1da09ad\4f35fc54d7c2608370bc0349857bf683b1da09ad_pyaftership_189e3fb2_20181122_144054_after_4.py
