CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,btpy.py,ADD,265,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_11.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,__init__.py,ADD,450,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_13.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,error.py,ADD,467,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_14.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,grammar.py,ADD,734,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_15.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,hello.py,ADD,103,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_16.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,plugin.py,ADD,135,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_17.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,__init__.py,ADD,0,0,,
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,btpy.py,ADD,320,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_19.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,capability.py,ADD,67,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_20.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,check_update.py,ADD,691,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_21.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,depend.py,ADD,93,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_22.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,hypertree.py,ADD,273,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_23.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,ietf.py,ADD,182,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_24.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,jsonxsl.py,ADD,257,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_25.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,jstree.py,ADD,654,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_26.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,jtox.py,ADD,104,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_27.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,omni.py,ADD,307,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_28.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,sample-xml-skeleton.py,ADD,193,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_29.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,smi.py,ADD,133,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_30.py
49ace01f5d5582f324a5d671ffe96fec055aece3,pyangbind,ba497261,2015-04-12 21:04:05,+0000,tree.py,ADD,309,0,,PythonFiles\pyangbind\ba497261\49ace01f5d5582f324a5d671ffe96fec055aece3\49ace01f5d5582f324a5d671ffe96fec055aece3_pyangbind_ba497261_20150412_220405_after_31.py
