CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
35a618aac1fc6b336b5a741063bd464810615c9e,pyberny,ecdf6be7,2016-03-16 11:12:31,+0000,Math.py,ADD,10,0,,PythonFiles\pyberny\ecdf6be7\35a618aac1fc6b336b5a741063bd464810615c9e\35a618aac1fc6b336b5a741063bd464810615c9e_pyberny_ecdf6be7_20160316_121231_after_2.py
35a618aac1fc6b336b5a741063bd464810615c9e,pyberny,ecdf6be7,2016-03-16 11:12:31,+0000,berny.py,ADD,57,0,,PythonFiles\pyberny\ecdf6be7\35a618aac1fc6b336b5a741063bd464810615c9e\35a618aac1fc6b336b5a741063bd464810615c9e_pyberny_ecdf6be7_20160316_121231_after_4.py
35a618aac1fc6b336b5a741063bd464810615c9e,pyberny,ecdf6be7,2016-03-16 11:12:31,+0000,geomlib.py,ADD,402,0,,PythonFiles\pyberny\ecdf6be7\35a618aac1fc6b336b5a741063bd464810615c9e\35a618aac1fc6b336b5a741063bd464810615c9e_pyberny_ecdf6be7_20160316_121231_after_5.py
a77c527cd41e8b258db533ae2e15c7fda4e41fd6,pyberny,ecdf6be7,2016-03-17 17:29:05,+0000,Math.py,MODIFY,122,5,PythonFiles\pyberny\ecdf6be7\a77c527cd41e8b258db533ae2e15c7fda4e41fd6\a77c527cd41e8b258db533ae2e15c7fda4e41fd6_pyberny_ecdf6be7_20160317_182905_before_1.py,PythonFiles\pyberny\ecdf6be7\a77c527cd41e8b258db533ae2e15c7fda4e41fd6\a77c527cd41e8b258db533ae2e15c7fda4e41fd6_pyberny_ecdf6be7_20160317_182905_after_1.py
a77c527cd41e8b258db533ae2e15c7fda4e41fd6,pyberny,ecdf6be7,2016-03-17 17:29:05,+0000,berny.py,MODIFY,156,36,PythonFiles\pyberny\ecdf6be7\a77c527cd41e8b258db533ae2e15c7fda4e41fd6\a77c527cd41e8b258db533ae2e15c7fda4e41fd6_pyberny_ecdf6be7_20160317_182905_before_2.py,PythonFiles\pyberny\ecdf6be7\a77c527cd41e8b258db533ae2e15c7fda4e41fd6\a77c527cd41e8b258db533ae2e15c7fda4e41fd6_pyberny_ecdf6be7_20160317_182905_after_2.py
a77c527cd41e8b258db533ae2e15c7fda4e41fd6,pyberny,ecdf6be7,2016-03-17 17:29:05,+0000,geomlib.py,MODIFY,232,110,PythonFiles\pyberny\ecdf6be7\a77c527cd41e8b258db533ae2e15c7fda4e41fd6\a77c527cd41e8b258db533ae2e15c7fda4e41fd6_pyberny_ecdf6be7_20160317_182905_before_3.py,PythonFiles\pyberny\ecdf6be7\a77c527cd41e8b258db533ae2e15c7fda4e41fd6\a77c527cd41e8b258db533ae2e15c7fda4e41fd6_pyberny_ecdf6be7_20160317_182905_after_3.py
9f1a8558ded80f796a61a7619254dceec58ef95b,pyberny,ecdf6be7,2016-03-17 19:09:23,+0000,Math.py,MODIFY,1,1,PythonFiles\pyberny\ecdf6be7\9f1a8558ded80f796a61a7619254dceec58ef95b\9f1a8558ded80f796a61a7619254dceec58ef95b_pyberny_ecdf6be7_20160317_200923_before_1.py,PythonFiles\pyberny\ecdf6be7\9f1a8558ded80f796a61a7619254dceec58ef95b\9f1a8558ded80f796a61a7619254dceec58ef95b_pyberny_ecdf6be7_20160317_200923_after_1.py
9f1a8558ded80f796a61a7619254dceec58ef95b,pyberny,ecdf6be7,2016-03-17 19:09:23,+0000,berny.py,MODIFY,8,6,PythonFiles\pyberny\ecdf6be7\9f1a8558ded80f796a61a7619254dceec58ef95b\9f1a8558ded80f796a61a7619254dceec58ef95b_pyberny_ecdf6be7_20160317_200923_before_2.py,PythonFiles\pyberny\ecdf6be7\9f1a8558ded80f796a61a7619254dceec58ef95b\9f1a8558ded80f796a61a7619254dceec58ef95b_pyberny_ecdf6be7_20160317_200923_after_2.py
9f1a8558ded80f796a61a7619254dceec58ef95b,pyberny,ecdf6be7,2016-03-17 19:09:23,+0000,geomlib.py,MODIFY,7,7,PythonFiles\pyberny\ecdf6be7\9f1a8558ded80f796a61a7619254dceec58ef95b\9f1a8558ded80f796a61a7619254dceec58ef95b_pyberny_ecdf6be7_20160317_200923_before_3.py,PythonFiles\pyberny\ecdf6be7\9f1a8558ded80f796a61a7619254dceec58ef95b\9f1a8558ded80f796a61a7619254dceec58ef95b_pyberny_ecdf6be7_20160317_200923_after_3.py
248fd884f8674cb20fb73e5000900703789caad2,pyberny,ecdf6be7,2016-03-18 18:04:38,+0000,berny.py,MODIFY,27,27,PythonFiles\pyberny\ecdf6be7\248fd884f8674cb20fb73e5000900703789caad2\248fd884f8674cb20fb73e5000900703789caad2_pyberny_ecdf6be7_20160318_190438_before_1.py,PythonFiles\pyberny\ecdf6be7\248fd884f8674cb20fb73e5000900703789caad2\248fd884f8674cb20fb73e5000900703789caad2_pyberny_ecdf6be7_20160318_190438_after_1.py
