CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
48b7798f7f3413d751d841d7c2ad9dbdc6b7d9f3,pycirculate,0beda3a4,2015-08-25 20:11:56,+0000,__init__.py,ADD,0,0,,
48b7798f7f3413d751d841d7c2ad9dbdc6b7d9f3,pycirculate,0beda3a4,2015-08-25 20:11:56,+0000,anova.py,ADD,232,0,,PythonFiles\pycirculate\0beda3a4\48b7798f7f3413d751d841d7c2ad9dbdc6b7d9f3\48b7798f7f3413d751d841d7c2ad9dbdc6b7d9f3_pycirculate_0beda3a4_20150825_131156_after_3.py
d501e1c71abea09c0e5a847ae1e1cf1baabbe59c,pycirculate,0beda3a4,2015-08-25 22:16:14,+0000,anova.py,MODIFY,1,1,PythonFiles\pycirculate\0beda3a4\d501e1c71abea09c0e5a847ae1e1cf1baabbe59c\d501e1c71abea09c0e5a847ae1e1cf1baabbe59c_pycirculate_0beda3a4_20150825_151614_before_1.py,PythonFiles\pycirculate\0beda3a4\d501e1c71abea09c0e5a847ae1e1cf1baabbe59c\d501e1c71abea09c0e5a847ae1e1cf1baabbe59c_pycirculate_0beda3a4_20150825_151614_after_1.py
072b1f5359d5eb24592f4fbd629f70464b367b4a,pycirculate,0beda3a4,2015-08-26 17:44:12,+0000,setup.py,ADD,25,0,,PythonFiles\pycirculate\0beda3a4\072b1f5359d5eb24592f4fbd629f70464b367b4a\072b1f5359d5eb24592f4fbd629f70464b367b4a_pycirculate_0beda3a4_20150826_104412_after_2.py
84530d1f27741be6423d0413dd6612529960012e,pycirculate,0beda3a4,2015-08-26 19:20:34,+0000,anova.py,MODIFY,6,1,PythonFiles\pycirculate\0beda3a4\84530d1f27741be6423d0413dd6612529960012e\84530d1f27741be6423d0413dd6612529960012e_pycirculate_0beda3a4_20150826_122034_before_1.py,PythonFiles\pycirculate\0beda3a4\84530d1f27741be6423d0413dd6612529960012e\84530d1f27741be6423d0413dd6612529960012e_pycirculate_0beda3a4_20150826_122034_after_1.py
6b3037dc9cf71c2f2c5988a4523bde4ad9dc6a6f,pycirculate,c354b4ee,2016-01-09 10:40:41,+0000,anova.py,MODIFY,2,2,PythonFiles\pycirculate\c354b4ee\6b3037dc9cf71c2f2c5988a4523bde4ad9dc6a6f\6b3037dc9cf71c2f2c5988a4523bde4ad9dc6a6f_pycirculate_c354b4ee_20160109_104041_before_1.py,PythonFiles\pycirculate\c354b4ee\6b3037dc9cf71c2f2c5988a4523bde4ad9dc6a6f\6b3037dc9cf71c2f2c5988a4523bde4ad9dc6a6f_pycirculate_c354b4ee_20160109_104041_after_1.py
7a1e93374668576832459630ac6f54b7beb63004,pycirculate,0beda3a4,2016-03-18 16:52:43,+0000,anova.py,MODIFY,5,1,PythonFiles\pycirculate\0beda3a4\7a1e93374668576832459630ac6f54b7beb63004\7a1e93374668576832459630ac6f54b7beb63004_pycirculate_0beda3a4_20160318_095243_before_1.py,PythonFiles\pycirculate\0beda3a4\7a1e93374668576832459630ac6f54b7beb63004\7a1e93374668576832459630ac6f54b7beb63004_pycirculate_0beda3a4_20160318_095243_after_1.py
e8365897590eed7346f3fcaeba6957f7987b749e,pycirculate,0beda3a4,2016-03-18 17:28:05,+0000,warmup.py,ADD,25,0,,PythonFiles\pycirculate\0beda3a4\e8365897590eed7346f3fcaeba6957f7987b749e\e8365897590eed7346f3fcaeba6957f7987b749e_pycirculate_0beda3a4_20160318_102805_after_1.py
55743b1d04181135e999f4944340fe802e418a75,pycirculate,0beda3a4,2016-03-18 17:29:15,+0000,setup.py,MODIFY,1,1,PythonFiles\pycirculate\0beda3a4\55743b1d04181135e999f4944340fe802e418a75\55743b1d04181135e999f4944340fe802e418a75_pycirculate_0beda3a4_20160318_102915_before_1.py,PythonFiles\pycirculate\0beda3a4\55743b1d04181135e999f4944340fe802e418a75\55743b1d04181135e999f4944340fe802e418a75_pycirculate_0beda3a4_20160318_102915_after_1.py
4649806da7f15d43382e293abe070bc06dbb7fb1,pycirculate,0beda3a4,2016-03-18 17:36:11,+0000,rest.py,ADD,44,0,,PythonFiles\pycirculate\0beda3a4\4649806da7f15d43382e293abe070bc06dbb7fb1\4649806da7f15d43382e293abe070bc06dbb7fb1_pycirculate_0beda3a4_20160318_103611_after_1.py
271bc26fc25989530bd3985b3559d21f19db6d16,pycirculate,0beda3a4,2016-03-22 18:31:54,+0000,anova.py,MODIFY,6,0,PythonFiles\pycirculate\0beda3a4\271bc26fc25989530bd3985b3559d21f19db6d16\271bc26fc25989530bd3985b3559d21f19db6d16_pycirculate_0beda3a4_20160322_113154_before_1.py,PythonFiles\pycirculate\0beda3a4\271bc26fc25989530bd3985b3559d21f19db6d16\271bc26fc25989530bd3985b3559d21f19db6d16_pycirculate_0beda3a4_20160322_113154_after_1.py
a0cb24b773b8119642121c002fc77aec03e0ac48,pycirculate,0beda3a4,2016-03-23 19:10:38,+0000,rest.py,MODIFY,75,14,PythonFiles\pycirculate\0beda3a4\a0cb24b773b8119642121c002fc77aec03e0ac48\a0cb24b773b8119642121c002fc77aec03e0ac48_pycirculate_0beda3a4_20160323_121038_before_1.py,PythonFiles\pycirculate\0beda3a4\a0cb24b773b8119642121c002fc77aec03e0ac48\a0cb24b773b8119642121c002fc77aec03e0ac48_pycirculate_0beda3a4_20160323_121038_after_1.py
a882299d124ae78bfe537fc2cca768fe61f4ff6b,pycirculate,0beda3a4,2016-04-22 19:16:58,+0000,rest.py,MODIFY,68,11,PythonFiles\pycirculate\0beda3a4\a882299d124ae78bfe537fc2cca768fe61f4ff6b\a882299d124ae78bfe537fc2cca768fe61f4ff6b_pycirculate_0beda3a4_20160422_121658_before_1.py,PythonFiles\pycirculate\0beda3a4\a882299d124ae78bfe537fc2cca768fe61f4ff6b\a882299d124ae78bfe537fc2cca768fe61f4ff6b_pycirculate_0beda3a4_20160422_121658_after_1.py
a882299d124ae78bfe537fc2cca768fe61f4ff6b,pycirculate,0beda3a4,2016-04-22 19:16:58,+0000,anova.py,MODIFY,10,2,PythonFiles\pycirculate\0beda3a4\a882299d124ae78bfe537fc2cca768fe61f4ff6b\a882299d124ae78bfe537fc2cca768fe61f4ff6b_pycirculate_0beda3a4_20160422_121658_before_2.py,PythonFiles\pycirculate\0beda3a4\a882299d124ae78bfe537fc2cca768fe61f4ff6b\a882299d124ae78bfe537fc2cca768fe61f4ff6b_pycirculate_0beda3a4_20160422_121658_after_2.py
18c29013aaf163c6659cc7a46b4a635419a742c4,pycirculate,0beda3a4,2016-04-22 19:19:33,+0000,rest.py,MODIFY,1,1,PythonFiles\pycirculate\0beda3a4\18c29013aaf163c6659cc7a46b4a635419a742c4\18c29013aaf163c6659cc7a46b4a635419a742c4_pycirculate_0beda3a4_20160422_121933_before_1.py,PythonFiles\pycirculate\0beda3a4\18c29013aaf163c6659cc7a46b4a635419a742c4\18c29013aaf163c6659cc7a46b4a635419a742c4_pycirculate_0beda3a4_20160422_121933_after_1.py
1adae76865837b61e850e7e65cc6cd7c6ece5907,pycirculate,0beda3a4,2016-04-22 19:37:42,+0000,rest.py,MODIFY,45,1,PythonFiles\pycirculate\0beda3a4\1adae76865837b61e850e7e65cc6cd7c6ece5907\1adae76865837b61e850e7e65cc6cd7c6ece5907_pycirculate_0beda3a4_20160422_123742_before_1.py,PythonFiles\pycirculate\0beda3a4\1adae76865837b61e850e7e65cc6cd7c6ece5907\1adae76865837b61e850e7e65cc6cd7c6ece5907_pycirculate_0beda3a4_20160422_123742_after_1.py
84053dc26bd018a04a9d917e2eb057d1c09920df,pycirculate,0beda3a4,2016-04-22 19:44:15,+0000,rest.py,RENAME,0,0,,
77a64af3f3ffdec3883527a62dadc02e1f67e4ae,pycirculate,0beda3a4,2016-04-22 23:05:47,+0000,anova.py,MODIFY,1,1,PythonFiles\pycirculate\0beda3a4\77a64af3f3ffdec3883527a62dadc02e1f67e4ae\77a64af3f3ffdec3883527a62dadc02e1f67e4ae_pycirculate_0beda3a4_20160422_160547_before_1.py,PythonFiles\pycirculate\0beda3a4\77a64af3f3ffdec3883527a62dadc02e1f67e4ae\77a64af3f3ffdec3883527a62dadc02e1f67e4ae_pycirculate_0beda3a4_20160422_160547_after_1.py
86dd347432c7fed3fa97f03d06dbd690560ab0da,pycirculate,0beda3a4,2016-04-22 23:07:47,+0000,rest.py,MODIFY,37,5,PythonFiles\pycirculate\0beda3a4\86dd347432c7fed3fa97f03d06dbd690560ab0da\86dd347432c7fed3fa97f03d06dbd690560ab0da_pycirculate_0beda3a4_20160422_160747_before_1.py,PythonFiles\pycirculate\0beda3a4\86dd347432c7fed3fa97f03d06dbd690560ab0da\86dd347432c7fed3fa97f03d06dbd690560ab0da_pycirculate_0beda3a4_20160422_160747_after_1.py
8657780879fd1031f2dc373f1b11f11f6b33890d,pycirculate,0beda3a4,2016-04-29 00:24:35,+0000,rest.py,MODIFY,4,2,PythonFiles\pycirculate\0beda3a4\8657780879fd1031f2dc373f1b11f11f6b33890d\8657780879fd1031f2dc373f1b11f11f6b33890d_pycirculate_0beda3a4_20160428_172435_before_1.py,PythonFiles\pycirculate\0beda3a4\8657780879fd1031f2dc373f1b11f11f6b33890d\8657780879fd1031f2dc373f1b11f11f6b33890d_pycirculate_0beda3a4_20160428_172435_after_1.py
735871e6f84c1beab9aae8bd677e1b0acbeb5d0f,pycirculate,0beda3a4,2016-05-17 19:52:43,+0000,rest.py,MODIFY,24,1,PythonFiles\pycirculate\0beda3a4\735871e6f84c1beab9aae8bd677e1b0acbeb5d0f\735871e6f84c1beab9aae8bd677e1b0acbeb5d0f_pycirculate_0beda3a4_20160517_125243_before_1.py,PythonFiles\pycirculate\0beda3a4\735871e6f84c1beab9aae8bd677e1b0acbeb5d0f\735871e6f84c1beab9aae8bd677e1b0acbeb5d0f_pycirculate_0beda3a4_20160517_125243_after_1.py
