CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
e0b7b63490645451c9324df4ac0332f2bfc6b702,pyco-mongo,9176cbfd,2017-03-15 17:24:56,+0000,__init__.py,ADD,428,0,,PythonFiles\pyco-mongo\9176cbfd\e0b7b63490645451c9324df4ac0332f2bfc6b702\e0b7b63490645451c9324df4ac0332f2bfc6b702_pyco-mongo_9176cbfd_20170316_012456_after_1.py
e1bc47232f0fb10f733ca25373ccf947ce8ebc2e,pyco-mongo,9176cbfd,2017-03-17 12:46:31,+0000,errors.py,ADD,24,0,,PythonFiles\pyco-mongo\9176cbfd\e1bc47232f0fb10f733ca25373ccf947ce8ebc2e\e1bc47232f0fb10f733ca25373ccf947ce8ebc2e_pyco-mongo_9176cbfd_20170317_204631_after_1.py
1c6b4f0022f4b8deb492f01e6091a9e2b88da764,pyco-mongo,9176cbfd,2017-03-17 12:48:25,+0000,__init__.py,MODIFY,13,24,PythonFiles\pyco-mongo\9176cbfd\1c6b4f0022f4b8deb492f01e6091a9e2b88da764\1c6b4f0022f4b8deb492f01e6091a9e2b88da764_pyco-mongo_9176cbfd_20170317_204825_before_1.py,PythonFiles\pyco-mongo\9176cbfd\1c6b4f0022f4b8deb492f01e6091a9e2b88da764\1c6b4f0022f4b8deb492f01e6091a9e2b88da764_pyco-mongo_9176cbfd_20170317_204825_after_1.py
5fc1bae1ac4268137a0ef18ac10d5f5fd8bea77d,pyco-mongo,9176cbfd,2017-03-17 17:37:31,+0000,__init__.py,MODIFY,1,7,PythonFiles\pyco-mongo\9176cbfd\5fc1bae1ac4268137a0ef18ac10d5f5fd8bea77d\5fc1bae1ac4268137a0ef18ac10d5f5fd8bea77d_pyco-mongo_9176cbfd_20170318_013731_before_1.py,PythonFiles\pyco-mongo\9176cbfd\5fc1bae1ac4268137a0ef18ac10d5f5fd8bea77d\5fc1bae1ac4268137a0ef18ac10d5f5fd8bea77d_pyco-mongo_9176cbfd_20170318_013731_after_1.py
8f6a58eeaa3695d9a56898dac936da4e18c13d36,pyco-mongo,9176cbfd,2017-03-17 17:37:58,+0000,__init__.py,MODIFY,1,1,PythonFiles\pyco-mongo\9176cbfd\8f6a58eeaa3695d9a56898dac936da4e18c13d36\8f6a58eeaa3695d9a56898dac936da4e18c13d36_pyco-mongo_9176cbfd_20170318_013758_before_1.py,PythonFiles\pyco-mongo\9176cbfd\8f6a58eeaa3695d9a56898dac936da4e18c13d36\8f6a58eeaa3695d9a56898dac936da4e18c13d36_pyco-mongo_9176cbfd_20170318_013758_after_1.py
c9ba832f64a3e80c42dc87955adf60b79cc0f64b,pyco-mongo,9176cbfd,2017-03-17 17:38:34,+0000,__init__.py,ADD,195,0,,PythonFiles\pyco-mongo\9176cbfd\c9ba832f64a3e80c42dc87955adf60b79cc0f64b\c9ba832f64a3e80c42dc87955adf60b79cc0f64b_pyco-mongo_9176cbfd_20170318_013834_after_1.py
71c01f846c60f402da20dcf45e78a1458c3f96c1,pyco-mongo,9176cbfd,2017-03-18 18:41:57,+0000,__init__.py,ADD,43,0,,PythonFiles\pyco-mongo\9176cbfd\71c01f846c60f402da20dcf45e78a1458c3f96c1\71c01f846c60f402da20dcf45e78a1458c3f96c1_pyco-mongo_9176cbfd_20170319_024157_after_1.py
4e396538c5a4783347df4cf9992f068639b861df,pyco-mongo,9176cbfd,2017-03-20 12:47:33,+0000,__init__.py,MODIFY,6,5,PythonFiles\pyco-mongo\9176cbfd\4e396538c5a4783347df4cf9992f068639b861df\4e396538c5a4783347df4cf9992f068639b861df_pyco-mongo_9176cbfd_20170320_204733_before_1.py,PythonFiles\pyco-mongo\9176cbfd\4e396538c5a4783347df4cf9992f068639b861df\4e396538c5a4783347df4cf9992f068639b861df_pyco-mongo_9176cbfd_20170320_204733_after_1.py
4e396538c5a4783347df4cf9992f068639b861df,pyco-mongo,9176cbfd,2017-03-20 12:47:33,+0000,__init__.py,MODIFY,2,3,PythonFiles\pyco-mongo\9176cbfd\4e396538c5a4783347df4cf9992f068639b861df\4e396538c5a4783347df4cf9992f068639b861df_pyco-mongo_9176cbfd_20170320_204733_before_2.py,PythonFiles\pyco-mongo\9176cbfd\4e396538c5a4783347df4cf9992f068639b861df\4e396538c5a4783347df4cf9992f068639b861df_pyco-mongo_9176cbfd_20170320_204733_after_2.py
6c451a9fb3f39f703557dd9d0174b3b7aa0c9b4f,pyco-mongo,9176cbfd,2017-03-20 12:47:48,+0000,setup.py,ADD,103,0,,PythonFiles\pyco-mongo\9176cbfd\6c451a9fb3f39f703557dd9d0174b3b7aa0c9b4f\6c451a9fb3f39f703557dd9d0174b3b7aa0c9b4f_pyco-mongo_9176cbfd_20170320_204748_after_1.py
08303d680df29ad023e1d67e66c4e53416aeb65f,pyco-mongo,9176cbfd,2017-03-21 16:00:17,+0000,__init__.py,MODIFY,25,0,PythonFiles\pyco-mongo\9176cbfd\08303d680df29ad023e1d67e66c4e53416aeb65f\08303d680df29ad023e1d67e66c4e53416aeb65f_pyco-mongo_9176cbfd_20170322_000017_before_1.py,PythonFiles\pyco-mongo\9176cbfd\08303d680df29ad023e1d67e66c4e53416aeb65f\08303d680df29ad023e1d67e66c4e53416aeb65f_pyco-mongo_9176cbfd_20170322_000017_after_1.py
aafbf2a39a927c889b9a69434001d0bde023d4e7,pyco-mongo,9176cbfd,2017-03-21 16:01:34,+0000,__init__.py,MODIFY,21,0,PythonFiles\pyco-mongo\9176cbfd\aafbf2a39a927c889b9a69434001d0bde023d4e7\aafbf2a39a927c889b9a69434001d0bde023d4e7_pyco-mongo_9176cbfd_20170322_000134_before_1.py,PythonFiles\pyco-mongo\9176cbfd\aafbf2a39a927c889b9a69434001d0bde023d4e7\aafbf2a39a927c889b9a69434001d0bde023d4e7_pyco-mongo_9176cbfd_20170322_000134_after_1.py
