CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
991d156e47ecaf8331f7523ee9f28d4e076edc35,pygif,5d64051a,2018-11-27 09:06:54,+0000,decode-gif.py,ADD,269,0,,PythonFiles\pygif\5d64051a\991d156e47ecaf8331f7523ee9f28d4e076edc35\991d156e47ecaf8331f7523ee9f28d4e076edc35_pygif_5d64051a_20181127_220654_after_1.py
991d156e47ecaf8331f7523ee9f28d4e076edc35,pygif,5d64051a,2018-11-27 09:06:54,+0000,make-gifs.py,ADD,217,0,,PythonFiles\pygif\5d64051a\991d156e47ecaf8331f7523ee9f28d4e076edc35\991d156e47ecaf8331f7523ee9f28d4e076edc35_pygif_5d64051a_20181127_220654_after_2.py
4ea895c73c5cf407c199658f42535b8f35b13309,pygif,5d64051a,2018-11-27 09:42:29,+0000,decode-gif.py,MODIFY,8,9,PythonFiles\pygif\5d64051a\4ea895c73c5cf407c199658f42535b8f35b13309\4ea895c73c5cf407c199658f42535b8f35b13309_pygif_5d64051a_20181127_224229_before_1.py,PythonFiles\pygif\5d64051a\4ea895c73c5cf407c199658f42535b8f35b13309\4ea895c73c5cf407c199658f42535b8f35b13309_pygif_5d64051a_20181127_224229_after_1.py
1872f1a0cb8e69b7dc7a696d1733f49e6f8a811f,pygif,5d64051a,2018-11-27 09:46:58,+0000,make-gifs.py,MODIFY,9,9,PythonFiles\pygif\5d64051a\1872f1a0cb8e69b7dc7a696d1733f49e6f8a811f\1872f1a0cb8e69b7dc7a696d1733f49e6f8a811f_pygif_5d64051a_20181127_224658_before_1.py,PythonFiles\pygif\5d64051a\1872f1a0cb8e69b7dc7a696d1733f49e6f8a811f\1872f1a0cb8e69b7dc7a696d1733f49e6f8a811f_pygif_5d64051a_20181127_224658_after_1.py
a6befea6c8f4d326efe3efd23b98feade1a19016,pygif,5d64051a,2018-11-27 20:44:06,+0000,make-gifs.py,MODIFY,20,3,PythonFiles\pygif\5d64051a\a6befea6c8f4d326efe3efd23b98feade1a19016\a6befea6c8f4d326efe3efd23b98feade1a19016_pygif_5d64051a_20181128_094406_before_1.py,PythonFiles\pygif\5d64051a\a6befea6c8f4d326efe3efd23b98feade1a19016\a6befea6c8f4d326efe3efd23b98feade1a19016_pygif_5d64051a_20181128_094406_after_1.py
d4b3fffe87aeee857a3ec1f04c565b9795fa30ca,pygif,5d64051a,2018-11-27 21:06:03,+0000,make-gifs.py,MODIFY,30,15,PythonFiles\pygif\5d64051a\d4b3fffe87aeee857a3ec1f04c565b9795fa30ca\d4b3fffe87aeee857a3ec1f04c565b9795fa30ca_pygif_5d64051a_20181128_100603_before_1.py,PythonFiles\pygif\5d64051a\d4b3fffe87aeee857a3ec1f04c565b9795fa30ca\d4b3fffe87aeee857a3ec1f04c565b9795fa30ca_pygif_5d64051a_20181128_100603_after_1.py
96a3a37bcf2043504a9c1b3c4a48a728800e755b,pygif,5d64051a,2018-11-27 21:06:51,+0000,make-gifs.py,MODIFY,3,1,PythonFiles\pygif\5d64051a\96a3a37bcf2043504a9c1b3c4a48a728800e755b\96a3a37bcf2043504a9c1b3c4a48a728800e755b_pygif_5d64051a_20181128_100651_before_1.py,PythonFiles\pygif\5d64051a\96a3a37bcf2043504a9c1b3c4a48a728800e755b\96a3a37bcf2043504a9c1b3c4a48a728800e755b_pygif_5d64051a_20181128_100651_after_1.py
96a8b468f6937b67b6a06dd5069276cb229c403d,pygif,5d64051a,2018-11-27 21:10:21,+0000,make-gifs.py,MODIFY,5,5,PythonFiles\pygif\5d64051a\96a8b468f6937b67b6a06dd5069276cb229c403d\96a8b468f6937b67b6a06dd5069276cb229c403d_pygif_5d64051a_20181128_101021_before_1.py,PythonFiles\pygif\5d64051a\96a8b468f6937b67b6a06dd5069276cb229c403d\96a8b468f6937b67b6a06dd5069276cb229c403d_pygif_5d64051a_20181128_101021_after_1.py
fa63f7977cf58267e07ac4703030918478d227e5,pygif,5d64051a,2018-11-27 21:22:31,+0000,decode-gif.py,MODIFY,6,0,PythonFiles\pygif\5d64051a\fa63f7977cf58267e07ac4703030918478d227e5\fa63f7977cf58267e07ac4703030918478d227e5_pygif_5d64051a_20181128_102231_before_1.py,PythonFiles\pygif\5d64051a\fa63f7977cf58267e07ac4703030918478d227e5\fa63f7977cf58267e07ac4703030918478d227e5_pygif_5d64051a_20181128_102231_after_1.py
fa63f7977cf58267e07ac4703030918478d227e5,pygif,5d64051a,2018-11-27 21:22:31,+0000,make-gifs.py,MODIFY,27,4,PythonFiles\pygif\5d64051a\fa63f7977cf58267e07ac4703030918478d227e5\fa63f7977cf58267e07ac4703030918478d227e5_pygif_5d64051a_20181128_102231_before_2.py,PythonFiles\pygif\5d64051a\fa63f7977cf58267e07ac4703030918478d227e5\fa63f7977cf58267e07ac4703030918478d227e5_pygif_5d64051a_20181128_102231_after_2.py
4ffbd112a4397d095e8a491f802a10db3407ab7f,pygif,5d64051a,2018-11-27 21:24:50,+0000,make-gifs.py,MODIFY,19,17,PythonFiles\pygif\5d64051a\4ffbd112a4397d095e8a491f802a10db3407ab7f\4ffbd112a4397d095e8a491f802a10db3407ab7f_pygif_5d64051a_20181128_102450_before_1.py,PythonFiles\pygif\5d64051a\4ffbd112a4397d095e8a491f802a10db3407ab7f\4ffbd112a4397d095e8a491f802a10db3407ab7f_pygif_5d64051a_20181128_102450_after_1.py
e4187b02e24d60837066e5aa68ea5a1241be33c5,pygif,5d64051a,2018-11-27 21:30:28,+0000,make-gifs.py,MODIFY,6,2,PythonFiles\pygif\5d64051a\e4187b02e24d60837066e5aa68ea5a1241be33c5\e4187b02e24d60837066e5aa68ea5a1241be33c5_pygif_5d64051a_20181128_103028_before_1.py,PythonFiles\pygif\5d64051a\e4187b02e24d60837066e5aa68ea5a1241be33c5\e4187b02e24d60837066e5aa68ea5a1241be33c5_pygif_5d64051a_20181128_103028_after_1.py
a7d5adac3173f499d963297098303d9161e9c681,pygif,5d64051a,2018-11-27 21:39:50,+0000,decode-gif.py,MODIFY,27,5,PythonFiles\pygif\5d64051a\a7d5adac3173f499d963297098303d9161e9c681\a7d5adac3173f499d963297098303d9161e9c681_pygif_5d64051a_20181128_103950_before_1.py,PythonFiles\pygif\5d64051a\a7d5adac3173f499d963297098303d9161e9c681\a7d5adac3173f499d963297098303d9161e9c681_pygif_5d64051a_20181128_103950_after_1.py
a7d5adac3173f499d963297098303d9161e9c681,pygif,5d64051a,2018-11-27 21:39:50,+0000,make-gifs.py,MODIFY,22,3,PythonFiles\pygif\5d64051a\a7d5adac3173f499d963297098303d9161e9c681\a7d5adac3173f499d963297098303d9161e9c681_pygif_5d64051a_20181128_103950_before_2.py,PythonFiles\pygif\5d64051a\a7d5adac3173f499d963297098303d9161e9c681\a7d5adac3173f499d963297098303d9161e9c681_pygif_5d64051a_20181128_103950_after_2.py
