CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
146b337fc9b57ec184d75ef61842a7c6dd96a39a,pyhocon,3377a3b2,2014-12-06 03:04:43,+0000,__init__.py,ADD,44,0,,PythonFiles\pyhocon\3377a3b2\146b337fc9b57ec184d75ef61842a7c6dd96a39a\146b337fc9b57ec184d75ef61842a7c6dd96a39a_pyhocon_3377a3b2_20141205_220443_after_3.py
146b337fc9b57ec184d75ef61842a7c6dd96a39a,pyhocon,3377a3b2,2014-12-06 03:04:43,+0000,config_parser.py,ADD,38,0,,PythonFiles\pyhocon\3377a3b2\146b337fc9b57ec184d75ef61842a7c6dd96a39a\146b337fc9b57ec184d75ef61842a7c6dd96a39a_pyhocon_3377a3b2_20141205_220443_after_4.py
146b337fc9b57ec184d75ef61842a7c6dd96a39a,pyhocon,3377a3b2,2014-12-06 03:04:43,+0000,config_tree.py,ADD,86,0,,PythonFiles\pyhocon\3377a3b2\146b337fc9b57ec184d75ef61842a7c6dd96a39a\146b337fc9b57ec184d75ef61842a7c6dd96a39a_pyhocon_3377a3b2_20141205_220443_after_5.py
146b337fc9b57ec184d75ef61842a7c6dd96a39a,pyhocon,3377a3b2,2014-12-06 03:04:43,+0000,exceptions.py,ADD,5,0,,PythonFiles\pyhocon\3377a3b2\146b337fc9b57ec184d75ef61842a7c6dd96a39a\146b337fc9b57ec184d75ef61842a7c6dd96a39a_pyhocon_3377a3b2_20141205_220443_after_6.py
146b337fc9b57ec184d75ef61842a7c6dd96a39a,pyhocon,3377a3b2,2014-12-06 03:04:43,+0000,setup.py,ADD,24,0,,PythonFiles\pyhocon\3377a3b2\146b337fc9b57ec184d75ef61842a7c6dd96a39a\146b337fc9b57ec184d75ef61842a7c6dd96a39a_pyhocon_3377a3b2_20141205_220443_after_8.py
146b337fc9b57ec184d75ef61842a7c6dd96a39a,pyhocon,3377a3b2,2014-12-06 03:04:43,+0000,test_config_parser.py,ADD,29,0,,PythonFiles\pyhocon\3377a3b2\146b337fc9b57ec184d75ef61842a7c6dd96a39a\146b337fc9b57ec184d75ef61842a7c6dd96a39a_pyhocon_3377a3b2_20141205_220443_after_9.py
146b337fc9b57ec184d75ef61842a7c6dd96a39a,pyhocon,3377a3b2,2014-12-06 03:04:43,+0000,test_config_tree.py,ADD,19,0,,PythonFiles\pyhocon\3377a3b2\146b337fc9b57ec184d75ef61842a7c6dd96a39a\146b337fc9b57ec184d75ef61842a7c6dd96a39a_pyhocon_3377a3b2_20141205_220443_after_10.py
70986780c325a32946c79fe20bbc0926048c497b,pyhocon,3377a3b2,2014-12-06 04:04:51,+0000,config_parser.py,MODIFY,15,4,PythonFiles\pyhocon\3377a3b2\70986780c325a32946c79fe20bbc0926048c497b\70986780c325a32946c79fe20bbc0926048c497b_pyhocon_3377a3b2_20141205_230451_before_2.py,PythonFiles\pyhocon\3377a3b2\70986780c325a32946c79fe20bbc0926048c497b\70986780c325a32946c79fe20bbc0926048c497b_pyhocon_3377a3b2_20141205_230451_after_2.py
70986780c325a32946c79fe20bbc0926048c497b,pyhocon,3377a3b2,2014-12-06 04:04:51,+0000,config_tree.py,MODIFY,11,2,PythonFiles\pyhocon\3377a3b2\70986780c325a32946c79fe20bbc0926048c497b\70986780c325a32946c79fe20bbc0926048c497b_pyhocon_3377a3b2_20141205_230451_before_3.py,PythonFiles\pyhocon\3377a3b2\70986780c325a32946c79fe20bbc0926048c497b\70986780c325a32946c79fe20bbc0926048c497b_pyhocon_3377a3b2_20141205_230451_after_3.py
70986780c325a32946c79fe20bbc0926048c497b,pyhocon,3377a3b2,2014-12-06 04:04:51,+0000,exceptions.py,MODIFY,1,1,PythonFiles\pyhocon\3377a3b2\70986780c325a32946c79fe20bbc0926048c497b\70986780c325a32946c79fe20bbc0926048c497b_pyhocon_3377a3b2_20141205_230451_before_4.py,PythonFiles\pyhocon\3377a3b2\70986780c325a32946c79fe20bbc0926048c497b\70986780c325a32946c79fe20bbc0926048c497b_pyhocon_3377a3b2_20141205_230451_after_4.py
