CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
4118628ff827139bcc939a16fe0e2ba3f0273e8d,pymods,4cd8583e,2016-02-04 21:12:19,+0000,modstools.py,ADD,101,0,,PythonFiles\pymods\4cd8583e\4118628ff827139bcc939a16fe0e2ba3f0273e8d\4118628ff827139bcc939a16fe0e2ba3f0273e8d_pymods_4cd8583e_20160204_161219_after_1.py
fbd14b818df7bc4619a55b8905b50532d94c0950,pymods,4cd8583e,2016-02-04 21:29:34,+0000,__init__.py,ADD,0,0,,
fbd14b818df7bc4619a55b8905b50532d94c0950,pymods,4cd8583e,2016-02-04 21:29:34,+0000,modstools.py,MODIFY,2,1,PythonFiles\pymods\4cd8583e\fbd14b818df7bc4619a55b8905b50532d94c0950\fbd14b818df7bc4619a55b8905b50532d94c0950_pymods_4cd8583e_20160204_162934_before_4.py,PythonFiles\pymods\4cd8583e\fbd14b818df7bc4619a55b8905b50532d94c0950\fbd14b818df7bc4619a55b8905b50532d94c0950_pymods_4cd8583e_20160204_162934_after_4.py
fbd14b818df7bc4619a55b8905b50532d94c0950,pymods,4cd8583e,2016-02-04 21:29:34,+0000,test.py,ADD,9,0,,PythonFiles\pymods\4cd8583e\fbd14b818df7bc4619a55b8905b50532d94c0950\fbd14b818df7bc4619a55b8905b50532d94c0950_pymods_4cd8583e_20160204_162934_after_5.py
07e514853d686067edf238cd7b6257fccfb631cc,pymods,4cd8583e,2016-02-11 16:20:39,+0000,modstools.py,MODIFY,30,3,PythonFiles\pymods\4cd8583e\07e514853d686067edf238cd7b6257fccfb631cc\07e514853d686067edf238cd7b6257fccfb631cc_pymods_4cd8583e_20160211_112039_before_3.py,PythonFiles\pymods\4cd8583e\07e514853d686067edf238cd7b6257fccfb631cc\07e514853d686067edf238cd7b6257fccfb631cc_pymods_4cd8583e_20160211_112039_after_3.py
2bd4d6f67902dc100f618c29b7c5a57afaf92ac3,pymods,4cd8583e,2016-03-15 13:12:00,+0000,pymods.py,RENAME,0,0,,
c7e5f4ac6881e3ca1bb5ce8ce12011b072c03d6b,pymods,4cd8583e,2016-06-30 14:13:30,+0000,pymods.py,MODIFY,44,21,PythonFiles\pymods\4cd8583e\c7e5f4ac6881e3ca1bb5ce8ce12011b072c03d6b\c7e5f4ac6881e3ca1bb5ce8ce12011b072c03d6b_pymods_4cd8583e_20160630_101330_before_1.py,PythonFiles\pymods\4cd8583e\c7e5f4ac6881e3ca1bb5ce8ce12011b072c03d6b\c7e5f4ac6881e3ca1bb5ce8ce12011b072c03d6b_pymods_4cd8583e_20160630_101330_after_1.py
75e986c1dedbf687ccde056689d67a0d7bfa5566,pymods,4cd8583e,2016-08-04 18:10:20,+0000,pymods.py,MODIFY,6,0,PythonFiles\pymods\4cd8583e\75e986c1dedbf687ccde056689d67a0d7bfa5566\75e986c1dedbf687ccde056689d67a0d7bfa5566_pymods_4cd8583e_20160804_141020_before_2.py,PythonFiles\pymods\4cd8583e\75e986c1dedbf687ccde056689d67a0d7bfa5566\75e986c1dedbf687ccde056689d67a0d7bfa5566_pymods_4cd8583e_20160804_141020_after_2.py
75e986c1dedbf687ccde056689d67a0d7bfa5566,pymods,4cd8583e,2016-08-04 18:10:20,+0000,test.py,MODIFY,3,3,PythonFiles\pymods\4cd8583e\75e986c1dedbf687ccde056689d67a0d7bfa5566\75e986c1dedbf687ccde056689d67a0d7bfa5566_pymods_4cd8583e_20160804_141020_before_3.py,PythonFiles\pymods\4cd8583e\75e986c1dedbf687ccde056689d67a0d7bfa5566\75e986c1dedbf687ccde056689d67a0d7bfa5566_pymods_4cd8583e_20160804_141020_after_3.py
0b61a9be948e78208e871e8fbdce2d10ca855759,pymods,4cd8583e,2016-08-05 16:47:11,+0000,pymods.py,MODIFY,21,1,PythonFiles\pymods\4cd8583e\0b61a9be948e78208e871e8fbdce2d10ca855759\0b61a9be948e78208e871e8fbdce2d10ca855759_pymods_4cd8583e_20160805_124711_before_2.py,PythonFiles\pymods\4cd8583e\0b61a9be948e78208e871e8fbdce2d10ca855759\0b61a9be948e78208e871e8fbdce2d10ca855759_pymods_4cd8583e_20160805_124711_after_2.py
15e01899c9e6676357280af579f80e610485d3da,pymods,4cd8583e,2016-08-05 20:42:52,+0000,pymods.py,MODIFY,10,2,PythonFiles\pymods\4cd8583e\15e01899c9e6676357280af579f80e610485d3da\15e01899c9e6676357280af579f80e610485d3da_pymods_4cd8583e_20160805_164252_before_2.py,PythonFiles\pymods\4cd8583e\15e01899c9e6676357280af579f80e610485d3da\15e01899c9e6676357280af579f80e610485d3da_pymods_4cd8583e_20160805_164252_after_2.py
706c473a477fd88771b842732366e27d74a2e5f9,pymods,4cd8583e,2016-08-05 21:39:39,+0000,pymods.py,MODIFY,11,8,PythonFiles\pymods\4cd8583e\706c473a477fd88771b842732366e27d74a2e5f9\706c473a477fd88771b842732366e27d74a2e5f9_pymods_4cd8583e_20160805_173939_before_3.py,PythonFiles\pymods\4cd8583e\706c473a477fd88771b842732366e27d74a2e5f9\706c473a477fd88771b842732366e27d74a2e5f9_pymods_4cd8583e_20160805_173939_after_3.py
db0d9c5a4a87425832d16b6c1ae832fe1d9cfe9c,pymods,4cd8583e,2016-08-07 00:15:46,+0000,pymods.py,MODIFY,2,2,PythonFiles\pymods\4cd8583e\db0d9c5a4a87425832d16b6c1ae832fe1d9cfe9c\db0d9c5a4a87425832d16b6c1ae832fe1d9cfe9c_pymods_4cd8583e_20160806_201546_before_2.py,PythonFiles\pymods\4cd8583e\db0d9c5a4a87425832d16b6c1ae832fe1d9cfe9c\db0d9c5a4a87425832d16b6c1ae832fe1d9cfe9c_pymods_4cd8583e_20160806_201546_after_2.py
0537400e93ac6c0da067bd14fa8c390262366c8b,pymods,4cd8583e,2016-08-09 19:57:21,+0000,pymods.py,MODIFY,16,2,PythonFiles\pymods\4cd8583e\0537400e93ac6c0da067bd14fa8c390262366c8b\0537400e93ac6c0da067bd14fa8c390262366c8b_pymods_4cd8583e_20160809_155721_before_2.py,PythonFiles\pymods\4cd8583e\0537400e93ac6c0da067bd14fa8c390262366c8b\0537400e93ac6c0da067bd14fa8c390262366c8b_pymods_4cd8583e_20160809_155721_after_2.py
0537400e93ac6c0da067bd14fa8c390262366c8b,pymods,4cd8583e,2016-08-09 19:57:21,+0000,test.py,MODIFY,11,9,PythonFiles\pymods\4cd8583e\0537400e93ac6c0da067bd14fa8c390262366c8b\0537400e93ac6c0da067bd14fa8c390262366c8b_pymods_4cd8583e_20160809_155721_before_3.py,PythonFiles\pymods\4cd8583e\0537400e93ac6c0da067bd14fa8c390262366c8b\0537400e93ac6c0da067bd14fa8c390262366c8b_pymods_4cd8583e_20160809_155721_after_3.py
198045e86f7da3fcdd072ab880e47f3588922b00,pymods,4cd8583e,2016-08-09 22:44:30,+0000,pymods.py,MODIFY,12,5,PythonFiles\pymods\4cd8583e\198045e86f7da3fcdd072ab880e47f3588922b00\198045e86f7da3fcdd072ab880e47f3588922b00_pymods_4cd8583e_20160809_184430_before_2.py,PythonFiles\pymods\4cd8583e\198045e86f7da3fcdd072ab880e47f3588922b00\198045e86f7da3fcdd072ab880e47f3588922b00_pymods_4cd8583e_20160809_184430_after_2.py
198045e86f7da3fcdd072ab880e47f3588922b00,pymods,4cd8583e,2016-08-09 22:44:30,+0000,test.py,MODIFY,3,3,PythonFiles\pymods\4cd8583e\198045e86f7da3fcdd072ab880e47f3588922b00\198045e86f7da3fcdd072ab880e47f3588922b00_pymods_4cd8583e_20160809_184430_before_3.py,PythonFiles\pymods\4cd8583e\198045e86f7da3fcdd072ab880e47f3588922b00\198045e86f7da3fcdd072ab880e47f3588922b00_pymods_4cd8583e_20160809_184430_after_3.py
bfe2056aff735a9e84bdcb834edee2e0e4c223e8,pymods,4cd8583e,2016-08-10 18:36:22,+0000,pymods.py,MODIFY,179,177,PythonFiles\pymods\4cd8583e\bfe2056aff735a9e84bdcb834edee2e0e4c223e8\bfe2056aff735a9e84bdcb834edee2e0e4c223e8_pymods_4cd8583e_20160810_143622_before_2.py,PythonFiles\pymods\4cd8583e\bfe2056aff735a9e84bdcb834edee2e0e4c223e8\bfe2056aff735a9e84bdcb834edee2e0e4c223e8_pymods_4cd8583e_20160810_143622_after_2.py
bfe2056aff735a9e84bdcb834edee2e0e4c223e8,pymods,4cd8583e,2016-08-10 18:36:22,+0000,test.py,MODIFY,3,3,PythonFiles\pymods\4cd8583e\bfe2056aff735a9e84bdcb834edee2e0e4c223e8\bfe2056aff735a9e84bdcb834edee2e0e4c223e8_pymods_4cd8583e_20160810_143622_before_3.py,PythonFiles\pymods\4cd8583e\bfe2056aff735a9e84bdcb834edee2e0e4c223e8\bfe2056aff735a9e84bdcb834edee2e0e4c223e8_pymods_4cd8583e_20160810_143622_after_3.py
0e1b477ebd5e0f1aaca2163d1fb05561e39afe43,pymods,4cd8583e,2016-09-14 19:51:05,+0000,pymods.py,MODIFY,11,1,PythonFiles\pymods\4cd8583e\0e1b477ebd5e0f1aaca2163d1fb05561e39afe43\0e1b477ebd5e0f1aaca2163d1fb05561e39afe43_pymods_4cd8583e_20160914_155105_before_2.py,PythonFiles\pymods\4cd8583e\0e1b477ebd5e0f1aaca2163d1fb05561e39afe43\0e1b477ebd5e0f1aaca2163d1fb05561e39afe43_pymods_4cd8583e_20160914_155105_after_2.py
ffdb56c2cc38701b98e0c54f9e710c99b118b82f,pymods,4cd8583e,2016-09-16 12:52:42,+0000,pymods.py,MODIFY,17,16,PythonFiles\pymods\4cd8583e\ffdb56c2cc38701b98e0c54f9e710c99b118b82f\ffdb56c2cc38701b98e0c54f9e710c99b118b82f_pymods_4cd8583e_20160916_085242_before_2.py,PythonFiles\pymods\4cd8583e\ffdb56c2cc38701b98e0c54f9e710c99b118b82f\ffdb56c2cc38701b98e0c54f9e710c99b118b82f_pymods_4cd8583e_20160916_085242_after_2.py
ffdb56c2cc38701b98e0c54f9e710c99b118b82f,pymods,4cd8583e,2016-09-16 12:52:42,+0000,test.py,MODIFY,3,4,PythonFiles\pymods\4cd8583e\ffdb56c2cc38701b98e0c54f9e710c99b118b82f\ffdb56c2cc38701b98e0c54f9e710c99b118b82f_pymods_4cd8583e_20160916_085242_before_3.py,PythonFiles\pymods\4cd8583e\ffdb56c2cc38701b98e0c54f9e710c99b118b82f\ffdb56c2cc38701b98e0c54f9e710c99b118b82f_pymods_4cd8583e_20160916_085242_after_3.py
66c3b901cd55970df9eab4cdd816e4605c7c5d74,pymods,4cd8583e,2016-09-16 13:56:31,+0000,pymods.py,MODIFY,26,2,PythonFiles\pymods\4cd8583e\66c3b901cd55970df9eab4cdd816e4605c7c5d74\66c3b901cd55970df9eab4cdd816e4605c7c5d74_pymods_4cd8583e_20160916_095631_before_1.py,PythonFiles\pymods\4cd8583e\66c3b901cd55970df9eab4cdd816e4605c7c5d74\66c3b901cd55970df9eab4cdd816e4605c7c5d74_pymods_4cd8583e_20160916_095631_after_1.py
66c3b901cd55970df9eab4cdd816e4605c7c5d74,pymods,4cd8583e,2016-09-16 13:56:31,+0000,test.py,MODIFY,4,7,PythonFiles\pymods\4cd8583e\66c3b901cd55970df9eab4cdd816e4605c7c5d74\66c3b901cd55970df9eab4cdd816e4605c7c5d74_pymods_4cd8583e_20160916_095631_before_2.py,PythonFiles\pymods\4cd8583e\66c3b901cd55970df9eab4cdd816e4605c7c5d74\66c3b901cd55970df9eab4cdd816e4605c7c5d74_pymods_4cd8583e_20160916_095631_after_2.py
23e83b535b0481c99201e017140b443b7b029562,pymods,4cd8583e,2016-09-16 14:22:20,+0000,pymods.py,MODIFY,7,6,PythonFiles\pymods\4cd8583e\23e83b535b0481c99201e017140b443b7b029562\23e83b535b0481c99201e017140b443b7b029562_pymods_4cd8583e_20160916_102220_before_2.py,PythonFiles\pymods\4cd8583e\23e83b535b0481c99201e017140b443b7b029562\23e83b535b0481c99201e017140b443b7b029562_pymods_4cd8583e_20160916_102220_after_2.py
24eb97e68b3d8aad2682c63eeedc7561518f32d7,pymods,4cd8583e,2016-09-16 18:14:47,+0000,pymods.py,MODIFY,252,248,PythonFiles\pymods\4cd8583e\24eb97e68b3d8aad2682c63eeedc7561518f32d7\24eb97e68b3d8aad2682c63eeedc7561518f32d7_pymods_4cd8583e_20160916_141447_before_2.py,PythonFiles\pymods\4cd8583e\24eb97e68b3d8aad2682c63eeedc7561518f32d7\24eb97e68b3d8aad2682c63eeedc7561518f32d7_pymods_4cd8583e_20160916_141447_after_2.py
24eb97e68b3d8aad2682c63eeedc7561518f32d7,pymods,4cd8583e,2016-09-16 18:14:47,+0000,test.py,MODIFY,3,3,PythonFiles\pymods\4cd8583e\24eb97e68b3d8aad2682c63eeedc7561518f32d7\24eb97e68b3d8aad2682c63eeedc7561518f32d7_pymods_4cd8583e_20160916_141447_before_3.py,PythonFiles\pymods\4cd8583e\24eb97e68b3d8aad2682c63eeedc7561518f32d7\24eb97e68b3d8aad2682c63eeedc7561518f32d7_pymods_4cd8583e_20160916_141447_after_3.py
36755f6ac1ddbea7a86b74107eb92f12393d2bc5,pymods,4cd8583e,2016-09-16 18:17:13,+0000,pymods.py,MODIFY,1,1,PythonFiles\pymods\4cd8583e\36755f6ac1ddbea7a86b74107eb92f12393d2bc5\36755f6ac1ddbea7a86b74107eb92f12393d2bc5_pymods_4cd8583e_20160916_141713_before_2.py,PythonFiles\pymods\4cd8583e\36755f6ac1ddbea7a86b74107eb92f12393d2bc5\36755f6ac1ddbea7a86b74107eb92f12393d2bc5_pymods_4cd8583e_20160916_141713_after_2.py
36755f6ac1ddbea7a86b74107eb92f12393d2bc5,pymods,4cd8583e,2016-09-16 18:17:13,+0000,test.py,MODIFY,2,2,PythonFiles\pymods\4cd8583e\36755f6ac1ddbea7a86b74107eb92f12393d2bc5\36755f6ac1ddbea7a86b74107eb92f12393d2bc5_pymods_4cd8583e_20160916_141713_before_3.py,PythonFiles\pymods\4cd8583e\36755f6ac1ddbea7a86b74107eb92f12393d2bc5\36755f6ac1ddbea7a86b74107eb92f12393d2bc5_pymods_4cd8583e_20160916_141713_after_3.py
afeb64561b32635fb89e25c0eaf0c1764a1c8ea9,pymods,4cd8583e,2016-09-16 19:24:04,+0000,pymods.py,MODIFY,46,3,PythonFiles\pymods\4cd8583e\afeb64561b32635fb89e25c0eaf0c1764a1c8ea9\afeb64561b32635fb89e25c0eaf0c1764a1c8ea9_pymods_4cd8583e_20160916_152404_before_1.py,PythonFiles\pymods\4cd8583e\afeb64561b32635fb89e25c0eaf0c1764a1c8ea9\afeb64561b32635fb89e25c0eaf0c1764a1c8ea9_pymods_4cd8583e_20160916_152404_after_1.py
afeb64561b32635fb89e25c0eaf0c1764a1c8ea9,pymods,4cd8583e,2016-09-16 19:24:04,+0000,test.py,MODIFY,2,2,PythonFiles\pymods\4cd8583e\afeb64561b32635fb89e25c0eaf0c1764a1c8ea9\afeb64561b32635fb89e25c0eaf0c1764a1c8ea9_pymods_4cd8583e_20160916_152404_before_2.py,PythonFiles\pymods\4cd8583e\afeb64561b32635fb89e25c0eaf0c1764a1c8ea9\afeb64561b32635fb89e25c0eaf0c1764a1c8ea9_pymods_4cd8583e_20160916_152404_after_2.py
31cf818c6cc3e45b56286679947e7f0be8bf7d8b,pymods,4cd8583e,2016-09-16 19:50:34,+0000,pymods.py,MODIFY,11,1,PythonFiles\pymods\4cd8583e\31cf818c6cc3e45b56286679947e7f0be8bf7d8b\31cf818c6cc3e45b56286679947e7f0be8bf7d8b_pymods_4cd8583e_20160916_155034_before_1.py,PythonFiles\pymods\4cd8583e\31cf818c6cc3e45b56286679947e7f0be8bf7d8b\31cf818c6cc3e45b56286679947e7f0be8bf7d8b_pymods_4cd8583e_20160916_155034_after_1.py
31cf818c6cc3e45b56286679947e7f0be8bf7d8b,pymods,4cd8583e,2016-09-16 19:50:34,+0000,test.py,MODIFY,1,1,PythonFiles\pymods\4cd8583e\31cf818c6cc3e45b56286679947e7f0be8bf7d8b\31cf818c6cc3e45b56286679947e7f0be8bf7d8b_pymods_4cd8583e_20160916_155034_before_2.py,PythonFiles\pymods\4cd8583e\31cf818c6cc3e45b56286679947e7f0be8bf7d8b\31cf818c6cc3e45b56286679947e7f0be8bf7d8b_pymods_4cd8583e_20160916_155034_after_2.py
