CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
5c3d7b7f3583e114e56f3cd02428d041cea2225e,pysftpserver,675a1f40,2014-06-25 15:58:04,+0000,pysftpserver.py,ADD,238,0,,PythonFiles\pysftpserver\675a1f40\5c3d7b7f3583e114e56f3cd02428d041cea2225e\5c3d7b7f3583e114e56f3cd02428d041cea2225e_pysftpserver_675a1f40_20140625_175804_after_1.py
0a47f95f0ef400878203effa406a42b9fbf07d75,pysftpserver,675a1f40,2014-06-26 10:16:26,+0000,pysftpserver.py,MODIFY,197,61,PythonFiles\pysftpserver\675a1f40\0a47f95f0ef400878203effa406a42b9fbf07d75\0a47f95f0ef400878203effa406a42b9fbf07d75_pysftpserver_675a1f40_20140626_121626_before_1.py,PythonFiles\pysftpserver\675a1f40\0a47f95f0ef400878203effa406a42b9fbf07d75\0a47f95f0ef400878203effa406a42b9fbf07d75_pysftpserver_675a1f40_20140626_121626_after_1.py
a5a79183807cfe98258c55f1b665d776b15b7944,pysftpserver,675a1f40,2014-06-26 10:18:55,+0000,pysftpserver.py,MODIFY,1,0,PythonFiles\pysftpserver\675a1f40\a5a79183807cfe98258c55f1b665d776b15b7944\a5a79183807cfe98258c55f1b665d776b15b7944_pysftpserver_675a1f40_20140626_121855_before_1.py,PythonFiles\pysftpserver\675a1f40\a5a79183807cfe98258c55f1b665d776b15b7944\a5a79183807cfe98258c55f1b665d776b15b7944_pysftpserver_675a1f40_20140626_121855_after_1.py
ff058a0728e3f569686eb31b7fd37d9a5729bcf5,pysftpserver,675a1f40,2014-06-26 12:21:12,+0000,virtualchroot.py,ADD,4,0,,PythonFiles\pysftpserver\675a1f40\ff058a0728e3f569686eb31b7fd37d9a5729bcf5\ff058a0728e3f569686eb31b7fd37d9a5729bcf5_pysftpserver_675a1f40_20140626_142112_after_1.py
ff058a0728e3f569686eb31b7fd37d9a5729bcf5,pysftpserver,675a1f40,2014-06-26 12:21:12,+0000,__init__.py,ADD,1,0,,PythonFiles\pysftpserver\675a1f40\ff058a0728e3f569686eb31b7fd37d9a5729bcf5\ff058a0728e3f569686eb31b7fd37d9a5729bcf5_pysftpserver_675a1f40_20140626_142112_after_2.py
ff058a0728e3f569686eb31b7fd37d9a5729bcf5,pysftpserver,675a1f40,2014-06-26 12:21:12,+0000,server.py,RENAME,26,13,PythonFiles\pysftpserver\675a1f40\ff058a0728e3f569686eb31b7fd37d9a5729bcf5\ff058a0728e3f569686eb31b7fd37d9a5729bcf5_pysftpserver_675a1f40_20140626_142112_before_3.py,PythonFiles\pysftpserver\675a1f40\ff058a0728e3f569686eb31b7fd37d9a5729bcf5\ff058a0728e3f569686eb31b7fd37d9a5729bcf5_pysftpserver_675a1f40_20140626_142112_after_3.py
ff058a0728e3f569686eb31b7fd37d9a5729bcf5,pysftpserver,675a1f40,2014-06-26 12:21:12,+0000,run_all.py,ADD,10,0,,PythonFiles\pysftpserver\675a1f40\ff058a0728e3f569686eb31b7fd37d9a5729bcf5\ff058a0728e3f569686eb31b7fd37d9a5729bcf5_pysftpserver_675a1f40_20140626_142112_after_5.py
ff058a0728e3f569686eb31b7fd37d9a5729bcf5,pysftpserver,675a1f40,2014-06-26 12:21:12,+0000,test_server.py,ADD,59,0,,PythonFiles\pysftpserver\675a1f40\ff058a0728e3f569686eb31b7fd37d9a5729bcf5\ff058a0728e3f569686eb31b7fd37d9a5729bcf5_pysftpserver_675a1f40_20140626_142112_after_6.py
6eb2a8c9d56aadd944b46a1276adedecfe604574,pysftpserver,675a1f40,2014-06-26 12:58:54,+0000,test_server.py,MODIFY,33,14,PythonFiles\pysftpserver\675a1f40\6eb2a8c9d56aadd944b46a1276adedecfe604574\6eb2a8c9d56aadd944b46a1276adedecfe604574_pysftpserver_675a1f40_20140626_145854_before_2.py,PythonFiles\pysftpserver\675a1f40\6eb2a8c9d56aadd944b46a1276adedecfe604574\6eb2a8c9d56aadd944b46a1276adedecfe604574_pysftpserver_675a1f40_20140626_145854_after_2.py
275f32796f67cabccac7dfa153ee0ff8997c37e4,pysftpserver,675a1f40,2014-06-26 13:00:30,+0000,test_server.py,MODIFY,0,2,PythonFiles\pysftpserver\675a1f40\275f32796f67cabccac7dfa153ee0ff8997c37e4\275f32796f67cabccac7dfa153ee0ff8997c37e4_pysftpserver_675a1f40_20140626_150030_before_1.py,PythonFiles\pysftpserver\675a1f40\275f32796f67cabccac7dfa153ee0ff8997c37e4\275f32796f67cabccac7dfa153ee0ff8997c37e4_pysftpserver_675a1f40_20140626_150030_after_1.py
