CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
fe03cf0064b0749d85e71b4742dc60fd60646c2e,pyspv,70345764,2014-01-18 10:49:36,+0000,__init__.py,ADD,13,0,,PythonFiles\pyspv\70345764\fe03cf0064b0749d85e71b4742dc60fd60646c2e\fe03cf0064b0749d85e71b4742dc60fd60646c2e_pyspv_70345764_20140118_174936_after_3.py
fe03cf0064b0749d85e71b4742dc60fd60646c2e,pyspv,70345764,2014-01-18 10:49:36,+0000,bitcoin.py,ADD,11,0,,PythonFiles\pyspv\70345764\fe03cf0064b0749d85e71b4742dc60fd60646c2e\fe03cf0064b0749d85e71b4742dc60fd60646c2e_pyspv_70345764_20140118_174936_after_4.py
fe03cf0064b0749d85e71b4742dc60fd60646c2e,pyspv,70345764,2014-01-18 10:49:36,+0000,inv.py,ADD,21,0,,PythonFiles\pyspv\70345764\fe03cf0064b0749d85e71b4742dc60fd60646c2e\fe03cf0064b0749d85e71b4742dc60fd60646c2e_pyspv_70345764_20140118_174936_after_5.py
fe03cf0064b0749d85e71b4742dc60fd60646c2e,pyspv,70345764,2014-01-18 10:49:36,+0000,network.py,ADD,411,0,,PythonFiles\pyspv\70345764\fe03cf0064b0749d85e71b4742dc60fd60646c2e\fe03cf0064b0749d85e71b4742dc60fd60646c2e_pyspv_70345764_20140118_174936_after_6.py
fe03cf0064b0749d85e71b4742dc60fd60646c2e,pyspv,70345764,2014-01-18 10:49:36,+0000,serialize.py,ADD,156,0,,PythonFiles\pyspv\70345764\fe03cf0064b0749d85e71b4742dc60fd60646c2e\fe03cf0064b0749d85e71b4742dc60fd60646c2e_pyspv_70345764_20140118_174936_after_7.py
fe03cf0064b0749d85e71b4742dc60fd60646c2e,pyspv,70345764,2014-01-18 10:49:36,+0000,util.py,ADD,19,0,,PythonFiles\pyspv\70345764\fe03cf0064b0749d85e71b4742dc60fd60646c2e\fe03cf0064b0749d85e71b4742dc60fd60646c2e_pyspv_70345764_20140118_174936_after_8.py
fe03cf0064b0749d85e71b4742dc60fd60646c2e,pyspv,70345764,2014-01-18 10:49:36,+0000,test1.py,ADD,27,0,,PythonFiles\pyspv\70345764\fe03cf0064b0749d85e71b4742dc60fd60646c2e\fe03cf0064b0749d85e71b4742dc60fd60646c2e_pyspv_70345764_20140118_174936_after_9.py
1fde5a04917fe1da7da1d61b9ee643aa14ab89fa,pyspv,70345764,2014-01-19 15:20:44,+0000,inv.py,MODIFY,23,2,PythonFiles\pyspv\70345764\1fde5a04917fe1da7da1d61b9ee643aa14ab89fa\1fde5a04917fe1da7da1d61b9ee643aa14ab89fa_pyspv_70345764_20140119_222044_before_1.py,PythonFiles\pyspv\70345764\1fde5a04917fe1da7da1d61b9ee643aa14ab89fa\1fde5a04917fe1da7da1d61b9ee643aa14ab89fa_pyspv_70345764_20140119_222044_after_1.py
1fde5a04917fe1da7da1d61b9ee643aa14ab89fa,pyspv,70345764,2014-01-19 15:20:44,+0000,network.py,MODIFY,111,16,PythonFiles\pyspv\70345764\1fde5a04917fe1da7da1d61b9ee643aa14ab89fa\1fde5a04917fe1da7da1d61b9ee643aa14ab89fa_pyspv_70345764_20140119_222044_before_2.py,PythonFiles\pyspv\70345764\1fde5a04917fe1da7da1d61b9ee643aa14ab89fa\1fde5a04917fe1da7da1d61b9ee643aa14ab89fa_pyspv_70345764_20140119_222044_after_2.py
1fde5a04917fe1da7da1d61b9ee643aa14ab89fa,pyspv,70345764,2014-01-19 15:20:44,+0000,script.py,ADD,8,0,,PythonFiles\pyspv\70345764\1fde5a04917fe1da7da1d61b9ee643aa14ab89fa\1fde5a04917fe1da7da1d61b9ee643aa14ab89fa_pyspv_70345764_20140119_222044_after_3.py
1fde5a04917fe1da7da1d61b9ee643aa14ab89fa,pyspv,70345764,2014-01-19 15:20:44,+0000,transaction.py,ADD,146,0,,PythonFiles\pyspv\70345764\1fde5a04917fe1da7da1d61b9ee643aa14ab89fa\1fde5a04917fe1da7da1d61b9ee643aa14ab89fa_pyspv_70345764_20140119_222044_after_4.py
