CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
f02a35d826e300eeb6c6154f997dd817e5b6503c,pyswagger,e5a7858a,2014-07-28 06:57:28,+0000,__init__.py,ADD,3,0,,PythonFiles\pyswagger\e5a7858a\f02a35d826e300eeb6c6154f997dd817e5b6503c\f02a35d826e300eeb6c6154f997dd817e5b6503c_pyswagger_e5a7858a_20140728_145728_after_2.py
f02a35d826e300eeb6c6154f997dd817e5b6503c,pyswagger,e5a7858a,2014-07-28 06:57:28,+0000,const.py,ADD,2,0,,PythonFiles\pyswagger\e5a7858a\f02a35d826e300eeb6c6154f997dd817e5b6503c\f02a35d826e300eeb6c6154f997dd817e5b6503c_pyswagger_e5a7858a_20140728_145728_after_3.py
f02a35d826e300eeb6c6154f997dd817e5b6503c,pyswagger,e5a7858a,2014-07-28 06:57:28,+0000,core.py,ADD,66,0,,PythonFiles\pyswagger\e5a7858a\f02a35d826e300eeb6c6154f997dd817e5b6503c\f02a35d826e300eeb6c6154f997dd817e5b6503c_pyswagger_e5a7858a_20140728_145728_after_4.py
f02a35d826e300eeb6c6154f997dd817e5b6503c,pyswagger,e5a7858a,2014-07-28 06:57:28,+0000,ctx.py,ADD,7,0,,PythonFiles\pyswagger\e5a7858a\f02a35d826e300eeb6c6154f997dd817e5b6503c\f02a35d826e300eeb6c6154f997dd817e5b6503c_pyswagger_e5a7858a_20140728_145728_after_5.py
f02a35d826e300eeb6c6154f997dd817e5b6503c,pyswagger,e5a7858a,2014-07-28 06:57:28,+0000,getter.py,ADD,51,0,,PythonFiles\pyswagger\e5a7858a\f02a35d826e300eeb6c6154f997dd817e5b6503c\f02a35d826e300eeb6c6154f997dd817e5b6503c_pyswagger_e5a7858a_20140728_145728_after_6.py
a064d21a560b61def520bc83d13d7f6bc85b193a,pyswagger,e5a7858a,2014-07-28 06:58:09,+0000,__init__.py,ADD,0,0,,
a064d21a560b61def520bc83d13d7f6bc85b193a,pyswagger,e5a7858a,2014-07-28 06:58:09,+0000,__init__.py,ADD,0,0,,
a064d21a560b61def520bc83d13d7f6bc85b193a,pyswagger,e5a7858a,2014-07-28 06:58:09,+0000,test_basic.py,ADD,12,0,,PythonFiles\pyswagger\e5a7858a\a064d21a560b61def520bc83d13d7f6bc85b193a\a064d21a560b61def520bc83d13d7f6bc85b193a_pyswagger_e5a7858a_20140728_145809_after_3.py
a064d21a560b61def520bc83d13d7f6bc85b193a,pyswagger,e5a7858a,2014-07-28 06:58:09,+0000,utils.py,ADD,13,0,,PythonFiles\pyswagger\e5a7858a\a064d21a560b61def520bc83d13d7f6bc85b193a\a064d21a560b61def520bc83d13d7f6bc85b193a_pyswagger_e5a7858a_20140728_145809_after_4.py
375183cc2e0388b9ab7deab6a2410953915b090b,pyswagger,e5a7858a,2014-07-29 05:56:32,+0000,ctx.py,DELETE,0,7,PythonFiles\pyswagger\e5a7858a\375183cc2e0388b9ab7deab6a2410953915b090b\375183cc2e0388b9ab7deab6a2410953915b090b_pyswagger_e5a7858a_20140729_135632_before_1.py,
