CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
640acb0b399a9fc5827e04eee0d3e200c4889837,python-bandsintown,a003f357,2015-04-22 01:02:53,+0000,__init__.py,ADD,0,0,,
640acb0b399a9fc5827e04eee0d3e200c4889837,python-bandsintown,a003f357,2015-04-22 01:02:53,+0000,client.py,ADD,0,0,,
640acb0b399a9fc5827e04eee0d3e200c4889837,python-bandsintown,a003f357,2015-04-22 01:02:53,+0000,__init__.py,ADD,0,0,,
c4f6e43d33e34a5b4e5cd5eb2b5afcad38883881,python-bandsintown,a003f357,2015-04-23 00:43:13,+0000,__init__.py,MODIFY,1,0,,PythonFiles\python-bandsintown\a003f357\c4f6e43d33e34a5b4e5cd5eb2b5afcad38883881\c4f6e43d33e34a5b4e5cd5eb2b5afcad38883881_python-bandsintown_a003f357_20150422_174313_after_2.py
c4f6e43d33e34a5b4e5cd5eb2b5afcad38883881,python-bandsintown,a003f357,2015-04-23 00:43:13,+0000,client.py,MODIFY,76,0,,PythonFiles\python-bandsintown\a003f357\c4f6e43d33e34a5b4e5cd5eb2b5afcad38883881\c4f6e43d33e34a5b4e5cd5eb2b5afcad38883881_python-bandsintown_a003f357_20150422_174313_after_3.py
c4f6e43d33e34a5b4e5cd5eb2b5afcad38883881,python-bandsintown,a003f357,2015-04-23 00:43:13,+0000,test_client.py,ADD,20,0,,PythonFiles\python-bandsintown\a003f357\c4f6e43d33e34a5b4e5cd5eb2b5afcad38883881\c4f6e43d33e34a5b4e5cd5eb2b5afcad38883881_python-bandsintown_a003f357_20150422_174313_after_4.py
50b45c3b466ff495a18b8bc83f16b400ab829491,python-bandsintown,a003f357,2015-04-23 22:25:07,+0000,client.py,MODIFY,126,32,PythonFiles\python-bandsintown\a003f357\50b45c3b466ff495a18b8bc83f16b400ab829491\50b45c3b466ff495a18b8bc83f16b400ab829491_python-bandsintown_a003f357_20150423_152507_before_1.py,PythonFiles\python-bandsintown\a003f357\50b45c3b466ff495a18b8bc83f16b400ab829491\50b45c3b466ff495a18b8bc83f16b400ab829491_python-bandsintown_a003f357_20150423_152507_after_1.py
50b45c3b466ff495a18b8bc83f16b400ab829491,python-bandsintown,a003f357,2015-04-23 22:25:07,+0000,test_client.py,MODIFY,35,4,PythonFiles\python-bandsintown\a003f357\50b45c3b466ff495a18b8bc83f16b400ab829491\50b45c3b466ff495a18b8bc83f16b400ab829491_python-bandsintown_a003f357_20150423_152507_before_2.py,PythonFiles\python-bandsintown\a003f357\50b45c3b466ff495a18b8bc83f16b400ab829491\50b45c3b466ff495a18b8bc83f16b400ab829491_python-bandsintown_a003f357_20150423_152507_after_2.py
47de48aa46fdfc0ce32eec78c683a83df410ee7b,python-bandsintown,a003f357,2015-04-23 23:13:00,+0000,__init__.py,MODIFY,3,1,PythonFiles\python-bandsintown\a003f357\47de48aa46fdfc0ce32eec78c683a83df410ee7b\47de48aa46fdfc0ce32eec78c683a83df410ee7b_python-bandsintown_a003f357_20150423_161300_before_1.py,PythonFiles\python-bandsintown\a003f357\47de48aa46fdfc0ce32eec78c683a83df410ee7b\47de48aa46fdfc0ce32eec78c683a83df410ee7b_python-bandsintown_a003f357_20150423_161300_after_1.py
47de48aa46fdfc0ce32eec78c683a83df410ee7b,python-bandsintown,a003f357,2015-04-23 23:13:00,+0000,client.py,MODIFY,16,3,PythonFiles\python-bandsintown\a003f357\47de48aa46fdfc0ce32eec78c683a83df410ee7b\47de48aa46fdfc0ce32eec78c683a83df410ee7b_python-bandsintown_a003f357_20150423_161300_before_2.py,PythonFiles\python-bandsintown\a003f357\47de48aa46fdfc0ce32eec78c683a83df410ee7b\47de48aa46fdfc0ce32eec78c683a83df410ee7b_python-bandsintown_a003f357_20150423_161300_after_2.py
