CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
57693d2436cce006df3403b868987507af6e3f1d,python-ddp,08cde78d,2014-06-25 22:20:08,+0000,DDPClient.py,ADD,148,0,,PythonFiles\python-ddp\08cde78d\57693d2436cce006df3403b868987507af6e3f1d\57693d2436cce006df3403b868987507af6e3f1d_python-ddp_08cde78d_20140625_152008_after_2.py
57693d2436cce006df3403b868987507af6e3f1d,python-ddp,08cde78d,2014-06-25 22:20:08,+0000,setup.py,ADD,31,0,,PythonFiles\python-ddp\08cde78d\57693d2436cce006df3403b868987507af6e3f1d\57693d2436cce006df3403b868987507af6e3f1d_python-ddp_08cde78d_20140625_152008_after_5.py
d5e8b191c0b44ab64405b11e7646c8baed41b778,python-ddp,08cde78d,2014-07-10 17:51:28,+0000,DDPClient.py,MODIFY,93,25,PythonFiles\python-ddp\08cde78d\d5e8b191c0b44ab64405b11e7646c8baed41b778\d5e8b191c0b44ab64405b11e7646c8baed41b778_python-ddp_08cde78d_20140710_105128_before_1.py,PythonFiles\python-ddp\08cde78d\d5e8b191c0b44ab64405b11e7646c8baed41b778\d5e8b191c0b44ab64405b11e7646c8baed41b778_python-ddp_08cde78d_20140710_105128_after_1.py
d5e8b191c0b44ab64405b11e7646c8baed41b778,python-ddp,08cde78d,2014-07-10 17:51:28,+0000,setup.py,MODIFY,1,1,PythonFiles\python-ddp\08cde78d\d5e8b191c0b44ab64405b11e7646c8baed41b778\d5e8b191c0b44ab64405b11e7646c8baed41b778_python-ddp_08cde78d_20140710_105128_before_3.py,PythonFiles\python-ddp\08cde78d\d5e8b191c0b44ab64405b11e7646c8baed41b778\d5e8b191c0b44ab64405b11e7646c8baed41b778_python-ddp_08cde78d_20140710_105128_after_3.py
12b709dfe3d629f7a3384505b23f543f3f3802ac,python-ddp,08cde78d,2014-07-10 21:52:01,+0000,DDPClient.py,MODIFY,2,2,PythonFiles\python-ddp\08cde78d\12b709dfe3d629f7a3384505b23f543f3f3802ac\12b709dfe3d629f7a3384505b23f543f3f3802ac_python-ddp_08cde78d_20140710_145201_before_1.py,PythonFiles\python-ddp\08cde78d\12b709dfe3d629f7a3384505b23f543f3f3802ac\12b709dfe3d629f7a3384505b23f543f3f3802ac_python-ddp_08cde78d_20140710_145201_after_1.py
ab7429348725e152f4d85bc03e4679c5098b1a40,python-ddp,56baee90,2014-08-14 14:27:20,+0000,DDPClient.py,MODIFY,2,1,PythonFiles\python-ddp\56baee90\ab7429348725e152f4d85bc03e4679c5098b1a40\ab7429348725e152f4d85bc03e4679c5098b1a40_python-ddp_56baee90_20140814_152720_before_1.py,PythonFiles\python-ddp\56baee90\ab7429348725e152f4d85bc03e4679c5098b1a40\ab7429348725e152f4d85bc03e4679c5098b1a40_python-ddp_56baee90_20140814_152720_after_1.py
efcdcc6788dec82b0924741eb42369ff374bd645,python-ddp,6023da90,2014-08-21 17:32:11,+0000,setup.py,MODIFY,1,1,PythonFiles\python-ddp\6023da90\efcdcc6788dec82b0924741eb42369ff374bd645\efcdcc6788dec82b0924741eb42369ff374bd645_python-ddp_6023da90_20140821_103211_before_2.py,PythonFiles\python-ddp\6023da90\efcdcc6788dec82b0924741eb42369ff374bd645\efcdcc6788dec82b0924741eb42369ff374bd645_python-ddp_6023da90_20140821_103211_after_2.py
5998839866fccfee8a456cb5cb2559a320f2203d,python-ddp,6023da90,2014-11-20 16:27:54,+0000,DDPClient.py,MODIFY,26,0,PythonFiles\python-ddp\6023da90\5998839866fccfee8a456cb5cb2559a320f2203d\5998839866fccfee8a456cb5cb2559a320f2203d_python-ddp_6023da90_20141120_082754_before_1.py,PythonFiles\python-ddp\6023da90\5998839866fccfee8a456cb5cb2559a320f2203d\5998839866fccfee8a456cb5cb2559a320f2203d_python-ddp_6023da90_20141120_082754_after_1.py
9db84530ac3c309604ef756b6c32cdeb91fb93c8,python-ddp,6023da90,2014-11-20 16:30:59,+0000,setup.py,MODIFY,1,1,PythonFiles\python-ddp\6023da90\9db84530ac3c309604ef756b6c32cdeb91fb93c8\9db84530ac3c309604ef756b6c32cdeb91fb93c8_python-ddp_6023da90_20141120_083059_before_1.py,PythonFiles\python-ddp\6023da90\9db84530ac3c309604ef756b6c32cdeb91fb93c8\9db84530ac3c309604ef756b6c32cdeb91fb93c8_python-ddp_6023da90_20141120_083059_after_1.py
814d7744671aaa8c166f490d38df24c909e7f3ff,python-ddp,56baee90,2015-01-08 15:48:37,+0000,DDPClient.py,MODIFY,9,3,PythonFiles\python-ddp\56baee90\814d7744671aaa8c166f490d38df24c909e7f3ff\814d7744671aaa8c166f490d38df24c909e7f3ff_python-ddp_56baee90_20150108_154837_before_1.py,PythonFiles\python-ddp\56baee90\814d7744671aaa8c166f490d38df24c909e7f3ff\814d7744671aaa8c166f490d38df24c909e7f3ff_python-ddp_56baee90_20150108_154837_after_1.py
06ac10cf45a29db1ec70fc38f847b51630a7ebed,python-ddp,56baee90,2015-01-12 17:31:01,+0000,DDPClient.py,MODIFY,3,22,PythonFiles\python-ddp\56baee90\06ac10cf45a29db1ec70fc38f847b51630a7ebed\06ac10cf45a29db1ec70fc38f847b51630a7ebed_python-ddp_56baee90_20150112_173101_before_1.py,PythonFiles\python-ddp\56baee90\06ac10cf45a29db1ec70fc38f847b51630a7ebed\06ac10cf45a29db1ec70fc38f847b51630a7ebed_python-ddp_56baee90_20150112_173101_after_1.py
d50a6dc025e316d113e3a12e8a4980f22e8b78e0,python-ddp,6023da90,2015-02-08 21:58:56,+0000,setup.py,MODIFY,1,1,PythonFiles\python-ddp\6023da90\d50a6dc025e316d113e3a12e8a4980f22e8b78e0\d50a6dc025e316d113e3a12e8a4980f22e8b78e0_python-ddp_6023da90_20150208_135856_before_2.py,PythonFiles\python-ddp\6023da90\d50a6dc025e316d113e3a12e8a4980f22e8b78e0\d50a6dc025e316d113e3a12e8a4980f22e8b78e0_python-ddp_6023da90_20150208_135856_after_2.py
9560b458f5cabd369fae4efe5717830de9118614,python-ddp,56baee90,2015-03-02 14:00:00,+0000,DDPClient.py,MODIFY,9,1,PythonFiles\python-ddp\56baee90\9560b458f5cabd369fae4efe5717830de9118614\9560b458f5cabd369fae4efe5717830de9118614_python-ddp_56baee90_20150302_140000_before_1.py,PythonFiles\python-ddp\56baee90\9560b458f5cabd369fae4efe5717830de9118614\9560b458f5cabd369fae4efe5717830de9118614_python-ddp_56baee90_20150302_140000_after_1.py
b3867f5c2873081fe59996c764f5c04720d328d5,python-ddp,56baee90,2015-03-02 17:20:12,+0000,DDPClient.py,MODIFY,31,6,PythonFiles\python-ddp\56baee90\b3867f5c2873081fe59996c764f5c04720d328d5\b3867f5c2873081fe59996c764f5c04720d328d5_python-ddp_56baee90_20150302_172012_before_1.py,PythonFiles\python-ddp\56baee90\b3867f5c2873081fe59996c764f5c04720d328d5\b3867f5c2873081fe59996c764f5c04720d328d5_python-ddp_56baee90_20150302_172012_after_1.py
e514c4dc2dba5af8e58494eae20c78c0a760384e,python-ddp,ed058cf7,2015-04-03 08:12:58,+0000,DDPClient.py,MODIFY,4,4,PythonFiles\python-ddp\ed058cf7\e514c4dc2dba5af8e58494eae20c78c0a760384e\e514c4dc2dba5af8e58494eae20c78c0a760384e_python-ddp_ed058cf7_20150403_101258_before_1.py,PythonFiles\python-ddp\ed058cf7\e514c4dc2dba5af8e58494eae20c78c0a760384e\e514c4dc2dba5af8e58494eae20c78c0a760384e_python-ddp_ed058cf7_20150403_101258_after_1.py
e514c4dc2dba5af8e58494eae20c78c0a760384e,python-ddp,ed058cf7,2015-04-03 08:12:58,+0000,setup.py,MODIFY,2,1,PythonFiles\python-ddp\ed058cf7\e514c4dc2dba5af8e58494eae20c78c0a760384e\e514c4dc2dba5af8e58494eae20c78c0a760384e_python-ddp_ed058cf7_20150403_101258_before_2.py,PythonFiles\python-ddp\ed058cf7\e514c4dc2dba5af8e58494eae20c78c0a760384e\e514c4dc2dba5af8e58494eae20c78c0a760384e_python-ddp_ed058cf7_20150403_101258_after_2.py
00bdf33c20ecba56623890515381154e14c5b757,python-ddp,6023da90,2015-04-04 00:58:32,+0000,setup.py,MODIFY,2,2,PythonFiles\python-ddp\6023da90\00bdf33c20ecba56623890515381154e14c5b757\00bdf33c20ecba56623890515381154e14c5b757_python-ddp_6023da90_20150403_175832_before_1.py,PythonFiles\python-ddp\6023da90\00bdf33c20ecba56623890515381154e14c5b757\00bdf33c20ecba56623890515381154e14c5b757_python-ddp_6023da90_20150403_175832_after_1.py
