CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d,pytrade,6a3cbe37,2016-08-11 05:54:05,+0000,function_test.py,ADD,52,0,,PythonFiles\pytrade\6a3cbe37\f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d\f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d_pytrade_6a3cbe37_20160811_135405_after_3.py
f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d,pytrade,6a3cbe37,2016-08-11 05:54:05,+0000,hello_world.py,ADD,3,0,,PythonFiles\pytrade\6a3cbe37\f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d\f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d_pytrade_6a3cbe37_20160811_135405_after_4.py
f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d,pytrade,6a3cbe37,2016-08-11 05:54:05,+0000,__init__.py,ADD,9,0,,PythonFiles\pytrade\6a3cbe37\f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d\f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d_pytrade_6a3cbe37_20160811_135405_after_5.py
f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d,pytrade,6a3cbe37,2016-08-11 05:54:05,+0000,const.py,ADD,10,0,,PythonFiles\pytrade\6a3cbe37\f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d\f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d_pytrade_6a3cbe37_20160811_135405_after_6.py
f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d,pytrade,6a3cbe37,2016-08-11 05:54:05,+0000,models.py,ADD,255,0,,PythonFiles\pytrade\6a3cbe37\f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d\f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d_pytrade_6a3cbe37_20160811_135405_after_7.py
f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d,pytrade,6a3cbe37,2016-08-11 05:54:05,+0000,proxy.py,ADD,254,0,,PythonFiles\pytrade\6a3cbe37\f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d\f5c2b860ec1fd6c4f95350cdcaa8ee5a3f4ce58d_pytrade_6a3cbe37_20160811_135405_after_8.py
9d1a5dc8b41ed53e7f473e4b6695149027c09727,pytrade,6a3cbe37,2016-08-12 13:18:22,+0000,models.py,MODIFY,9,5,PythonFiles\pytrade\6a3cbe37\9d1a5dc8b41ed53e7f473e4b6695149027c09727\9d1a5dc8b41ed53e7f473e4b6695149027c09727_pytrade_6a3cbe37_20160812_211822_before_2.py,PythonFiles\pytrade\6a3cbe37\9d1a5dc8b41ed53e7f473e4b6695149027c09727\9d1a5dc8b41ed53e7f473e4b6695149027c09727_pytrade_6a3cbe37_20160812_211822_after_2.py
9d1a5dc8b41ed53e7f473e4b6695149027c09727,pytrade,6a3cbe37,2016-08-12 13:18:22,+0000,proxy.py,MODIFY,64,41,PythonFiles\pytrade\6a3cbe37\9d1a5dc8b41ed53e7f473e4b6695149027c09727\9d1a5dc8b41ed53e7f473e4b6695149027c09727_pytrade_6a3cbe37_20160812_211822_before_3.py,PythonFiles\pytrade\6a3cbe37\9d1a5dc8b41ed53e7f473e4b6695149027c09727\9d1a5dc8b41ed53e7f473e4b6695149027c09727_pytrade_6a3cbe37_20160812_211822_after_3.py
9d1a5dc8b41ed53e7f473e4b6695149027c09727,pytrade,6a3cbe37,2016-08-12 13:18:22,+0000,___init__.py,ADD,1,0,,PythonFiles\pytrade\6a3cbe37\9d1a5dc8b41ed53e7f473e4b6695149027c09727\9d1a5dc8b41ed53e7f473e4b6695149027c09727_pytrade_6a3cbe37_20160812_211822_after_5.py
9d1a5dc8b41ed53e7f473e4b6695149027c09727,pytrade,6a3cbe37,2016-08-12 13:18:22,+0000,test_err_callback.py,ADD,47,0,,PythonFiles\pytrade\6a3cbe37\9d1a5dc8b41ed53e7f473e4b6695149027c09727\9d1a5dc8b41ed53e7f473e4b6695149027c09727_pytrade_6a3cbe37_20160812_211822_after_6.py
9d1a5dc8b41ed53e7f473e4b6695149027c09727,pytrade,6a3cbe37,2016-08-12 13:18:22,+0000,test_models.py,ADD,138,0,,PythonFiles\pytrade\6a3cbe37\9d1a5dc8b41ed53e7f473e4b6695149027c09727\9d1a5dc8b41ed53e7f473e4b6695149027c09727_pytrade_6a3cbe37_20160812_211822_after_7.py
9d1a5dc8b41ed53e7f473e4b6695149027c09727,pytrade,6a3cbe37,2016-08-12 13:18:22,+0000,test_req_callback.py,ADD,82,0,,PythonFiles\pytrade\6a3cbe37\9d1a5dc8b41ed53e7f473e4b6695149027c09727\9d1a5dc8b41ed53e7f473e4b6695149027c09727_pytrade_6a3cbe37_20160812_211822_after_8.py
9d1a5dc8b41ed53e7f473e4b6695149027c09727,pytrade,6a3cbe37,2016-08-12 13:18:22,+0000,test_res_callback.py,ADD,123,0,,PythonFiles\pytrade\6a3cbe37\9d1a5dc8b41ed53e7f473e4b6695149027c09727\9d1a5dc8b41ed53e7f473e4b6695149027c09727_pytrade_6a3cbe37_20160812_211822_after_9.py
9d1a5dc8b41ed53e7f473e4b6695149027c09727,pytrade,6a3cbe37,2016-08-12 13:18:22,+0000,utils.py,ADD,87,0,,PythonFiles\pytrade\6a3cbe37\9d1a5dc8b41ed53e7f473e4b6695149027c09727\9d1a5dc8b41ed53e7f473e4b6695149027c09727_pytrade_6a3cbe37_20160812_211822_after_10.py
3546138093c5ed16e57df8d3b93e80ddd2ec83aa,pytrade,6a3cbe37,2016-08-12 13:45:48,+0000,utils.py,MODIFY,1,1,PythonFiles\pytrade\6a3cbe37\3546138093c5ed16e57df8d3b93e80ddd2ec83aa\3546138093c5ed16e57df8d3b93e80ddd2ec83aa_pytrade_6a3cbe37_20160812_214548_before_2.py,PythonFiles\pytrade\6a3cbe37\3546138093c5ed16e57df8d3b93e80ddd2ec83aa\3546138093c5ed16e57df8d3b93e80ddd2ec83aa_pytrade_6a3cbe37_20160812_214548_after_2.py
da3c540d8c704a5fdaffd755b43e213e482f236d,pytrade,6a3cbe37,2016-08-12 13:58:27,+0000,utils.py,MODIFY,1,1,PythonFiles\pytrade\6a3cbe37\da3c540d8c704a5fdaffd755b43e213e482f236d\da3c540d8c704a5fdaffd755b43e213e482f236d_pytrade_6a3cbe37_20160812_215827_before_1.py,PythonFiles\pytrade\6a3cbe37\da3c540d8c704a5fdaffd755b43e213e482f236d\da3c540d8c704a5fdaffd755b43e213e482f236d_pytrade_6a3cbe37_20160812_215827_after_1.py
3a012af919ed45c36b84ffe77d93aad2081ec5a9,pytrade,6a3cbe37,2016-08-12 14:06:22,+0000,utils.py,MODIFY,4,1,PythonFiles\pytrade\6a3cbe37\3a012af919ed45c36b84ffe77d93aad2081ec5a9\3a012af919ed45c36b84ffe77d93aad2081ec5a9_pytrade_6a3cbe37_20160812_220622_before_1.py,PythonFiles\pytrade\6a3cbe37\3a012af919ed45c36b84ffe77d93aad2081ec5a9\3a012af919ed45c36b84ffe77d93aad2081ec5a9_pytrade_6a3cbe37_20160812_220622_after_1.py
1b60ca584e52c5d88ed3cdd80dcf4b6d605b3b4a,pytrade,6a3cbe37,2016-08-12 14:36:29,+0000,test_err_callback.py,MODIFY,1,1,PythonFiles\pytrade\6a3cbe37\1b60ca584e52c5d88ed3cdd80dcf4b6d605b3b4a\1b60ca584e52c5d88ed3cdd80dcf4b6d605b3b4a_pytrade_6a3cbe37_20160812_223629_before_1.py,PythonFiles\pytrade\6a3cbe37\1b60ca584e52c5d88ed3cdd80dcf4b6d605b3b4a\1b60ca584e52c5d88ed3cdd80dcf4b6d605b3b4a_pytrade_6a3cbe37_20160812_223629_after_1.py
1b60ca584e52c5d88ed3cdd80dcf4b6d605b3b4a,pytrade,6a3cbe37,2016-08-12 14:36:29,+0000,utils.py,MODIFY,5,8,PythonFiles\pytrade\6a3cbe37\1b60ca584e52c5d88ed3cdd80dcf4b6d605b3b4a\1b60ca584e52c5d88ed3cdd80dcf4b6d605b3b4a_pytrade_6a3cbe37_20160812_223629_before_2.py,PythonFiles\pytrade\6a3cbe37\1b60ca584e52c5d88ed3cdd80dcf4b6d605b3b4a\1b60ca584e52c5d88ed3cdd80dcf4b6d605b3b4a_pytrade_6a3cbe37_20160812_223629_after_2.py
c9db2afb106d05d57b52bae10c2abd87a10c0e96,pytrade,6a3cbe37,2016-08-12 15:04:34,+0000,utils.py,MODIFY,1,1,PythonFiles\pytrade\6a3cbe37\c9db2afb106d05d57b52bae10c2abd87a10c0e96\c9db2afb106d05d57b52bae10c2abd87a10c0e96_pytrade_6a3cbe37_20160812_230434_before_2.py,PythonFiles\pytrade\6a3cbe37\c9db2afb106d05d57b52bae10c2abd87a10c0e96\c9db2afb106d05d57b52bae10c2abd87a10c0e96_pytrade_6a3cbe37_20160812_230434_after_2.py
d932b10594c8f7316e623d36f923116608521159,pytrade,6a3cbe37,2016-08-12 15:17:37,+0000,models.py,MODIFY,2,2,PythonFiles\pytrade\6a3cbe37\d932b10594c8f7316e623d36f923116608521159\d932b10594c8f7316e623d36f923116608521159_pytrade_6a3cbe37_20160812_231737_before_3.py,PythonFiles\pytrade\6a3cbe37\d932b10594c8f7316e623d36f923116608521159\d932b10594c8f7316e623d36f923116608521159_pytrade_6a3cbe37_20160812_231737_after_3.py
96932c7b759a747c84384abc6fd6a899a9928a73,pytrade,6a3cbe37,2016-08-12 15:50:17,+0000,test_res_callback.py,MODIFY,5,3,PythonFiles\pytrade\6a3cbe37\96932c7b759a747c84384abc6fd6a899a9928a73\96932c7b759a747c84384abc6fd6a899a9928a73_pytrade_6a3cbe37_20160812_235017_before_2.py,PythonFiles\pytrade\6a3cbe37\96932c7b759a747c84384abc6fd6a899a9928a73\96932c7b759a747c84384abc6fd6a899a9928a73_pytrade_6a3cbe37_20160812_235017_after_2.py
92856f41563e8b083545236387155e09e5a43dca,pytrade,6a3cbe37,2016-08-14 14:27:52,+0000,models.py,MODIFY,4,4,PythonFiles\pytrade\6a3cbe37\92856f41563e8b083545236387155e09e5a43dca\92856f41563e8b083545236387155e09e5a43dca_pytrade_6a3cbe37_20160814_222752_before_1.py,PythonFiles\pytrade\6a3cbe37\92856f41563e8b083545236387155e09e5a43dca\92856f41563e8b083545236387155e09e5a43dca_pytrade_6a3cbe37_20160814_222752_after_1.py
92856f41563e8b083545236387155e09e5a43dca,pytrade,6a3cbe37,2016-08-14 14:27:52,+0000,proxy.py,MODIFY,17,17,PythonFiles\pytrade\6a3cbe37\92856f41563e8b083545236387155e09e5a43dca\92856f41563e8b083545236387155e09e5a43dca_pytrade_6a3cbe37_20160814_222752_before_2.py,PythonFiles\pytrade\6a3cbe37\92856f41563e8b083545236387155e09e5a43dca\92856f41563e8b083545236387155e09e5a43dca_pytrade_6a3cbe37_20160814_222752_after_2.py
4eecec234318efbd029ffad44e878161f4605ba0,pytrade,e368698e,2016-10-27 08:16:41,+0000,hello_world.py,MODIFY,1,1,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_before_2.py,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_after_2.py
4eecec234318efbd029ffad44e878161f4605ba0,pytrade,e368698e,2016-10-27 08:16:41,+0000,__init__.py,MODIFY,1,1,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_before_3.py,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_after_3.py
4eecec234318efbd029ffad44e878161f4605ba0,pytrade,e368698e,2016-10-27 08:16:41,+0000,certutil.py,ADD,156,0,,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_after_4.py
4eecec234318efbd029ffad44e878161f4605ba0,pytrade,e368698e,2016-10-27 08:16:41,+0000,const.py,MODIFY,45,2,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_before_5.py,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_after_5.py
4eecec234318efbd029ffad44e878161f4605ba0,pytrade,e368698e,2016-10-27 08:16:41,+0000,https_wrapper.py,ADD,168,0,,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_after_6.py
4eecec234318efbd029ffad44e878161f4605ba0,pytrade,e368698e,2016-10-27 08:16:41,+0000,proxy.py,MODIFY,38,58,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_before_7.py,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_after_7.py
4eecec234318efbd029ffad44e878161f4605ba0,pytrade,e368698e,2016-10-27 08:16:41,+0000,ssl_config.py,ADD,27,0,,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_after_8.py
4eecec234318efbd029ffad44e878161f4605ba0,pytrade,e368698e,2016-10-27 08:16:41,+0000,test_err_callback.py,MODIFY,0,18,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_before_16.py,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_after_16.py
4eecec234318efbd029ffad44e878161f4605ba0,pytrade,e368698e,2016-10-27 08:16:41,+0000,test_models.py,MODIFY,0,12,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_before_17.py,PythonFiles\pytrade\e368698e\4eecec234318efbd029ffad44e878161f4605ba0\4eecec234318efbd029ffad44e878161f4605ba0_pytrade_e368698e_20161027_161641_after_17.py
5b78e6d18e49156e05864fdb2eb70e8916aada2d,pytrade,6a3cbe37,2016-11-28 13:11:19,+0000,certutil.py,MODIFY,5,3,PythonFiles\pytrade\6a3cbe37\5b78e6d18e49156e05864fdb2eb70e8916aada2d\5b78e6d18e49156e05864fdb2eb70e8916aada2d_pytrade_6a3cbe37_20161128_211119_before_2.py,PythonFiles\pytrade\6a3cbe37\5b78e6d18e49156e05864fdb2eb70e8916aada2d\5b78e6d18e49156e05864fdb2eb70e8916aada2d_pytrade_6a3cbe37_20161128_211119_after_2.py
5b78e6d18e49156e05864fdb2eb70e8916aada2d,pytrade,6a3cbe37,2016-11-28 13:11:19,+0000,const.py,MODIFY,2,6,PythonFiles\pytrade\6a3cbe37\5b78e6d18e49156e05864fdb2eb70e8916aada2d\5b78e6d18e49156e05864fdb2eb70e8916aada2d_pytrade_6a3cbe37_20161128_211119_before_3.py,PythonFiles\pytrade\6a3cbe37\5b78e6d18e49156e05864fdb2eb70e8916aada2d\5b78e6d18e49156e05864fdb2eb70e8916aada2d_pytrade_6a3cbe37_20161128_211119_after_3.py
