CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
6354503a1e604155ec2c6921d3d1e70b42a4b1f8,pytzer,b6971623,2018-06-18 10:33:37,+0000,__init__.py,ADD,1,0,,PythonFiles\pytzer\b6971623\6354503a1e604155ec2c6921d3d1e70b42a4b1f8\6354503a1e604155ec2c6921d3d1e70b42a4b1f8_pytzer_b6971623_20180618_113337_after_3.py
6354503a1e604155ec2c6921d3d1e70b42a4b1f8,pytzer,b6971623,2018-06-18 10:33:37,+0000,setup.py,ADD,21,0,,PythonFiles\pytzer\b6971623\6354503a1e604155ec2c6921d3d1e70b42a4b1f8\6354503a1e604155ec2c6921d3d1e70b42a4b1f8_pytzer_b6971623_20180618_113337_after_4.py
ffbd8b89248647df2a58017b0962881aa8a09325,pytzer,b6971623,2018-06-18 10:37:37,+0000,setup.py,MODIFY,11,13,PythonFiles\pytzer\b6971623\ffbd8b89248647df2a58017b0962881aa8a09325\ffbd8b89248647df2a58017b0962881aa8a09325_pytzer_b6971623_20180618_113737_before_1.py,PythonFiles\pytzer\b6971623\ffbd8b89248647df2a58017b0962881aa8a09325\ffbd8b89248647df2a58017b0962881aa8a09325_pytzer_b6971623_20180618_113737_after_1.py
dac6802645e98bdd8c1e9bd9c63db76918b7726a,pytzer,b6971623,2018-06-18 15:13:51,+0000,bcao.py,ADD,148,0,,PythonFiles\pytzer\b6971623\dac6802645e98bdd8c1e9bd9c63db76918b7726a\dac6802645e98bdd8c1e9bd9c63db76918b7726a_pytzer_b6971623_20180618_161351_after_1.py
dac6802645e98bdd8c1e9bd9c63db76918b7726a,pytzer,b6971623,2018-06-18 15:13:51,+0000,constants.py,ADD,7,0,,PythonFiles\pytzer\b6971623\dac6802645e98bdd8c1e9bd9c63db76918b7726a\dac6802645e98bdd8c1e9bd9c63db76918b7726a_pytzer_b6971623_20180618_161351_after_2.py
dac6802645e98bdd8c1e9bd9c63db76918b7726a,pytzer,b6971623,2018-06-18 15:13:51,+0000,dh.py,ADD,42,0,,PythonFiles\pytzer\b6971623\dac6802645e98bdd8c1e9bd9c63db76918b7726a\dac6802645e98bdd8c1e9bd9c63db76918b7726a_pytzer_b6971623_20180618_161351_after_3.py
dac6802645e98bdd8c1e9bd9c63db76918b7726a,pytzer,b6971623,2018-06-18 15:13:51,+0000,fx.py,ADD,22,0,,PythonFiles\pytzer\b6971623\dac6802645e98bdd8c1e9bd9c63db76918b7726a\dac6802645e98bdd8c1e9bd9c63db76918b7726a_pytzer_b6971623_20180618_161351_after_4.py
e5e394b1c33e1cf613ed68398fdde583519bcb29,pytzer,b6971623,2018-06-18 15:14:04,+0000,gibbs.py,ADD,68,0,,PythonFiles\pytzer\b6971623\e5e394b1c33e1cf613ed68398fdde583519bcb29\e5e394b1c33e1cf613ed68398fdde583519bcb29_pytzer_b6971623_20180618_161404_after_1.py
f32fc7b332d6b61f949520db9074821b1e4b986a,pytzer,b6971623,2018-06-18 15:58:24,+0000,bcao.py,MODIFY,58,3,PythonFiles\pytzer\b6971623\f32fc7b332d6b61f949520db9074821b1e4b986a\f32fc7b332d6b61f949520db9074821b1e4b986a_pytzer_b6971623_20180618_165824_before_1.py,PythonFiles\pytzer\b6971623\f32fc7b332d6b61f949520db9074821b1e4b986a\f32fc7b332d6b61f949520db9074821b1e4b986a_pytzer_b6971623_20180618_165824_after_1.py
f32fc7b332d6b61f949520db9074821b1e4b986a,pytzer,b6971623,2018-06-18 15:58:24,+0000,constants.py,MODIFY,1,1,PythonFiles\pytzer\b6971623\f32fc7b332d6b61f949520db9074821b1e4b986a\f32fc7b332d6b61f949520db9074821b1e4b986a_pytzer_b6971623_20180618_165824_before_2.py,PythonFiles\pytzer\b6971623\f32fc7b332d6b61f949520db9074821b1e4b986a\f32fc7b332d6b61f949520db9074821b1e4b986a_pytzer_b6971623_20180618_165824_after_2.py
f32fc7b332d6b61f949520db9074821b1e4b986a,pytzer,b6971623,2018-06-18 15:58:24,+0000,dh.py,MODIFY,1,1,PythonFiles\pytzer\b6971623\f32fc7b332d6b61f949520db9074821b1e4b986a\f32fc7b332d6b61f949520db9074821b1e4b986a_pytzer_b6971623_20180618_165824_before_3.py,PythonFiles\pytzer\b6971623\f32fc7b332d6b61f949520db9074821b1e4b986a\f32fc7b332d6b61f949520db9074821b1e4b986a_pytzer_b6971623_20180618_165824_after_3.py
