CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
3a7aef94fad0a6253b70a8ca937045ab56fac41a,rawpy,69ad15e9,2014-09-21 11:35:41,+0000,__init__.py,ADD,4,0,,PythonFiles\rawpy\69ad15e9\3a7aef94fad0a6253b70a8ca937045ab56fac41a\3a7aef94fad0a6253b70a8ca937045ab56fac41a_rawpy_69ad15e9_20140921_133541_after_11.py
3a7aef94fad0a6253b70a8ca937045ab56fac41a,rawpy,69ad15e9,2014-09-21 11:35:41,+0000,setup.py,ADD,192,0,,PythonFiles\rawpy\69ad15e9\3a7aef94fad0a6253b70a8ca937045ab56fac41a\3a7aef94fad0a6253b70a8ca937045ab56fac41a_rawpy_69ad15e9_20140921_133541_after_12.py
2845465b88d49a2469fa9e864abaf21c1d834f80,rawpy,69ad15e9,2014-09-21 13:29:54,+0000,setup.py,MODIFY,2,2,PythonFiles\rawpy\69ad15e9\2845465b88d49a2469fa9e864abaf21c1d834f80\2845465b88d49a2469fa9e864abaf21c1d834f80_rawpy_69ad15e9_20140921_152954_before_1.py,PythonFiles\rawpy\69ad15e9\2845465b88d49a2469fa9e864abaf21c1d834f80\2845465b88d49a2469fa9e864abaf21c1d834f80_rawpy_69ad15e9_20140921_152954_after_1.py
add33b8a8fbd97e3ee365870278eec01541ebf01,rawpy,69ad15e9,2014-09-21 16:59:09,+0000,__init__.py,MODIFY,11,1,PythonFiles\rawpy\69ad15e9\add33b8a8fbd97e3ee365870278eec01541ebf01\add33b8a8fbd97e3ee365870278eec01541ebf01_rawpy_69ad15e9_20140921_185909_before_2.py,PythonFiles\rawpy\69ad15e9\add33b8a8fbd97e3ee365870278eec01541ebf01\add33b8a8fbd97e3ee365870278eec01541ebf01_rawpy_69ad15e9_20140921_185909_after_2.py
add33b8a8fbd97e3ee365870278eec01541ebf01,rawpy,69ad15e9,2014-09-21 16:59:09,+0000,setup.py,MODIFY,12,10,PythonFiles\rawpy\69ad15e9\add33b8a8fbd97e3ee365870278eec01541ebf01\add33b8a8fbd97e3ee365870278eec01541ebf01_rawpy_69ad15e9_20140921_185909_before_3.py,PythonFiles\rawpy\69ad15e9\add33b8a8fbd97e3ee365870278eec01541ebf01\add33b8a8fbd97e3ee365870278eec01541ebf01_rawpy_69ad15e9_20140921_185909_after_3.py
add33b8a8fbd97e3ee365870278eec01541ebf01,rawpy,69ad15e9,2014-09-21 16:59:09,+0000,tests.py,ADD,16,0,,PythonFiles\rawpy\69ad15e9\add33b8a8fbd97e3ee365870278eec01541ebf01\add33b8a8fbd97e3ee365870278eec01541ebf01_rawpy_69ad15e9_20140921_185909_after_4.py
5ab750e3044b55549bf2b21ada46df815a016103,rawpy,69ad15e9,2014-09-21 21:47:12,+0000,setup.py,MODIFY,1,1,PythonFiles\rawpy\69ad15e9\5ab750e3044b55549bf2b21ada46df815a016103\5ab750e3044b55549bf2b21ada46df815a016103_rawpy_69ad15e9_20140921_234712_before_3.py,PythonFiles\rawpy\69ad15e9\5ab750e3044b55549bf2b21ada46df815a016103\5ab750e3044b55549bf2b21ada46df815a016103_rawpy_69ad15e9_20140921_234712_after_3.py
5ab750e3044b55549bf2b21ada46df815a016103,rawpy,69ad15e9,2014-09-21 21:47:12,+0000,tests.py,MODIFY,14,3,PythonFiles\rawpy\69ad15e9\5ab750e3044b55549bf2b21ada46df815a016103\5ab750e3044b55549bf2b21ada46df815a016103_rawpy_69ad15e9_20140921_234712_before_5.py,PythonFiles\rawpy\69ad15e9\5ab750e3044b55549bf2b21ada46df815a016103\5ab750e3044b55549bf2b21ada46df815a016103_rawpy_69ad15e9_20140921_234712_after_5.py
a4959b540afb6adf47e30da59345dfe9f4788976,rawpy,69ad15e9,2014-09-22 20:40:35,+0000,tests.py,MODIFY,16,5,PythonFiles\rawpy\69ad15e9\a4959b540afb6adf47e30da59345dfe9f4788976\a4959b540afb6adf47e30da59345dfe9f4788976_rawpy_69ad15e9_20140922_224035_before_2.py,PythonFiles\rawpy\69ad15e9\a4959b540afb6adf47e30da59345dfe9f4788976\a4959b540afb6adf47e30da59345dfe9f4788976_rawpy_69ad15e9_20140922_224035_after_2.py
07f30cfa036ceda804f43060cc370c56313369aa,rawpy,69ad15e9,2014-09-23 20:36:52,+0000,setup.py,MODIFY,4,1,PythonFiles\rawpy\69ad15e9\07f30cfa036ceda804f43060cc370c56313369aa\07f30cfa036ceda804f43060cc370c56313369aa_rawpy_69ad15e9_20140923_223652_before_4.py,PythonFiles\rawpy\69ad15e9\07f30cfa036ceda804f43060cc370c56313369aa\07f30cfa036ceda804f43060cc370c56313369aa_rawpy_69ad15e9_20140923_223652_after_4.py
