CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
05a315f07f3e891f71b440043e03ab325ef57f18,saddlebags,38d3dfe4,2017-05-23 20:23:16,+0000,__init__.py,ADD,1,0,,PythonFiles\saddlebags\38d3dfe4\05a315f07f3e891f71b440043e03ab325ef57f18\05a315f07f3e891f71b440043e03ab325ef57f18_saddlebags_38d3dfe4_20170523_162316_after_1.py
05a315f07f3e891f71b440043e03ab325ef57f18,saddlebags,38d3dfe4,2017-05-23 20:23:16,+0000,test_saddlebag.py,ADD,153,0,,PythonFiles\saddlebags\38d3dfe4\05a315f07f3e891f71b440043e03ab325ef57f18\05a315f07f3e891f71b440043e03ab325ef57f18_saddlebags_38d3dfe4_20170523_162316_after_11.py
368f3b792b98bf0e86c48e71201dfabd8c83b0eb,saddlebags,38d3dfe4,2017-05-24 19:18:12,+0000,__init__.py,ADD,8,0,,PythonFiles\saddlebags\38d3dfe4\368f3b792b98bf0e86c48e71201dfabd8c83b0eb\368f3b792b98bf0e86c48e71201dfabd8c83b0eb_saddlebags_38d3dfe4_20170524_151812_after_5.py
368f3b792b98bf0e86c48e71201dfabd8c83b0eb,saddlebags,38d3dfe4,2017-05-24 19:18:12,+0000,exceptions.py,ADD,17,0,,PythonFiles\saddlebags\38d3dfe4\368f3b792b98bf0e86c48e71201dfabd8c83b0eb\368f3b792b98bf0e86c48e71201dfabd8c83b0eb_saddlebags_38d3dfe4_20170524_151812_after_6.py
368f3b792b98bf0e86c48e71201dfabd8c83b0eb,saddlebags,38d3dfe4,2017-05-24 19:18:12,+0000,saddlebag.py,ADD,137,0,,PythonFiles\saddlebags\38d3dfe4\368f3b792b98bf0e86c48e71201dfabd8c83b0eb\368f3b792b98bf0e86c48e71201dfabd8c83b0eb_saddlebags_38d3dfe4_20170524_151812_after_7.py
368f3b792b98bf0e86c48e71201dfabd8c83b0eb,saddlebags,38d3dfe4,2017-05-24 19:18:12,+0000,setup.py,ADD,37,0,,PythonFiles\saddlebags\38d3dfe4\368f3b792b98bf0e86c48e71201dfabd8c83b0eb\368f3b792b98bf0e86c48e71201dfabd8c83b0eb_saddlebags_38d3dfe4_20170524_151812_after_8.py
36235f353347935d573fb6bdc7f21a1fb0f9d16c,saddlebags,38d3dfe4,2017-05-25 19:37:53,+0000,test_saddlebag.py,MODIFY,2,0,PythonFiles\saddlebags\38d3dfe4\36235f353347935d573fb6bdc7f21a1fb0f9d16c\36235f353347935d573fb6bdc7f21a1fb0f9d16c_saddlebags_38d3dfe4_20170525_153753_before_1.py,PythonFiles\saddlebags\38d3dfe4\36235f353347935d573fb6bdc7f21a1fb0f9d16c\36235f353347935d573fb6bdc7f21a1fb0f9d16c_saddlebags_38d3dfe4_20170525_153753_after_1.py
3ebec2121fad4b6c0b80cb75901ab91cac5ae450,saddlebags,38d3dfe4,2017-05-25 19:49:08,+0000,test_saddlebag.py,MODIFY,1,3,PythonFiles\saddlebags\38d3dfe4\3ebec2121fad4b6c0b80cb75901ab91cac5ae450\3ebec2121fad4b6c0b80cb75901ab91cac5ae450_saddlebags_38d3dfe4_20170525_154908_before_2.py,PythonFiles\saddlebags\38d3dfe4\3ebec2121fad4b6c0b80cb75901ab91cac5ae450\3ebec2121fad4b6c0b80cb75901ab91cac5ae450_saddlebags_38d3dfe4_20170525_154908_after_2.py
283b5ccad25891b7e66fce4a25c243904eaf1a0e,saddlebags,38d3dfe4,2017-05-26 14:20:25,+0000,__init__.py,MODIFY,0,2,PythonFiles\saddlebags\38d3dfe4\283b5ccad25891b7e66fce4a25c243904eaf1a0e\283b5ccad25891b7e66fce4a25c243904eaf1a0e_saddlebags_38d3dfe4_20170526_102025_before_1.py,PythonFiles\saddlebags\38d3dfe4\283b5ccad25891b7e66fce4a25c243904eaf1a0e\283b5ccad25891b7e66fce4a25c243904eaf1a0e_saddlebags_38d3dfe4_20170526_102025_after_1.py
283b5ccad25891b7e66fce4a25c243904eaf1a0e,saddlebags,38d3dfe4,2017-05-26 14:20:25,+0000,setup.py,MODIFY,3,5,PythonFiles\saddlebags\38d3dfe4\283b5ccad25891b7e66fce4a25c243904eaf1a0e\283b5ccad25891b7e66fce4a25c243904eaf1a0e_saddlebags_38d3dfe4_20170526_102025_before_2.py,PythonFiles\saddlebags\38d3dfe4\283b5ccad25891b7e66fce4a25c243904eaf1a0e\283b5ccad25891b7e66fce4a25c243904eaf1a0e_saddlebags_38d3dfe4_20170526_102025_after_2.py
