CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
8ff754318a4ecb8010e5661f41eccc505face73a,sakaio,1d54d398,2018-09-08 21:42:03,+0000,runtests.py,ADD,18,0,,PythonFiles\sakaio\1d54d398\8ff754318a4ecb8010e5661f41eccc505face73a\8ff754318a4ecb8010e5661f41eccc505face73a_sakaio_1d54d398_20180908_184203_after_12.py
8ff754318a4ecb8010e5661f41eccc505face73a,sakaio,1d54d398,2018-09-08 21:42:03,+0000,__init__.py,ADD,15,0,,PythonFiles\sakaio\1d54d398\8ff754318a4ecb8010e5661f41eccc505face73a\8ff754318a4ecb8010e5661f41eccc505face73a_sakaio_1d54d398_20180908_184203_after_13.py
8ff754318a4ecb8010e5661f41eccc505face73a,sakaio,1d54d398,2018-09-08 21:42:03,+0000,sakaio.py,ADD,125,0,,PythonFiles\sakaio\1d54d398\8ff754318a4ecb8010e5661f41eccc505face73a\8ff754318a4ecb8010e5661f41eccc505face73a_sakaio_1d54d398_20180908_184203_after_14.py
8ff754318a4ecb8010e5661f41eccc505face73a,sakaio,1d54d398,2018-09-08 21:42:03,+0000,setup.py,ADD,38,0,,PythonFiles\sakaio\1d54d398\8ff754318a4ecb8010e5661f41eccc505face73a\8ff754318a4ecb8010e5661f41eccc505face73a_sakaio_1d54d398_20180908_184203_after_15.py
8ff754318a4ecb8010e5661f41eccc505face73a,sakaio,1d54d398,2018-09-08 21:42:03,+0000,__init__.py,ADD,2,0,,PythonFiles\sakaio\1d54d398\8ff754318a4ecb8010e5661f41eccc505face73a\8ff754318a4ecb8010e5661f41eccc505face73a_sakaio_1d54d398_20180908_184203_after_16.py
8ff754318a4ecb8010e5661f41eccc505face73a,sakaio,1d54d398,2018-09-08 21:42:03,+0000,tests.py,ADD,291,0,,PythonFiles\sakaio\1d54d398\8ff754318a4ecb8010e5661f41eccc505face73a\8ff754318a4ecb8010e5661f41eccc505face73a_sakaio_1d54d398_20180908_184203_after_17.py
470c9b134cc199a61a5c3c599984427827f0df32,sakaio,1d54d398,2018-09-11 06:02:58,+0000,sakaio.py,MODIFY,4,0,PythonFiles\sakaio\1d54d398\470c9b134cc199a61a5c3c599984427827f0df32\470c9b134cc199a61a5c3c599984427827f0df32_sakaio_1d54d398_20180911_030258_before_2.py,PythonFiles\sakaio\1d54d398\470c9b134cc199a61a5c3c599984427827f0df32\470c9b134cc199a61a5c3c599984427827f0df32_sakaio_1d54d398_20180911_030258_after_2.py
470c9b134cc199a61a5c3c599984427827f0df32,sakaio,1d54d398,2018-09-11 06:02:58,+0000,tests.py,MODIFY,85,0,PythonFiles\sakaio\1d54d398\470c9b134cc199a61a5c3c599984427827f0df32\470c9b134cc199a61a5c3c599984427827f0df32_sakaio_1d54d398_20180911_030258_before_3.py,PythonFiles\sakaio\1d54d398\470c9b134cc199a61a5c3c599984427827f0df32\470c9b134cc199a61a5c3c599984427827f0df32_sakaio_1d54d398_20180911_030258_after_3.py
3a27ad276f8891a395cbe93e7cb2841a42b5b674,sakaio,1d54d398,2018-09-11 06:16:37,+0000,tests.py,MODIFY,4,0,PythonFiles\sakaio\1d54d398\3a27ad276f8891a395cbe93e7cb2841a42b5b674\3a27ad276f8891a395cbe93e7cb2841a42b5b674_sakaio_1d54d398_20180911_031637_before_1.py,PythonFiles\sakaio\1d54d398\3a27ad276f8891a395cbe93e7cb2841a42b5b674\3a27ad276f8891a395cbe93e7cb2841a42b5b674_sakaio_1d54d398_20180911_031637_after_1.py
d7e4b86579462a634529ebcc558bc58120a6afcf,sakaio,1d54d398,2018-09-12 06:49:53,+0000,__init__.py,MODIFY,8,2,PythonFiles\sakaio\1d54d398\d7e4b86579462a634529ebcc558bc58120a6afcf\d7e4b86579462a634529ebcc558bc58120a6afcf_sakaio_1d54d398_20180912_034953_before_1.py,PythonFiles\sakaio\1d54d398\d7e4b86579462a634529ebcc558bc58120a6afcf\d7e4b86579462a634529ebcc558bc58120a6afcf_sakaio_1d54d398_20180912_034953_after_1.py
