CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
8c2dd37b9991951295c0ea34129d6aec614acf8d,sciencedates,65887574,2017-02-08 16:40:54,+0000,__init__.py,ADD,154,0,,PythonFiles\sciencedates\65887574\8c2dd37b9991951295c0ea34129d6aec614acf8d\8c2dd37b9991951295c0ea34129d6aec614acf8d_sciencedates_65887574_20170208_114054_after_4.py
8c2dd37b9991951295c0ea34129d6aec614acf8d,sciencedates,65887574,2017-02-08 16:40:54,+0000,setup.py,ADD,29,0,,PythonFiles\sciencedates\65887574\8c2dd37b9991951295c0ea34129d6aec614acf8d\8c2dd37b9991951295c0ea34129d6aec614acf8d_sciencedates_65887574_20170208_114054_after_5.py
8c2dd37b9991951295c0ea34129d6aec614acf8d,sciencedates,65887574,2017-02-08 16:40:54,+0000,test.py,ADD,28,0,,PythonFiles\sciencedates\65887574\8c2dd37b9991951295c0ea34129d6aec614acf8d\8c2dd37b9991951295c0ea34129d6aec614acf8d_sciencedates_65887574_20170208_114054_after_6.py
6d5dce5ea0cd5c73b21d5bb660c42166cb91b2e6,sciencedates,65887574,2017-02-08 16:47:35,+0000,setup.py,MODIFY,1,1,PythonFiles\sciencedates\65887574\6d5dce5ea0cd5c73b21d5bb660c42166cb91b2e6\6d5dce5ea0cd5c73b21d5bb660c42166cb91b2e6_sciencedates_65887574_20170208_114735_before_1.py,PythonFiles\sciencedates\65887574\6d5dce5ea0cd5c73b21d5bb660c42166cb91b2e6\6d5dce5ea0cd5c73b21d5bb660c42166cb91b2e6_sciencedates_65887574_20170208_114735_after_1.py
6d5dce5ea0cd5c73b21d5bb660c42166cb91b2e6,sciencedates,65887574,2017-02-08 16:47:35,+0000,test.py,MODIFY,6,2,PythonFiles\sciencedates\65887574\6d5dce5ea0cd5c73b21d5bb660c42166cb91b2e6\6d5dce5ea0cd5c73b21d5bb660c42166cb91b2e6_sciencedates_65887574_20170208_114735_before_2.py,PythonFiles\sciencedates\65887574\6d5dce5ea0cd5c73b21d5bb660c42166cb91b2e6\6d5dce5ea0cd5c73b21d5bb660c42166cb91b2e6_sciencedates_65887574_20170208_114735_after_2.py
0655049e51416ccd4f40b79cca86e9472be0dfa0,sciencedates,65887574,2017-02-08 17:17:38,+0000,__init__.py,MODIFY,13,6,PythonFiles\sciencedates\65887574\0655049e51416ccd4f40b79cca86e9472be0dfa0\0655049e51416ccd4f40b79cca86e9472be0dfa0_sciencedates_65887574_20170208_121738_before_2.py,PythonFiles\sciencedates\65887574\0655049e51416ccd4f40b79cca86e9472be0dfa0\0655049e51416ccd4f40b79cca86e9472be0dfa0_sciencedates_65887574_20170208_121738_after_2.py
0655049e51416ccd4f40b79cca86e9472be0dfa0,sciencedates,65887574,2017-02-08 17:17:38,+0000,test.py,MODIFY,14,5,PythonFiles\sciencedates\65887574\0655049e51416ccd4f40b79cca86e9472be0dfa0\0655049e51416ccd4f40b79cca86e9472be0dfa0_sciencedates_65887574_20170208_121738_before_3.py,PythonFiles\sciencedates\65887574\0655049e51416ccd4f40b79cca86e9472be0dfa0\0655049e51416ccd4f40b79cca86e9472be0dfa0_sciencedates_65887574_20170208_121738_after_3.py
28a6a3d88991292161ffaf9ec6aaea4cf3c58adf,sciencedates,65887574,2017-02-08 17:46:47,+0000,__init__.py,MODIFY,53,2,PythonFiles\sciencedates\65887574\28a6a3d88991292161ffaf9ec6aaea4cf3c58adf\28a6a3d88991292161ffaf9ec6aaea4cf3c58adf_sciencedates_65887574_20170208_124647_before_1.py,PythonFiles\sciencedates\65887574\28a6a3d88991292161ffaf9ec6aaea4cf3c58adf\28a6a3d88991292161ffaf9ec6aaea4cf3c58adf_sciencedates_65887574_20170208_124647_after_1.py
28a6a3d88991292161ffaf9ec6aaea4cf3c58adf,sciencedates,65887574,2017-02-08 17:46:47,+0000,setup.py,MODIFY,1,1,PythonFiles\sciencedates\65887574\28a6a3d88991292161ffaf9ec6aaea4cf3c58adf\28a6a3d88991292161ffaf9ec6aaea4cf3c58adf_sciencedates_65887574_20170208_124647_before_2.py,PythonFiles\sciencedates\65887574\28a6a3d88991292161ffaf9ec6aaea4cf3c58adf\28a6a3d88991292161ffaf9ec6aaea4cf3c58adf_sciencedates_65887574_20170208_124647_after_2.py
28a6a3d88991292161ffaf9ec6aaea4cf3c58adf,sciencedates,65887574,2017-02-08 17:46:47,+0000,test.py,MODIFY,7,1,PythonFiles\sciencedates\65887574\28a6a3d88991292161ffaf9ec6aaea4cf3c58adf\28a6a3d88991292161ffaf9ec6aaea4cf3c58adf_sciencedates_65887574_20170208_124647_before_3.py,PythonFiles\sciencedates\65887574\28a6a3d88991292161ffaf9ec6aaea4cf3c58adf\28a6a3d88991292161ffaf9ec6aaea4cf3c58adf_sciencedates_65887574_20170208_124647_after_3.py
6ad7eb177e356fa33f736739d420bf6a72d6d7fe,sciencedates,65887574,2017-02-10 05:18:48,+0000,setup.py,MODIFY,3,8,PythonFiles\sciencedates\65887574\6ad7eb177e356fa33f736739d420bf6a72d6d7fe\6ad7eb177e356fa33f736739d420bf6a72d6d7fe_sciencedates_65887574_20170210_001848_before_3.py,PythonFiles\sciencedates\65887574\6ad7eb177e356fa33f736739d420bf6a72d6d7fe\6ad7eb177e356fa33f736739d420bf6a72d6d7fe_sciencedates_65887574_20170210_001848_after_3.py
02cde3c47c7a3be0207f84c9f3d5ee50167e692a,sciencedates,65887574,2017-02-14 16:55:28,+0000,__init__.py,MODIFY,42,1,PythonFiles\sciencedates\65887574\02cde3c47c7a3be0207f84c9f3d5ee50167e692a\02cde3c47c7a3be0207f84c9f3d5ee50167e692a_sciencedates_65887574_20170214_115528_before_1.py,PythonFiles\sciencedates\65887574\02cde3c47c7a3be0207f84c9f3d5ee50167e692a\02cde3c47c7a3be0207f84c9f3d5ee50167e692a_sciencedates_65887574_20170214_115528_after_1.py
95c322b66c03622197653dff87357be25f3bcec9,sciencedates,65887574,2017-02-14 16:58:18,+0000,setup.py,MODIFY,1,1,PythonFiles\sciencedates\65887574\95c322b66c03622197653dff87357be25f3bcec9\95c322b66c03622197653dff87357be25f3bcec9_sciencedates_65887574_20170214_115818_before_1.py,PythonFiles\sciencedates\65887574\95c322b66c03622197653dff87357be25f3bcec9\95c322b66c03622197653dff87357be25f3bcec9_sciencedates_65887574_20170214_115818_after_1.py
9d98e5a7d2daa669b96f49665d7d2bcea91ebeff,sciencedates,65887574,2017-02-14 17:23:05,+0000,__init__.py,MODIFY,13,6,PythonFiles\sciencedates\65887574\9d98e5a7d2daa669b96f49665d7d2bcea91ebeff\9d98e5a7d2daa669b96f49665d7d2bcea91ebeff_sciencedates_65887574_20170214_122305_before_2.py,PythonFiles\sciencedates\65887574\9d98e5a7d2daa669b96f49665d7d2bcea91ebeff\9d98e5a7d2daa669b96f49665d7d2bcea91ebeff_sciencedates_65887574_20170214_122305_after_2.py
9d98e5a7d2daa669b96f49665d7d2bcea91ebeff,sciencedates,65887574,2017-02-14 17:23:05,+0000,setup.py,MODIFY,2,4,PythonFiles\sciencedates\65887574\9d98e5a7d2daa669b96f49665d7d2bcea91ebeff\9d98e5a7d2daa669b96f49665d7d2bcea91ebeff_sciencedates_65887574_20170214_122305_before_3.py,PythonFiles\sciencedates\65887574\9d98e5a7d2daa669b96f49665d7d2bcea91ebeff\9d98e5a7d2daa669b96f49665d7d2bcea91ebeff_sciencedates_65887574_20170214_122305_after_3.py
