CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
119faa22557e30fe7c6cc4e87819db711fabaac8,script-manager,a33212af,2015-03-01 10:05:37,+0000,manage.py,ADD,16,0,,PythonFiles\script-manager\a33212af\119faa22557e30fe7c6cc4e87819db711fabaac8\119faa22557e30fe7c6cc4e87819db711fabaac8_script-manager_a33212af_20150301_180537_after_1.py
119faa22557e30fe7c6cc4e87819db711fabaac8,script-manager,a33212af,2015-03-01 10:05:37,+0000,scripts.py,ADD,27,0,,PythonFiles\script-manager\a33212af\119faa22557e30fe7c6cc4e87819db711fabaac8\119faa22557e30fe7c6cc4e87819db711fabaac8_script-manager_a33212af_20150301_180537_after_2.py
119faa22557e30fe7c6cc4e87819db711fabaac8,script-manager,a33212af,2015-03-01 10:05:37,+0000,__init__.py,ADD,25,0,,PythonFiles\script-manager\a33212af\119faa22557e30fe7c6cc4e87819db711fabaac8\119faa22557e30fe7c6cc4e87819db711fabaac8_script-manager_a33212af_20150301_180537_after_3.py
119faa22557e30fe7c6cc4e87819db711fabaac8,script-manager,a33212af,2015-03-01 10:05:37,+0000,_compat.py,ADD,11,0,,PythonFiles\script-manager\a33212af\119faa22557e30fe7c6cc4e87819db711fabaac8\119faa22557e30fe7c6cc4e87819db711fabaac8_script-manager_a33212af_20150301_180537_after_4.py
119faa22557e30fe7c6cc4e87819db711fabaac8,script-manager,a33212af,2015-03-01 10:05:37,+0000,commands.py,ADD,56,0,,PythonFiles\script-manager\a33212af\119faa22557e30fe7c6cc4e87819db711fabaac8\119faa22557e30fe7c6cc4e87819db711fabaac8_script-manager_a33212af_20150301_180537_after_5.py
a005dbf40f765757d0741a13edaaeb929400840d,script-manager,a33212af,2015-03-01 11:23:19,+0000,setup.py,ADD,14,0,,PythonFiles\script-manager\a33212af\a005dbf40f765757d0741a13edaaeb929400840d\a005dbf40f765757d0741a13edaaeb929400840d_script-manager_a33212af_20150301_192319_after_2.py
c9d1b415102e6c8f6981e76518eec4d8681c14b9,script-manager,a33212af,2015-03-01 11:28:09,+0000,setup.py,MODIFY,2,1,PythonFiles\script-manager\a33212af\c9d1b415102e6c8f6981e76518eec4d8681c14b9\c9d1b415102e6c8f6981e76518eec4d8681c14b9_script-manager_a33212af_20150301_192809_before_1.py,PythonFiles\script-manager\a33212af\c9d1b415102e6c8f6981e76518eec4d8681c14b9\c9d1b415102e6c8f6981e76518eec4d8681c14b9_script-manager_a33212af_20150301_192809_after_1.py
48870d27cf5220e3a136e9f5ed6b3ed587e50bbc,script-manager,a33212af,2015-03-01 12:05:10,+0000,scripts.py,MODIFY,8,8,PythonFiles\script-manager\a33212af\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc_script-manager_a33212af_20150301_200510_before_1.py,PythonFiles\script-manager\a33212af\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc_script-manager_a33212af_20150301_200510_after_1.py
48870d27cf5220e3a136e9f5ed6b3ed587e50bbc,script-manager,a33212af,2015-03-01 12:05:10,+0000,__init__.py,MODIFY,9,3,PythonFiles\script-manager\a33212af\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc_script-manager_a33212af_20150301_200510_before_2.py,PythonFiles\script-manager\a33212af\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc_script-manager_a33212af_20150301_200510_after_2.py
48870d27cf5220e3a136e9f5ed6b3ed587e50bbc,script-manager,a33212af,2015-03-01 12:05:10,+0000,commands.py,MODIFY,18,26,PythonFiles\script-manager\a33212af\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc_script-manager_a33212af_20150301_200510_before_3.py,PythonFiles\script-manager\a33212af\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc_script-manager_a33212af_20150301_200510_after_3.py
48870d27cf5220e3a136e9f5ed6b3ed587e50bbc,script-manager,a33212af,2015-03-01 12:05:10,+0000,setup.py,MODIFY,1,1,PythonFiles\script-manager\a33212af\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc_script-manager_a33212af_20150301_200510_before_4.py,PythonFiles\script-manager\a33212af\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc\48870d27cf5220e3a136e9f5ed6b3ed587e50bbc_script-manager_a33212af_20150301_200510_after_4.py
ca4cf265214537abc6acf2eb2b1afe6891a23a1c,script-manager,a33212af,2015-03-01 12:12:16,+0000,__init__.py,MODIFY,2,2,PythonFiles\script-manager\a33212af\ca4cf265214537abc6acf2eb2b1afe6891a23a1c\ca4cf265214537abc6acf2eb2b1afe6891a23a1c_script-manager_a33212af_20150301_201216_before_1.py,PythonFiles\script-manager\a33212af\ca4cf265214537abc6acf2eb2b1afe6891a23a1c\ca4cf265214537abc6acf2eb2b1afe6891a23a1c_script-manager_a33212af_20150301_201216_after_1.py
ca4cf265214537abc6acf2eb2b1afe6891a23a1c,script-manager,a33212af,2015-03-01 12:12:16,+0000,setup.py,MODIFY,1,1,PythonFiles\script-manager\a33212af\ca4cf265214537abc6acf2eb2b1afe6891a23a1c\ca4cf265214537abc6acf2eb2b1afe6891a23a1c_script-manager_a33212af_20150301_201216_before_2.py,PythonFiles\script-manager\a33212af\ca4cf265214537abc6acf2eb2b1afe6891a23a1c\ca4cf265214537abc6acf2eb2b1afe6891a23a1c_script-manager_a33212af_20150301_201216_after_2.py
044730401da3f259cc5f35da5a68325e52ed0747,script-manager,a33212af,2015-03-01 14:49:52,+0000,setup.py,MODIFY,1,1,PythonFiles\script-manager\a33212af\044730401da3f259cc5f35da5a68325e52ed0747\044730401da3f259cc5f35da5a68325e52ed0747_script-manager_a33212af_20150301_224952_before_2.py,PythonFiles\script-manager\a33212af\044730401da3f259cc5f35da5a68325e52ed0747\044730401da3f259cc5f35da5a68325e52ed0747_script-manager_a33212af_20150301_224952_after_2.py
044730401da3f259cc5f35da5a68325e52ed0747,script-manager,a33212af,2015-03-01 14:49:52,+0000,tests.py,ADD,116,0,,PythonFiles\script-manager\a33212af\044730401da3f259cc5f35da5a68325e52ed0747\044730401da3f259cc5f35da5a68325e52ed0747_script-manager_a33212af_20150301_224952_after_3.py
1dfbbaaf0edb7bf3043bc50af564b51aec57db3a,script-manager,a33212af,2015-03-01 14:52:05,+0000,setup.py,MODIFY,5,1,PythonFiles\script-manager\a33212af\1dfbbaaf0edb7bf3043bc50af564b51aec57db3a\1dfbbaaf0edb7bf3043bc50af564b51aec57db3a_script-manager_a33212af_20150301_225205_before_1.py,PythonFiles\script-manager\a33212af\1dfbbaaf0edb7bf3043bc50af564b51aec57db3a\1dfbbaaf0edb7bf3043bc50af564b51aec57db3a_script-manager_a33212af_20150301_225205_after_1.py
ca07e2a9bd51b6ab2617489f1baa5a252cd0e0c1,script-manager,a33212af,2015-03-01 15:09:21,+0000,setup.py,MODIFY,2,2,PythonFiles\script-manager\a33212af\ca07e2a9bd51b6ab2617489f1baa5a252cd0e0c1\ca07e2a9bd51b6ab2617489f1baa5a252cd0e0c1_script-manager_a33212af_20150301_230921_before_1.py,PythonFiles\script-manager\a33212af\ca07e2a9bd51b6ab2617489f1baa5a252cd0e0c1\ca07e2a9bd51b6ab2617489f1baa5a252cd0e0c1_script-manager_a33212af_20150301_230921_after_1.py
197c7ea41a170f907008d6ad55a86c7f1477f59f,script-manager,a33212af,2015-03-01 15:17:53,+0000,_compat.py,MODIFY,2,0,PythonFiles\script-manager\a33212af\197c7ea41a170f907008d6ad55a86c7f1477f59f\197c7ea41a170f907008d6ad55a86c7f1477f59f_script-manager_a33212af_20150301_231753_before_1.py,PythonFiles\script-manager\a33212af\197c7ea41a170f907008d6ad55a86c7f1477f59f\197c7ea41a170f907008d6ad55a86c7f1477f59f_script-manager_a33212af_20150301_231753_after_1.py
197c7ea41a170f907008d6ad55a86c7f1477f59f,script-manager,a33212af,2015-03-01 15:17:53,+0000,commands.py,MODIFY,1,2,PythonFiles\script-manager\a33212af\197c7ea41a170f907008d6ad55a86c7f1477f59f\197c7ea41a170f907008d6ad55a86c7f1477f59f_script-manager_a33212af_20150301_231753_before_2.py,PythonFiles\script-manager\a33212af\197c7ea41a170f907008d6ad55a86c7f1477f59f\197c7ea41a170f907008d6ad55a86c7f1477f59f_script-manager_a33212af_20150301_231753_after_2.py
197c7ea41a170f907008d6ad55a86c7f1477f59f,script-manager,a33212af,2015-03-01 15:17:53,+0000,setup.py,MODIFY,1,1,PythonFiles\script-manager\a33212af\197c7ea41a170f907008d6ad55a86c7f1477f59f\197c7ea41a170f907008d6ad55a86c7f1477f59f_script-manager_a33212af_20150301_231753_before_3.py,PythonFiles\script-manager\a33212af\197c7ea41a170f907008d6ad55a86c7f1477f59f\197c7ea41a170f907008d6ad55a86c7f1477f59f_script-manager_a33212af_20150301_231753_after_3.py
1f50b22a633e9a379cf348e4e2cea578ba9c5f9b,script-manager,a33212af,2015-03-01 15:22:46,+0000,tests.py,MODIFY,5,1,PythonFiles\script-manager\a33212af\1f50b22a633e9a379cf348e4e2cea578ba9c5f9b\1f50b22a633e9a379cf348e4e2cea578ba9c5f9b_script-manager_a33212af_20150301_232246_before_1.py,PythonFiles\script-manager\a33212af\1f50b22a633e9a379cf348e4e2cea578ba9c5f9b\1f50b22a633e9a379cf348e4e2cea578ba9c5f9b_script-manager_a33212af_20150301_232246_after_1.py
e1fee45b8ebc3cc112c89bb0106ae3dfb7c47621,script-manager,a33212af,2015-03-02 01:27:06,+0000,manage.py,MODIFY,1,1,PythonFiles\script-manager\a33212af\e1fee45b8ebc3cc112c89bb0106ae3dfb7c47621\e1fee45b8ebc3cc112c89bb0106ae3dfb7c47621_script-manager_a33212af_20150302_092706_before_1.py,PythonFiles\script-manager\a33212af\e1fee45b8ebc3cc112c89bb0106ae3dfb7c47621\e1fee45b8ebc3cc112c89bb0106ae3dfb7c47621_script-manager_a33212af_20150302_092706_after_1.py
e1fee45b8ebc3cc112c89bb0106ae3dfb7c47621,script-manager,a33212af,2015-03-02 01:27:06,+0000,scripts.py,MODIFY,2,2,PythonFiles\script-manager\a33212af\e1fee45b8ebc3cc112c89bb0106ae3dfb7c47621\e1fee45b8ebc3cc112c89bb0106ae3dfb7c47621_script-manager_a33212af_20150302_092706_before_2.py,PythonFiles\script-manager\a33212af\e1fee45b8ebc3cc112c89bb0106ae3dfb7c47621\e1fee45b8ebc3cc112c89bb0106ae3dfb7c47621_script-manager_a33212af_20150302_092706_after_2.py
