CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
e8c2c7fbea74220ca4f90d5de27a85704eff6a62,sdhash,083e65ef,2015-08-18 21:19:50,+0000,__init__.py,ADD,14,0,,PythonFiles\sdhash\083e65ef\e8c2c7fbea74220ca4f90d5de27a85704eff6a62\e8c2c7fbea74220ca4f90d5de27a85704eff6a62_sdhash_083e65ef_20150818_221950_after_1.py
e8c2c7fbea74220ca4f90d5de27a85704eff6a62,sdhash,083e65ef,2015-08-18 21:19:50,+0000,__init__.py,ADD,0,0,,
e8c2c7fbea74220ca4f90d5de27a85704eff6a62,sdhash,083e65ef,2015-08-18 21:19:50,+0000,test_sdhash.py,ADD,17,0,,PythonFiles\sdhash\083e65ef\e8c2c7fbea74220ca4f90d5de27a85704eff6a62\e8c2c7fbea74220ca4f90d5de27a85704eff6a62_sdhash_083e65ef_20150818_221950_after_3.py
91db177928f1668a41a79b952a8b2d8cc5fd0230,sdhash,083e65ef,2015-08-18 21:29:42,+0000,setup.py,ADD,37,0,,PythonFiles\sdhash\083e65ef\91db177928f1668a41a79b952a8b2d8cc5fd0230\91db177928f1668a41a79b952a8b2d8cc5fd0230_sdhash_083e65ef_20150818_222942_after_1.py
1fce693ec6cd86c770e130bb0057654d95f51999,sdhash,083e65ef,2015-08-19 05:39:36,+0000,__init__.py,MODIFY,92,3,PythonFiles\sdhash\083e65ef\1fce693ec6cd86c770e130bb0057654d95f51999\1fce693ec6cd86c770e130bb0057654d95f51999_sdhash_083e65ef_20150819_063936_before_1.py,PythonFiles\sdhash\083e65ef\1fce693ec6cd86c770e130bb0057654d95f51999\1fce693ec6cd86c770e130bb0057654d95f51999_sdhash_083e65ef_20150819_063936_after_1.py
1fce693ec6cd86c770e130bb0057654d95f51999,sdhash,083e65ef,2015-08-19 05:39:36,+0000,test_sdhash.py,MODIFY,11,3,PythonFiles\sdhash\083e65ef\1fce693ec6cd86c770e130bb0057654d95f51999\1fce693ec6cd86c770e130bb0057654d95f51999_sdhash_083e65ef_20150819_063936_before_2.py,PythonFiles\sdhash\083e65ef\1fce693ec6cd86c770e130bb0057654d95f51999\1fce693ec6cd86c770e130bb0057654d95f51999_sdhash_083e65ef_20150819_063936_after_2.py
248b0779759fb2001e2150102d8f224fb94c8cfc,sdhash,083e65ef,2015-08-19 05:52:14,+0000,setup.py,MODIFY,2,1,PythonFiles\sdhash\083e65ef\248b0779759fb2001e2150102d8f224fb94c8cfc\248b0779759fb2001e2150102d8f224fb94c8cfc_sdhash_083e65ef_20150819_065214_before_1.py,PythonFiles\sdhash\083e65ef\248b0779759fb2001e2150102d8f224fb94c8cfc\248b0779759fb2001e2150102d8f224fb94c8cfc_sdhash_083e65ef_20150819_065214_after_1.py
45896ce6c554d22729aacde3627c6bd536a052ba,sdhash,083e65ef,2015-08-19 06:07:30,+0000,setup.py,MODIFY,3,0,PythonFiles\sdhash\083e65ef\45896ce6c554d22729aacde3627c6bd536a052ba\45896ce6c554d22729aacde3627c6bd536a052ba_sdhash_083e65ef_20150819_070730_before_2.py,PythonFiles\sdhash\083e65ef\45896ce6c554d22729aacde3627c6bd536a052ba\45896ce6c554d22729aacde3627c6bd536a052ba_sdhash_083e65ef_20150819_070730_after_2.py
5699cb5c6e685b4c40ef7c1e7135ddb869061c9e,sdhash,083e65ef,2015-08-19 06:20:45,+0000,setup.py,MODIFY,0,1,PythonFiles\sdhash\083e65ef\5699cb5c6e685b4c40ef7c1e7135ddb869061c9e\5699cb5c6e685b4c40ef7c1e7135ddb869061c9e_sdhash_083e65ef_20150819_072045_before_2.py,PythonFiles\sdhash\083e65ef\5699cb5c6e685b4c40ef7c1e7135ddb869061c9e\5699cb5c6e685b4c40ef7c1e7135ddb869061c9e_sdhash_083e65ef_20150819_072045_after_2.py
c4ac6a2f9d8c6049ed854cae32630f2432af25e4,sdhash,083e65ef,2015-08-23 16:13:51,+0000,__init__.py,MODIFY,54,12,PythonFiles\sdhash\083e65ef\c4ac6a2f9d8c6049ed854cae32630f2432af25e4\c4ac6a2f9d8c6049ed854cae32630f2432af25e4_sdhash_083e65ef_20150823_171351_before_2.py,PythonFiles\sdhash\083e65ef\c4ac6a2f9d8c6049ed854cae32630f2432af25e4\c4ac6a2f9d8c6049ed854cae32630f2432af25e4_sdhash_083e65ef_20150823_171351_after_2.py
