CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,__init__.py,ADD,1,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_6.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,condition_helpers.py,ADD,2,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_8.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,conditions.py,ADD,39,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_10.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,config.py,ADD,8,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_12.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,driver.py,ADD,31,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_14.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,elements.py,ADD,162,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_16.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,helpers.py,ADD,20,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_18.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,page_object.py,ADD,35,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_20.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,tools.py,ADD,19,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_22.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,version.py,ADD,1,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_24.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,waits.py,ADD,44,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_25.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,widgets.py,ADD,12,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_27.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,setup.py,ADD,37,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_30.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,__init__.py,ADD,0,0,,
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,basic_acceptance_test.py,ADD,34,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_33.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,__init__.py,ADD,0,0,,
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,__init__.py,ADD,1,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_36.py
99175c38427c2efb9a684df0d1a6f39483840989,selene,bce49caa,2015-04-17 09:35:16,+0000,order.py,ADD,72,0,,PythonFiles\selene\bce49caa\99175c38427c2efb9a684df0d1a6f39483840989\99175c38427c2efb9a684df0d1a6f39483840989_selene_bce49caa_20150417_123516_after_38.py
39229a7489ffb16cd3c526b92daf3501e513ad6d,selene,bce49caa,2015-04-17 09:58:36,+0000,setup.py,MODIFY,5,3,PythonFiles\selene\bce49caa\39229a7489ffb16cd3c526b92daf3501e513ad6d\39229a7489ffb16cd3c526b92daf3501e513ad6d_selene_bce49caa_20150417_125836_before_1.py,PythonFiles\selene\bce49caa\39229a7489ffb16cd3c526b92daf3501e513ad6d\39229a7489ffb16cd3c526b92daf3501e513ad6d_selene_bce49caa_20150417_125836_after_1.py
b36ffc49275167973cac594cf9a05bf039509037,selene,bce49caa,2015-04-17 13:58:49,+0000,elements.py,MODIFY,5,0,PythonFiles\selene\bce49caa\b36ffc49275167973cac594cf9a05bf039509037\b36ffc49275167973cac594cf9a05bf039509037_selene_bce49caa_20150417_165849_before_1.py,PythonFiles\selene\bce49caa\b36ffc49275167973cac594cf9a05bf039509037\b36ffc49275167973cac594cf9a05bf039509037_selene_bce49caa_20150417_165849_after_1.py
b36ffc49275167973cac594cf9a05bf039509037,selene,bce49caa,2015-04-17 13:58:49,+0000,version.py,MODIFY,1,1,PythonFiles\selene\bce49caa\b36ffc49275167973cac594cf9a05bf039509037\b36ffc49275167973cac594cf9a05bf039509037_selene_bce49caa_20150417_165849_before_3.py,PythonFiles\selene\bce49caa\b36ffc49275167973cac594cf9a05bf039509037\b36ffc49275167973cac594cf9a05bf039509037_selene_bce49caa_20150417_165849_after_3.py
b36ffc49275167973cac594cf9a05bf039509037,selene,bce49caa,2015-04-17 13:58:49,+0000,setup.py,MODIFY,1,0,PythonFiles\selene\bce49caa\b36ffc49275167973cac594cf9a05bf039509037\b36ffc49275167973cac594cf9a05bf039509037_selene_bce49caa_20150417_165849_before_5.py,PythonFiles\selene\bce49caa\b36ffc49275167973cac594cf9a05bf039509037\b36ffc49275167973cac594cf9a05bf039509037_selene_bce49caa_20150417_165849_after_5.py
b36ffc49275167973cac594cf9a05bf039509037,selene,bce49caa,2015-04-17 13:58:49,+0000,basic_acceptance_test.py,MODIFY,0,1,PythonFiles\selene\bce49caa\b36ffc49275167973cac594cf9a05bf039509037\b36ffc49275167973cac594cf9a05bf039509037_selene_bce49caa_20150417_165849_before_6.py,PythonFiles\selene\bce49caa\b36ffc49275167973cac594cf9a05bf039509037\b36ffc49275167973cac594cf9a05bf039509037_selene_bce49caa_20150417_165849_after_6.py
f9b624b4d803c442c676e38a503ad4248811d448,selene,bce49caa,2015-04-17 13:59:20,+0000,basic_acceptance_test.py,MODIFY,0,3,PythonFiles\selene\bce49caa\f9b624b4d803c442c676e38a503ad4248811d448\f9b624b4d803c442c676e38a503ad4248811d448_selene_bce49caa_20150417_165920_before_1.py,PythonFiles\selene\bce49caa\f9b624b4d803c442c676e38a503ad4248811d448\f9b624b4d803c442c676e38a503ad4248811d448_selene_bce49caa_20150417_165920_after_1.py
f69a506fc22dadbd0bad78d2bce965124ddc7790,selene,bce49caa,2015-04-17 14:04:53,+0000,setup.py,MODIFY,1,2,PythonFiles\selene\bce49caa\f69a506fc22dadbd0bad78d2bce965124ddc7790\f69a506fc22dadbd0bad78d2bce965124ddc7790_selene_bce49caa_20150417_170453_before_1.py,PythonFiles\selene\bce49caa\f69a506fc22dadbd0bad78d2bce965124ddc7790\f69a506fc22dadbd0bad78d2bce965124ddc7790_selene_bce49caa_20150417_170453_after_1.py
c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b,selene,bce49caa,2015-04-18 14:05:05,+0000,conditions.py,MODIFY,20,0,PythonFiles\selene\bce49caa\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b_selene_bce49caa_20150418_170505_before_2.py,PythonFiles\selene\bce49caa\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b_selene_bce49caa_20150418_170505_after_2.py
c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b,selene,bce49caa,2015-04-18 14:05:05,+0000,elements.py,MODIFY,6,2,PythonFiles\selene\bce49caa\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b_selene_bce49caa_20150418_170505_before_4.py,PythonFiles\selene\bce49caa\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b_selene_bce49caa_20150418_170505_after_4.py
c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b,selene,bce49caa,2015-04-18 14:05:05,+0000,waits.py,MODIFY,20,8,PythonFiles\selene\bce49caa\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b_selene_bce49caa_20150418_170505_before_6.py,PythonFiles\selene\bce49caa\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b_selene_bce49caa_20150418_170505_after_6.py
c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b,selene,bce49caa,2015-04-18 14:05:05,+0000,basic_acceptance_test.py,MODIFY,0,1,PythonFiles\selene\bce49caa\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b_selene_bce49caa_20150418_170505_before_8.py,PythonFiles\selene\bce49caa\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b_selene_bce49caa_20150418_170505_after_8.py
c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b,selene,bce49caa,2015-04-18 14:05:05,+0000,waits_test.py,ADD,18,0,,PythonFiles\selene\bce49caa\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b\c18f416d1ecccc0fe7d2ef0c5b0135344cf1c70b_selene_bce49caa_20150418_170505_after_9.py
5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de,selene,bce49caa,2015-04-18 16:00:31,+0000,conditions.py,MODIFY,6,1,PythonFiles\selene\bce49caa\5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de\5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de_selene_bce49caa_20150418_190031_before_5.py,PythonFiles\selene\bce49caa\5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de\5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de_selene_bce49caa_20150418_190031_after_5.py
5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de,selene,bce49caa,2015-04-18 16:00:31,+0000,elements.py,MODIFY,17,8,PythonFiles\selene\bce49caa\5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de\5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de_selene_bce49caa_20150418_190031_before_9.py,PythonFiles\selene\bce49caa\5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de\5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de_selene_bce49caa_20150418_190031_after_9.py
5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de,selene,bce49caa,2015-04-18 16:00:31,+0000,version.py,MODIFY,1,1,PythonFiles\selene\bce49caa\5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de\5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de_selene_bce49caa_20150418_190031_before_14.py,PythonFiles\selene\bce49caa\5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de\5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de_selene_bce49caa_20150418_190031_after_14.py
5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de,selene,bce49caa,2015-04-18 16:00:31,+0000,todomvc_acceptance_test.py,ADD,19,0,,PythonFiles\selene\bce49caa\5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de\5ed2d506a90e5b3e2e61c93400f8f1f18c40c9de_selene_bce49caa_20150418_190031_after_21.py
cc7d742a5242aa77c56d89e676f123a74a611f8f,selene,bce49caa,2015-04-18 16:09:23,+0000,setup.py,MODIFY,1,1,PythonFiles\selene\bce49caa\cc7d742a5242aa77c56d89e676f123a74a611f8f\cc7d742a5242aa77c56d89e676f123a74a611f8f_selene_bce49caa_20150418_190923_before_2.py,PythonFiles\selene\bce49caa\cc7d742a5242aa77c56d89e676f123a74a611f8f\cc7d742a5242aa77c56d89e676f123a74a611f8f_selene_bce49caa_20150418_190923_after_2.py
542825a5e8f3bd405e5b0215039f992a1cb22b8d,selene,bce49caa,2015-04-18 19:26:31,+0000,conditions.py,MODIFY,8,0,PythonFiles\selene\bce49caa\542825a5e8f3bd405e5b0215039f992a1cb22b8d\542825a5e8f3bd405e5b0215039f992a1cb22b8d_selene_bce49caa_20150418_222631_before_1.py,PythonFiles\selene\bce49caa\542825a5e8f3bd405e5b0215039f992a1cb22b8d\542825a5e8f3bd405e5b0215039f992a1cb22b8d_selene_bce49caa_20150418_222631_after_1.py
542825a5e8f3bd405e5b0215039f992a1cb22b8d,selene,bce49caa,2015-04-18 19:26:31,+0000,elements.py,MODIFY,6,0,PythonFiles\selene\bce49caa\542825a5e8f3bd405e5b0215039f992a1cb22b8d\542825a5e8f3bd405e5b0215039f992a1cb22b8d_selene_bce49caa_20150418_222631_before_2.py,PythonFiles\selene\bce49caa\542825a5e8f3bd405e5b0215039f992a1cb22b8d\542825a5e8f3bd405e5b0215039f992a1cb22b8d_selene_bce49caa_20150418_222631_after_2.py
542825a5e8f3bd405e5b0215039f992a1cb22b8d,selene,bce49caa,2015-04-18 19:26:31,+0000,todomvc_acceptance_test.py,MODIFY,8,4,PythonFiles\selene\bce49caa\542825a5e8f3bd405e5b0215039f992a1cb22b8d\542825a5e8f3bd405e5b0215039f992a1cb22b8d_selene_bce49caa_20150418_222631_before_3.py,PythonFiles\selene\bce49caa\542825a5e8f3bd405e5b0215039f992a1cb22b8d\542825a5e8f3bd405e5b0215039f992a1cb22b8d_selene_bce49caa_20150418_222631_after_3.py
78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96,selene,bce49caa,2015-04-19 19:11:06,+0000,driver.py,MODIFY,8,1,PythonFiles\selene\bce49caa\78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96\78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96_selene_bce49caa_20150419_221106_before_2.py,PythonFiles\selene\bce49caa\78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96\78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96_selene_bce49caa_20150419_221106_after_2.py
78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96,selene,bce49caa,2015-04-19 19:11:06,+0000,helpers.py,MODIFY,18,1,PythonFiles\selene\bce49caa\78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96\78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96_selene_bce49caa_20150419_221106_before_3.py,PythonFiles\selene\bce49caa\78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96\78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96_selene_bce49caa_20150419_221106_after_3.py
78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96,selene,bce49caa,2015-04-19 19:11:06,+0000,waits.py,MODIFY,11,2,PythonFiles\selene\bce49caa\78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96\78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96_selene_bce49caa_20150419_221106_before_4.py,PythonFiles\selene\bce49caa\78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96\78dca4d9546e92cb1b1e4b0cd35ec3099d7aec96_selene_bce49caa_20150419_221106_after_4.py
