CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
07100df6d9903e379a35367e42992d3cc1f98099,sqlalchemy_commithooks,9b67c6e4,2018-02-16 00:06:38,+0000,__init__.py,ADD,1,0,,PythonFiles\sqlalchemy_commithooks\9b67c6e4\07100df6d9903e379a35367e42992d3cc1f98099\07100df6d9903e379a35367e42992d3cc1f98099_sqlalchemy_commithooks_9b67c6e4_20180215_170638_after_2.py
07100df6d9903e379a35367e42992d3cc1f98099,sqlalchemy_commithooks,9b67c6e4,2018-02-16 00:06:38,+0000,commit_mixin.py,ADD,238,0,,PythonFiles\sqlalchemy_commithooks\9b67c6e4\07100df6d9903e379a35367e42992d3cc1f98099\07100df6d9903e379a35367e42992d3cc1f98099_sqlalchemy_commithooks_9b67c6e4_20180215_170638_after_3.py
07100df6d9903e379a35367e42992d3cc1f98099,sqlalchemy_commithooks,9b67c6e4,2018-02-16 00:06:38,+0000,commit_mixin_test.py,ADD,345,0,,PythonFiles\sqlalchemy_commithooks\9b67c6e4\07100df6d9903e379a35367e42992d3cc1f98099\07100df6d9903e379a35367e42992d3cc1f98099_sqlalchemy_commithooks_9b67c6e4_20180215_170638_after_4.py
e9f78dfff91ce37803db37a7d42ba254369b029d,sqlalchemy_commithooks,9b67c6e4,2018-02-16 17:20:17,+0000,commit_mixin.py,MODIFY,2,8,PythonFiles\sqlalchemy_commithooks\9b67c6e4\e9f78dfff91ce37803db37a7d42ba254369b029d\e9f78dfff91ce37803db37a7d42ba254369b029d_sqlalchemy_commithooks_9b67c6e4_20180216_102017_before_1.py,PythonFiles\sqlalchemy_commithooks\9b67c6e4\e9f78dfff91ce37803db37a7d42ba254369b029d\e9f78dfff91ce37803db37a7d42ba254369b029d_sqlalchemy_commithooks_9b67c6e4_20180216_102017_after_1.py
e9f78dfff91ce37803db37a7d42ba254369b029d,sqlalchemy_commithooks,9b67c6e4,2018-02-16 17:20:17,+0000,commit_mixin_test.py,MODIFY,25,3,PythonFiles\sqlalchemy_commithooks\9b67c6e4\e9f78dfff91ce37803db37a7d42ba254369b029d\e9f78dfff91ce37803db37a7d42ba254369b029d_sqlalchemy_commithooks_9b67c6e4_20180216_102017_before_2.py,PythonFiles\sqlalchemy_commithooks\9b67c6e4\e9f78dfff91ce37803db37a7d42ba254369b029d\e9f78dfff91ce37803db37a7d42ba254369b029d_sqlalchemy_commithooks_9b67c6e4_20180216_102017_after_2.py
1ead5161a6b0c26afac429de3b4d3cc255c38364,sqlalchemy_commithooks,9b67c6e4,2018-03-14 04:06:33,+0000,commit_mixin.py,MODIFY,17,14,PythonFiles\sqlalchemy_commithooks\9b67c6e4\1ead5161a6b0c26afac429de3b4d3cc255c38364\1ead5161a6b0c26afac429de3b4d3cc255c38364_sqlalchemy_commithooks_9b67c6e4_20180314_000633_before_1.py,PythonFiles\sqlalchemy_commithooks\9b67c6e4\1ead5161a6b0c26afac429de3b4d3cc255c38364\1ead5161a6b0c26afac429de3b4d3cc255c38364_sqlalchemy_commithooks_9b67c6e4_20180314_000633_after_1.py
1ead5161a6b0c26afac429de3b4d3cc255c38364,sqlalchemy_commithooks,9b67c6e4,2018-03-14 04:06:33,+0000,commit_mixin_test.py,MODIFY,50,7,PythonFiles\sqlalchemy_commithooks\9b67c6e4\1ead5161a6b0c26afac429de3b4d3cc255c38364\1ead5161a6b0c26afac429de3b4d3cc255c38364_sqlalchemy_commithooks_9b67c6e4_20180314_000633_before_2.py,PythonFiles\sqlalchemy_commithooks\9b67c6e4\1ead5161a6b0c26afac429de3b4d3cc255c38364\1ead5161a6b0c26afac429de3b4d3cc255c38364_sqlalchemy_commithooks_9b67c6e4_20180314_000633_after_2.py
4ae85cb62d93417ecb7a610bb9cd193e6408c943,sqlalchemy_commithooks,9b67c6e4,2018-04-19 15:45:29,+0000,commit_mixin_test.py,MODIFY,22,23,PythonFiles\sqlalchemy_commithooks\9b67c6e4\4ae85cb62d93417ecb7a610bb9cd193e6408c943\4ae85cb62d93417ecb7a610bb9cd193e6408c943_sqlalchemy_commithooks_9b67c6e4_20180419_094529_before_2.py,PythonFiles\sqlalchemy_commithooks\9b67c6e4\4ae85cb62d93417ecb7a610bb9cd193e6408c943\4ae85cb62d93417ecb7a610bb9cd193e6408c943_sqlalchemy_commithooks_9b67c6e4_20180419_094529_after_2.py
06408ce25e4ea22f0e6b32f27c614e5b0cbca0b5,sqlalchemy_commithooks,9b67c6e4,2018-05-18 12:06:47,+0000,commit_mixin.py,MODIFY,12,11,PythonFiles\sqlalchemy_commithooks\9b67c6e4\06408ce25e4ea22f0e6b32f27c614e5b0cbca0b5\06408ce25e4ea22f0e6b32f27c614e5b0cbca0b5_sqlalchemy_commithooks_9b67c6e4_20180518_060647_before_2.py,PythonFiles\sqlalchemy_commithooks\9b67c6e4\06408ce25e4ea22f0e6b32f27c614e5b0cbca0b5\06408ce25e4ea22f0e6b32f27c614e5b0cbca0b5_sqlalchemy_commithooks_9b67c6e4_20180518_060647_after_2.py
06408ce25e4ea22f0e6b32f27c614e5b0cbca0b5,sqlalchemy_commithooks,9b67c6e4,2018-05-18 12:06:47,+0000,commit_mixin_test.py,MODIFY,5,14,PythonFiles\sqlalchemy_commithooks\9b67c6e4\06408ce25e4ea22f0e6b32f27c614e5b0cbca0b5\06408ce25e4ea22f0e6b32f27c614e5b0cbca0b5_sqlalchemy_commithooks_9b67c6e4_20180518_060647_before_3.py,PythonFiles\sqlalchemy_commithooks\9b67c6e4\06408ce25e4ea22f0e6b32f27c614e5b0cbca0b5\06408ce25e4ea22f0e6b32f27c614e5b0cbca0b5_sqlalchemy_commithooks_9b67c6e4_20180518_060647_after_3.py
3cec6caf4796cf22d63a9b2acca0c76d45faa5d7,sqlalchemy_commithooks,9b67c6e4,2018-05-18 20:24:29,+0000,__init__.py,MODIFY,1,1,PythonFiles\sqlalchemy_commithooks\9b67c6e4\3cec6caf4796cf22d63a9b2acca0c76d45faa5d7\3cec6caf4796cf22d63a9b2acca0c76d45faa5d7_sqlalchemy_commithooks_9b67c6e4_20180518_142429_before_2.py,PythonFiles\sqlalchemy_commithooks\9b67c6e4\3cec6caf4796cf22d63a9b2acca0c76d45faa5d7\3cec6caf4796cf22d63a9b2acca0c76d45faa5d7_sqlalchemy_commithooks_9b67c6e4_20180518_142429_after_2.py
3cec6caf4796cf22d63a9b2acca0c76d45faa5d7,sqlalchemy_commithooks,9b67c6e4,2018-05-18 20:24:29,+0000,commit_mixin.py,MODIFY,3,3,PythonFiles\sqlalchemy_commithooks\9b67c6e4\3cec6caf4796cf22d63a9b2acca0c76d45faa5d7\3cec6caf4796cf22d63a9b2acca0c76d45faa5d7_sqlalchemy_commithooks_9b67c6e4_20180518_142429_before_3.py,PythonFiles\sqlalchemy_commithooks\9b67c6e4\3cec6caf4796cf22d63a9b2acca0c76d45faa5d7\3cec6caf4796cf22d63a9b2acca0c76d45faa5d7_sqlalchemy_commithooks_9b67c6e4_20180518_142429_after_3.py
3cec6caf4796cf22d63a9b2acca0c76d45faa5d7,sqlalchemy_commithooks,9b67c6e4,2018-05-18 20:24:29,+0000,commit_mixin_test.py,MODIFY,9,9,PythonFiles\sqlalchemy_commithooks\9b67c6e4\3cec6caf4796cf22d63a9b2acca0c76d45faa5d7\3cec6caf4796cf22d63a9b2acca0c76d45faa5d7_sqlalchemy_commithooks_9b67c6e4_20180518_142429_before_4.py,PythonFiles\sqlalchemy_commithooks\9b67c6e4\3cec6caf4796cf22d63a9b2acca0c76d45faa5d7\3cec6caf4796cf22d63a9b2acca0c76d45faa5d7_sqlalchemy_commithooks_9b67c6e4_20180518_142429_after_4.py
1fa17d5132e3ae428a8a9c2929f5adc27bf2df10,sqlalchemy_commithooks,9b67c6e4,2018-05-29 16:52:22,+0000,commit_mixin.py,MODIFY,21,7,PythonFiles\sqlalchemy_commithooks\9b67c6e4\1fa17d5132e3ae428a8a9c2929f5adc27bf2df10\1fa17d5132e3ae428a8a9c2929f5adc27bf2df10_sqlalchemy_commithooks_9b67c6e4_20180529_095222_before_2.py,PythonFiles\sqlalchemy_commithooks\9b67c6e4\1fa17d5132e3ae428a8a9c2929f5adc27bf2df10\1fa17d5132e3ae428a8a9c2929f5adc27bf2df10_sqlalchemy_commithooks_9b67c6e4_20180529_095222_after_2.py
90bb900f0265aa5aa13d737bff3ed688a787cf60,sqlalchemy_commithooks,9b67c6e4,2018-06-26 15:36:16,+0000,setup.py,ADD,32,0,,PythonFiles\sqlalchemy_commithooks\9b67c6e4\90bb900f0265aa5aa13d737bff3ed688a787cf60\90bb900f0265aa5aa13d737bff3ed688a787cf60_sqlalchemy_commithooks_9b67c6e4_20180626_093616_after_3.py
90bb900f0265aa5aa13d737bff3ed688a787cf60,sqlalchemy_commithooks,9b67c6e4,2018-06-26 15:36:16,+0000,__init__.py,RENAME,0,0,,
90bb900f0265aa5aa13d737bff3ed688a787cf60,sqlalchemy_commithooks,9b67c6e4,2018-06-26 15:36:16,+0000,commit_mixin.py,RENAME,4,4,PythonFiles\sqlalchemy_commithooks\9b67c6e4\90bb900f0265aa5aa13d737bff3ed688a787cf60\90bb900f0265aa5aa13d737bff3ed688a787cf60_sqlalchemy_commithooks_9b67c6e4_20180626_093616_before_5.py,PythonFiles\sqlalchemy_commithooks\9b67c6e4\90bb900f0265aa5aa13d737bff3ed688a787cf60\90bb900f0265aa5aa13d737bff3ed688a787cf60_sqlalchemy_commithooks_9b67c6e4_20180626_093616_after_5.py
90bb900f0265aa5aa13d737bff3ed688a787cf60,sqlalchemy_commithooks,9b67c6e4,2018-06-26 15:36:16,+0000,commit_mixin_test.py,RENAME,41,42,PythonFiles\sqlalchemy_commithooks\9b67c6e4\90bb900f0265aa5aa13d737bff3ed688a787cf60\90bb900f0265aa5aa13d737bff3ed688a787cf60_sqlalchemy_commithooks_9b67c6e4_20180626_093616_before_6.py,PythonFiles\sqlalchemy_commithooks\9b67c6e4\90bb900f0265aa5aa13d737bff3ed688a787cf60\90bb900f0265aa5aa13d737bff3ed688a787cf60_sqlalchemy_commithooks_9b67c6e4_20180626_093616_after_6.py
b90b29616ba3cad27b369cf2c0f76e398738f273,sqlalchemy_commithooks,9b67c6e4,2018-06-26 16:10:09,+0000,__init__.py,MODIFY,1,1,PythonFiles\sqlalchemy_commithooks\9b67c6e4\b90b29616ba3cad27b369cf2c0f76e398738f273\b90b29616ba3cad27b369cf2c0f76e398738f273_sqlalchemy_commithooks_9b67c6e4_20180626_101009_before_1.py,PythonFiles\sqlalchemy_commithooks\9b67c6e4\b90b29616ba3cad27b369cf2c0f76e398738f273\b90b29616ba3cad27b369cf2c0f76e398738f273_sqlalchemy_commithooks_9b67c6e4_20180626_101009_after_1.py
