CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
7015fc4e2d5f332a6aed4c72a1e7227cf25fe331,ssmenv,fc477d95,2018-07-04 13:55:44,+0000,setup.py,ADD,24,0,,PythonFiles\ssmenv\fc477d95\7015fc4e2d5f332a6aed4c72a1e7227cf25fe331\7015fc4e2d5f332a6aed4c72a1e7227cf25fe331_ssmenv_fc477d95_20180704_145544_after_6.py
7015fc4e2d5f332a6aed4c72a1e7227cf25fe331,ssmenv,fc477d95,2018-07-04 13:55:44,+0000,__init__.py,ADD,58,0,,PythonFiles\ssmenv\fc477d95\7015fc4e2d5f332a6aed4c72a1e7227cf25fe331\7015fc4e2d5f332a6aed4c72a1e7227cf25fe331_ssmenv_fc477d95_20180704_145544_after_7.py
24508566aefb3884709042b408519536ee3c8fab,ssmenv,fc477d95,2018-07-04 14:29:52,+0000,setup.py,MODIFY,3,8,PythonFiles\ssmenv\fc477d95\24508566aefb3884709042b408519536ee3c8fab\24508566aefb3884709042b408519536ee3c8fab_ssmenv_fc477d95_20180704_152952_before_5.py,PythonFiles\ssmenv\fc477d95\24508566aefb3884709042b408519536ee3c8fab\24508566aefb3884709042b408519536ee3c8fab_ssmenv_fc477d95_20180704_152952_after_5.py
3aca930e44aba9d99ebf6f6e5db037b84e5ea233,ssmenv,fc477d95,2018-07-05 09:05:26,+0000,__init__.py,MODIFY,3,3,PythonFiles\ssmenv\fc477d95\3aca930e44aba9d99ebf6f6e5db037b84e5ea233\3aca930e44aba9d99ebf6f6e5db037b84e5ea233_ssmenv_fc477d95_20180705_100526_before_1.py,PythonFiles\ssmenv\fc477d95\3aca930e44aba9d99ebf6f6e5db037b84e5ea233\3aca930e44aba9d99ebf6f6e5db037b84e5ea233_ssmenv_fc477d95_20180705_100526_after_1.py
62f64832dfd115c58be721b72d41b65150eb2547,ssmenv,fc477d95,2018-07-05 09:06:00,+0000,__init__.py,MODIFY,0,2,PythonFiles\ssmenv\fc477d95\62f64832dfd115c58be721b72d41b65150eb2547\62f64832dfd115c58be721b72d41b65150eb2547_ssmenv_fc477d95_20180705_100600_before_1.py,PythonFiles\ssmenv\fc477d95\62f64832dfd115c58be721b72d41b65150eb2547\62f64832dfd115c58be721b72d41b65150eb2547_ssmenv_fc477d95_20180705_100600_after_1.py
d20f7a7201ba2a8f8faccdf7a408ba9d6c71ca66,ssmenv,fc477d95,2018-07-13 11:43:32,+0000,setup.py,MODIFY,1,1,PythonFiles\ssmenv\fc477d95\d20f7a7201ba2a8f8faccdf7a408ba9d6c71ca66\d20f7a7201ba2a8f8faccdf7a408ba9d6c71ca66_ssmenv_fc477d95_20180713_124332_before_2.py,PythonFiles\ssmenv\fc477d95\d20f7a7201ba2a8f8faccdf7a408ba9d6c71ca66\d20f7a7201ba2a8f8faccdf7a408ba9d6c71ca66_ssmenv_fc477d95_20180713_124332_after_2.py
d20f7a7201ba2a8f8faccdf7a408ba9d6c71ca66,ssmenv,fc477d95,2018-07-13 11:43:32,+0000,__init__.py,MODIFY,1,14,PythonFiles\ssmenv\fc477d95\d20f7a7201ba2a8f8faccdf7a408ba9d6c71ca66\d20f7a7201ba2a8f8faccdf7a408ba9d6c71ca66_ssmenv_fc477d95_20180713_124332_before_3.py,PythonFiles\ssmenv\fc477d95\d20f7a7201ba2a8f8faccdf7a408ba9d6c71ca66\d20f7a7201ba2a8f8faccdf7a408ba9d6c71ca66_ssmenv_fc477d95_20180713_124332_after_3.py
20ea01032277eb0c18242c7b6ac89d9ce9e69b5a,ssmenv,fc477d95,2018-07-21 10:47:28,+0000,setup.py,MODIFY,2,6,PythonFiles\ssmenv\fc477d95\20ea01032277eb0c18242c7b6ac89d9ce9e69b5a\20ea01032277eb0c18242c7b6ac89d9ce9e69b5a_ssmenv_fc477d95_20180721_114728_before_3.py,PythonFiles\ssmenv\fc477d95\20ea01032277eb0c18242c7b6ac89d9ce9e69b5a\20ea01032277eb0c18242c7b6ac89d9ce9e69b5a_ssmenv_fc477d95_20180721_114728_after_3.py
20ea01032277eb0c18242c7b6ac89d9ce9e69b5a,ssmenv,fc477d95,2018-07-21 10:47:28,+0000,__init__.py,MODIFY,1,1,PythonFiles\ssmenv\fc477d95\20ea01032277eb0c18242c7b6ac89d9ce9e69b5a\20ea01032277eb0c18242c7b6ac89d9ce9e69b5a_ssmenv_fc477d95_20180721_114728_before_4.py,PythonFiles\ssmenv\fc477d95\20ea01032277eb0c18242c7b6ac89d9ce9e69b5a\20ea01032277eb0c18242c7b6ac89d9ce9e69b5a_ssmenv_fc477d95_20180721_114728_after_4.py
f8769fa4b03bd7675ab658b2c2e5a8893f97674b,ssmenv,fc477d95,2018-12-18 23:23:03,+0000,setup.py,MODIFY,23,2,PythonFiles\ssmenv\fc477d95\f8769fa4b03bd7675ab658b2c2e5a8893f97674b\f8769fa4b03bd7675ab658b2c2e5a8893f97674b_ssmenv_fc477d95_20181218_232303_before_1.py,PythonFiles\ssmenv\fc477d95\f8769fa4b03bd7675ab658b2c2e5a8893f97674b\f8769fa4b03bd7675ab658b2c2e5a8893f97674b_ssmenv_fc477d95_20181218_232303_after_1.py
f8769fa4b03bd7675ab658b2c2e5a8893f97674b,ssmenv,fc477d95,2018-12-18 23:23:03,+0000,__init__.py,MODIFY,2,0,PythonFiles\ssmenv\fc477d95\f8769fa4b03bd7675ab658b2c2e5a8893f97674b\f8769fa4b03bd7675ab658b2c2e5a8893f97674b_ssmenv_fc477d95_20181218_232303_before_2.py,PythonFiles\ssmenv\fc477d95\f8769fa4b03bd7675ab658b2c2e5a8893f97674b\f8769fa4b03bd7675ab658b2c2e5a8893f97674b_ssmenv_fc477d95_20181218_232303_after_2.py
0679492cee42374cdfb421f6d9e1d020e3889ee5,ssmenv,fc477d95,2018-12-18 23:39:12,+0000,setup.py,MODIFY,14,0,PythonFiles\ssmenv\fc477d95\0679492cee42374cdfb421f6d9e1d020e3889ee5\0679492cee42374cdfb421f6d9e1d020e3889ee5_ssmenv_fc477d95_20181218_233912_before_3.py,PythonFiles\ssmenv\fc477d95\0679492cee42374cdfb421f6d9e1d020e3889ee5\0679492cee42374cdfb421f6d9e1d020e3889ee5_ssmenv_fc477d95_20181218_233912_after_3.py
0679492cee42374cdfb421f6d9e1d020e3889ee5,ssmenv,fc477d95,2018-12-18 23:39:12,+0000,__init__.py,MODIFY,18,10,PythonFiles\ssmenv\fc477d95\0679492cee42374cdfb421f6d9e1d020e3889ee5\0679492cee42374cdfb421f6d9e1d020e3889ee5_ssmenv_fc477d95_20181218_233912_before_4.py,PythonFiles\ssmenv\fc477d95\0679492cee42374cdfb421f6d9e1d020e3889ee5\0679492cee42374cdfb421f6d9e1d020e3889ee5_ssmenv_fc477d95_20181218_233912_after_4.py
257d09e299e0bc09a819f7c8c2a909a9e7019189,ssmenv,fc477d95,2018-12-23 15:09:12,+0000,setup.py,MODIFY,2,2,PythonFiles\ssmenv\fc477d95\257d09e299e0bc09a819f7c8c2a909a9e7019189\257d09e299e0bc09a819f7c8c2a909a9e7019189_ssmenv_fc477d95_20181223_150912_before_1.py,PythonFiles\ssmenv\fc477d95\257d09e299e0bc09a819f7c8c2a909a9e7019189\257d09e299e0bc09a819f7c8c2a909a9e7019189_ssmenv_fc477d95_20181223_150912_after_1.py
257d09e299e0bc09a819f7c8c2a909a9e7019189,ssmenv,fc477d95,2018-12-23 15:09:12,+0000,__init__.py,RENAME,0,0,,
8eff2458acfb4af184e9c7b85012672b823bee51,ssmenv,fc477d95,2018-12-23 17:56:13,+0000,__init__.py,MODIFY,33,27,PythonFiles\ssmenv\fc477d95\8eff2458acfb4af184e9c7b85012672b823bee51\8eff2458acfb4af184e9c7b85012672b823bee51_ssmenv_fc477d95_20181223_175613_before_3.py,PythonFiles\ssmenv\fc477d95\8eff2458acfb4af184e9c7b85012672b823bee51\8eff2458acfb4af184e9c7b85012672b823bee51_ssmenv_fc477d95_20181223_175613_after_3.py
8eff2458acfb4af184e9c7b85012672b823bee51,ssmenv,fc477d95,2018-12-23 17:56:13,+0000,__init__.py,ADD,3,0,,PythonFiles\ssmenv\fc477d95\8eff2458acfb4af184e9c7b85012672b823bee51\8eff2458acfb4af184e9c7b85012672b823bee51_ssmenv_fc477d95_20181223_175613_after_4.py
8eff2458acfb4af184e9c7b85012672b823bee51,ssmenv,fc477d95,2018-12-23 17:56:13,+0000,test_ssm.py,ADD,82,0,,PythonFiles\ssmenv\fc477d95\8eff2458acfb4af184e9c7b85012672b823bee51\8eff2458acfb4af184e9c7b85012672b823bee51_ssmenv_fc477d95_20181223_175613_after_5.py
ad67fb7f9e7744f122c6fc145370de3954969220,ssmenv,fc477d95,2018-12-23 18:18:35,+0000,setup.py,MODIFY,2,2,PythonFiles\ssmenv\fc477d95\ad67fb7f9e7744f122c6fc145370de3954969220\ad67fb7f9e7744f122c6fc145370de3954969220_ssmenv_fc477d95_20181223_181835_before_2.py,PythonFiles\ssmenv\fc477d95\ad67fb7f9e7744f122c6fc145370de3954969220\ad67fb7f9e7744f122c6fc145370de3954969220_ssmenv_fc477d95_20181223_181835_after_2.py
ad67fb7f9e7744f122c6fc145370de3954969220,ssmenv,fc477d95,2018-12-23 18:18:35,+0000,__init__.py,RENAME,0,0,,
36d2df45797927d36d8d555872f502a605c7f8cc,ssmenv,fc477d95,2018-12-23 18:28:13,+0000,__init__.py,MODIFY,5,1,PythonFiles\ssmenv\fc477d95\36d2df45797927d36d8d555872f502a605c7f8cc\36d2df45797927d36d8d555872f502a605c7f8cc_ssmenv_fc477d95_20181223_182813_before_5.py,PythonFiles\ssmenv\fc477d95\36d2df45797927d36d8d555872f502a605c7f8cc\36d2df45797927d36d8d555872f502a605c7f8cc_ssmenv_fc477d95_20181223_182813_after_5.py
36d2df45797927d36d8d555872f502a605c7f8cc,ssmenv,fc477d95,2018-12-23 18:28:13,+0000,test_ssm.py,MODIFY,14,29,PythonFiles\ssmenv\fc477d95\36d2df45797927d36d8d555872f502a605c7f8cc\36d2df45797927d36d8d555872f502a605c7f8cc_ssmenv_fc477d95_20181223_182813_before_6.py,PythonFiles\ssmenv\fc477d95\36d2df45797927d36d8d555872f502a605c7f8cc\36d2df45797927d36d8d555872f502a605c7f8cc_ssmenv_fc477d95_20181223_182813_after_6.py
d43d6dea9ba09c61cc6a72ef4afde16a640aa682,ssmenv,fc477d95,2018-12-23 19:01:05,+0000,__init__.py,MODIFY,1,1,PythonFiles\ssmenv\fc477d95\d43d6dea9ba09c61cc6a72ef4afde16a640aa682\d43d6dea9ba09c61cc6a72ef4afde16a640aa682_ssmenv_fc477d95_20181223_190105_before_1.py,PythonFiles\ssmenv\fc477d95\d43d6dea9ba09c61cc6a72ef4afde16a640aa682\d43d6dea9ba09c61cc6a72ef4afde16a640aa682_ssmenv_fc477d95_20181223_190105_after_1.py
ad51fa77a8bef2a8ed0b29d7ea39187a3bea5806,ssmenv,fc477d95,2018-12-23 19:47:36,+0000,__init__.py,MODIFY,1,2,PythonFiles\ssmenv\fc477d95\ad51fa77a8bef2a8ed0b29d7ea39187a3bea5806\ad51fa77a8bef2a8ed0b29d7ea39187a3bea5806_ssmenv_fc477d95_20181223_194736_before_2.py,PythonFiles\ssmenv\fc477d95\ad51fa77a8bef2a8ed0b29d7ea39187a3bea5806\ad51fa77a8bef2a8ed0b29d7ea39187a3bea5806_ssmenv_fc477d95_20181223_194736_after_2.py
ad51fa77a8bef2a8ed0b29d7ea39187a3bea5806,ssmenv,fc477d95,2018-12-23 19:47:36,+0000,test_ssm.py,MODIFY,12,0,PythonFiles\ssmenv\fc477d95\ad51fa77a8bef2a8ed0b29d7ea39187a3bea5806\ad51fa77a8bef2a8ed0b29d7ea39187a3bea5806_ssmenv_fc477d95_20181223_194736_before_3.py,PythonFiles\ssmenv\fc477d95\ad51fa77a8bef2a8ed0b29d7ea39187a3bea5806\ad51fa77a8bef2a8ed0b29d7ea39187a3bea5806_ssmenv_fc477d95_20181223_194736_after_3.py
3ed6ab400d1bfeebf7c810a3eee2012a7586dbf8,ssmenv,fc477d95,2018-12-23 21:25:18,+0000,__init__.py,MODIFY,11,1,PythonFiles\ssmenv\fc477d95\3ed6ab400d1bfeebf7c810a3eee2012a7586dbf8\3ed6ab400d1bfeebf7c810a3eee2012a7586dbf8_ssmenv_fc477d95_20181223_212518_before_2.py,PythonFiles\ssmenv\fc477d95\3ed6ab400d1bfeebf7c810a3eee2012a7586dbf8\3ed6ab400d1bfeebf7c810a3eee2012a7586dbf8_ssmenv_fc477d95_20181223_212518_after_2.py
3ed6ab400d1bfeebf7c810a3eee2012a7586dbf8,ssmenv,fc477d95,2018-12-23 21:25:18,+0000,test_ssm.py,MODIFY,10,0,PythonFiles\ssmenv\fc477d95\3ed6ab400d1bfeebf7c810a3eee2012a7586dbf8\3ed6ab400d1bfeebf7c810a3eee2012a7586dbf8_ssmenv_fc477d95_20181223_212518_before_3.py,PythonFiles\ssmenv\fc477d95\3ed6ab400d1bfeebf7c810a3eee2012a7586dbf8\3ed6ab400d1bfeebf7c810a3eee2012a7586dbf8_ssmenv_fc477d95_20181223_212518_after_3.py
ca974c7aaad02e476cb3822bcd27f3d8c56c9559,ssmenv,fc477d95,2018-12-23 21:32:23,+0000,setup.py,MODIFY,4,3,PythonFiles\ssmenv\fc477d95\ca974c7aaad02e476cb3822bcd27f3d8c56c9559\ca974c7aaad02e476cb3822bcd27f3d8c56c9559_ssmenv_fc477d95_20181223_213223_before_3.py,PythonFiles\ssmenv\fc477d95\ca974c7aaad02e476cb3822bcd27f3d8c56c9559\ca974c7aaad02e476cb3822bcd27f3d8c56c9559_ssmenv_fc477d95_20181223_213223_after_3.py
82e5d838a761fa6a7e2b1b2a597c272ba73916bc,ssmenv,fc477d95,2018-12-23 21:45:42,+0000,setup.py,MODIFY,1,1,PythonFiles\ssmenv\fc477d95\82e5d838a761fa6a7e2b1b2a597c272ba73916bc\82e5d838a761fa6a7e2b1b2a597c272ba73916bc_ssmenv_fc477d95_20181223_214542_before_1.py,PythonFiles\ssmenv\fc477d95\82e5d838a761fa6a7e2b1b2a597c272ba73916bc\82e5d838a761fa6a7e2b1b2a597c272ba73916bc_ssmenv_fc477d95_20181223_214542_after_1.py
82e5d838a761fa6a7e2b1b2a597c272ba73916bc,ssmenv,fc477d95,2018-12-23 21:45:42,+0000,__init__.py,MODIFY,1,1,PythonFiles\ssmenv\fc477d95\82e5d838a761fa6a7e2b1b2a597c272ba73916bc\82e5d838a761fa6a7e2b1b2a597c272ba73916bc_ssmenv_fc477d95_20181223_214542_before_2.py,PythonFiles\ssmenv\fc477d95\82e5d838a761fa6a7e2b1b2a597c272ba73916bc\82e5d838a761fa6a7e2b1b2a597c272ba73916bc_ssmenv_fc477d95_20181223_214542_after_2.py
b10e279f59b30f9b093232643d83c7cffea158ba,ssmenv,fc477d95,2018-12-23 22:38:26,+0000,setup.py,MODIFY,2,2,PythonFiles\ssmenv\fc477d95\b10e279f59b30f9b093232643d83c7cffea158ba\b10e279f59b30f9b093232643d83c7cffea158ba_ssmenv_fc477d95_20181223_223826_before_2.py,PythonFiles\ssmenv\fc477d95\b10e279f59b30f9b093232643d83c7cffea158ba\b10e279f59b30f9b093232643d83c7cffea158ba_ssmenv_fc477d95_20181223_223826_after_2.py
ab2fe68e7ea566d107275296332fb1968709c9e0,ssmenv,fc477d95,2018-12-23 22:52:13,+0000,setup.py,MODIFY,1,1,PythonFiles\ssmenv\fc477d95\ab2fe68e7ea566d107275296332fb1968709c9e0\ab2fe68e7ea566d107275296332fb1968709c9e0_ssmenv_fc477d95_20181223_225213_before_2.py,PythonFiles\ssmenv\fc477d95\ab2fe68e7ea566d107275296332fb1968709c9e0\ab2fe68e7ea566d107275296332fb1968709c9e0_ssmenv_fc477d95_20181223_225213_after_2.py
ab2fe68e7ea566d107275296332fb1968709c9e0,ssmenv,fc477d95,2018-12-23 22:52:13,+0000,__init__.py,MODIFY,1,1,PythonFiles\ssmenv\fc477d95\ab2fe68e7ea566d107275296332fb1968709c9e0\ab2fe68e7ea566d107275296332fb1968709c9e0_ssmenv_fc477d95_20181223_225213_before_3.py,PythonFiles\ssmenv\fc477d95\ab2fe68e7ea566d107275296332fb1968709c9e0\ab2fe68e7ea566d107275296332fb1968709c9e0_ssmenv_fc477d95_20181223_225213_after_3.py
c291afb791ffe77f3054340daf70ec18da059495,ssmenv,fc477d95,2018-12-23 23:40:15,+0000,__init__.py,MODIFY,11,1,PythonFiles\ssmenv\fc477d95\c291afb791ffe77f3054340daf70ec18da059495\c291afb791ffe77f3054340daf70ec18da059495_ssmenv_fc477d95_20181223_234015_before_2.py,PythonFiles\ssmenv\fc477d95\c291afb791ffe77f3054340daf70ec18da059495\c291afb791ffe77f3054340daf70ec18da059495_ssmenv_fc477d95_20181223_234015_after_2.py
c291afb791ffe77f3054340daf70ec18da059495,ssmenv,fc477d95,2018-12-23 23:40:15,+0000,test_ssm.py,MODIFY,6,0,PythonFiles\ssmenv\fc477d95\c291afb791ffe77f3054340daf70ec18da059495\c291afb791ffe77f3054340daf70ec18da059495_ssmenv_fc477d95_20181223_234015_before_3.py,PythonFiles\ssmenv\fc477d95\c291afb791ffe77f3054340daf70ec18da059495\c291afb791ffe77f3054340daf70ec18da059495_ssmenv_fc477d95_20181223_234015_after_3.py
3e5be92d4cb0e5c94e624eb83771ea4c04634511,ssmenv,fc477d95,2018-12-23 23:44:19,+0000,__init__.py,MODIFY,1,1,PythonFiles\ssmenv\fc477d95\3e5be92d4cb0e5c94e624eb83771ea4c04634511\3e5be92d4cb0e5c94e624eb83771ea4c04634511_ssmenv_fc477d95_20181223_234419_before_1.py,PythonFiles\ssmenv\fc477d95\3e5be92d4cb0e5c94e624eb83771ea4c04634511\3e5be92d4cb0e5c94e624eb83771ea4c04634511_ssmenv_fc477d95_20181223_234419_after_1.py
60b2fea339a2db2376504158597347c029bcb76f,ssmenv,fc477d95,2018-12-24 14:52:40,+0000,__init__.py,MODIFY,4,1,PythonFiles\ssmenv\fc477d95\60b2fea339a2db2376504158597347c029bcb76f\60b2fea339a2db2376504158597347c029bcb76f_ssmenv_fc477d95_20181224_145240_before_1.py,PythonFiles\ssmenv\fc477d95\60b2fea339a2db2376504158597347c029bcb76f\60b2fea339a2db2376504158597347c029bcb76f_ssmenv_fc477d95_20181224_145240_after_1.py
60b2fea339a2db2376504158597347c029bcb76f,ssmenv,fc477d95,2018-12-24 14:52:40,+0000,test_ssm.py,MODIFY,37,17,PythonFiles\ssmenv\fc477d95\60b2fea339a2db2376504158597347c029bcb76f\60b2fea339a2db2376504158597347c029bcb76f_ssmenv_fc477d95_20181224_145240_before_2.py,PythonFiles\ssmenv\fc477d95\60b2fea339a2db2376504158597347c029bcb76f\60b2fea339a2db2376504158597347c029bcb76f_ssmenv_fc477d95_20181224_145240_after_2.py
51d5daca7d9218d60ebf56d50bdcdf1499bc14ab,ssmenv,fc477d95,2018-12-24 14:57:16,+0000,__init__.py,MODIFY,1,1,PythonFiles\ssmenv\fc477d95\51d5daca7d9218d60ebf56d50bdcdf1499bc14ab\51d5daca7d9218d60ebf56d50bdcdf1499bc14ab_ssmenv_fc477d95_20181224_145716_before_1.py,PythonFiles\ssmenv\fc477d95\51d5daca7d9218d60ebf56d50bdcdf1499bc14ab\51d5daca7d9218d60ebf56d50bdcdf1499bc14ab_ssmenv_fc477d95_20181224_145716_after_1.py
e2d70b4c090f1d9544a2e6fc67ff6e99047bcbe4,ssmenv,fc477d95,2018-12-27 16:10:07,+0000,__init__.py,MODIFY,24,4,PythonFiles\ssmenv\fc477d95\e2d70b4c090f1d9544a2e6fc67ff6e99047bcbe4\e2d70b4c090f1d9544a2e6fc67ff6e99047bcbe4_ssmenv_fc477d95_20181227_161007_before_2.py,PythonFiles\ssmenv\fc477d95\e2d70b4c090f1d9544a2e6fc67ff6e99047bcbe4\e2d70b4c090f1d9544a2e6fc67ff6e99047bcbe4_ssmenv_fc477d95_20181227_161007_after_2.py
e2d70b4c090f1d9544a2e6fc67ff6e99047bcbe4,ssmenv,fc477d95,2018-12-27 16:10:07,+0000,test_ssm.py,MODIFY,19,1,PythonFiles\ssmenv\fc477d95\e2d70b4c090f1d9544a2e6fc67ff6e99047bcbe4\e2d70b4c090f1d9544a2e6fc67ff6e99047bcbe4_ssmenv_fc477d95_20181227_161007_before_3.py,PythonFiles\ssmenv\fc477d95\e2d70b4c090f1d9544a2e6fc67ff6e99047bcbe4\e2d70b4c090f1d9544a2e6fc67ff6e99047bcbe4_ssmenv_fc477d95_20181227_161007_after_3.py
