CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
5988ff281bcc380f8994452dafff8103079b509e,stellargraph,f197fa67,2018-04-20 05:59:41,+0000,__init__.py,ADD,0,0,,
5988ff281bcc380f8994452dafff8103079b509e,stellargraph,f197fa67,2018-04-20 05:59:41,+0000,example_graphsage.py,ADD,73,0,,PythonFiles\stellargraph\f197fa67\5988ff281bcc380f8994452dafff8103079b509e\5988ff281bcc380f8994452dafff8103079b509e_stellargraph_f197fa67_20180420_155941_after_4.py
5988ff281bcc380f8994452dafff8103079b509e,stellargraph,f197fa67,2018-04-20 05:59:41,+0000,__init__.py,ADD,0,0,,
5988ff281bcc380f8994452dafff8103079b509e,stellargraph,f197fa67,2018-04-20 05:59:41,+0000,redisgraph.py,ADD,75,0,,PythonFiles\stellargraph\f197fa67\5988ff281bcc380f8994452dafff8103079b509e\5988ff281bcc380f8994452dafff8103079b509e_stellargraph_f197fa67_20180420_155941_after_6.py
5988ff281bcc380f8994452dafff8103079b509e,stellargraph,f197fa67,2018-04-20 05:59:41,+0000,__init__.py,ADD,0,0,,
5988ff281bcc380f8994452dafff8103079b509e,stellargraph,f197fa67,2018-04-20 05:59:41,+0000,graphsage.py,ADD,87,0,,PythonFiles\stellargraph\f197fa67\5988ff281bcc380f8994452dafff8103079b509e\5988ff281bcc380f8994452dafff8103079b509e_stellargraph_f197fa67_20180420_155941_after_8.py
5988ff281bcc380f8994452dafff8103079b509e,stellargraph,f197fa67,2018-04-20 05:59:41,+0000,__init__.py,ADD,0,0,,
5988ff281bcc380f8994452dafff8103079b509e,stellargraph,f197fa67,2018-04-20 05:59:41,+0000,evaluation.py,ADD,8,0,,PythonFiles\stellargraph\f197fa67\5988ff281bcc380f8994452dafff8103079b509e\5988ff281bcc380f8994452dafff8103079b509e_stellargraph_f197fa67_20180420_155941_after_11.py
5988ff281bcc380f8994452dafff8103079b509e,stellargraph,f197fa67,2018-04-20 05:59:41,+0000,initializer.py,ADD,7,0,,PythonFiles\stellargraph\f197fa67\5988ff281bcc380f8994452dafff8103079b509e\5988ff281bcc380f8994452dafff8103079b509e_stellargraph_f197fa67_20180420_155941_after_12.py
5988ff281bcc380f8994452dafff8103079b509e,stellargraph,f197fa67,2018-04-20 05:59:41,+0000,redisutil.py,ADD,142,0,,PythonFiles\stellargraph\f197fa67\5988ff281bcc380f8994452dafff8103079b509e\5988ff281bcc380f8994452dafff8103079b509e_stellargraph_f197fa67_20180420_155941_after_13.py
62dfeae14434e0048a5fc10cb046bbcf32ab6e56,stellargraph,f197fa67,2018-04-24 03:43:09,+0000,example_graphsage.py,MODIFY,42,22,PythonFiles\stellargraph\f197fa67\62dfeae14434e0048a5fc10cb046bbcf32ab6e56\62dfeae14434e0048a5fc10cb046bbcf32ab6e56_stellargraph_f197fa67_20180424_134309_before_1.py,PythonFiles\stellargraph\f197fa67\62dfeae14434e0048a5fc10cb046bbcf32ab6e56\62dfeae14434e0048a5fc10cb046bbcf32ab6e56_stellargraph_f197fa67_20180424_134309_after_1.py
62dfeae14434e0048a5fc10cb046bbcf32ab6e56,stellargraph,f197fa67,2018-04-24 03:43:09,+0000,graphsage.py,MODIFY,12,7,PythonFiles\stellargraph\f197fa67\62dfeae14434e0048a5fc10cb046bbcf32ab6e56\62dfeae14434e0048a5fc10cb046bbcf32ab6e56_stellargraph_f197fa67_20180424_134309_before_2.py,PythonFiles\stellargraph\f197fa67\62dfeae14434e0048a5fc10cb046bbcf32ab6e56\62dfeae14434e0048a5fc10cb046bbcf32ab6e56_stellargraph_f197fa67_20180424_134309_after_2.py
f4e72a57a819b08e9c7f78cbaf4aebc10e9021c9,stellargraph,f197fa67,2018-04-25 17:12:10,+0000,example_graphsage.py,MODIFY,17,1,PythonFiles\stellargraph\f197fa67\f4e72a57a819b08e9c7f78cbaf4aebc10e9021c9\f4e72a57a819b08e9c7f78cbaf4aebc10e9021c9_stellargraph_f197fa67_20180426_031210_before_2.py,PythonFiles\stellargraph\f197fa67\f4e72a57a819b08e9c7f78cbaf4aebc10e9021c9\f4e72a57a819b08e9c7f78cbaf4aebc10e9021c9_stellargraph_f197fa67_20180426_031210_after_2.py
