CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
0d18181496b8f228ef2aa501609bff48887c8b9f,sublimedsl,56fb5bff,2015-08-07 22:51:14,+0000,setup.py,ADD,34,0,,PythonFiles\sublimedsl\56fb5bff\0d18181496b8f228ef2aa501609bff48887c8b9f\0d18181496b8f228ef2aa501609bff48887c8b9f_sublimedsl_56fb5bff_20150808_005114_after_7.py
0d18181496b8f228ef2aa501609bff48887c8b9f,sublimedsl,56fb5bff,2015-08-07 22:51:14,+0000,__init__.py,ADD,1,0,,PythonFiles\sublimedsl\56fb5bff\0d18181496b8f228ef2aa501609bff48887c8b9f\0d18181496b8f228ef2aa501609bff48887c8b9f_sublimedsl_56fb5bff_20150808_005114_after_8.py
2934df0c25e4d624239d4255be5bba417d9cdf84,sublimedsl,56fb5bff,2015-08-07 22:53:50,+0000,conf.py,ADD,193,0,,PythonFiles\sublimedsl\56fb5bff\2934df0c25e4d624239d4255be5bba417d9cdf84\2934df0c25e4d624239d4255be5bba417d9cdf84_sublimedsl_56fb5bff_20150808_005350_after_1.py
8a815299ca15e56da50a3b1caa99e57167ca793a,sublimedsl,56fb5bff,2015-08-07 23:31:03,+0000,keymap.py,ADD,339,0,,PythonFiles\sublimedsl\56fb5bff\8a815299ca15e56da50a3b1caa99e57167ca793a\8a815299ca15e56da50a3b1caa99e57167ca793a_sublimedsl_56fb5bff_20150808_013103_after_3.py
8a815299ca15e56da50a3b1caa99e57167ca793a,sublimedsl,56fb5bff,2015-08-07 23:31:03,+0000,test_keymap.py,ADD,51,0,,PythonFiles\sublimedsl\56fb5bff\8a815299ca15e56da50a3b1caa99e57167ca793a\8a815299ca15e56da50a3b1caa99e57167ca793a_sublimedsl_56fb5bff_20150808_013103_after_4.py
f5200074828a567dfd4c6b24d8ac3590cede7b2b,sublimedsl,56fb5bff,2015-08-08 09:08:39,+0000,keymap.py,MODIFY,0,2,PythonFiles\sublimedsl\56fb5bff\f5200074828a567dfd4c6b24d8ac3590cede7b2b\f5200074828a567dfd4c6b24d8ac3590cede7b2b_sublimedsl_56fb5bff_20150808_110839_before_1.py,PythonFiles\sublimedsl\56fb5bff\f5200074828a567dfd4c6b24d8ac3590cede7b2b\f5200074828a567dfd4c6b24d8ac3590cede7b2b_sublimedsl_56fb5bff_20150808_110839_after_1.py
6a34885ae4dc83c46f3ff573f860c011e26fa17c,sublimedsl,56fb5bff,2015-08-08 09:29:58,+0000,test_keymap.py,MODIFY,1,1,PythonFiles\sublimedsl\56fb5bff\6a34885ae4dc83c46f3ff573f860c011e26fa17c\6a34885ae4dc83c46f3ff573f860c011e26fa17c_sublimedsl_56fb5bff_20150808_112958_before_2.py,PythonFiles\sublimedsl\56fb5bff\6a34885ae4dc83c46f3ff573f860c011e26fa17c\6a34885ae4dc83c46f3ff573f860c011e26fa17c_sublimedsl_56fb5bff_20150808_112958_after_2.py
e2087a620ee11ae919a436534aee1bd04f7efb6b,sublimedsl,56fb5bff,2015-08-08 09:30:37,+0000,__init__.py,ADD,0,0,,
6a845bd2829a3219073e2be4d6289f5907c2ad05,sublimedsl,56fb5bff,2015-08-08 11:51:50,+0000,keymap.py,MODIFY,2,6,PythonFiles\sublimedsl\56fb5bff\6a845bd2829a3219073e2be4d6289f5907c2ad05\6a845bd2829a3219073e2be4d6289f5907c2ad05_sublimedsl_56fb5bff_20150808_135150_before_1.py,PythonFiles\sublimedsl\56fb5bff\6a845bd2829a3219073e2be4d6289f5907c2ad05\6a845bd2829a3219073e2be4d6289f5907c2ad05_sublimedsl_56fb5bff_20150808_135150_after_1.py
03e85ebe9a3e38cf397283a78086e76f78fcc67d,sublimedsl,56fb5bff,2015-08-08 11:52:35,+0000,keymap.py,MODIFY,7,9,PythonFiles\sublimedsl\56fb5bff\03e85ebe9a3e38cf397283a78086e76f78fcc67d\03e85ebe9a3e38cf397283a78086e76f78fcc67d_sublimedsl_56fb5bff_20150808_135235_before_1.py,PythonFiles\sublimedsl\56fb5bff\03e85ebe9a3e38cf397283a78086e76f78fcc67d\03e85ebe9a3e38cf397283a78086e76f78fcc67d_sublimedsl_56fb5bff_20150808_135235_after_1.py
9f82f64399d944570fc22eb865dc467966809e8a,sublimedsl,56fb5bff,2015-08-08 12:25:28,+0000,keymap.py,MODIFY,11,2,PythonFiles\sublimedsl\56fb5bff\9f82f64399d944570fc22eb865dc467966809e8a\9f82f64399d944570fc22eb865dc467966809e8a_sublimedsl_56fb5bff_20150808_142528_before_1.py,PythonFiles\sublimedsl\56fb5bff\9f82f64399d944570fc22eb865dc467966809e8a\9f82f64399d944570fc22eb865dc467966809e8a_sublimedsl_56fb5bff_20150808_142528_after_1.py
f233da1a012af40f81c94532aeba75f278f330b7,sublimedsl,56fb5bff,2015-08-08 12:27:56,+0000,keymap.py,MODIFY,1,1,PythonFiles\sublimedsl\56fb5bff\f233da1a012af40f81c94532aeba75f278f330b7\f233da1a012af40f81c94532aeba75f278f330b7_sublimedsl_56fb5bff_20150808_142756_before_2.py,PythonFiles\sublimedsl\56fb5bff\f233da1a012af40f81c94532aeba75f278f330b7\f233da1a012af40f81c94532aeba75f278f330b7_sublimedsl_56fb5bff_20150808_142756_after_2.py
e9f87858c36b65b33f2f542de65b1936671ccd28,sublimedsl,56fb5bff,2015-08-08 13:01:54,+0000,keymap.py,MODIFY,6,0,PythonFiles\sublimedsl\56fb5bff\e9f87858c36b65b33f2f542de65b1936671ccd28\e9f87858c36b65b33f2f542de65b1936671ccd28_sublimedsl_56fb5bff_20150808_150154_before_1.py,PythonFiles\sublimedsl\56fb5bff\e9f87858c36b65b33f2f542de65b1936671ccd28\e9f87858c36b65b33f2f542de65b1936671ccd28_sublimedsl_56fb5bff_20150808_150154_after_1.py
fe95286f11d683ef15d0ff2a2ef568e650a12938,sublimedsl,56fb5bff,2015-08-08 13:24:56,+0000,__init__.py,MODIFY,1,1,PythonFiles\sublimedsl\56fb5bff\fe95286f11d683ef15d0ff2a2ef568e650a12938\fe95286f11d683ef15d0ff2a2ef568e650a12938_sublimedsl_56fb5bff_20150808_152456_before_1.py,PythonFiles\sublimedsl\56fb5bff\fe95286f11d683ef15d0ff2a2ef568e650a12938\fe95286f11d683ef15d0ff2a2ef568e650a12938_sublimedsl_56fb5bff_20150808_152456_after_1.py
d47ac4a685199e3ab8d3c07706ffd984f622f662,sublimedsl,56fb5bff,2015-08-08 13:31:03,+0000,keymap.py,MODIFY,0,1,PythonFiles\sublimedsl\56fb5bff\d47ac4a685199e3ab8d3c07706ffd984f622f662\d47ac4a685199e3ab8d3c07706ffd984f622f662_sublimedsl_56fb5bff_20150808_153103_before_1.py,PythonFiles\sublimedsl\56fb5bff\d47ac4a685199e3ab8d3c07706ffd984f622f662\d47ac4a685199e3ab8d3c07706ffd984f622f662_sublimedsl_56fb5bff_20150808_153103_after_1.py
cdc2315671d1095fff31f7ed0b9a3d3ce1c1ad6d,sublimedsl,56fb5bff,2015-08-08 14:36:06,+0000,keymap.py,MODIFY,7,10,PythonFiles\sublimedsl\56fb5bff\cdc2315671d1095fff31f7ed0b9a3d3ce1c1ad6d\cdc2315671d1095fff31f7ed0b9a3d3ce1c1ad6d_sublimedsl_56fb5bff_20150808_163606_before_1.py,PythonFiles\sublimedsl\56fb5bff\cdc2315671d1095fff31f7ed0b9a3d3ce1c1ad6d\cdc2315671d1095fff31f7ed0b9a3d3ce1c1ad6d_sublimedsl_56fb5bff_20150808_163606_after_1.py
13d0666d83bd15f27ae224bcea7840b41b93c18e,sublimedsl,56fb5bff,2015-08-08 14:45:12,+0000,__init__.py,MODIFY,1,1,PythonFiles\sublimedsl\56fb5bff\13d0666d83bd15f27ae224bcea7840b41b93c18e\13d0666d83bd15f27ae224bcea7840b41b93c18e_sublimedsl_56fb5bff_20150808_164512_before_1.py,PythonFiles\sublimedsl\56fb5bff\13d0666d83bd15f27ae224bcea7840b41b93c18e\13d0666d83bd15f27ae224bcea7840b41b93c18e_sublimedsl_56fb5bff_20150808_164512_after_1.py
