CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
e7ec44da6cbc4cc62bdc686936322a256527c49d,torip,26aefe24,2015-10-30 18:21:45,+0000,setup.py,ADD,26,0,,PythonFiles\torip\26aefe24\e7ec44da6cbc4cc62bdc686936322a256527c49d\e7ec44da6cbc4cc62bdc686936322a256527c49d_torip_26aefe24_20151030_192145_after_4.py
e7ec44da6cbc4cc62bdc686936322a256527c49d,torip,26aefe24,2015-10-30 18:21:45,+0000,__init__.py,ADD,1,0,,PythonFiles\torip\26aefe24\e7ec44da6cbc4cc62bdc686936322a256527c49d\e7ec44da6cbc4cc62bdc686936322a256527c49d_torip_26aefe24_20151030_192145_after_5.py
e7ec44da6cbc4cc62bdc686936322a256527c49d,torip,26aefe24,2015-10-30 18:21:45,+0000,__init__.py,ADD,8,0,,PythonFiles\torip\26aefe24\e7ec44da6cbc4cc62bdc686936322a256527c49d\e7ec44da6cbc4cc62bdc686936322a256527c49d_torip_26aefe24_20151030_192145_after_6.py
e7ec44da6cbc4cc62bdc686936322a256527c49d,torip,26aefe24,2015-10-30 18:21:45,+0000,ipapis.py,ADD,100,0,,PythonFiles\torip\26aefe24\e7ec44da6cbc4cc62bdc686936322a256527c49d\e7ec44da6cbc4cc62bdc686936322a256527c49d_torip_26aefe24_20151030_192145_after_7.py
e7ec44da6cbc4cc62bdc686936322a256527c49d,torip,26aefe24,2015-10-30 18:21:45,+0000,locator.py,ADD,25,0,,PythonFiles\torip\26aefe24\e7ec44da6cbc4cc62bdc686936322a256527c49d\e7ec44da6cbc4cc62bdc686936322a256527c49d_torip_26aefe24_20151030_192145_after_8.py
61542242e79560825ccd2ac7ae5a58cdb5855de6,torip,26aefe24,2015-10-30 18:37:05,+0000,__init__.py,MODIFY,0,4,PythonFiles\torip\26aefe24\61542242e79560825ccd2ac7ae5a58cdb5855de6\61542242e79560825ccd2ac7ae5a58cdb5855de6_torip_26aefe24_20151030_193705_before_3.py,PythonFiles\torip\26aefe24\61542242e79560825ccd2ac7ae5a58cdb5855de6\61542242e79560825ccd2ac7ae5a58cdb5855de6_torip_26aefe24_20151030_193705_after_3.py
61542242e79560825ccd2ac7ae5a58cdb5855de6,torip,26aefe24,2015-10-30 18:37:05,+0000,ipapis.py,MODIFY,20,1,PythonFiles\torip\26aefe24\61542242e79560825ccd2ac7ae5a58cdb5855de6\61542242e79560825ccd2ac7ae5a58cdb5855de6_torip_26aefe24_20151030_193705_before_4.py,PythonFiles\torip\26aefe24\61542242e79560825ccd2ac7ae5a58cdb5855de6\61542242e79560825ccd2ac7ae5a58cdb5855de6_torip_26aefe24_20151030_193705_after_4.py
514bfb252f85dcf458b55e6ab6d200fa0ba0cdb0,torip,26aefe24,2015-10-30 19:38:44,+0000,ipapis.py,MODIFY,31,11,PythonFiles\torip\26aefe24\514bfb252f85dcf458b55e6ab6d200fa0ba0cdb0\514bfb252f85dcf458b55e6ab6d200fa0ba0cdb0_torip_26aefe24_20151030_203844_before_2.py,PythonFiles\torip\26aefe24\514bfb252f85dcf458b55e6ab6d200fa0ba0cdb0\514bfb252f85dcf458b55e6ab6d200fa0ba0cdb0_torip_26aefe24_20151030_203844_after_2.py
7910deb011169ba0873d2c65ee3cc1eebc1c5f7d,torip,26aefe24,2015-10-30 19:39:41,+0000,test_torip.py,ADD,46,0,,PythonFiles\torip\26aefe24\7910deb011169ba0873d2c65ee3cc1eebc1c5f7d\7910deb011169ba0873d2c65ee3cc1eebc1c5f7d_torip_26aefe24_20151030_203941_after_1.py
7910deb011169ba0873d2c65ee3cc1eebc1c5f7d,torip,26aefe24,2015-10-30 19:39:41,+0000,utilities.py,ADD,10,0,,PythonFiles\torip\26aefe24\7910deb011169ba0873d2c65ee3cc1eebc1c5f7d\7910deb011169ba0873d2c65ee3cc1eebc1c5f7d_torip_26aefe24_20151030_203941_after_2.py
