CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
90ddf1c9732fa33145ae6937313730bad1ed5eba,trunklucator,ee51e742,2018-04-28 15:14:37,+0000,label_digits.py,ADD,118,0,,PythonFiles\trunklucator\ee51e742\90ddf1c9732fa33145ae6937313730bad1ed5eba\90ddf1c9732fa33145ae6937313730bad1ed5eba_trunklucator_ee51e742_20180428_181437_after_3.py
90ddf1c9732fa33145ae6937313730bad1ed5eba,trunklucator,ee51e742,2018-04-28 15:14:37,+0000,my_interactive_labeler.py,ADD,47,0,,PythonFiles\trunklucator\ee51e742\90ddf1c9732fa33145ae6937313730bad1ed5eba\90ddf1c9732fa33145ae6937313730bad1ed5eba_trunklucator_ee51e742_20180428_181437_after_4.py
90ddf1c9732fa33145ae6937313730bad1ed5eba,trunklucator,ee51e742,2018-04-28 15:14:37,+0000,server.py,ADD,146,0,,PythonFiles\trunklucator\ee51e742\90ddf1c9732fa33145ae6937313730bad1ed5eba\90ddf1c9732fa33145ae6937313730bad1ed5eba_trunklucator_ee51e742_20180428_181437_after_5.py
8130038bb358bfde8e9663067c992a568e7f1840,trunklucator,ee51e742,2018-05-03 08:38:23,+0000,const.py,ADD,10,0,,PythonFiles\trunklucator\ee51e742\8130038bb358bfde8e9663067c992a568e7f1840\8130038bb358bfde8e9663067c992a568e7f1840_trunklucator_ee51e742_20180503_113823_after_5.py
8130038bb358bfde8e9663067c992a568e7f1840,trunklucator,ee51e742,2018-05-03 08:38:23,+0000,protocol.py,ADD,23,0,,PythonFiles\trunklucator\ee51e742\8130038bb358bfde8e9663067c992a568e7f1840\8130038bb358bfde8e9663067c992a568e7f1840_trunklucator_ee51e742_20180503_113823_after_6.py
8130038bb358bfde8e9663067c992a568e7f1840,trunklucator,ee51e742,2018-05-03 08:38:23,+0000,server.py,MODIFY,3,4,PythonFiles\trunklucator\ee51e742\8130038bb358bfde8e9663067c992a568e7f1840\8130038bb358bfde8e9663067c992a568e7f1840_trunklucator_ee51e742_20180503_113823_before_7.py,PythonFiles\trunklucator\ee51e742\8130038bb358bfde8e9663067c992a568e7f1840\8130038bb358bfde8e9663067c992a568e7f1840_trunklucator_ee51e742_20180503_113823_after_7.py
8130038bb358bfde8e9663067c992a568e7f1840,trunklucator,ee51e742,2018-05-03 08:38:23,+0000,server_probe.py,ADD,145,0,,PythonFiles\trunklucator\ee51e742\8130038bb358bfde8e9663067c992a568e7f1840\8130038bb358bfde8e9663067c992a568e7f1840_trunklucator_ee51e742_20180503_113823_after_8.py
869466703a252296799b9f9b2f85c1953ad50182,trunklucator,ee51e742,2018-05-03 16:02:02,+0000,const.py,MODIFY,11,1,PythonFiles\trunklucator\ee51e742\869466703a252296799b9f9b2f85c1953ad50182\869466703a252296799b9f9b2f85c1953ad50182_trunklucator_ee51e742_20180503_190202_before_2.py,PythonFiles\trunklucator\ee51e742\869466703a252296799b9f9b2f85c1953ad50182\869466703a252296799b9f9b2f85c1953ad50182_trunklucator_ee51e742_20180503_190202_after_2.py
869466703a252296799b9f9b2f85c1953ad50182,trunklucator,ee51e742,2018-05-03 16:02:02,+0000,dto_base.py,ADD,26,0,,PythonFiles\trunklucator\ee51e742\869466703a252296799b9f9b2f85c1953ad50182\869466703a252296799b9f9b2f85c1953ad50182_trunklucator_ee51e742_20180503_190202_after_3.py
869466703a252296799b9f9b2f85c1953ad50182,trunklucator,ee51e742,2018-05-03 16:02:02,+0000,protocol.py,MODIFY,14,14,PythonFiles\trunklucator\ee51e742\869466703a252296799b9f9b2f85c1953ad50182\869466703a252296799b9f9b2f85c1953ad50182_trunklucator_ee51e742_20180503_190202_before_4.py,PythonFiles\trunklucator\ee51e742\869466703a252296799b9f9b2f85c1953ad50182\869466703a252296799b9f9b2f85c1953ad50182_trunklucator_ee51e742_20180503_190202_after_4.py
869466703a252296799b9f9b2f85c1953ad50182,trunklucator,ee51e742,2018-05-03 16:02:02,+0000,protocol_helpers.py,ADD,13,0,,PythonFiles\trunklucator\ee51e742\869466703a252296799b9f9b2f85c1953ad50182\869466703a252296799b9f9b2f85c1953ad50182_trunklucator_ee51e742_20180503_190202_after_5.py
869466703a252296799b9f9b2f85c1953ad50182,trunklucator,ee51e742,2018-05-03 16:02:02,+0000,__init__.py,ADD,0,0,,
