CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
f28754e86b0e22e7e64ddab128dd50304318e323,typednamedtuple,e15e4bbf,2016-08-04 06:46:41,+0000,setup.py,ADD,25,0,,PythonFiles\typednamedtuple\e15e4bbf\f28754e86b0e22e7e64ddab128dd50304318e323\f28754e86b0e22e7e64ddab128dd50304318e323_typednamedtuple_e15e4bbf_20160804_064641_after_4.py
f28754e86b0e22e7e64ddab128dd50304318e323,typednamedtuple,e15e4bbf,2016-08-04 06:46:41,+0000,test.py,ADD,42,0,,PythonFiles\typednamedtuple\e15e4bbf\f28754e86b0e22e7e64ddab128dd50304318e323\f28754e86b0e22e7e64ddab128dd50304318e323_typednamedtuple_e15e4bbf_20160804_064641_after_5.py
f28754e86b0e22e7e64ddab128dd50304318e323,typednamedtuple,e15e4bbf,2016-08-04 06:46:41,+0000,typednamedtuple.py,ADD,44,0,,PythonFiles\typednamedtuple\e15e4bbf\f28754e86b0e22e7e64ddab128dd50304318e323\f28754e86b0e22e7e64ddab128dd50304318e323_typednamedtuple_e15e4bbf_20160804_064641_after_7.py
6df1ff35169f05e73537f1be5436e5a4da361f7d,typednamedtuple,e15e4bbf,2016-08-04 07:07:35,+0000,setup.py,MODIFY,1,1,PythonFiles\typednamedtuple\e15e4bbf\6df1ff35169f05e73537f1be5436e5a4da361f7d\6df1ff35169f05e73537f1be5436e5a4da361f7d_typednamedtuple_e15e4bbf_20160804_070735_before_3.py,PythonFiles\typednamedtuple\e15e4bbf\6df1ff35169f05e73537f1be5436e5a4da361f7d\6df1ff35169f05e73537f1be5436e5a4da361f7d_typednamedtuple_e15e4bbf_20160804_070735_after_3.py
6df1ff35169f05e73537f1be5436e5a4da361f7d,typednamedtuple,e15e4bbf,2016-08-04 07:07:35,+0000,test.py,DELETE,0,42,PythonFiles\typednamedtuple\e15e4bbf\6df1ff35169f05e73537f1be5436e5a4da361f7d\6df1ff35169f05e73537f1be5436e5a4da361f7d_typednamedtuple_e15e4bbf_20160804_070735_before_4.py,
6df1ff35169f05e73537f1be5436e5a4da361f7d,typednamedtuple,e15e4bbf,2016-08-04 07:07:35,+0000,__init__.py,ADD,0,0,,
6df1ff35169f05e73537f1be5436e5a4da361f7d,typednamedtuple,e15e4bbf,2016-08-04 07:07:35,+0000,test_basic.py,ADD,101,0,,PythonFiles\typednamedtuple\e15e4bbf\6df1ff35169f05e73537f1be5436e5a4da361f7d\6df1ff35169f05e73537f1be5436e5a4da361f7d_typednamedtuple_e15e4bbf_20160804_070735_after_6.py
6df1ff35169f05e73537f1be5436e5a4da361f7d,typednamedtuple,e15e4bbf,2016-08-04 07:07:35,+0000,test_namedtuple.py,ADD,46,0,,PythonFiles\typednamedtuple\e15e4bbf\6df1ff35169f05e73537f1be5436e5a4da361f7d\6df1ff35169f05e73537f1be5436e5a4da361f7d_typednamedtuple_e15e4bbf_20160804_070735_after_7.py
6df1ff35169f05e73537f1be5436e5a4da361f7d,typednamedtuple,e15e4bbf,2016-08-04 07:07:35,+0000,typednamedtuple.py,MODIFY,89,25,PythonFiles\typednamedtuple\e15e4bbf\6df1ff35169f05e73537f1be5436e5a4da361f7d\6df1ff35169f05e73537f1be5436e5a4da361f7d_typednamedtuple_e15e4bbf_20160804_070735_before_9.py,PythonFiles\typednamedtuple\e15e4bbf\6df1ff35169f05e73537f1be5436e5a4da361f7d\6df1ff35169f05e73537f1be5436e5a4da361f7d_typednamedtuple_e15e4bbf_20160804_070735_after_9.py
4a3b2ffa7e0ccbc861185eb5f0476e57f69bc8b9,typednamedtuple,e15e4bbf,2016-08-11 06:48:59,+0000,test_basic.py,MODIFY,68,0,PythonFiles\typednamedtuple\e15e4bbf\4a3b2ffa7e0ccbc861185eb5f0476e57f69bc8b9\4a3b2ffa7e0ccbc861185eb5f0476e57f69bc8b9_typednamedtuple_e15e4bbf_20160811_064859_before_1.py,PythonFiles\typednamedtuple\e15e4bbf\4a3b2ffa7e0ccbc861185eb5f0476e57f69bc8b9\4a3b2ffa7e0ccbc861185eb5f0476e57f69bc8b9_typednamedtuple_e15e4bbf_20160811_064859_after_1.py
4a3b2ffa7e0ccbc861185eb5f0476e57f69bc8b9,typednamedtuple,e15e4bbf,2016-08-11 06:48:59,+0000,typednamedtuple.py,MODIFY,34,6,PythonFiles\typednamedtuple\e15e4bbf\4a3b2ffa7e0ccbc861185eb5f0476e57f69bc8b9\4a3b2ffa7e0ccbc861185eb5f0476e57f69bc8b9_typednamedtuple_e15e4bbf_20160811_064859_before_2.py,PythonFiles\typednamedtuple\e15e4bbf\4a3b2ffa7e0ccbc861185eb5f0476e57f69bc8b9\4a3b2ffa7e0ccbc861185eb5f0476e57f69bc8b9_typednamedtuple_e15e4bbf_20160811_064859_after_2.py
b626d579994bbf350dafab68962e139ccc0a1421,typednamedtuple,e15e4bbf,2016-08-11 06:49:48,+0000,test_basic.py,MODIFY,59,15,PythonFiles\typednamedtuple\e15e4bbf\b626d579994bbf350dafab68962e139ccc0a1421\b626d579994bbf350dafab68962e139ccc0a1421_typednamedtuple_e15e4bbf_20160811_064948_before_2.py,PythonFiles\typednamedtuple\e15e4bbf\b626d579994bbf350dafab68962e139ccc0a1421\b626d579994bbf350dafab68962e139ccc0a1421_typednamedtuple_e15e4bbf_20160811_064948_after_2.py
b626d579994bbf350dafab68962e139ccc0a1421,typednamedtuple,e15e4bbf,2016-08-11 06:49:48,+0000,test_namedtuple.py,MODIFY,193,10,PythonFiles\typednamedtuple\e15e4bbf\b626d579994bbf350dafab68962e139ccc0a1421\b626d579994bbf350dafab68962e139ccc0a1421_typednamedtuple_e15e4bbf_20160811_064948_before_3.py,PythonFiles\typednamedtuple\e15e4bbf\b626d579994bbf350dafab68962e139ccc0a1421\b626d579994bbf350dafab68962e139ccc0a1421_typednamedtuple_e15e4bbf_20160811_064948_after_3.py
b626d579994bbf350dafab68962e139ccc0a1421,typednamedtuple,e15e4bbf,2016-08-11 06:49:48,+0000,typednamedtuple.py,MODIFY,53,23,PythonFiles\typednamedtuple\e15e4bbf\b626d579994bbf350dafab68962e139ccc0a1421\b626d579994bbf350dafab68962e139ccc0a1421_typednamedtuple_e15e4bbf_20160811_064948_before_4.py,PythonFiles\typednamedtuple\e15e4bbf\b626d579994bbf350dafab68962e139ccc0a1421\b626d579994bbf350dafab68962e139ccc0a1421_typednamedtuple_e15e4bbf_20160811_064948_after_4.py
32b0fdc23356355e2045638d8229801dd5388dec,typednamedtuple,e15e4bbf,2021-02-08 07:02:07,+0000,setup.py,MODIFY,1,1,PythonFiles\typednamedtuple\e15e4bbf\32b0fdc23356355e2045638d8229801dd5388dec\32b0fdc23356355e2045638d8229801dd5388dec_typednamedtuple_e15e4bbf_20210208_020207_before_1.py,PythonFiles\typednamedtuple\e15e4bbf\32b0fdc23356355e2045638d8229801dd5388dec\32b0fdc23356355e2045638d8229801dd5388dec_typednamedtuple_e15e4bbf_20210208_020207_after_1.py
