CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
8896046f0322214bcc38f528e94c8d4df6e48782,upsilon,6f90fa02,2015-04-23 10:11:48,+0000,setup.py,ADD,12,0,,PythonFiles\upsilon\6f90fa02\8896046f0322214bcc38f528e94c8d4df6e48782\8896046f0322214bcc38f528e94c8d4df6e48782_upsilon_6f90fa02_20150423_121148_after_2.py
8896046f0322214bcc38f528e94c8d4df6e48782,upsilon,6f90fa02,2015-04-23 10:11:48,+0000,__init__.py,ADD,3,0,,PythonFiles\upsilon\6f90fa02\8896046f0322214bcc38f528e94c8d4df6e48782\8896046f0322214bcc38f528e94c8d4df6e48782_upsilon_6f90fa02_20150423_121148_after_3.py
8896046f0322214bcc38f528e94c8d4df6e48782,upsilon,6f90fa02,2015-04-23 10:11:48,+0000,test.py,ADD,10,0,,PythonFiles\upsilon\6f90fa02\8896046f0322214bcc38f528e94c8d4df6e48782\8896046f0322214bcc38f528e94c8d4df6e48782_upsilon_6f90fa02_20150423_121148_after_4.py
d5ecb4f2f0819f3697242b9332a84c128a4e1a60,upsilon,6f90fa02,2015-04-28 18:08:30,+0000,setup.py,MODIFY,4,1,PythonFiles\upsilon\6f90fa02\d5ecb4f2f0819f3697242b9332a84c128a4e1a60\d5ecb4f2f0819f3697242b9332a84c128a4e1a60_upsilon_6f90fa02_20150428_200830_before_2.py,PythonFiles\upsilon\6f90fa02\d5ecb4f2f0819f3697242b9332a84c128a4e1a60\d5ecb4f2f0819f3697242b9332a84c128a4e1a60_upsilon_6f90fa02_20150428_200830_after_2.py
d5ecb4f2f0819f3697242b9332a84c128a4e1a60,upsilon,6f90fa02,2015-04-28 18:08:30,+0000,__init__.py,MODIFY,1,1,PythonFiles\upsilon\6f90fa02\d5ecb4f2f0819f3697242b9332a84c128a4e1a60\d5ecb4f2f0819f3697242b9332a84c128a4e1a60_upsilon_6f90fa02_20150428_200830_before_3.py,PythonFiles\upsilon\6f90fa02\d5ecb4f2f0819f3697242b9332a84c128a4e1a60\d5ecb4f2f0819f3697242b9332a84c128a4e1a60_upsilon_6f90fa02_20150428_200830_after_3.py
d5ecb4f2f0819f3697242b9332a84c128a4e1a60,upsilon,6f90fa02,2015-04-28 18:08:30,+0000,__init__.py,ADD,1,0,,PythonFiles\upsilon\6f90fa02\d5ecb4f2f0819f3697242b9332a84c128a4e1a60\d5ecb4f2f0819f3697242b9332a84c128a4e1a60_upsilon_6f90fa02_20150428_200830_after_4.py
d5ecb4f2f0819f3697242b9332a84c128a4e1a60,upsilon,6f90fa02,2015-04-28 18:08:30,+0000,__init__.py,ADD,1,0,,PythonFiles\upsilon\6f90fa02\d5ecb4f2f0819f3697242b9332a84c128a4e1a60\d5ecb4f2f0819f3697242b9332a84c128a4e1a60_upsilon_6f90fa02_20150428_200830_after_5.py
d5ecb4f2f0819f3697242b9332a84c128a4e1a60,upsilon,6f90fa02,2015-04-28 18:08:30,+0000,__init__.py,ADD,1,0,,PythonFiles\upsilon\6f90fa02\d5ecb4f2f0819f3697242b9332a84c128a4e1a60\d5ecb4f2f0819f3697242b9332a84c128a4e1a60_upsilon_6f90fa02_20150428_200830_after_7.py
d5ecb4f2f0819f3697242b9332a84c128a4e1a60,upsilon,6f90fa02,2015-04-28 18:08:30,+0000,period_LS_pyfft.py,ADD,244,0,,PythonFiles\upsilon\6f90fa02\d5ecb4f2f0819f3697242b9332a84c128a4e1a60\d5ecb4f2f0819f3697242b9332a84c128a4e1a60_upsilon_6f90fa02_20150428_200830_after_8.py
d5ecb4f2f0819f3697242b9332a84c128a4e1a60,upsilon,6f90fa02,2015-04-28 18:08:30,+0000,test.py,DELETE,0,10,PythonFiles\upsilon\6f90fa02\d5ecb4f2f0819f3697242b9332a84c128a4e1a60\d5ecb4f2f0819f3697242b9332a84c128a4e1a60_upsilon_6f90fa02_20150428_200830_before_9.py,
d5ecb4f2f0819f3697242b9332a84c128a4e1a60,upsilon,6f90fa02,2015-04-28 18:08:30,+0000,__init__.py,ADD,1,0,,PythonFiles\upsilon\6f90fa02\d5ecb4f2f0819f3697242b9332a84c128a4e1a60\d5ecb4f2f0819f3697242b9332a84c128a4e1a60_upsilon_6f90fa02_20150428_200830_after_10.py
d5ecb4f2f0819f3697242b9332a84c128a4e1a60,upsilon,6f90fa02,2015-04-28 18:08:30,+0000,test_extract_features.py,ADD,47,0,,PythonFiles\upsilon\6f90fa02\d5ecb4f2f0819f3697242b9332a84c128a4e1a60\d5ecb4f2f0819f3697242b9332a84c128a4e1a60_upsilon_6f90fa02_20150428_200830_after_11.py
d5ecb4f2f0819f3697242b9332a84c128a4e1a60,upsilon,6f90fa02,2015-04-28 18:08:30,+0000,__init__.py,ADD,1,0,,PythonFiles\upsilon\6f90fa02\d5ecb4f2f0819f3697242b9332a84c128a4e1a60\d5ecb4f2f0819f3697242b9332a84c128a4e1a60_upsilon_6f90fa02_20150428_200830_after_12.py
d5ecb4f2f0819f3697242b9332a84c128a4e1a60,upsilon,6f90fa02,2015-04-28 18:08:30,+0000,__init__.py,ADD,1,0,,PythonFiles\upsilon\6f90fa02\d5ecb4f2f0819f3697242b9332a84c128a4e1a60\d5ecb4f2f0819f3697242b9332a84c128a4e1a60_upsilon_6f90fa02_20150428_200830_after_13.py
69a5bda1617e4b364aefbee201f026a9274f566d,upsilon,6f90fa02,2015-04-28 18:10:03,+0000,extract_features.py,ADD,378,0,,PythonFiles\upsilon\6f90fa02\69a5bda1617e4b364aefbee201f026a9274f566d\69a5bda1617e4b364aefbee201f026a9274f566d_upsilon_6f90fa02_20150428_201003_after_1.py
558ee6f3cf2a5eed907519287c13d3d42fd3c2fa,upsilon,6f90fa02,2015-04-28 22:27:03,+0000,setup.py,MODIFY,1,0,PythonFiles\upsilon\6f90fa02\558ee6f3cf2a5eed907519287c13d3d42fd3c2fa\558ee6f3cf2a5eed907519287c13d3d42fd3c2fa_upsilon_6f90fa02_20150429_002703_before_4.py,PythonFiles\upsilon\6f90fa02\558ee6f3cf2a5eed907519287c13d3d42fd3c2fa\558ee6f3cf2a5eed907519287c13d3d42fd3c2fa_upsilon_6f90fa02_20150429_002703_after_4.py
