CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
bf7131bbe3f420a92db13181813ac34f7fb45c02,vcomp,ab1a750d,2018-12-31 08:59:48,+0000,setup.py,ADD,36,0,,PythonFiles\vcomp\ab1a750d\bf7131bbe3f420a92db13181813ac34f7fb45c02\bf7131bbe3f420a92db13181813ac34f7fb45c02_vcomp_ab1a750d_20181231_122948_after_12.py
bf7131bbe3f420a92db13181813ac34f7fb45c02,vcomp,ab1a750d,2018-12-31 08:59:48,+0000,__init__.py,ADD,5,0,,PythonFiles\vcomp\ab1a750d\bf7131bbe3f420a92db13181813ac34f7fb45c02\bf7131bbe3f420a92db13181813ac34f7fb45c02_vcomp_ab1a750d_20181231_122948_after_13.py
bf7131bbe3f420a92db13181813ac34f7fb45c02,vcomp,ab1a750d,2018-12-31 08:59:48,+0000,main.py,ADD,93,0,,PythonFiles\vcomp\ab1a750d\bf7131bbe3f420a92db13181813ac34f7fb45c02\bf7131bbe3f420a92db13181813ac34f7fb45c02_vcomp_ab1a750d_20181231_122948_after_14.py
fea13245063ebaacbc7f9f0960ab248c3386bd14,vcomp,ab1a750d,2018-12-31 09:10:46,+0000,__init__.py,ADD,5,0,,PythonFiles\vcomp\ab1a750d\fea13245063ebaacbc7f9f0960ab248c3386bd14\fea13245063ebaacbc7f9f0960ab248c3386bd14_vcomp_ab1a750d_20181231_124046_after_2.py
fea13245063ebaacbc7f9f0960ab248c3386bd14,vcomp,ab1a750d,2018-12-31 09:10:46,+0000,compress.py,ADD,10,0,,PythonFiles\vcomp\ab1a750d\fea13245063ebaacbc7f9f0960ab248c3386bd14\fea13245063ebaacbc7f9f0960ab248c3386bd14_vcomp_ab1a750d_20181231_124046_after_3.py
fea13245063ebaacbc7f9f0960ab248c3386bd14,vcomp,ab1a750d,2018-12-31 09:10:46,+0000,main.py,ADD,93,0,,PythonFiles\vcomp\ab1a750d\fea13245063ebaacbc7f9f0960ab248c3386bd14\fea13245063ebaacbc7f9f0960ab248c3386bd14_vcomp_ab1a750d_20181231_124046_after_4.py
fea13245063ebaacbc7f9f0960ab248c3386bd14,vcomp,ab1a750d,2018-12-31 09:10:46,+0000,setup.py,MODIFY,7,8,PythonFiles\vcomp\ab1a750d\fea13245063ebaacbc7f9f0960ab248c3386bd14\fea13245063ebaacbc7f9f0960ab248c3386bd14_vcomp_ab1a750d_20181231_124046_before_8.py,PythonFiles\vcomp\ab1a750d\fea13245063ebaacbc7f9f0960ab248c3386bd14\fea13245063ebaacbc7f9f0960ab248c3386bd14_vcomp_ab1a750d_20181231_124046_after_8.py
fea13245063ebaacbc7f9f0960ab248c3386bd14,vcomp,ab1a750d,2018-12-31 09:10:46,+0000,__init__.py,MODIFY,1,1,PythonFiles\vcomp\ab1a750d\fea13245063ebaacbc7f9f0960ab248c3386bd14\fea13245063ebaacbc7f9f0960ab248c3386bd14_vcomp_ab1a750d_20181231_124046_before_15.py,PythonFiles\vcomp\ab1a750d\fea13245063ebaacbc7f9f0960ab248c3386bd14\fea13245063ebaacbc7f9f0960ab248c3386bd14_vcomp_ab1a750d_20181231_124046_after_15.py
fea13245063ebaacbc7f9f0960ab248c3386bd14,vcomp,ab1a750d,2018-12-31 09:10:46,+0000,compress.py,ADD,10,0,,PythonFiles\vcomp\ab1a750d\fea13245063ebaacbc7f9f0960ab248c3386bd14\fea13245063ebaacbc7f9f0960ab248c3386bd14_vcomp_ab1a750d_20181231_124046_after_17.py
33de3349abaecd9497a49ee624ec2d6995549531,vcomp,ab1a750d,2018-12-31 09:22:08,+0000,__init__.py,MODIFY,1,1,PythonFiles\vcomp\ab1a750d\33de3349abaecd9497a49ee624ec2d6995549531\33de3349abaecd9497a49ee624ec2d6995549531_vcomp_ab1a750d_20181231_125208_before_3.py,PythonFiles\vcomp\ab1a750d\33de3349abaecd9497a49ee624ec2d6995549531\33de3349abaecd9497a49ee624ec2d6995549531_vcomp_ab1a750d_20181231_125208_after_3.py
