CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
d77c12003ee180a2bbdd3427883c7b3db4563488,volta,693bf580,2016-10-28 10:02:41,+0000,setup.py,ADD,35,0,,PythonFiles\volta\693bf580\d77c12003ee180a2bbdd3427883c7b3db4563488\d77c12003ee180a2bbdd3427883c7b3db4563488_volta_693bf580_20161028_130241_after_1.py
d77c12003ee180a2bbdd3427883c7b3db4563488,volta,693bf580,2016-10-28 10:02:41,+0000,__init__.py,ADD,0,0,,
5d322651627fceea60bfb8d3cc609741e58d0b00,volta,40a2649f,2016-10-28 12:55:33,+0000,setup.py,MODIFY,5,0,PythonFiles\volta\40a2649f\5d322651627fceea60bfb8d3cc609741e58d0b00\5d322651627fceea60bfb8d3cc609741e58d0b00_volta_40a2649f_20161028_155533_before_1.py,PythonFiles\volta\40a2649f\5d322651627fceea60bfb8d3cc609741e58d0b00\5d322651627fceea60bfb8d3cc609741e58d0b00_volta_40a2649f_20161028_155533_after_1.py
5d322651627fceea60bfb8d3cc609741e58d0b00,volta,40a2649f,2016-10-28 12:55:33,+0000,serial-reader.py,ADD,213,0,,PythonFiles\volta\40a2649f\5d322651627fceea60bfb8d3cc609741e58d0b00\5d322651627fceea60bfb8d3cc609741e58d0b00_volta_40a2649f_20161028_155533_after_10.py
185eba0c794db9cb3e15c0be20428d2dd3ff1d0a,volta,40a2649f,2016-10-28 13:25:08,+0000,setup.py,MODIFY,6,0,PythonFiles\volta\40a2649f\185eba0c794db9cb3e15c0be20428d2dd3ff1d0a\185eba0c794db9cb3e15c0be20428d2dd3ff1d0a_volta_40a2649f_20161028_162508_before_1.py,PythonFiles\volta\40a2649f\185eba0c794db9cb3e15c0be20428d2dd3ff1d0a\185eba0c794db9cb3e15c0be20428d2dd3ff1d0a_volta_40a2649f_20161028_162508_after_1.py
185eba0c794db9cb3e15c0be20428d2dd3ff1d0a,volta,40a2649f,2016-10-28 13:25:08,+0000,__init__.py,ADD,0,0,,
185eba0c794db9cb3e15c0be20428d2dd3ff1d0a,volta,40a2649f,2016-10-28 13:25:08,+0000,ui.py,RENAME,40,12,PythonFiles\volta\40a2649f\185eba0c794db9cb3e15c0be20428d2dd3ff1d0a\185eba0c794db9cb3e15c0be20428d2dd3ff1d0a_volta_40a2649f_20161028_162508_before_3.py,PythonFiles\volta\40a2649f\185eba0c794db9cb3e15c0be20428d2dd3ff1d0a\185eba0c794db9cb3e15c0be20428d2dd3ff1d0a_volta_40a2649f_20161028_162508_after_3.py
4be2d412684d3937074e3f48a751d741d6346410,volta,40a2649f,2016-10-28 13:50:39,+0000,setup.py,MODIFY,3,0,PythonFiles\volta\40a2649f\4be2d412684d3937074e3f48a751d741d6346410\4be2d412684d3937074e3f48a751d741d6346410_volta_40a2649f_20161028_165039_before_1.py,PythonFiles\volta\40a2649f\4be2d412684d3937074e3f48a751d741d6346410\4be2d412684d3937074e3f48a751d741d6346410_volta_40a2649f_20161028_165039_after_1.py
4be2d412684d3937074e3f48a751d741d6346410,volta,40a2649f,2016-10-28 13:50:39,+0000,__init__.py,ADD,0,0,,
4be2d412684d3937074e3f48a751d741d6346410,volta,40a2649f,2016-10-28 13:50:39,+0000,ui.py,MODIFY,7,10,PythonFiles\volta\40a2649f\4be2d412684d3937074e3f48a751d741d6346410\4be2d412684d3937074e3f48a751d741d6346410_volta_40a2649f_20161028_165039_before_3.py,PythonFiles\volta\40a2649f\4be2d412684d3937074e3f48a751d741d6346410\4be2d412684d3937074e3f48a751d741d6346410_volta_40a2649f_20161028_165039_after_3.py
81f83c03c56100be4490bf95549d309320953f9c,volta,40a2649f,2016-10-28 14:04:27,+0000,ui.py,MODIFY,3,0,PythonFiles\volta\40a2649f\81f83c03c56100be4490bf95549d309320953f9c\81f83c03c56100be4490bf95549d309320953f9c_volta_40a2649f_20161028_170427_before_1.py,PythonFiles\volta\40a2649f\81f83c03c56100be4490bf95549d309320953f9c\81f83c03c56100be4490bf95549d309320953f9c_volta_40a2649f_20161028_170427_after_1.py
30abfa731082fd3c1240f0bc14a0cb4d521b7f0b,volta,40a2649f,2016-10-31 11:26:40,+0000,setup.py,MODIFY,1,1,PythonFiles\volta\40a2649f\30abfa731082fd3c1240f0bc14a0cb4d521b7f0b\30abfa731082fd3c1240f0bc14a0cb4d521b7f0b_volta_40a2649f_20161031_142640_before_1.py,PythonFiles\volta\40a2649f\30abfa731082fd3c1240f0bc14a0cb4d521b7f0b\30abfa731082fd3c1240f0bc14a0cb4d521b7f0b_volta_40a2649f_20161031_142640_after_1.py
30abfa731082fd3c1240f0bc14a0cb4d521b7f0b,volta,40a2649f,2016-10-31 11:26:40,+0000,ui.py,MODIFY,12,13,PythonFiles\volta\40a2649f\30abfa731082fd3c1240f0bc14a0cb4d521b7f0b\30abfa731082fd3c1240f0bc14a0cb4d521b7f0b_volta_40a2649f_20161031_142640_before_7.py,PythonFiles\volta\40a2649f\30abfa731082fd3c1240f0bc14a0cb4d521b7f0b\30abfa731082fd3c1240f0bc14a0cb4d521b7f0b_volta_40a2649f_20161031_142640_after_7.py
1cc58c597da9a160844b353f7b0b705399e08eed,volta,40a2649f,2016-10-31 13:20:06,+0000,setup.py,MODIFY,3,0,PythonFiles\volta\40a2649f\1cc58c597da9a160844b353f7b0b705399e08eed\1cc58c597da9a160844b353f7b0b705399e08eed_volta_40a2649f_20161031_162006_before_1.py,PythonFiles\volta\40a2649f\1cc58c597da9a160844b353f7b0b705399e08eed\1cc58c597da9a160844b353f7b0b705399e08eed_volta_40a2649f_20161031_162006_after_1.py
1cc58c597da9a160844b353f7b0b705399e08eed,volta,40a2649f,2016-10-31 13:20:06,+0000,__init__.py,ADD,0,0,,
a2ad6c7af24af16a9caeaacecb94e013ede614ac,volta,40a2649f,2016-10-31 13:21:56,+0000,setup.py,MODIFY,1,1,PythonFiles\volta\40a2649f\a2ad6c7af24af16a9caeaacecb94e013ede614ac\a2ad6c7af24af16a9caeaacecb94e013ede614ac_volta_40a2649f_20161031_162156_before_1.py,PythonFiles\volta\40a2649f\a2ad6c7af24af16a9caeaacecb94e013ede614ac\a2ad6c7af24af16a9caeaacecb94e013ede614ac_volta_40a2649f_20161031_162156_after_1.py
c70f2ea08cd79c8abfed252d5bdec0bd556e5ce5,volta,40a2649f,2016-10-31 15:09:13,+0000,setup.py,MODIFY,6,3,PythonFiles\volta\40a2649f\c70f2ea08cd79c8abfed252d5bdec0bd556e5ce5\c70f2ea08cd79c8abfed252d5bdec0bd556e5ce5_volta_40a2649f_20161031_180913_before_1.py,PythonFiles\volta\40a2649f\c70f2ea08cd79c8abfed252d5bdec0bd556e5ce5\c70f2ea08cd79c8abfed252d5bdec0bd556e5ce5_volta_40a2649f_20161031_180913_after_1.py
c70f2ea08cd79c8abfed252d5bdec0bd556e5ce5,volta,40a2649f,2016-10-31 15:09:13,+0000,ui.py,MODIFY,8,6,PythonFiles\volta\40a2649f\c70f2ea08cd79c8abfed252d5bdec0bd556e5ce5\c70f2ea08cd79c8abfed252d5bdec0bd556e5ce5_volta_40a2649f_20161031_180913_before_7.py,PythonFiles\volta\40a2649f\c70f2ea08cd79c8abfed252d5bdec0bd556e5ce5\c70f2ea08cd79c8abfed252d5bdec0bd556e5ce5_volta_40a2649f_20161031_180913_after_7.py
