CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
abfe4dd00343ebaa4235807cf74b5fa113d4501e,wagon,978c2b99,2015-03-31 18:25:08,+0000,__init__.py,ADD,0,0,,
abfe4dd00343ebaa4235807cf74b5fa113d4501e,wagon,978c2b99,2015-03-31 18:25:08,+0000,codes.py,ADD,19,0,,PythonFiles\wagon\978c2b99\abfe4dd00343ebaa4235807cf74b5fa113d4501e\abfe4dd00343ebaa4235807cf74b5fa113d4501e_wagon_978c2b99_20150331_212508_after_13.py
abfe4dd00343ebaa4235807cf74b5fa113d4501e,wagon,978c2b99,2015-03-31 18:25:08,+0000,dictconfig.py,ADD,546,0,,PythonFiles\wagon\978c2b99\abfe4dd00343ebaa4235807cf74b5fa113d4501e\abfe4dd00343ebaa4235807cf74b5fa113d4501e_wagon_978c2b99_20150331_212508_after_14.py
abfe4dd00343ebaa4235807cf74b5fa113d4501e,wagon,978c2b99,2015-03-31 18:25:08,+0000,logger.py,ADD,80,0,,PythonFiles\wagon\978c2b99\abfe4dd00343ebaa4235807cf74b5fa113d4501e\abfe4dd00343ebaa4235807cf74b5fa113d4501e_wagon_978c2b99_20150331_212508_after_15.py
abfe4dd00343ebaa4235807cf74b5fa113d4501e,wagon,978c2b99,2015-03-31 18:25:08,+0000,packager.py,ADD,226,0,,PythonFiles\wagon\978c2b99\abfe4dd00343ebaa4235807cf74b5fa113d4501e\abfe4dd00343ebaa4235807cf74b5fa113d4501e_wagon_978c2b99_20150331_212508_after_16.py
abfe4dd00343ebaa4235807cf74b5fa113d4501e,wagon,978c2b99,2015-03-31 18:25:08,+0000,six.py,ADD,729,0,,PythonFiles\wagon\978c2b99\abfe4dd00343ebaa4235807cf74b5fa113d4501e\abfe4dd00343ebaa4235807cf74b5fa113d4501e_wagon_978c2b99_20150331_212508_after_17.py
abfe4dd00343ebaa4235807cf74b5fa113d4501e,wagon,978c2b99,2015-03-31 18:25:08,+0000,__init__.py,ADD,1,0,,PythonFiles\wagon\978c2b99\abfe4dd00343ebaa4235807cf74b5fa113d4501e\abfe4dd00343ebaa4235807cf74b5fa113d4501e_wagon_978c2b99_20150331_212508_after_18.py
abfe4dd00343ebaa4235807cf74b5fa113d4501e,wagon,978c2b99,2015-03-31 18:25:08,+0000,test_plugin_packager.py,ADD,201,0,,PythonFiles\wagon\978c2b99\abfe4dd00343ebaa4235807cf74b5fa113d4501e\abfe4dd00343ebaa4235807cf74b5fa113d4501e_wagon_978c2b99_20150331_212508_after_19.py
abfe4dd00343ebaa4235807cf74b5fa113d4501e,wagon,978c2b99,2015-03-31 18:25:08,+0000,utils.py,ADD,140,0,,PythonFiles\wagon\978c2b99\abfe4dd00343ebaa4235807cf74b5fa113d4501e\abfe4dd00343ebaa4235807cf74b5fa113d4501e_wagon_978c2b99_20150331_212508_after_20.py
abfe4dd00343ebaa4235807cf74b5fa113d4501e,wagon,978c2b99,2015-03-31 18:25:08,+0000,setup.py,ADD,34,0,,PythonFiles\wagon\978c2b99\abfe4dd00343ebaa4235807cf74b5fa113d4501e\abfe4dd00343ebaa4235807cf74b5fa113d4501e_wagon_978c2b99_20150331_212508_after_21.py
ed5ce71e778a9f98f9c95f1cccc2da7a8c3102aa,wagon,978c2b99,2015-09-05 20:58:34,+0000,packager.py,MODIFY,16,9,PythonFiles\wagon\978c2b99\ed5ce71e778a9f98f9c95f1cccc2da7a8c3102aa\ed5ce71e778a9f98f9c95f1cccc2da7a8c3102aa_wagon_978c2b99_20150905_235834_before_1.py,PythonFiles\wagon\978c2b99\ed5ce71e778a9f98f9c95f1cccc2da7a8c3102aa\ed5ce71e778a9f98f9c95f1cccc2da7a8c3102aa_wagon_978c2b99_20150905_235834_after_1.py
3da1dd8ccccdaae7f73ca103c6c54bc63f8c9d55,wagon,978c2b99,2015-09-05 21:07:51,+0000,packager.py,MODIFY,8,6,PythonFiles\wagon\978c2b99\3da1dd8ccccdaae7f73ca103c6c54bc63f8c9d55\3da1dd8ccccdaae7f73ca103c6c54bc63f8c9d55_wagon_978c2b99_20150906_000751_before_1.py,PythonFiles\wagon\978c2b99\3da1dd8ccccdaae7f73ca103c6c54bc63f8c9d55\3da1dd8ccccdaae7f73ca103c6c54bc63f8c9d55_wagon_978c2b99_20150906_000751_after_1.py
