CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
1037a8adf0bea52c4c3b3774a3a282e92baff220,whatwg-url,45bf9040,2018-08-08 02:00:05,+0000,setup.py,ADD,36,0,,PythonFiles\whatwg-url\45bf9040\1037a8adf0bea52c4c3b3774a3a282e92baff220\1037a8adf0bea52c4c3b3774a3a282e92baff220_whatwg-url_45bf9040_20180807_210005_after_6.py
1037a8adf0bea52c4c3b3774a3a282e92baff220,whatwg-url,45bf9040,2018-08-08 02:00:05,+0000,__init__.py,ADD,12,0,,PythonFiles\whatwg-url\45bf9040\1037a8adf0bea52c4c3b3774a3a282e92baff220\1037a8adf0bea52c4c3b3774a3a282e92baff220_whatwg-url_45bf9040_20180807_210005_after_7.py
1037a8adf0bea52c4c3b3774a3a282e92baff220,whatwg-url,45bf9040,2018-08-08 02:00:05,+0000,parser.py,ADD,1081,0,,PythonFiles\whatwg-url\45bf9040\1037a8adf0bea52c4c3b3774a3a282e92baff220\1037a8adf0bea52c4c3b3774a3a282e92baff220_whatwg-url_45bf9040_20180807_210005_after_8.py
1037a8adf0bea52c4c3b3774a3a282e92baff220,whatwg-url,45bf9040,2018-08-08 02:00:05,+0000,__init__.py,ADD,0,0,,
1037a8adf0bea52c4c3b3774a3a282e92baff220,whatwg-url,45bf9040,2018-08-08 02:00:05,+0000,test_web_platform_tests.py,ADD,62,0,,PythonFiles\whatwg-url\45bf9040\1037a8adf0bea52c4c3b3774a3a282e92baff220\1037a8adf0bea52c4c3b3774a3a282e92baff220_whatwg-url_45bf9040_20180807_210005_after_10.py
ee2066721cf60bbcba640a80b8c71c02d97a0851,whatwg-url,45bf9040,2018-08-08 04:22:57,+0000,setup.py,MODIFY,10,2,PythonFiles\whatwg-url\45bf9040\ee2066721cf60bbcba640a80b8c71c02d97a0851\ee2066721cf60bbcba640a80b8c71c02d97a0851_whatwg-url_45bf9040_20180807_232257_before_2.py,PythonFiles\whatwg-url\45bf9040\ee2066721cf60bbcba640a80b8c71c02d97a0851\ee2066721cf60bbcba640a80b8c71c02d97a0851_whatwg-url_45bf9040_20180807_232257_after_2.py
ee2066721cf60bbcba640a80b8c71c02d97a0851,whatwg-url,45bf9040,2018-08-08 04:22:57,+0000,__init__.py,MODIFY,1,1,PythonFiles\whatwg-url\45bf9040\ee2066721cf60bbcba640a80b8c71c02d97a0851\ee2066721cf60bbcba640a80b8c71c02d97a0851_whatwg-url_45bf9040_20180807_232257_before_3.py,PythonFiles\whatwg-url\45bf9040\ee2066721cf60bbcba640a80b8c71c02d97a0851\ee2066721cf60bbcba640a80b8c71c02d97a0851_whatwg-url_45bf9040_20180807_232257_after_3.py
ee2066721cf60bbcba640a80b8c71c02d97a0851,whatwg-url,45bf9040,2018-08-08 04:22:57,+0000,parser.py,MODIFY,17,15,PythonFiles\whatwg-url\45bf9040\ee2066721cf60bbcba640a80b8c71c02d97a0851\ee2066721cf60bbcba640a80b8c71c02d97a0851_whatwg-url_45bf9040_20180807_232257_before_4.py,PythonFiles\whatwg-url\45bf9040\ee2066721cf60bbcba640a80b8c71c02d97a0851\ee2066721cf60bbcba640a80b8c71c02d97a0851_whatwg-url_45bf9040_20180807_232257_after_4.py
bf759c5b065d16a2dfc7bb2f892ed3b050080001,whatwg-url,45bf9040,2018-08-08 19:44:49,+0000,__init__.py,MODIFY,30,4,PythonFiles\whatwg-url\45bf9040\bf759c5b065d16a2dfc7bb2f892ed3b050080001\bf759c5b065d16a2dfc7bb2f892ed3b050080001_whatwg-url_45bf9040_20180808_144449_before_1.py,PythonFiles\whatwg-url\45bf9040\bf759c5b065d16a2dfc7bb2f892ed3b050080001\bf759c5b065d16a2dfc7bb2f892ed3b050080001_whatwg-url_45bf9040_20180808_144449_after_1.py
fe8127e086adec2ed72142ef64c42a4b85db2149,whatwg-url,45bf9040,2018-08-08 23:47:34,+0000,__init__.py,MODIFY,4,6,PythonFiles\whatwg-url\45bf9040\fe8127e086adec2ed72142ef64c42a4b85db2149\fe8127e086adec2ed72142ef64c42a4b85db2149_whatwg-url_45bf9040_20180808_184734_before_2.py,PythonFiles\whatwg-url\45bf9040\fe8127e086adec2ed72142ef64c42a4b85db2149\fe8127e086adec2ed72142ef64c42a4b85db2149_whatwg-url_45bf9040_20180808_184734_after_2.py
fe8127e086adec2ed72142ef64c42a4b85db2149,whatwg-url,45bf9040,2018-08-08 23:47:34,+0000,parser.py,MODIFY,32,12,PythonFiles\whatwg-url\45bf9040\fe8127e086adec2ed72142ef64c42a4b85db2149\fe8127e086adec2ed72142ef64c42a4b85db2149_whatwg-url_45bf9040_20180808_184734_before_3.py,PythonFiles\whatwg-url\45bf9040\fe8127e086adec2ed72142ef64c42a4b85db2149\fe8127e086adec2ed72142ef64c42a4b85db2149_whatwg-url_45bf9040_20180808_184734_after_3.py
fe8127e086adec2ed72142ef64c42a4b85db2149,whatwg-url,45bf9040,2018-08-08 23:47:34,+0000,test_web_platform_tests.py,MODIFY,3,3,PythonFiles\whatwg-url\45bf9040\fe8127e086adec2ed72142ef64c42a4b85db2149\fe8127e086adec2ed72142ef64c42a4b85db2149_whatwg-url_45bf9040_20180808_184734_before_4.py,PythonFiles\whatwg-url\45bf9040\fe8127e086adec2ed72142ef64c42a4b85db2149\fe8127e086adec2ed72142ef64c42a4b85db2149_whatwg-url_45bf9040_20180808_184734_after_4.py
41d20f7f3c45c7e9d7d8f190ad107f6e10999211,whatwg-url,45bf9040,2018-08-09 04:38:36,+0000,__init__.py,MODIFY,1,1,PythonFiles\whatwg-url\45bf9040\41d20f7f3c45c7e9d7d8f190ad107f6e10999211\41d20f7f3c45c7e9d7d8f190ad107f6e10999211_whatwg-url_45bf9040_20180808_233836_before_1.py,PythonFiles\whatwg-url\45bf9040\41d20f7f3c45c7e9d7d8f190ad107f6e10999211\41d20f7f3c45c7e9d7d8f190ad107f6e10999211_whatwg-url_45bf9040_20180808_233836_after_1.py
