CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
1f93ee24bd708de373fe738d41a0a0923a8aa870,yoshix,dc3762b7,2015-11-07 11:07:46,+0000,__init__.py,ADD,0,0,,
1f93ee24bd708de373fe738d41a0a0923a8aa870,yoshix,dc3762b7,2015-11-07 11:07:46,+0000,example_small.py,ADD,18,0,,PythonFiles\yoshix\dc3762b7\1f93ee24bd708de373fe738d41a0a0923a8aa870\1f93ee24bd708de373fe738d41a0a0923a8aa870_yoshix_dc3762b7_20151107_120746_after_3.py
1f93ee24bd708de373fe738d41a0a0923a8aa870,yoshix,dc3762b7,2015-11-07 11:07:46,+0000,run_yoshi.py,ADD,8,0,,PythonFiles\yoshix\dc3762b7\1f93ee24bd708de373fe738d41a0a0923a8aa870\1f93ee24bd708de373fe738d41a0a0923a8aa870_yoshix_dc3762b7_20151107_120746_after_4.py
1f93ee24bd708de373fe738d41a0a0923a8aa870,yoshix,dc3762b7,2015-11-07 11:07:46,+0000,__init__.py,ADD,1,0,,PythonFiles\yoshix\dc3762b7\1f93ee24bd708de373fe738d41a0a0923a8aa870\1f93ee24bd708de373fe738d41a0a0923a8aa870_yoshix_dc3762b7_20151107_120746_after_5.py
1f93ee24bd708de373fe738d41a0a0923a8aa870,yoshix,dc3762b7,2015-11-07 11:07:46,+0000,yoshiegg.py,ADD,34,0,,PythonFiles\yoshix\dc3762b7\1f93ee24bd708de373fe738d41a0a0923a8aa870\1f93ee24bd708de373fe738d41a0a0923a8aa870_yoshix_dc3762b7_20151107_120746_after_6.py
1f93ee24bd708de373fe738d41a0a0923a8aa870,yoshix,dc3762b7,2015-11-07 11:07:46,+0000,yoshix.py,ADD,94,0,,PythonFiles\yoshix\dc3762b7\1f93ee24bd708de373fe738d41a0a0923a8aa870\1f93ee24bd708de373fe738d41a0a0923a8aa870_yoshix_dc3762b7_20151107_120746_after_7.py
c3e67e16408021decc225b14cebbb73db8d9df1c,yoshix,dc3762b7,2015-11-09 11:38:03,+0000,example_small.py,MODIFY,6,3,PythonFiles\yoshix\dc3762b7\c3e67e16408021decc225b14cebbb73db8d9df1c\c3e67e16408021decc225b14cebbb73db8d9df1c_yoshix_dc3762b7_20151109_123803_before_1.py,PythonFiles\yoshix\dc3762b7\c3e67e16408021decc225b14cebbb73db8d9df1c\c3e67e16408021decc225b14cebbb73db8d9df1c_yoshix_dc3762b7_20151109_123803_after_1.py
c3e67e16408021decc225b14cebbb73db8d9df1c,yoshix,dc3762b7,2015-11-09 11:38:03,+0000,run_yoshi.py,MODIFY,1,1,PythonFiles\yoshix\dc3762b7\c3e67e16408021decc225b14cebbb73db8d9df1c\c3e67e16408021decc225b14cebbb73db8d9df1c_yoshix_dc3762b7_20151109_123803_before_2.py,PythonFiles\yoshix\dc3762b7\c3e67e16408021decc225b14cebbb73db8d9df1c\c3e67e16408021decc225b14cebbb73db8d9df1c_yoshix_dc3762b7_20151109_123803_after_2.py
c3e67e16408021decc225b14cebbb73db8d9df1c,yoshix,dc3762b7,2015-11-09 11:38:03,+0000,yoshiegg.py,MODIFY,3,0,PythonFiles\yoshix\dc3762b7\c3e67e16408021decc225b14cebbb73db8d9df1c\c3e67e16408021decc225b14cebbb73db8d9df1c_yoshix_dc3762b7_20151109_123803_before_3.py,PythonFiles\yoshix\dc3762b7\c3e67e16408021decc225b14cebbb73db8d9df1c\c3e67e16408021decc225b14cebbb73db8d9df1c_yoshix_dc3762b7_20151109_123803_after_3.py
c3e67e16408021decc225b14cebbb73db8d9df1c,yoshix,dc3762b7,2015-11-09 11:38:03,+0000,yoshix.py,MODIFY,39,7,PythonFiles\yoshix\dc3762b7\c3e67e16408021decc225b14cebbb73db8d9df1c\c3e67e16408021decc225b14cebbb73db8d9df1c_yoshix_dc3762b7_20151109_123803_before_4.py,PythonFiles\yoshix\dc3762b7\c3e67e16408021decc225b14cebbb73db8d9df1c\c3e67e16408021decc225b14cebbb73db8d9df1c_yoshix_dc3762b7_20151109_123803_after_4.py
8aac7063c6c8caf3b9fb9902966e3f9bcecef584,yoshix,dc3762b7,2015-11-09 13:40:32,+0000,example_small.py,MODIFY,4,2,PythonFiles\yoshix\dc3762b7\8aac7063c6c8caf3b9fb9902966e3f9bcecef584\8aac7063c6c8caf3b9fb9902966e3f9bcecef584_yoshix_dc3762b7_20151109_144032_before_2.py,PythonFiles\yoshix\dc3762b7\8aac7063c6c8caf3b9fb9902966e3f9bcecef584\8aac7063c6c8caf3b9fb9902966e3f9bcecef584_yoshix_dc3762b7_20151109_144032_after_2.py
