CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
065867a410bf930579b28d7c6b41ec4fc0adf856,zirc,201d9039,2016-07-02 10:58:16,+0000,__init__.py,ADD,1,0,,PythonFiles\zirc\201d9039\065867a410bf930579b28d7c6b41ec4fc0adf856\065867a410bf930579b28d7c6b41ec4fc0adf856_zirc_201d9039_20160702_105816_after_1.py
065867a410bf930579b28d7c6b41ec4fc0adf856,zirc,201d9039,2016-07-02 10:58:16,+0000,client.py,ADD,1,0,,PythonFiles\zirc\201d9039\065867a410bf930579b28d7c6b41ec4fc0adf856\065867a410bf930579b28d7c6b41ec4fc0adf856_zirc_201d9039_20160702_105816_after_2.py
065867a410bf930579b28d7c6b41ec4fc0adf856,zirc,201d9039,2016-07-02 10:58:16,+0000,connection.py,ADD,22,0,,PythonFiles\zirc\201d9039\065867a410bf930579b28d7c6b41ec4fc0adf856\065867a410bf930579b28d7c6b41ec4fc0adf856_zirc_201d9039_20160702_105816_after_3.py
2e31ecb72e7d52c4f965b2373fb877944d13e6da,zirc,201d9039,2016-07-02 11:01:35,+0000,__init__.py,ADD,1,0,,PythonFiles\zirc\201d9039\2e31ecb72e7d52c4f965b2373fb877944d13e6da\2e31ecb72e7d52c4f965b2373fb877944d13e6da_zirc_201d9039_20160702_110135_after_1.py
2e31ecb72e7d52c4f965b2373fb877944d13e6da,zirc,201d9039,2016-07-02 11:01:35,+0000,client.py,ADD,1,0,,PythonFiles\zirc\201d9039\2e31ecb72e7d52c4f965b2373fb877944d13e6da\2e31ecb72e7d52c4f965b2373fb877944d13e6da_zirc_201d9039_20160702_110135_after_2.py
2e31ecb72e7d52c4f965b2373fb877944d13e6da,zirc,201d9039,2016-07-02 11:01:35,+0000,connection.py,ADD,22,0,,PythonFiles\zirc\201d9039\2e31ecb72e7d52c4f965b2373fb877944d13e6da\2e31ecb72e7d52c4f965b2373fb877944d13e6da_zirc_201d9039_20160702_110135_after_3.py
f16eabed5ad2f204dfc8d38055233a87c36718bf,zirc,201d9039,2016-07-02 11:02:36,+0000,__init__.py,DELETE,0,1,PythonFiles\zirc\201d9039\f16eabed5ad2f204dfc8d38055233a87c36718bf\f16eabed5ad2f204dfc8d38055233a87c36718bf_zirc_201d9039_20160702_110236_before_1.py,
f16eabed5ad2f204dfc8d38055233a87c36718bf,zirc,201d9039,2016-07-02 11:02:36,+0000,client.py,DELETE,0,1,PythonFiles\zirc\201d9039\f16eabed5ad2f204dfc8d38055233a87c36718bf\f16eabed5ad2f204dfc8d38055233a87c36718bf_zirc_201d9039_20160702_110236_before_2.py,
f16eabed5ad2f204dfc8d38055233a87c36718bf,zirc,201d9039,2016-07-02 11:02:36,+0000,connection.py,DELETE,0,22,PythonFiles\zirc\201d9039\f16eabed5ad2f204dfc8d38055233a87c36718bf\f16eabed5ad2f204dfc8d38055233a87c36718bf_zirc_201d9039_20160702_110236_before_3.py,
c2e6a23ad905c628fce9b36ae45bb36631748386,zirc,201d9039,2016-07-02 11:31:06,+0000,__init__.py,MODIFY,1,1,PythonFiles\zirc\201d9039\c2e6a23ad905c628fce9b36ae45bb36631748386\c2e6a23ad905c628fce9b36ae45bb36631748386_zirc_201d9039_20160702_113106_before_2.py,PythonFiles\zirc\201d9039\c2e6a23ad905c628fce9b36ae45bb36631748386\c2e6a23ad905c628fce9b36ae45bb36631748386_zirc_201d9039_20160702_113106_after_2.py
c2e6a23ad905c628fce9b36ae45bb36631748386,zirc,201d9039,2016-07-02 11:31:06,+0000,client.py,MODIFY,4,1,PythonFiles\zirc\201d9039\c2e6a23ad905c628fce9b36ae45bb36631748386\c2e6a23ad905c628fce9b36ae45bb36631748386_zirc_201d9039_20160702_113106_before_3.py,PythonFiles\zirc\201d9039\c2e6a23ad905c628fce9b36ae45bb36631748386\c2e6a23ad905c628fce9b36ae45bb36631748386_zirc_201d9039_20160702_113106_after_3.py
5acb5def09752c8b1066dbb951a849cf2c01bdc7,zirc,201d9039,2016-07-02 13:45:03,+0000,event.py,ADD,65,0,,PythonFiles\zirc\201d9039\5acb5def09752c8b1066dbb951a849cf2c01bdc7\5acb5def09752c8b1066dbb951a849cf2c01bdc7_zirc_201d9039_20160702_134503_after_1.py
87c11ca795b1e2bb1fdfd55d40a4590b1c5709af,zirc,201d9039,2016-07-02 13:47:10,+0000,__init__.py,MODIFY,2,1,PythonFiles\zirc\201d9039\87c11ca795b1e2bb1fdfd55d40a4590b1c5709af\87c11ca795b1e2bb1fdfd55d40a4590b1c5709af_zirc_201d9039_20160702_134710_before_1.py,PythonFiles\zirc\201d9039\87c11ca795b1e2bb1fdfd55d40a4590b1c5709af\87c11ca795b1e2bb1fdfd55d40a4590b1c5709af_zirc_201d9039_20160702_134710_after_1.py
87c11ca795b1e2bb1fdfd55d40a4590b1c5709af,zirc,201d9039,2016-07-02 13:47:10,+0000,client.py,MODIFY,24,1,PythonFiles\zirc\201d9039\87c11ca795b1e2bb1fdfd55d40a4590b1c5709af\87c11ca795b1e2bb1fdfd55d40a4590b1c5709af_zirc_201d9039_20160702_134710_before_2.py,PythonFiles\zirc\201d9039\87c11ca795b1e2bb1fdfd55d40a4590b1c5709af\87c11ca795b1e2bb1fdfd55d40a4590b1c5709af_zirc_201d9039_20160702_134710_after_2.py
0484ee22823b780e69f3ec2c4963780775f189e7,zirc,201d9039,2016-07-02 15:21:02,+0000,client.py,MODIFY,17,2,PythonFiles\zirc\201d9039\0484ee22823b780e69f3ec2c4963780775f189e7\0484ee22823b780e69f3ec2c4963780775f189e7_zirc_201d9039_20160702_152102_before_1.py,PythonFiles\zirc\201d9039\0484ee22823b780e69f3ec2c4963780775f189e7\0484ee22823b780e69f3ec2c4963780775f189e7_zirc_201d9039_20160702_152102_after_1.py
0484ee22823b780e69f3ec2c4963780775f189e7,zirc,201d9039,2016-07-02 15:21:02,+0000,event.py,MODIFY,7,1,PythonFiles\zirc\201d9039\0484ee22823b780e69f3ec2c4963780775f189e7\0484ee22823b780e69f3ec2c4963780775f189e7_zirc_201d9039_20160702_152102_before_2.py,PythonFiles\zirc\201d9039\0484ee22823b780e69f3ec2c4963780775f189e7\0484ee22823b780e69f3ec2c4963780775f189e7_zirc_201d9039_20160702_152102_after_2.py
b9a70b0931a6088e394afc9896053ad6a730246a,zirc,201d9039,2016-07-02 18:03:51,+0000,client.py,MODIFY,11,2,PythonFiles\zirc\201d9039\b9a70b0931a6088e394afc9896053ad6a730246a\b9a70b0931a6088e394afc9896053ad6a730246a_zirc_201d9039_20160702_180351_before_1.py,PythonFiles\zirc\201d9039\b9a70b0931a6088e394afc9896053ad6a730246a\b9a70b0931a6088e394afc9896053ad6a730246a_zirc_201d9039_20160702_180351_after_1.py
b9a70b0931a6088e394afc9896053ad6a730246a,zirc,201d9039,2016-07-02 18:03:51,+0000,connection.py,MODIFY,1,0,PythonFiles\zirc\201d9039\b9a70b0931a6088e394afc9896053ad6a730246a\b9a70b0931a6088e394afc9896053ad6a730246a_zirc_201d9039_20160702_180351_before_2.py,PythonFiles\zirc\201d9039\b9a70b0931a6088e394afc9896053ad6a730246a\b9a70b0931a6088e394afc9896053ad6a730246a_zirc_201d9039_20160702_180351_after_2.py
