CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
cfdd53c91a553edbb1da3bef8329cf165cb682f0,zpgdb,b8f614c3,2014-11-08 10:33:13,+0000,tests.py,ADD,8,0,,PythonFiles\zpgdb\b8f614c3\cfdd53c91a553edbb1da3bef8329cf165cb682f0\cfdd53c91a553edbb1da3bef8329cf165cb682f0_zpgdb_b8f614c3_20141108_083313_after_4.py
cfdd53c91a553edbb1da3bef8329cf165cb682f0,zpgdb,b8f614c3,2014-11-08 10:33:13,+0000,zpgdb.py,ADD,19,0,,PythonFiles\zpgdb\b8f614c3\cfdd53c91a553edbb1da3bef8329cf165cb682f0\cfdd53c91a553edbb1da3bef8329cf165cb682f0_zpgdb_b8f614c3_20141108_083313_after_5.py
96085208db572f57ed832b578c876ed665a0404a,zpgdb,b8f614c3,2014-11-08 12:04:18,+0000,tests.py,MODIFY,36,0,PythonFiles\zpgdb\b8f614c3\96085208db572f57ed832b578c876ed665a0404a\96085208db572f57ed832b578c876ed665a0404a_zpgdb_b8f614c3_20141108_100418_before_1.py,PythonFiles\zpgdb\b8f614c3\96085208db572f57ed832b578c876ed665a0404a\96085208db572f57ed832b578c876ed665a0404a_zpgdb_b8f614c3_20141108_100418_after_1.py
63abe58c2d2426d167c430f3cdfe757b44625f0c,zpgdb,b8f614c3,2014-11-08 12:06:08,+0000,zpgdb.py,MODIFY,1,0,PythonFiles\zpgdb\b8f614c3\63abe58c2d2426d167c430f3cdfe757b44625f0c\63abe58c2d2426d167c430f3cdfe757b44625f0c_zpgdb_b8f614c3_20141108_100608_before_1.py,PythonFiles\zpgdb\b8f614c3\63abe58c2d2426d167c430f3cdfe757b44625f0c\63abe58c2d2426d167c430f3cdfe757b44625f0c_zpgdb_b8f614c3_20141108_100608_after_1.py
f04ed76b6b76daf74d2ba714e1a213d7b2939ab6,zpgdb,b8f614c3,2014-11-08 12:09:51,+0000,zpgdb.py,MODIFY,5,1,PythonFiles\zpgdb\b8f614c3\f04ed76b6b76daf74d2ba714e1a213d7b2939ab6\f04ed76b6b76daf74d2ba714e1a213d7b2939ab6_zpgdb_b8f614c3_20141108_100951_before_1.py,PythonFiles\zpgdb\b8f614c3\f04ed76b6b76daf74d2ba714e1a213d7b2939ab6\f04ed76b6b76daf74d2ba714e1a213d7b2939ab6_zpgdb_b8f614c3_20141108_100951_after_1.py
e29e0c11397562709deac2d448e9fa56709faee4,zpgdb,b8f614c3,2014-11-08 12:24:59,+0000,tests.py,MODIFY,30,0,PythonFiles\zpgdb\b8f614c3\e29e0c11397562709deac2d448e9fa56709faee4\e29e0c11397562709deac2d448e9fa56709faee4_zpgdb_b8f614c3_20141108_102459_before_1.py,PythonFiles\zpgdb\b8f614c3\e29e0c11397562709deac2d448e9fa56709faee4\e29e0c11397562709deac2d448e9fa56709faee4_zpgdb_b8f614c3_20141108_102459_after_1.py
e29e0c11397562709deac2d448e9fa56709faee4,zpgdb,b8f614c3,2014-11-08 12:24:59,+0000,zpgdb.py,MODIFY,19,1,PythonFiles\zpgdb\b8f614c3\e29e0c11397562709deac2d448e9fa56709faee4\e29e0c11397562709deac2d448e9fa56709faee4_zpgdb_b8f614c3_20141108_102459_before_2.py,PythonFiles\zpgdb\b8f614c3\e29e0c11397562709deac2d448e9fa56709faee4\e29e0c11397562709deac2d448e9fa56709faee4_zpgdb_b8f614c3_20141108_102459_after_2.py
9dbeb7a25052761f36c8a99708ffd033d252841e,zpgdb,b8f614c3,2014-11-09 17:41:35,+0000,tests.py,MODIFY,2,7,PythonFiles\zpgdb\b8f614c3\9dbeb7a25052761f36c8a99708ffd033d252841e\9dbeb7a25052761f36c8a99708ffd033d252841e_zpgdb_b8f614c3_20141109_154135_before_1.py,PythonFiles\zpgdb\b8f614c3\9dbeb7a25052761f36c8a99708ffd033d252841e\9dbeb7a25052761f36c8a99708ffd033d252841e_zpgdb_b8f614c3_20141109_154135_after_1.py
9dbeb7a25052761f36c8a99708ffd033d252841e,zpgdb,b8f614c3,2014-11-09 17:41:35,+0000,zpgdb.py,MODIFY,11,3,PythonFiles\zpgdb\b8f614c3\9dbeb7a25052761f36c8a99708ffd033d252841e\9dbeb7a25052761f36c8a99708ffd033d252841e_zpgdb_b8f614c3_20141109_154135_before_2.py,PythonFiles\zpgdb\b8f614c3\9dbeb7a25052761f36c8a99708ffd033d252841e\9dbeb7a25052761f36c8a99708ffd033d252841e_zpgdb_b8f614c3_20141109_154135_after_2.py
0ffab76f8a27a9873a365148da72c89407bcd39e,zpgdb,b8f614c3,2014-11-09 17:43:41,+0000,zpgdb.py,MODIFY,3,0,PythonFiles\zpgdb\b8f614c3\0ffab76f8a27a9873a365148da72c89407bcd39e\0ffab76f8a27a9873a365148da72c89407bcd39e_zpgdb_b8f614c3_20141109_154341_before_1.py,PythonFiles\zpgdb\b8f614c3\0ffab76f8a27a9873a365148da72c89407bcd39e\0ffab76f8a27a9873a365148da72c89407bcd39e_zpgdb_b8f614c3_20141109_154341_after_1.py
